DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.9,0.49,392.0,75.08,19187,148,392.0,395.0,388.0
2026-05-07,-7.8,-1.96,390.1,60.93,15573,114,395.0,395.0,389.2
2026-05-06,2.9,0.73,397.9,30.07,7608,81,390.0,400.0,390.0
2026-05-05,-1.0,-0.25,395.0,31.58,7963,100,398.0,399.9,395.0
2026-05-04,-4.0,-1.0,396.0,39.34,9935,114,399.0,400.0,395.0
2026-04-30,1.0,0.25,400.0,43.34,10830,106,394.0,404.0,394.0
2026-04-29,-2.0,-0.5,399.0,78.16,19449,167,395.0,407.4,395.0
2026-04-28,-6.4,-1.57,401.0,57.65,14301,152,407.4,410.0,400.0
2026-04-27,4.1,1.02,407.4,33.29,8168,177,403.3,411.9,395.1
2026-04-24,-1.2,-0.3,403.3,29.76,7376,99,400.1,408.8,395.8
2026-04-23,-5.4,-1.32,404.5,20.95,5185,111,410.0,410.0,401.1
2026-04-22,2.9,0.71,409.9,,32699,273,406.0,412.0,398.0
2026-04-21,-5.0,-1.21,407.0,51.74,12650,147,412.0,415.0,405.3
2026-04-20,-4.9,-1.18,412.0,28.72,6945,118,436.0,436.0,411.1
2026-04-17,1.0,0.24,416.9,92.59,22433,176,415.0,423.3,408.4
2026-04-16,-10.7,-2.51,415.9,55.86,13414,140,430.0,434.0,414.3
2026-04-15,10.3,2.47,426.6,97.3,22879,282,415.0,429.9,415.0
2026-04-13,-0.9,-0.22,416.3,51.45,12352,165,415.0,419.9,413.4
2026-04-10,-6.7,-1.58,417.2,95.26,22867,180,415.8,423.9,414.2
2026-04-09,5.9,1.41,423.9,,24862,211,425.0,425.0,417.0
2026-04-08,10.0,2.45,418.0,39.79,9644,151,408.0,418.2,408.0
2026-04-07,-2.0,-0.49,408.0,,24932,222,410.0,418.0,405.0
2026-04-06,10.0,2.5,410.0,82.08,20009,246,392.0,417.0,392.0
2026-04-05,-19.0,-4.53,400.0,,48297,405,417.0,417.0,391.0
2026-04-02,-6.0,-1.41,419.0,88.47,21026,217,420.0,431.4,412.2
2026-04-01,-10.0,-2.3,425.0,97.63,22901,216,428.0,436.0,423.0
2026-03-31,4.0,0.93,435.0,84.94,19704,228,427.0,436.0,424.1
2026-03-30,1.0,0.23,431.0,,32344,254,430.0,437.0,425.2
2026-03-29,-23.1,-5.1,430.0,,46474,336,453.5,455.0,430.0
2026-03-26,2.1,0.47,453.1,,32961,290,447.9,457.0,442.5
2026-03-25,-12.0,-2.59,451.0,82.53,18221,207,455.6,459.8,448.6
2026-03-24,5.0,1.09,463.0,,45526,393,459.0,470.0,458.0
2026-03-23,4.0,0.88,458.0,,70672,469,460.0,462.0,447.1
2026-03-22,6.6,1.48,454.0,,74078,558,450.0,459.0,446.0
2026-03-19,12.3,2.83,447.4,,62669,513,436.0,448.0,436.0
2026-03-17,4.8,1.12,435.1,89.08,20477,196,434.0,437.9,430.6
2026-03-16,-7.8,-1.78,430.3,,30690,222,438.0,445.8,430.0
2026-03-15,-6.9,-1.55,438.1,,28531,233,440.3,448.0,437.0
