DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,36.2,2.66,1399.0,,31262,356,1430.9,1430.9,1330.9
2026-05-07,-35.2,-2.52,1362.8,,130321,856,1370.1,1390.5,1335.9
2026-05-06,11.0,0.79,1398.0,,41308,370,1387.1,1405.0,1371.1
2026-05-05,-8.0,-0.57,1387.0,,40947,431,1395.0,1413.0,1383.0
2026-05-04,-48.0,-3.33,1395.0,,223192,526,1470.0,1470.0,1385.9
2026-04-30,-7.0,-0.48,1443.0,,108483,653,1377.5,1490.0,1377.5
2026-04-29,-25.0,-1.69,1450.0,,54746,568,1475.0,1485.0,1430.8
2026-04-28,-5.0,-0.34,1475.0,,67494,657,1480.0,1499.0,1457.0
2026-04-27,-10.0,-0.67,1480.0,,57144,562,1490.0,1500.0,1476.0
2026-04-24,-5.0,-0.33,1490.0,,54758,454,1490.0,1505.0,1476.0
2026-04-23,-20.0,-1.32,1495.0,,74993,608,1500.0,1533.0,1492.0
2026-04-22,11.1,0.74,1515.0,,65260,680,1503.9,1539.0,1489.0
2026-04-21,-30.1,-1.96,1503.9,,66836,674,1534.0,1560.0,1491.0
2026-04-20,-40.0,-2.54,1534.0,,80110,569,1551.0,1560.0,1530.0
2026-04-17,-6.0,-0.38,1574.0,,99345,604,1580.0,1589.9,1558.0
2026-04-16,-25.0,-1.56,1580.0,,124905,780,1611.1,1612.0,1570.0
2026-04-15,-13.0,-0.8,1605.0,,119547,815,1618.0,1646.0,1594.0
2026-04-13,14.0,0.87,1618.0,,126296,908,1615.0,1636.0,1608.0
2026-04-10,-23.0,-1.41,1604.0,,139756,1162,1635.0,1637.5,1595.0
2026-04-09,37.0,2.33,1627.0,,224826,1340,1575.0,1648.0,1575.0
2026-04-08,42.0,2.71,1590.0,,195711,884,1554.0,1590.1,1540.1
2026-04-07,-18.9,-1.21,1548.0,,139004,1059,1570.0,1578.0,1520.0
2026-04-06,78.9,5.3,1566.9,,317330,1202,1488.0,1567.0,1480.0
2026-04-05,-87.0,-5.52,1488.0,,229379,1448,1550.0,1550.0,1481.0
2026-04-02,47.1,3.08,1575.0,,187809,1262,1516.0,1610.0,1510.0
2026-04-01,-73.2,-4.57,1527.9,,198867,1614,1603.0,1610.0,1510.0
2026-03-31,-24.9,-1.53,1601.1,,235314,1491,1626.0,1640.0,1586.0
2026-03-30,-2.0,-0.12,1626.0,,194980,1308,1627.0,1656.0,1616.0
2026-03-29,-42.0,-2.51,1628.0,,203885,1659,1680.0,1690.0,1610.0
2026-03-26,61.0,3.79,1670.0,,571545,2519,1641.1,1674.9,1588.0
2026-03-25,-14.0,-0.86,1609.0,,236336,1101,1611.0,1644.0,1604.0
2026-03-24,8.0,0.5,1623.0,,197764,1312,1640.0,1666.0,1610.0
2026-03-23,86.0,5.62,1615.0,,347302,2170,1530.0,1616.7,1520.0
2026-03-22,14.0,0.92,1529.0,,130726,1039,1525.0,1540.0,1500.0
2026-03-19,7.0,0.46,1515.0,,312708,1510,1477.9,1524.0,1419.1
2026-03-17,-1.6,-0.11,1508.0,,59208,504,1500.0,1508.0,1477.0
2026-03-16,14.6,0.98,1509.6,,66536,679,1496.0,1509.6,1460.2
2026-03-15,-27.0,-1.77,1495.0,,74071,625,1530.0,1530.0,1488.1
2026-03-12,-33.0,-2.12,1522.0,,100821,659,1575.0,1575.0,1520.0
2026-03-11,-45.1,-2.82,1555.0,,64336,432,1600.0,1609.0,1544.0
2026-03-10,-79.9,-4.76,1600.1,,152439,902,1690.0,1690.0,1576.0
