DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.0,0.0,880.0,84.38,9570,161,884.9,884.9,876.0
2026-05-07,5.0,0.57,880.0,66.35,7572,144,875.2,883.0,870.4
2026-05-06,2.8,0.32,875.0,58.1,6660,146,875.0,876.0,870.0
2026-05-05,-0.8,-0.09,872.2,80.55,9200,178,880.0,880.0,870.0
2026-05-04,1.0,0.11,873.0,78.07,8919,176,872.0,882.0,872.0
2026-04-30,-2.0,-0.23,872.0,,17381,221,875.0,889.0,867.0
2026-04-29,-2.0,-0.23,874.0,85.14,9723,154,886.9,887.0,873.1
2026-04-28,5.0,0.57,876.0,,12334,204,871.0,881.0,873.0
2026-04-27,1.0,0.11,871.0,,15145,279,870.0,885.0,860.0
2026-04-24,-2.0,-0.23,870.0,47.6,5466,125,884.0,884.0,860.6
2026-04-23,1.9,0.22,872.0,,14205,173,896.0,896.0,865.0
2026-04-22,-0.5,-0.06,870.1,,12121,229,883.0,883.0,865.0
2026-04-21,-12.4,-1.4,870.6,84.41,9597,214,880.1,885.0,870.5
2026-04-20,3.0,0.34,883.0,81.93,9319,214,875.0,885.0,875.0
2026-04-17,0.0,0.0,880.0,,12852,190,881.0,885.0,871.0
2026-04-16,1.0,0.11,880.0,,11980,168,879.0,881.0,870.1
2026-04-15,9.0,1.03,879.0,79.48,9051,191,883.0,883.0,873.0
2026-04-13,-10.0,-1.14,870.0,,12536,247,870.4,887.3,869.9
2026-04-10,0.2,0.02,880.0,,18347,161,890.0,890.0,875.5
2026-04-09,3.8,0.43,879.8,,35471,245,878.3,884.0,875.0
2026-04-08,-1.0,-0.11,876.0,,15283,193,894.5,894.5,872.2
2026-04-07,0.0,0.0,877.0,92.92,10567,185,890.0,890.0,873.0
2026-04-06,18.5,2.15,877.0,,20360,313,869.9,879.5,861.0
2026-04-05,-7.5,-0.87,858.5,,17865,376,883.3,883.3,854.2
2026-04-02,-2.0,-0.23,866.0,,17213,305,850.7,875.0,850.7
2026-04-01,-9.0,-1.03,868.0,,22437,311,880.0,880.0,866.0
2026-03-31,2.0,0.23,877.0,,13480,268,884.9,890.0,870.0
2026-03-30,-16.9,-1.89,875.0,,20255,332,891.0,891.0,875.0
2026-03-29,-13.0,-1.44,891.9,,33019,431,905.0,907.0,890.0
2026-03-26,9.9,1.11,904.9,,40620,347,877.1,917.0,877.1
2026-03-25,-19.0,-2.08,895.0,,16089,297,932.0,932.0,895.0
2026-03-24,6.0,0.66,914.0,,18877,277,920.0,920.0,908.0
2026-03-23,-1.9,-0.21,908.0,,59765,595,920.0,928.0,900.1
2026-03-22,20.9,2.35,909.9,,67464,610,895.0,909.9,895.0
2026-03-19,9.8,1.11,889.0,,28123,312,886.0,890.0,881.0
