DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,16.0,2.04,800.0,5.35,677,34,773.1,800.0,773.1
2026-05-07,-0.1,-0.01,784.0,15.68,1990,40,781.0,795.0,780.0
2026-05-06,-9.9,-1.25,784.1,2.82,360,16,784.0,790.0,783.0
2026-05-05,1.0,0.13,794.0,7.27,929,35,775.2,799.7,775.1
2026-05-04,-0.9,-0.11,793.0,4.39,561,34,780.0,800.0,780.0
2026-04-30,5.9,0.75,793.9,10.19,1307,38,780.0,800.0,767.0
2026-04-29,-4.0,-0.51,788.0,16.27,2092,57,782.4,789.0,770.0
2026-04-28,-10.0,-1.25,792.0,13.5,1701,57,802.0,804.0,790.0
2026-04-27,3.0,0.38,802.0,4.08,515,30,799.0,805.0,785.0
2026-04-24,4.2,0.53,799.0,14.47,1822,46,785.0,800.0,785.0
2026-04-23,-10.2,-1.27,794.8,10.73,1349,49,787.1,808.0,787.0
2026-04-22,5.0,0.62,805.0,39.24,4918,68,786.1,808.0,785.0
2026-04-21,-20.0,-2.44,800.0,40.93,5135,79,811.0,820.0,785.0
2026-04-20,-9.9,-1.19,820.0,23.05,2850,59,815.1,829.7,800.0
2026-04-17,-8.1,-0.97,829.9,8.79,1061,32,840.0,850.1,822.9
2026-04-16,-12.0,-1.41,838.0,15.01,1799,46,835.1,844.0,827.0
2026-04-15,-4.0,-0.47,850.0,15.18,1790,72,840.0,856.0,837.5
2026-04-13,24.3,2.93,854.0,47.72,5651,86,820.0,860.0,820.0
2026-04-10,-10.3,-1.23,829.7,19.95,2416,66,823.2,836.8,817.0
2026-04-09,14.6,1.77,840.0,26.06,3119,55,820.0,842.9,820.0
2026-04-08,30.4,3.82,825.4,33.34,4071,71,810.0,825.9,810.0
2026-04-07,-13.0,-1.61,795.0,30.13,3741,81,823.5,824.1,790.9
2026-04-06,39.0,5.07,808.0,29.85,3754,107,770.0,814.9,760.0
2026-04-05,-34.6,-4.31,769.0,56.86,7315,148,803.6,817.5,755.0
2026-04-02,-16.4,-2.0,803.6,41.21,5062,115,820.0,836.4,803.6
2026-04-01,-41.0,-4.76,820.0,88.24,10461,140,846.0,860.0,820.0
2026-03-31,1.0,0.12,861.0,32.28,3766,90,851.0,889.0,850.0
2026-03-30,-26.1,-2.95,860.0,47.64,5472,85,903.8,903.8,858.0
2026-03-29,-26.0,-2.85,886.1,47.39,5296,93,894.0,905.0,883.0
2026-03-26,4.1,0.45,912.1,37.07,4065,86,925.0,925.0,903.1
2026-03-25,-21.9,-2.36,908.0,54.5,6003,81,915.0,918.4,897.0
2026-03-24,9.9,1.08,929.9,28.94,3141,81,920.0,932.0,907.0
2026-03-23,6.0,0.66,920.0,,14329,154,910.0,930.0,901.0
2026-03-22,39.0,4.46,914.0,,22945,284,889.9,918.7,889.9
2026-03-19,14.0,1.63,875.0,68.46,7820,148,878.0,895.5,863.0
2026-03-17,-9.0,-1.03,861.0,45.62,5271,100,887.4,889.9,860.0
2026-03-16,-17.0,-1.92,870.0,32.23,3673,90,871.0,904.0,869.0
2026-03-15,-11.0,-1.22,887.0,43.8,4970,90,898.0,899.9,872.3
2026-03-12,5.9,0.66,898.0,36.49,4109,94,880.1,920.0,870.0
2026-03-11,-33.9,-3.66,892.1,69.25,7651,105,920.0,929.0,891.1
2026-03-10,-32.8,-3.42,926.0,,17795,209,977.9,977.9,900.0
2026-03-09,70.3,7.91,958.8,,85,5,905.9,958.8,905.9
2026-03-03,23.3,2.69,888.5,22.55,2551,57,880.0,888.5,863.0
2026-03-01,-3.8,-0.44,865.2,21.81,2529,51,865.0,870.0,841.0
2026-02-26,9.0,1.05,869.0,8.41,982,41,851.0,872.0,845.0
2026-02-25,10.0,1.18,860.0,25.85,2976,90,840.0,901.0,840.0
2026-02-24,10.0,1.19,850.0,10.89,1291,47,840.0,856.7,833.0
2026-02-23,-15.0,-1.75,840.0,29.38,3480,48,842.1,853.5,840.0
2026-02-22,-20.0,-2.29,855.0,29.07,3411,73,860.1,862.0,844.0
2026-02-17,4.9,0.56,875.0,25.47,2921,66,885.0,887.5,870.0
2026-02-16,-9.9,-1.12,870.1,30.8,3510,66,865.0,897.6,865.0
2026-02-12,2.0,0.23,880.0,49.64,5637,94,860.5,895.0,860.5
2026-02-11,8.0,0.92,878.0,19.69,2268,61,865.3,879.0,860.1
2026-02-10,-10.0,-1.14,870.0,32.58,3727,97,895.9,896.0,863.0
2026-02-09,-40.0,-4.35,880.0,74.54,8353,138,902.1,920.0,876.0
2026-02-08,-19.0,-2.02,920.0,66.03,7133,99,945.0,945.0,920.0
2026-02-05,10.0,1.08,939.0,40.44,4344,102,910.5,970.0,910.5
2026-02-04,4.0,0.43,929.0,,11480,117,943.0,949.9,912.0
2026-02-03,-31.0,-3.24,925.0,73.8,7895,111,974.0,974.0,921.2
2026-02-02,38.0,4.14,956.0,,15662,167,934.0,961.8,919.0
2026-02-01,-47.3,-4.9,918.0,,17013,183,946.0,984.0,918.0
2026-01-29,-16.2,-1.65,965.3,,25751,272,999.9,1014.9,965.3
2026-01-28,-15.0,-1.51,981.5,,23405,279,1000.0,1016.4,962.0
2026-01-27,-23.5,-2.3,996.5,,46583,538,1001.1,1045.0,977.0
2026-01-26,60.0,6.25,1020.0,,80780,706,977.4,1039.2,940.0
2026-01-25,86.0,9.84,960.0,,27347,345,874.1,961.4,874.1
2026-01-22,14.0,1.63,874.0,57.5,6633,99,848.1,874.0,845.5
2026-01-21,-9.0,-1.04,860.0,33.09,3860,89,851.7,885.0,843.1
2026-01-20,4.1,0.47,869.0,95.1,10937,166,882.1,886.0,851.0
2026-01-18,14.9,1.75,864.9,49.13,5718,139,833.0,870.0,833.0
2026-01-14,-9.9,-1.15,850.0,56.52,6548,111,842.8,876.7,842.8
2026-01-13,18.0,2.14,859.9,56.86,6699,131,825.1,866.9,825.1
2026-01-12,10.8,1.3,841.9,37.99,4509,97,847.6,863.9,831.2
2026-01-08,-16.9,-1.99,831.1,36.56,4397,82,831.1,846.0,829.1
2026-01-07,-17.0,-1.97,848.0,51.49,6081,83,855.0,865.0,836.0
2026-01-06,-20.0,-2.26,865.0,53.14,6141,138,902.7,902.7,853.0
2026-01-05,53.0,6.37,885.0,,24060,342,839.0,885.0,839.0
2026-01-04,22.0,2.72,832.0,70.41,8600,108,796.3,832.0,796.3
2026-01-01,-0.1,-0.01,810.0,64.12,7900,104,819.0,834.0,793.9
2025-12-31,15.1,1.9,810.1,35.3,4352,110,810.0,842.0,780.3
