DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,30.0,2.63,1170.0,55.09,4767,134,1130.0,1180.0,1130.0
2026-05-07,10.0,0.88,1140.0,25.24,2229,78,1120.1,1150.0,1120.1
2026-05-06,-14.0,-1.22,1130.0,30.66,2714,88,1125.0,1140.0,1119.0
2026-05-05,19.0,1.69,1144.0,33.2,2905,96,1126.0,1155.0,1115.0
2026-05-04,-29.9,-2.59,1125.0,42.68,3761,131,1140.0,1145.0,1125.0
2026-04-30,-5.0,-0.43,1154.9,56.75,4960,137,1102.0,1165.0,1102.0
2026-04-29,-18.2,-1.54,1159.9,45.73,3934,146,1167.2,1175.0,1155.0
2026-04-28,-3.7,-0.31,1178.1,46.82,3957,146,1181.8,1205.0,1170.2
2026-04-27,-8.2,-0.69,1181.8,80.83,6801,210,1190.0,1223.0,1178.0
2026-04-24,-6.9,-0.58,1190.0,66.67,5595,140,1205.0,1205.0,1180.0
2026-04-23,-23.1,-1.89,1196.9,46.25,3849,141,1202.0,1220.0,1190.0
2026-04-22,15.1,1.25,1220.0,91.19,7629,243,1192.5,1228.1,1185.0
2026-04-21,-7.1,-0.59,1204.9,90.13,7477,179,1200.0,1235.0,1196.0
2026-04-20,-10.0,-0.82,1212.0,55.92,4625,166,1201.6,1229.0,1200.0
2026-04-17,-3.0,-0.24,1222.0,81.76,6764,174,1224.0,1224.0,1200.0
2026-04-16,-25.1,-2.01,1225.0,,8507,207,1240.0,1250.0,1211.1
2026-04-15,9.1,0.73,1250.1,75.29,5988,189,1240.0,1269.0,1240.0
2026-04-13,-25.1,-1.98,1241.0,,9195,200,1255.0,1260.0,1240.9
2026-04-10,-23.9,-1.85,1266.1,,10734,149,1290.0,1290.0,1266.0
2026-04-09,27.3,2.16,1290.0,,8379,205,1263.0,1306.0,1260.0
2026-04-08,52.7,4.36,1262.7,,16238,174,1195.0,1262.7,1186.0
2026-04-07,-14.5,-1.18,1210.0,59.33,4883,132,1201.0,1246.5,1196.0
2026-04-06,34.6,2.91,1224.5,,11849,261,1180.0,1230.0,1167.0
2026-04-05,-75.1,-5.94,1189.9,,14478,317,1252.0,1252.0,1180.1
2026-04-02,5.0,0.4,1265.0,,10768,175,1270.0,1275.0,1250.0
2026-04-01,-25.0,-1.95,1260.0,80.75,6349,167,1285.0,1292.0,1260.0
2026-03-31,-10.0,-0.77,1285.0,,10220,199,1315.0,1337.7,1270.1
2026-03-30,-30.4,-2.29,1295.0,,9589,246,1320.0,1339.2,1295.0
2026-03-29,-53.6,-3.89,1325.4,,12029,306,1380.0,1385.0,1320.0
2026-03-26,12.4,0.91,1379.0,,25198,377,1350.0,1393.0,1350.0
2026-03-25,23.6,1.76,1366.6,,11222,312,1322.0,1366.7,1322.0
2026-03-24,-1.9,-0.14,1343.0,,8636,181,1330.0,1370.0,1330.0
2026-03-23,-7.2,-0.53,1344.9,,9310,229,1331.1,1365.0,1331.1
2026-03-22,18.1,1.36,1352.1,,14891,351,1334.0,1380.0,1334.0
2026-03-19,13.0,0.98,1334.0,,14980,270,1321.0,1346.9,1321.0
2026-03-17,6.5,0.49,1321.0,,9725,162,1307.0,1324.0,1300.0
2026-03-16,-5.9,-0.45,1314.5,96.86,7341,187,1328.0,1332.0,1308.0
2026-03-15,-38.6,-2.84,1320.4,,9431,198,1350.1,1377.0,1320.3
2026-03-12,6.0,0.44,1359.0,,9212,217,1350.0,1377.0,1340.0
2026-03-11,-45.0,-3.22,1353.0,,8142,189,1371.1,1400.0,1353.0
2026-03-10,3.9,0.28,1398.0,,24764,425,1421.9,1450.0,1362.0
2026-03-09,54.1,4.04,1394.1,,30,3,1366.8,1394.1,1366.8
2026-03-03,37.0,2.84,1340.0,,9708,189,1302.0,1344.0,1302.0
2026-03-01,20.9,1.63,1303.0,97.88,7596,180,1260.0,1305.0,1260.0
2026-02-26,-3.1,-0.24,1282.1,60.37,4692,118,1285.2,1298.1,1277.0
2026-02-25,-5.2,-0.4,1285.2,,8910,162,1298.0,1304.0,1280.0
2026-02-24,33.4,2.66,1290.4,98.76,7770,184,1260.0,1290.4,1260.0
2026-02-23,-3.0,-0.24,1257.0,84.87,6753,170,1255.0,1279.6,1245.1
2026-02-22,-40.0,-3.08,1260.0,,9304,239,1300.0,1300.0,1257.0
2026-02-17,-9.9,-0.76,1300.0,,16533,272,1301.0,1308.0,1274.0
2026-02-16,-23.1,-1.73,1309.9,,22309,331,1326.0,1350.0,1290.0
2026-02-12,-3.0,-0.22,1333.0,,10850,215,1335.0,1350.0,1322.0
2026-02-11,-4.0,-0.3,1336.0,,14737,226,1340.0,1389.0,1333.0
2026-02-10,-48.0,-3.46,1340.0,,19000,281,1382.1,1409.0,1335.0
2026-02-09,-2.0,-0.14,1388.0,,21884,318,1390.0,1412.0,1378.1
2026-02-08,-18.0,-1.28,1390.0,,20073,382,1410.1,1454.0,1390.0
2026-02-05,-11.0,-0.78,1408.0,,24591,375,1420.0,1441.0,1408.0
2026-02-04,9.1,0.65,1419.0,,17525,304,1405.0,1438.0,1404.0
2026-02-03,-31.1,-2.16,1409.9,,23758,350,1440.0,1465.0,1400.0
2026-02-02,41.0,2.93,1441.0,,23208,560,1415.0,1460.0,1400.0
2026-02-01,-15.0,-1.06,1400.0,,25885,571,1438.0,1438.0,1391.0
2026-01-29,-55.0,-3.74,1415.0,,56012,828,1470.0,1499.0,1412.1
2026-01-28,32.0,2.23,1470.0,,51705,849,1410.0,1480.0,1410.0
2026-01-27,-107.0,-6.93,1438.0,,69419,1013,1575.9,1575.9,1426.2
2026-01-26,45.0,3.0,1545.0,,87220,1163,1500.0,1550.4,1441.0
2026-01-25,98.1,7.0,1500.0,,77349,1197,1405.0,1537.6,1405.0
2026-01-22,58.9,4.39,1401.9,,45660,716,1325.0,1415.0,1322.0
2026-01-21,-7.1,-0.53,1343.0,,20713,343,1364.0,1373.9,1333.0
2026-01-20,41.1,3.14,1350.1,,46037,645,1320.0,1380.0,1320.0
2026-01-18,11.0,0.85,1309.0,,15243,369,1280.0,1328.0,1280.0
2026-01-14,-27.0,-2.04,1298.0,,22333,413,1325.0,1328.0,1285.0
2026-01-13,-29.9,-2.21,1325.0,,25562,398,1355.0,1380.0,1310.0
2026-01-12,52.9,4.06,1354.9,,34324,704,1305.0,1395.0,1294.6
2026-01-08,21.4,1.67,1302.0,,17008,386,1280.0,1302.0,1272.3
2026-01-07,-39.4,-2.98,1280.6,,26625,485,1319.0,1329.9,1280.4
2026-01-06,-50.0,-3.65,1320.0,,42489,801,1397.4,1405.0,1311.0
2026-01-05,40.0,3.01,1370.0,,82025,1107,1320.1,1377.0,1320.0
2026-01-04,54.0,4.23,1330.0,,40955,754,1265.2,1333.1,1260.0
2026-01-01,9.0,0.71,1276.0,,20163,451,1267.0,1300.0,1263.0
2025-12-31,15.1,1.21,1267.0,,23427,376,1263.0,1285.0,1231.0
2025-12-29,-3.2,-0.25,1251.9,,14045,227,1255.0,1273.0,1237.0
2025-12-28,16.1,1.3,1255.1,,9898,406,1235.0,1264.0,1222.0
2025-12-24,-3.0,-0.24,1239.0,75.73,6130,179,1242.0,1264.9,1225.0
2025-12-23,18.0,1.47,1242.0,,8198,249,1201.0,1244.0,1201.0
2025-12-22,5.0,0.41,1224.0,,10641,322,1230.0,1238.5,1200.2
2025-12-21,-24.0,-1.93,1219.0,,9665,287,1243.0,1243.0,1205.6
2025-12-18,-33.9,-2.65,1243.0,,11655,295,1276.0,1276.0,1240.1
2025-12-17,7.9,0.62,1276.9,,9729,340,1244.0,1390.0,1244.0
2025-12-16,11.6,0.92,1269.0,,10815,370,1261.0,1290.0,1257.0
2025-12-15,49.4,4.09,1257.4,,22544,574,1200.0,1275.0,1200.0
2025-12-14,-22.0,-1.79,1208.0,,16281,370,1220.0,1244.0,1200.0
2025-12-11,-25.0,-1.99,1230.0,,14436,324,1255.0,1260.0,1228.0
2025-12-10,-5.2,-0.41,1255.0,,10754,263,1256.0,1280.0,1250.0
2025-12-09,-8.8,-0.69,1260.2,,10348,261,1243.7,1284.9,1243.7
2025-12-08,-2.5,-0.2,1269.0,,21032,501,1260.0,1281.0,1246.1
2025-12-07,-39.5,-3.01,1271.5,,26154,578,1337.2,1337.2,1270.0
2025-12-03,86.0,7.02,1311.0,,72151,1066,1200.5,1330.0,1200.5
2025-12-02,10.0,0.82,1225.0,,11587,225,1220.0,1225.0,1201.0
2025-12-01,-13.0,-1.06,1215.0,,10546,262,1218.0,1239.9,1209.0
2025-11-30,-19.0,-1.52,1228.0,,25206,550,1247.0,1278.0,1223.0
2025-11-27,68.0,5.77,1247.0,,38132,659,1160.0,1264.0,1160.0
2025-11-26,-1.0,-0.08,1179.0,90.17,7681,204,1199.9,1199.9,1170.0
2025-11-25,-12.2,-1.02,1180.0,,8729,228,1187.0,1192.0,1170.0
