DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,27.1,3.12,897.0,,65696,3004,850.0,916.0,850.0
2026-05-07,-6.1,-0.7,869.9,,40050,2501,860.1,890.0,860.0
2026-05-06,-21.0,-2.34,876.0,,52889,2648,897.0,918.0,875.0
2026-05-05,9.0,1.01,897.0,,87957,4834,888.0,916.7,850.0
2026-05-04,-60.0,-6.33,888.0,,111017,6119,948.0,960.0,880.1
2026-04-30,-10.1,-1.05,948.0,,108003,9191,940.0,1030.0,885.1
2026-04-29,-80.9,-7.79,958.1,,208142,19443,1090.9,1090.9,943.2
2026-04-28,-78.1,-6.99,1039.0,,538665,52351,1172.9,1280.0,1025.0
2026-04-27,145.7,15.0,1117.1,,79890,7989,1019.9,1117.1,1019.9
2026-04-24,126.7,15.0,971.4,89.12,9180,918,886.2,971.4,886.2
2026-04-23,110.1,14.99,844.7,40.18,4760,476,756.6,844.7,756.6
2026-04-22,95.8,15.0,734.6,12.76,1740,174,657.9,734.6,657.9
2026-04-21,83.3,15.0,638.8,6.37,1000,100,580.0,638.8,580.0
2026-04-20,72.4,14.99,555.5,4.98,900,90,507.2,555.5,507.2
2026-04-17,43.9,10.0,483.1,2.6,550,55,447.9,483.1,447.9
2026-04-16,39.9,9.99,439.2,1.83,420,42,407.2,439.2,407.2
2026-04-15,36.3,10.0,399.3,2.49,630,63,370.2,399.3,370.2
2026-04-13,33.0,10.0,363.0,1.47,410,41,330.0,363.0,330.0
2026-04-10,30.0,10.0,330.0,,250,25,300.0,330.0,300.0
