DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.0,0.27,374.0,26.47,7050,50,376.0,378.0,371.0
2026-05-07,-4.0,-1.06,373.0,19.3,5148,35,375.5,377.0,373.0
2026-05-06,-1.1,-0.29,377.0,21.54,5695,38,382.9,382.9,376.0
2026-05-05,-0.9,-0.24,378.1,28.51,7495,59,384.0,384.0,376.0
2026-05-04,-0.9,-0.24,379.0,16.61,4414,41,374.0,386.0,373.1
2026-04-30,1.9,0.5,379.9,23.85,6375,62,378.0,379.9,372.0
2026-04-29,-2.8,-0.74,378.0,21.5,5683,38,374.0,380.0,374.0
2026-04-28,-1.2,-0.31,380.8,23.08,6069,53,382.0,385.0,378.1
2026-04-27,0.8,0.21,382.0,20.9,5451,65,381.2,385.0,382.0
2026-04-24,-2.8,-0.73,381.2,12.72,3345,38,384.0,387.0,379.0
2026-04-23,-1.9,-0.49,384.0,16.4,4303,47,390.0,390.0,380.0
2026-04-22,1.9,0.49,385.9,33.39,8830,110,377.5,386.0,375.0
2026-04-21,-5.0,-1.29,384.0,19.82,5157,55,385.0,389.0,381.0
2026-04-20,4.0,1.04,389.0,20.04,5181,80,385.0,390.9,385.0
2026-04-17,-1.1,-0.28,385.0,18.84,4884,66,393.8,393.8,383.2
2026-04-16,-10.9,-2.75,386.1,58.43,14971,81,390.1,394.9,384.0
2026-04-15,4.0,1.02,397.0,41.43,10430,77,399.0,399.0,392.0
2026-04-13,-3.0,-0.76,393.0,26.09,6602,59,395.5,400.0,390.5
2026-04-10,-2.0,-0.5,396.0,31.01,7887,70,402.0,402.0,390.0
2026-04-09,3.0,0.76,398.0,81.43,20529,142,391.0,400.0,388.4
2026-04-08,8.0,2.07,395.0,46.22,11823,96,390.0,395.0,388.0
2026-04-07,0.6,0.16,387.0,66.15,17021,116,393.0,394.0,385.0
2026-04-06,17.4,4.72,386.4,,30469,232,368.0,392.0,368.0
2026-04-05,-23.2,-5.92,369.0,,29162,249,386.0,390.0,365.0
2026-04-02,-2.8,-0.71,392.2,56.63,14353,138,391.0,400.0,385.0
2026-04-01,-13.9,-3.4,395.0,73.68,18463,137,406.0,409.0,393.3
2026-03-31,13.7,3.47,408.9,,38663,258,401.0,413.1,381.0
2026-03-30,-9.8,-2.42,395.2,,28220,251,411.0,413.2,392.0
2026-03-29,-21.0,-4.93,405.0,,38097,252,426.0,426.0,405.0
2026-03-26,-3.0,-0.7,426.0,67.03,15800,153,424.6,427.0,422.0
2026-03-25,-6.0,-1.38,429.0,,29825,201,441.0,441.0,426.0
2026-03-24,0.0,0.0,435.0,,33715,215,439.0,439.0,428.0
2026-03-23,-1.0,-0.23,435.0,,66775,437,436.1,443.0,429.6
2026-03-22,26.1,6.37,436.0,,113179,691,409.9,436.4,409.9
2026-03-19,11.9,2.99,409.9,,45393,289,405.0,411.0,398.0
2026-03-17,-0.3,-0.08,398.0,77.76,19698,138,395.7,402.5,390.4
2026-03-16,-8.2,-2.02,398.3,75.25,18761,139,404.5,406.0,395.0
2026-03-15,3.5,0.87,406.5,,26654,163,411.0,415.0,404.0
2026-03-12,4.0,1.0,403.0,,30123,174,396.0,404.9,396.0
2026-03-11,-9.2,-2.25,399.0,,37974,235,410.0,410.0,396.5
2026-03-10,4.6,1.14,408.2,,81331,605,411.6,427.0,401.0
2026-03-09,15.6,4.02,403.6,3.56,898,6,395.7,403.6,395.7
2026-03-03,4.0,1.04,388.0,39.71,10264,103,384.0,388.3,384.0
2026-03-01,4.0,1.05,384.0,83.84,21925,155,375.0,387.0,373.0
2026-02-26,9.7,2.62,380.0,38.17,10181,74,370.3,385.2,368.0
2026-02-25,0.3,0.08,370.3,47.11,12663,77,374.5,375.0,368.0
2026-02-24,-1.0,-0.27,370.0,25.6,6922,66,371.0,376.0,368.0
2026-02-23,4.0,1.09,371.0,37.12,10026,87,372.0,374.0,368.0
2026-02-22,-5.0,-1.34,367.0,61.21,16641,122,370.0,375.0,365.1
2026-02-17,-7.0,-1.85,372.0,40.27,10781,89,383.8,383.8,371.0
2026-02-16,1.1,0.29,379.0,50.3,13229,107,383.0,384.5,375.0
2026-02-12,2.9,0.77,377.9,,28197,178,382.0,382.0,370.0
2026-02-11,0.0,0.0,375.0,42.17,11245,77,380.0,380.0,373.0
2026-02-10,-4.0,-1.06,375.0,37.79,10059,108,372.0,382.0,371.5
2026-02-09,-4.7,-1.22,379.0,79.48,21102,177,388.9,388.9,367.5
2026-02-08,-1.3,-0.34,383.7,69.98,18089,135,377.5,391.0,377.5
2026-02-05,1.0,0.26,385.0,51.22,13392,120,384.9,389.0,377.0
2026-02-04,2.0,0.52,384.0,60.83,15995,104,389.0,389.0,378.0
2026-02-03,-3.0,-0.78,382.0,55.99,14580,98,390.0,390.0,380.1
2026-02-02,0.0,0.0,385.0,,34213,172,391.0,392.0,384.0
2026-02-01,9.5,2.53,385.0,,79808,468,383.0,392.6,380.5
2026-01-29,-0.5,-0.13,375.5,,30254,187,368.5,390.9,368.5
2026-01-28,-7.0,-1.83,376.0,,32401,196,378.0,385.5,372.0
2026-01-27,-11.0,-2.79,383.0,89.09,23035,155,400.0,400.0,381.0
2026-01-26,-6.0,-1.5,394.0,,31703,211,403.9,403.9,387.1
2026-01-25,14.0,3.63,400.0,,78677,402,389.0,405.0,381.1
2026-01-22,9.0,2.39,386.0,49.03,12862,115,382.0,387.0,375.0
2026-01-21,-7.0,-1.82,377.0,81.65,21465,141,384.0,391.0,373.1
2026-01-20,5.0,1.32,384.0,,34828,246,384.0,395.0,374.4
2026-01-18,19.1,5.31,379.0,,37934,248,365.0,383.0,360.0
2026-01-14,4.7,1.32,359.9,45.22,12549,95,355.0,366.0,355.0
2026-01-13,-2.7,-0.75,355.2,42.92,12061,97,363.8,363.8,352.8
2026-01-12,-2.2,-0.61,357.9,22.9,6389,60,367.0,367.0,356.1
2026-01-08,-4.9,-1.34,360.1,66.77,18518,110,368.0,368.0,355.8
2026-01-07,2.0,0.55,365.0,51.72,14169,109,365.9,370.0,358.0
2026-01-06,8.0,2.25,363.0,73.73,20422,146,355.0,365.0,355.0
2026-01-05,-4.8,-1.33,355.0,,28825,209,360.0,363.0,354.0
2026-01-04,-0.2,-0.06,359.8,15.99,4453,61,360.0,364.0,356.9
2026-01-01,-4.0,-1.1,360.0,22.39,6228,55,364.0,364.0,357.0
2025-12-31,0.0,0.0,364.0,20.54,5653,55,368.9,368.9,361.6
2025-12-29,0.0,0.0,364.0,22.66,6204,63,369.0,369.0,362.1
2025-12-28,6.0,1.68,364.0,24.37,6718,89,363.0,365.0,359.0
2025-12-24,2.8,0.79,358.0,11.55,3224,51,360.0,364.9,356.1
2025-12-23,-9.8,-2.68,355.2,52.48,14630,107,370.0,370.0,355.2
2025-12-22,-1.5,-0.41,365.0,30.7,8396,57,373.8,373.8,363.5
2025-12-21,-4.5,-1.21,366.5,17.81,4855,65,363.9,372.0,363.7
2025-12-18,-6.0,-1.59,371.0,11.12,3005,52,372.6,375.0,369.0
2025-12-17,4.0,1.07,377.0,17.06,4542,66,377.0,377.0,373.0
2025-12-16,5.0,1.36,373.0,19.66,5270,73,370.0,377.0,370.0
2025-12-15,2.0,0.55,368.0,14.42,3933,51,363.3,371.0,363.3
2025-12-14,-1.0,-0.27,366.0,30.53,8329,70,371.0,372.0,365.0
2025-12-11,-6.0,-1.61,367.0,43.02,11668,102,377.0,377.0,367.0
2025-12-10,-1.9,-0.51,373.0,18.59,4996,69,378.0,378.0,370.0
2025-12-09,-0.1,-0.03,374.9,16.68,4471,52,379.0,379.0,372.1
2025-12-08,-2.0,-0.53,375.0,33.68,9009,71,374.0,379.5,370.0
2025-12-07,-1.0,-0.26,377.0,25.62,6803,79,380.0,383.0,374.1
2025-12-03,7.5,2.02,378.0,48.85,12821,120,376.0,391.0,374.0
2025-12-02,-9.5,-2.5,370.5,49.2,13140,106,376.2,383.0,369.1
2025-12-01,1.0,0.26,380.0,29.63,7763,61,383.0,384.0,376.0
2025-11-30,-5.0,-1.3,379.0,60.67,15943,108,385.0,387.0,376.0
2025-11-27,-4.0,-1.03,384.0,42.76,11145,99,388.0,388.6,380.0
2025-11-26,3.0,0.78,388.0,23.88,6193,60,388.0,388.0,382.0
2025-11-25,-3.0,-0.77,385.0,13.76,3568,57,386.0,388.0,384.0
2025-11-24,5.7,1.49,388.0,33.8,8763,77,387.0,388.3,382.0
2025-11-23,8.3,2.22,382.3,38.46,10050,109,378.0,386.0,378.0
2025-11-20,-3.5,-0.93,374.0,20.78,5537,72,374.0,381.4,374.0
2025-11-19,-2.5,-0.66,377.5,19.76,5230,41,384.9,384.9,377.5
2025-11-18,4.0,1.06,380.0,29.66,7794,71,381.0,388.6,378.1
2025-11-17,1.1,0.29,376.0,27.62,7310,47,378.0,380.0,373.0
2025-11-16,-5.1,-1.34,374.9,40.03,10605,63,383.9,383.9,373.0
2025-11-13,0.0,0.0,380.0,14.33,3765,51,380.0,383.0,378.0
2025-11-12,-5.5,-1.43,380.0,41.01,10776,85,380.0,383.0,380.0
2025-11-11,-5.5,-1.41,385.5,48.34,12605,72,396.0,396.0,379.0
2025-11-10,1.0,0.26,391.0,19.24,4942,45,394.0,397.8,383.0
2025-11-09,-3.0,-0.76,390.0,13.55,3479,53,397.0,397.0,387.0
2025-11-06,-4.0,-1.01,393.0,,29936,165,404.0,405.0,393.0
2025-11-05,8.3,2.14,397.0,32.55,8346,87,394.5,404.0,381.2
2025-11-04,-14.3,-3.55,388.7,29.91,7598,74,403.9,404.0,388.7
2025-11-03,-2.0,-0.49,403.0,55.28,13608,129,401.0,412.8,397.2
2025-11-02,18.0,4.65,405.0,76.04,18988,162,389.9,411.0,385.0
2025-10-30,14.0,3.75,387.0,29.6,7801,72,373.0,396.0,370.8
2025-10-29,-8.0,-2.1,373.0,23.06,6088,75,385.9,386.0,373.0
2025-10-28,11.0,2.97,381.0,26.4,7020,65,373.5,381.0,370.1
2025-10-26,-2.0,-0.54,370.0,16.72,4529,34,365.0,372.0,365.0
2025-10-19,5.0,1.36,372.0,6.51,1759,26,372.0,373.0,368.5
2025-10-16,-2.0,-0.54,367.0,26.23,7122,66,373.9,373.9,365.5
2025-10-15,-3.5,-0.94,369.0,14.64,3966,54,368.0,373.9,367.0
2025-10-14,-7.6,-2.0,372.5,28.16,7507,60,384.9,384.9,370.2
2025-10-13,8.1,2.18,380.1,17.65,4691,66,365.3,383.4,365.0
2025-10-12,-17.0,-4.37,372.0,82.9,22220,192,383.0,383.2,365.0
2025-10-09,6.9,1.81,389.0,45.31,11566,115,389.7,404.9,382.0
2025-10-08,-12.9,-3.27,382.1,41.74,10881,121,401.0,401.0,379.3
2025-10-07,-6.0,-1.5,395.0,16.69,4216,49,401.0,401.0,392.0
2025-09-28,5.9,1.49,401.0,16.52,4140,63,401.0,403.0,395.0
2025-09-25,-4.9,-1.22,395.1,28.29,7039,62,400.0,408.0,395.1
2025-09-24,-5.0,-1.23,400.0,16.68,4136,64,406.0,409.0,398.6
2025-09-23,5.25,1.31,405.0,60.45,14919,106,400.0,410.0,397.0
2025-09-21,14.75,3.83,399.75,,26605,186,385.0,410.9,375.0
2025-09-18,-8.0,-2.04,385.0,2.15,560,8,388.0,388.0,384.0
2025-09-08,1.55,0.4,393.0,46.51,11908,75,397.0,397.0,390.0
2025-09-07,4.06,1.05,391.45,35.04,8971,112,393.0,393.8,386.1
2025-09-04,-7.26,-1.84,387.39,49.75,12743,132,400.0,400.0,387.0
2025-09-03,-3.73,-0.94,394.65,41.22,10406,99,403.0,403.0,394.0
2025-09-02,-3.67,-0.91,398.38,49.7,12430,107,408.0,408.0,398.0
2025-09-01,-0.48,-0.12,402.05,18.68,4656,57,406.0,406.0,400.0
2025-08-31,0.98,0.24,402.53,33.9,8436,97,407.0,407.0,400.1
2025-08-28,-9.01,-2.19,401.55,50.9,12571,128,415.9,415.9,400.0
2025-08-27,6.99,1.73,410.56,52.25,12749,134,407.0,423.0,404.0
2025-08-26,-2.68,-0.66,403.57,15.7,3887,47,411.9,411.9,401.1
2025-08-25,7.42,1.86,406.25,44.32,10942,119,399.0,408.0,399.0
