DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.9,2.29,307.9,,60626,243,301.0,307.9,300.0
2026-05-07,4.2,1.42,301.0,,34824,190,297.0,301.0,295.0
2026-05-06,0.8,0.27,296.8,,34873,190,298.0,303.0,295.1
2026-05-05,-1.0,-0.34,296.0,,38405,231,293.6,301.0,293.6
2026-05-04,-6.9,-2.27,297.0,72.52,24381,243,304.0,304.0,295.0
2026-04-30,2.9,0.96,303.9,,73697,346,299.0,303.9,286.0
2026-04-29,-4.0,-1.31,301.0,,88091,325,304.0,304.9,300.1
2026-04-28,-2.1,-0.68,305.0,,67761,330,307.1,311.0,303.1
2026-04-27,4.1,1.35,307.1,,105281,487,303.0,310.5,300.2
2026-04-24,-1.8,-0.59,303.0,,118933,369,300.0,305.0,299.0
2026-04-23,-5.2,-1.68,304.8,,77971,412,310.0,315.0,301.1
2026-04-22,3.0,0.98,310.0,,116067,510,305.0,314.0,300.0
2026-04-21,-3.3,-1.06,307.0,,57068,332,310.1,317.0,306.1
2026-04-20,-5.7,-1.8,310.3,,70984,362,312.0,314.9,308.3
2026-04-17,-1.0,-0.32,316.0,,115051,446,317.0,319.9,311.8
2026-04-16,-9.3,-2.85,317.0,,68593,426,323.0,327.0,316.0
2026-04-15,7.3,2.29,326.3,,139584,688,319.0,330.0,319.0
2026-04-13,-3.0,-0.93,319.0,,93493,447,326.0,326.0,315.0
2026-04-10,-2.0,-0.62,322.0,,90519,497,319.1,326.0,314.6
2026-04-09,5.0,1.57,324.0,,121346,686,320.0,326.0,317.1
2026-04-08,11.9,3.87,319.0,,227588,677,301.0,319.0,301.0
2026-04-07,-1.9,-0.61,307.1,,127885,641,312.0,317.0,305.3
2026-04-06,17.0,5.82,309.0,,147570,707,295.0,309.9,292.0
2026-04-05,-19.0,-6.11,292.0,,223409,996,306.1,310.0,290.0
2026-04-02,-1.0,-0.32,311.0,,168190,735,308.0,318.1,302.0
2026-04-01,-13.0,-4.0,312.0,,155477,733,325.0,325.0,304.5
2026-03-31,5.0,1.56,325.0,,179771,968,316.5,328.0,310.0
2026-03-30,-9.1,-2.77,320.0,,201093,970,322.6,335.5,319.1
2026-03-29,-16.9,-4.88,329.1,,223688,1032,350.0,350.0,329.0
2026-03-26,3.0,0.87,346.0,,142277,704,343.0,346.8,337.1
2026-03-25,-10.0,-2.83,343.0,,228003,1027,355.0,355.0,341.2
2026-03-24,14.5,4.28,353.0,,611250,2373,345.0,361.0,345.0
2026-03-23,2.6,0.77,338.5,,281975,1031,340.0,340.0,329.0
2026-03-22,-9.1,-2.64,335.9,,421086,1762,345.0,349.0,330.1
2026-03-19,0.1,0.03,345.0,,348922,1596,347.0,355.0,341.1
2026-03-17,2.9,0.85,344.9,,312293,1298,348.8,348.8,333.0
2026-03-16,20.9,6.51,342.0,,912697,2822,320.0,345.7,318.5
2026-03-15,1.1,0.34,321.1,,253337,912,326.3,326.3,314.0
2026-03-12,4.0,1.27,320.0,,282498,1001,320.0,323.8,314.0
2026-03-11,-4.0,-1.25,316.0,,269420,1072,320.0,329.0,313.2
2026-03-10,-7.0,-2.14,320.0,,555493,2120,333.0,333.0,306.0
2026-03-09,28.0,9.36,327.0,,32195,63,304.0,328.9,304.0
2026-03-03,12.5,4.36,299.0,,156298,701,283.1,301.5,283.0
2026-03-01,2.5,0.88,286.5,,67156,350,282.0,288.0,280.0
2026-02-26,-1.5,-0.53,284.0,,85985,374,288.9,288.9,283.0
2026-02-25,-1.3,-0.45,285.5,,65693,317,292.5,292.5,285.0
2026-02-24,5.8,2.06,286.8,,77081,403,281.0,287.0,280.6
2026-02-23,-2.0,-0.71,281.0,,85951,436,283.0,288.6,281.0
2026-02-22,-6.0,-2.08,283.0,,136235,652,289.0,293.0,281.0
2026-02-17,-14.0,-4.62,289.0,,247378,1141,309.0,309.0,288.2
2026-02-16,-11.0,-3.5,303.0,,246274,1100,316.0,320.0,302.0
2026-02-12,15.0,5.02,314.0,,926327,3381,299.0,320.0,297.1
2026-02-11,13.5,4.73,299.0,,181126,641,291.2,300.0,284.5
2026-02-10,1.5,0.53,285.5,,133734,553,284.0,291.0,281.0
2026-02-09,-4.2,-1.46,284.0,,136480,538,288.2,291.5,282.0
2026-02-08,-1.5,-0.52,288.2,,167655,697,290.0,295.0,285.0
2026-02-05,9.3,3.32,289.7,,227346,851,285.0,292.7,281.0
2026-02-04,-5.6,-1.96,280.4,,112721,464,291.0,291.0,280.0
2026-02-03,-3.8,-1.31,286.0,,136777,493,284.1,292.0,283.0
2026-02-02,-4.2,-1.43,289.8,,221504,698,299.0,299.0,286.5
2026-02-01,-5.0,-1.67,294.0,,152683,734,304.0,304.0,291.2
