DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.2,0.36,338.0,26.94,7990,42,335.0,340.0,332.7
2026-05-07,1.8,0.54,336.8,19.43,5838,46,331.0,337.0,330.0
2026-05-06,-2.0,-0.59,335.0,36.4,10882,44,330.1,339.0,330.1
2026-05-05,7.0,2.12,337.0,19.74,5920,32,330.1,339.0,329.0
2026-05-04,-4.0,-1.2,330.0,21.35,6491,56,332.2,332.6,324.0
2026-04-30,-1.0,-0.3,334.0,35.82,10680,72,335.0,338.2,331.0
2026-04-29,-8.0,-2.33,335.0,37.16,11092,103,341.0,342.0,332.0
2026-04-28,-1.3,-0.38,343.0,46.38,13590,77,329.0,368.0,329.0
2026-04-27,4.3,1.26,344.3,22.51,6580,56,340.0,349.9,340.0
2026-04-24,-1.8,-0.53,340.0,35.06,10294,100,341.8,344.8,339.0
2026-04-23,-12.0,-3.39,341.8,39.24,11354,91,359.0,359.0,341.0
2026-04-22,5.9,1.7,353.8,68.45,19537,101,350.0,357.0,342.0
2026-04-21,-3.2,-0.91,347.9,48.7,13994,108,350.0,357.0,343.1
2026-04-20,-7.4,-2.06,351.1,49.93,14230,81,369.0,369.0,346.5
2026-04-17,1.5,0.42,358.5,71.67,20283,106,360.0,360.0,350.0
2026-04-16,-13.0,-3.51,357.0,,30034,143,372.0,372.0,355.8
2026-04-15,3.5,0.95,370.0,,47651,178,365.0,373.0,361.1
2026-04-13,0.5,0.14,366.5,,37259,179,366.0,380.6,360.0
2026-04-10,7.0,1.95,366.0,,40034,198,351.9,378.9,351.9
2026-04-09,11.0,3.16,359.0,,36503,183,350.0,364.0,345.0
2026-04-08,5.5,1.61,348.0,,40674,186,342.5,349.3,342.2
2026-04-07,-2.5,-0.72,342.5,,37029,176,351.0,352.7,338.7
2026-04-06,12.0,3.6,345.0,,32012,176,330.0,348.9,327.2
2026-04-05,-17.0,-4.86,333.0,,41966,237,343.0,346.0,325.5
2026-04-02,-5.0,-1.41,350.0,,37740,203,348.0,360.0,341.1
2026-04-01,-21.0,-5.59,355.0,,58411,279,380.0,380.0,352.0
2026-03-31,-9.4,-2.44,376.0,,62767,305,379.0,380.4,368.2
2026-03-30,-6.5,-1.66,385.4,,43367,281,384.1,413.0,375.4
2026-03-29,-4.1,-1.04,391.9,,53701,326,396.0,396.0,375.5
2026-03-26,-32.0,-7.48,396.0,,159369,739,419.5,419.5,387.1
2026-03-25,38.1,9.77,428.0,,74136,290,382.2,428.0,382.2
2026-03-24,-3.9,-0.99,389.9,,46592,242,393.8,399.0,385.0
2026-03-23,-0.1,-0.03,393.8,,69433,316,386.1,409.0,385.1
2026-03-22,-4.1,-1.03,393.9,,142386,662,405.9,405.9,390.0
2026-03-19,11.0,2.84,398.0,,150929,537,387.0,401.0,380.0
2026-03-17,5.0,1.31,387.0,,71014,192,377.0,389.0,375.0
2026-03-16,-5.9,-1.52,382.0,,66459,239,390.0,390.0,376.0
2026-03-15,1.9,0.49,387.9,,68505,259,393.7,393.7,379.0
2026-03-12,-6.0,-1.53,386.0,,104672,328,390.0,393.0,384.1
2026-03-11,-24.0,-5.77,392.0,,96197,407,407.7,407.7,385.0
2026-03-10,16.1,4.03,416.0,,201187,626,398.0,416.0,377.0
2026-03-09,10.9,2.8,399.9,67.87,17065,50,396.7,400.0,395.0
2026-03-03,35.0,9.89,389.0,,74492,279,347.0,389.0,347.0
2026-03-01,5.0,1.43,354.0,86.86,24878,101,342.2,355.0,338.3
2026-02-26,3.0,0.87,349.0,71.4,20620,110,339.5,366.0,339.5
2026-02-25,0.0,0.0,346.0,66.42,19288,89,346.0,347.9,341.0
2026-02-24,8.0,2.37,346.0,55.49,16237,82,343.0,348.0,337.2
2026-02-23,4.0,1.2,338.0,95.81,28505,101,335.0,340.0,332.2
2026-02-22,-14.0,-4.02,334.0,,48971,182,344.0,345.0,333.5
2026-02-17,-4.0,-1.14,348.0,,53891,252,352.0,352.0,342.0
2026-02-16,-11.3,-3.11,352.0,,29207,162,369.8,377.9,350.3
2026-02-12,16.3,4.7,363.3,,155431,573,352.0,372.0,350.0
2026-02-11,0.8,0.23,347.0,,36163,116,351.0,353.0,344.5
2026-02-10,-2.8,-0.8,346.2,,48051,188,355.9,357.0,345.8
2026-02-09,2.1,0.61,349.0,,67066,247,345.0,360.0,341.1
2026-02-08,-3.1,-0.89,346.9,,89574,296,356.0,361.0,343.0
2026-02-05,5.1,1.48,350.0,,81459,234,342.7,359.0,342.7
