DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.0,1.3,469.0,6.28,1346,85,463.0,474.0,461.1
2026-05-07,2.9,0.63,463.0,28.65,6176,120,455.5,473.0,455.3
2026-05-06,-8.9,-1.9,460.1,33.11,7197,136,455.3,464.9,455.3
2026-05-05,7.9,1.71,469.0,22.69,4930,114,461.1,470.0,455.0
2026-05-04,-2.9,-0.62,461.1,21.02,4564,121,460.2,464.0,460.0
2026-04-30,2.0,0.43,464.0,32.38,7009,145,461.0,467.0,460.0
2026-04-29,-7.0,-1.49,462.0,45.88,9917,146,465.0,468.0,462.0
2026-04-28,-1.0,-0.21,469.0,32.15,6865,188,470.0,471.0,467.3
2026-04-27,-1.0,-0.21,470.0,14.43,3072,160,471.0,475.0,465.1
2026-04-24,-3.9,-0.82,471.0,12.58,2690,80,462.0,475.0,462.0
2026-04-23,-0.1,-0.02,474.9,38.56,8199,154,466.0,477.0,466.0
2026-04-22,1.8,0.38,475.0,51.95,11104,218,465.1,475.0,465.0
2026-04-21,-4.8,-1.0,473.2,13.37,2822,121,475.0,480.0,470.1
2026-04-20,-1.0,-0.21,478.0,13.52,2845,161,465.2,479.9,465.2
2026-04-17,-1.0,-0.21,479.0,33.91,7128,108,473.2,479.6,471.0
2026-04-16,-5.1,-1.05,480.0,43.68,9157,203,482.0,486.0,475.0
2026-04-15,3.1,0.64,485.1,51.84,10666,203,482.0,491.0,477.0
2026-04-13,-3.0,-0.62,482.0,35.59,7384,171,481.0,487.7,477.0
2026-04-10,-1.0,-0.21,485.0,48.17,9912,189,486.0,490.0,482.0
2026-04-09,4.0,0.83,486.0,62.43,12843,200,480.0,491.6,480.0
2026-04-08,12.0,2.55,482.0,49.93,10506,243,471.2,482.0,470.0
2026-04-07,-5.0,-1.05,470.0,40.72,8582,187,484.5,484.5,470.0
2026-04-06,12.9,2.79,475.0,75.33,16001,229,469.9,483.4,461.0
2026-04-05,-18.2,-3.79,462.1,,23185,286,472.0,476.9,460.0
2026-04-02,-4.5,-0.93,480.3,93.89,19566,263,478.0,488.9,471.0
2026-04-01,-9.4,-1.9,484.8,95.69,19709,246,500.0,500.0,480.4
