DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.2,1.93,380.0,83.03,22301,83,378.0,380.0,365.1
2026-05-07,3.8,1.03,372.8,16.68,4531,63,370.0,373.6,365.0
2026-05-06,-2.0,-0.54,369.0,53.29,14471,111,380.0,380.0,365.0
2026-05-05,0.0,0.0,371.0,22.67,6094,53,377.0,377.0,370.0
2026-05-04,-4.5,-1.2,371.0,26.91,7228,69,385.0,385.0,368.0
2026-04-30,-2.7,-0.71,375.5,55.2,14728,114,375.0,380.0,370.0
2026-04-29,-0.9,-0.24,378.2,40.69,10619,69,398.0,398.0,377.5
2026-04-28,-8.7,-2.24,379.1,71.43,18704,129,387.8,398.5,379.1
2026-04-27,4.8,1.25,387.8,50.24,13069,67,383.0,403.9,380.0
2026-04-24,-1.3,-0.34,383.0,63.57,16343,93,403.5,403.5,379.2
2026-04-23,-8.7,-2.21,384.3,45.31,11727,91,404.7,404.7,382.0
2026-04-22,3.1,0.8,393.0,,36140,162,379.0,396.0,378.3
2026-04-21,-5.0,-1.27,389.9,,33489,155,383.1,417.5,383.1
2026-04-20,-10.0,-2.47,394.9,,54158,174,425.1,425.1,390.0
2026-04-17,-0.1,-0.02,404.9,,83912,153,413.1,425.0,400.2
2026-04-16,-12.0,-2.88,405.0,,40680,140,425.0,425.0,402.7
2026-04-15,2.0,0.48,417.0,,62381,173,423.0,424.9,413.6
2026-04-13,8.0,1.97,415.0,,105458,208,399.1,421.0,399.1
2026-04-10,-2.9,-0.71,407.0,,36284,101,417.6,417.6,397.0
2026-04-09,12.7,3.2,409.9,,37257,177,405.0,410.0,396.9
2026-04-08,4.3,1.09,397.2,,27382,133,400.0,402.9,392.0
2026-04-07,-2.3,-0.58,392.9,,38961,154,396.0,401.9,389.0
2026-04-06,25.1,6.78,395.2,,27080,162,377.5,395.2,375.0
2026-04-05,-22.4,-5.71,370.1,,111491,237,400.3,400.3,370.1
2026-04-02,2.5,0.64,392.5,,66237,236,394.9,399.0,380.0
2026-04-01,-24.0,-5.8,390.0,,65186,271,422.2,422.2,387.5
2026-03-31,5.0,1.22,414.0,,53831,212,417.1,417.1,402.4
2026-03-30,-11.5,-2.73,409.0,,53714,259,428.9,428.9,404.1
2026-03-29,-13.5,-3.11,420.5,,168025,287,434.0,435.0,420.0
2026-03-26,-1.6,-0.37,434.0,,69971,221,427.0,442.9,427.0
2026-03-25,-8.8,-1.98,435.6,,107238,261,450.0,450.0,432.6
2026-03-24,15.4,3.59,444.4,,106065,337,429.0,462.0,423.7
2026-03-23,5.5,1.3,429.0,,56194,207,429.7,430.0,420.0
2026-03-22,-10.5,-2.42,423.5,,147626,346,442.0,442.0,420.2
2026-03-19,9.0,2.12,434.0,,207273,336,416.5,439.0,416.5
2026-03-17,-6.0,-1.39,425.0,,126288,274,430.5,435.0,423.0
2026-03-16,0.0,0.0,431.0,,111907,346,422.4,438.5,422.4
2026-03-15,6.1,1.44,431.0,,169089,384,416.5,432.9,408.2
2026-03-12,12.9,3.13,424.9,,175706,390,420.0,426.5,410.0
2026-03-11,1.0,0.24,412.0,,161968,392,411.5,424.0,407.0
2026-03-10,7.1,1.76,411.0,,194692,485,411.0,415.0,391.1
2026-03-09,16.4,4.23,403.9,4.5,1120,5,395.2,403.9,395.2
2026-03-03,11.5,3.06,387.5,,50054,131,379.0,387.5,375.5
2026-03-01,5.0,1.35,376.0,74.73,20069,81,367.0,376.0,366.2
2026-02-26,-1.0,-0.27,371.0,52.62,14205,64,370.1,372.0,370.0
2026-02-25,2.0,0.54,372.0,40.43,10911,79,366.2,373.2,366.2
2026-02-24,5.5,1.51,370.0,59.69,16035,78,371.7,379.0,366.8
2026-02-23,-1.6,-0.44,364.5,62.04,16971,75,363.1,369.9,363.1
2026-02-22,-6.1,-1.64,366.1,,37449,89,370.1,370.1,365.2
2026-02-17,-10.5,-2.74,372.2,,53441,150,376.0,388.0,372.2
2026-02-16,0.7,0.18,382.7,,48797,186,378.0,390.0,378.0
2026-02-12,5.0,1.33,382.0,,52505,202,380.0,390.0,375.2
2026-02-11,-2.4,-0.63,377.0,93.02,24778,112,380.0,380.0,371.0
2026-02-10,-0.6,-0.16,379.4,,97647,157,382.0,386.0,372.0
2026-02-09,-8.7,-2.24,380.0,,54679,164,383.0,389.0,378.0
2026-02-08,2.7,0.7,388.7,,101958,299,388.0,398.8,385.0
2026-02-05,11.0,2.93,386.0,,89956,309,379.0,389.0,375.0
2026-02-04,0.4,0.11,375.0,,28846,126,379.8,380.0,372.1
2026-02-03,-2.4,-0.64,374.6,,63414,186,378.0,380.0,372.0
2026-02-02,2.0,0.53,377.0,,67071,169,375.0,377.5,372.0
2026-02-01,-9.0,-2.34,375.0,,39455,191,378.0,385.0,372.0
2026-01-29,4.0,1.05,384.0,,147778,468,381.0,393.0,379.0
2026-01-28,18.0,4.97,380.0,,137408,425,358.0,382.0,349.0
2026-01-27,-13.0,-3.47,362.0,,114736,342,376.3,376.3,353.0
2026-01-26,7.1,1.93,375.0,,97946,323,370.0,377.0,365.0
2026-01-25,-0.6,-0.16,367.9,,46621,207,374.0,374.0,365.0
2026-01-22,0.5,0.14,368.5,,44597,138,364.0,371.0,364.0
2026-01-21,10.2,2.85,368.0,,69019,268,356.1,374.0,354.3
2026-01-20,6.0,1.71,357.8,,47156,182,354.0,359.9,354.0
2026-01-18,4.3,1.24,351.8,,29820,133,348.0,352.9,346.3
2026-01-14,0.5,0.14,347.5,79.15,22857,114,341.2,353.0,341.2
2026-01-13,2.9,0.84,347.0,75.37,21814,118,345.0,350.0,341.0
2026-01-12,-5.5,-1.57,344.1,73.57,21228,108,345.0,351.0,344.1
2026-01-08,4.6,1.33,349.6,75.83,21892,117,345.0,349.7,343.0
