DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.0,1.17,345.0,78.54,22885,121,325.0,345.1,325.0
2026-05-07,-3.0,-0.87,341.0,57.38,16838,112,327.0,350.0,327.0
2026-05-06,1.0,0.29,344.0,36.19,10537,105,326.5,347.0,326.5
2026-05-05,2.9,0.85,343.0,79.66,23325,165,323.1,349.0,323.1
2026-05-04,-7.9,-2.27,340.1,90.19,26264,149,330.6,350.7,330.6
2026-04-30,-2.0,-0.57,348.0,,38272,229,333.0,352.0,333.0
2026-04-29,-6.0,-1.69,350.0,59.88,17047,165,339.0,356.0,339.0
2026-04-28,-8.8,-2.41,356.0,93.01,26086,192,347.1,368.0,347.1
2026-04-27,5.9,1.64,364.8,48.79,13505,149,342.0,364.8,342.0
2026-04-24,-1.1,-0.31,358.9,82.75,23213,184,343.0,360.0,343.0
2026-04-23,-5.9,-1.61,360.0,95.98,26547,162,348.1,369.2,348.1
2026-04-22,-3.1,-0.84,365.9,,67081,315,360.0,371.0,355.2
2026-04-21,-3.0,-0.81,369.0,,30028,223,355.1,376.5,355.1
2026-04-20,-2.0,-0.53,372.0,,37725,197,379.0,379.0,367.0
2026-04-17,1.0,0.27,374.0,,30968,188,380.4,380.4,368.1
2026-04-16,-13.0,-3.37,373.0,,115561,329,381.0,389.9,373.0
2026-04-15,13.0,3.49,386.0,,105563,425,370.0,390.0,370.0
2026-04-13,5.9,1.61,373.0,,61753,262,368.0,374.5,366.0
2026-04-10,-9.9,-2.63,367.1,,74438,295,380.4,383.0,364.9
2026-04-09,9.5,2.59,377.0,,53366,274,368.0,377.0,363.1
2026-04-08,7.5,2.08,367.5,,47375,251,366.8,374.2,363.3
2026-04-07,0.0,0.0,360.0,,71557,331,366.0,371.0,359.0
2026-04-06,19.0,5.57,360.0,,83886,410,335.1,365.0,335.1
2026-04-05,-20.0,-5.54,341.0,,92607,444,368.0,368.0,336.4
2026-04-02,-5.0,-1.37,361.0,,74317,369,364.0,373.0,360.0
2026-04-01,-17.0,-4.44,366.0,,112378,466,375.4,384.5,365.0
2026-03-31,-1.0,-0.26,383.0,,75514,406,389.9,389.9,377.5
2026-03-30,-7.0,-1.79,384.0,,83467,410,384.0,397.0,384.0
2026-03-29,-14.0,-3.46,391.0,,84072,465,413.0,413.0,390.0
2026-03-26,13.0,3.32,405.0,,110071,567,392.0,412.5,388.0
2026-03-25,-8.0,-2.0,392.0,,81929,454,400.0,404.9,392.0
2026-03-24,0.1,0.03,400.0,,158974,634,392.0,407.0,392.0
2026-03-23,2.9,0.73,399.9,,99107,423,389.1,404.0,389.1
2026-03-22,-9.0,-2.22,397.0,,154341,602,409.0,409.0,397.0
2026-03-19,6.0,1.5,406.0,,258948,925,401.0,413.0,401.0
2026-03-17,7.0,1.78,400.0,,121234,434,394.0,402.2,390.1
2026-03-16,-7.0,-1.75,393.0,,135259,521,392.0,408.0,392.0
2026-03-15,-5.9,-1.45,400.0,,152361,705,398.0,412.0,398.0
2026-03-12,1.9,0.47,405.9,,203882,655,396.0,412.0,396.0
2026-03-11,1.0,0.25,404.0,,230838,788,407.0,416.0,400.0
2026-03-10,-21.0,-4.95,403.0,,367272,1141,425.0,425.0,400.0
2026-03-09,32.0,8.16,424.0,99.74,23619,28,399.8,424.0,399.8
2026-03-03,10.1,2.64,392.0,,110866,385,377.1,394.0,377.1
2026-03-01,1.9,0.5,381.9,,107645,329,375.0,384.0,367.0
2026-02-26,3.0,0.8,380.0,,88842,315,377.0,387.0,375.0
2026-02-25,-1.0,-0.26,377.0,,94427,369,375.2,386.0,375.2
2026-02-24,-2.1,-0.55,378.0,,73054,259,387.7,387.7,375.2
2026-02-23,-2.9,-0.76,380.1,,112190,431,376.1,387.8,374.0
2026-02-22,-16.0,-4.01,383.0,,224994,646,399.0,401.9,382.2
2026-02-17,-6.0,-1.48,399.0,,413382,1233,397.0,412.8,394.1
2026-02-16,12.5,3.18,405.0,,555296,1071,393.0,413.0,383.3
2026-02-12,11.5,3.02,392.5,,273957,900,386.0,400.5,381.0
2026-02-11,0.1,0.03,381.0,,133989,519,388.5,393.0,373.0
2026-02-10,-4.5,-1.17,380.9,,208729,682,385.2,390.0,375.0
2026-02-09,-1.6,-0.41,385.4,,193492,777,394.7,394.8,383.3
2026-02-08,-8.0,-2.03,387.0,,324896,979,395.0,403.7,385.0
2026-02-05,-13.8,-3.38,395.0,,368332,1333,410.0,410.8,394.2
2026-02-04,6.8,1.69,408.8,,487654,1517,410.0,418.0,402.8
2026-02-03,3.0,0.75,402.0,,621408,1446,406.9,412.0,394.0
2026-02-02,24.0,6.4,399.0,,634437,1938,377.4,403.9,376.0
2026-02-01,-9.0,-2.34,375.0,,281446,867,385.0,385.0,373.3
2026-01-29,6.0,1.59,384.0,,584538,1521,385.5,394.6,381.5
2026-01-28,31.9,9.22,378.0,,747162,2350,353.0,379.3,350.9
2026-01-27,-2.9,-0.83,346.1,,462803,1426,355.0,368.0,344.5
2026-01-26,1.0,0.29,349.0,,328319,875,341.1,354.9,341.1
2026-01-25,7.0,2.05,348.0,,201939,715,337.0,350.0,337.0
2026-01-22,2.0,0.59,341.0,,201143,573,345.7,345.7,334.1
2026-01-21,12.0,3.67,339.0,,293339,1098,325.0,350.0,323.4
2026-01-20,3.0,0.93,327.0,,164033,614,330.4,334.0,324.0
2026-01-18,1.5,0.47,324.0,,100365,326,322.5,328.0,321.2
2026-01-14,-2.3,-0.71,322.5,,92422,359,318.4,330.0,318.4
2026-01-13,2.1,0.65,324.8,,124610,325,319.2,326.0,319.2
2026-01-12,-4.0,-1.22,322.7,,105268,456,330.0,331.9,318.9
2026-01-08,3.7,1.15,326.7,,65788,327,325.5,328.7,323.0
2026-01-07,-9.0,-2.71,323.0,,187952,687,338.0,338.0,323.0
2026-01-06,14.1,4.44,332.0,,283062,922,319.0,335.0,317.0
2026-01-05,4.9,1.57,317.9,,71883,335,311.5,320.0,311.5
2026-01-04,-4.0,-1.26,313.0,,91595,312,311.9,319.5,311.5
2026-01-01,-3.0,-0.94,317.0,,93484,293,317.1,323.0,313.0
2025-12-31,-2.2,-0.68,320.0,,50112,252,328.4,328.5,318.8
2025-12-29,-5.8,-1.77,322.2,,56797,278,330.0,331.0,318.3
2025-12-28,8.9,2.79,328.0,,196556,544,323.5,331.5,317.3
