DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.0,1.15,440.0,24.81,5652,43,444.0,444.0,433.5
2026-05-07,-5.0,-1.14,435.0,18.2,4203,47,436.0,437.0,430.0
2026-05-06,-4.0,-0.9,440.0,8.63,1960,25,440.0,444.0,437.5
2026-05-05,4.0,0.91,444.0,7.01,1594,25,440.0,444.0,440.0
2026-05-04,-4.7,-1.06,440.0,28.12,6410,50,444.7,445.0,435.0
2026-04-30,1.7,0.38,444.7,34.03,7718,47,432.0,444.7,432.0
2026-04-29,2.0,0.45,443.0,26.96,6155,45,463.0,463.0,436.1
2026-04-28,-5.0,-1.12,441.0,19.2,4325,43,446.0,453.1,440.3
2026-04-27,1.0,0.22,446.0,19.41,4358,24,445.0,454.9,442.3
2026-04-24,-6.0,-1.33,445.0,25.26,5697,40,451.0,451.0,441.0
2026-04-23,-2.0,-0.44,451.0,35.77,7974,66,466.5,466.5,440.0
2026-04-22,-4.0,-0.88,453.0,49.71,11133,78,457.0,457.0,441.1
2026-04-21,6.0,1.33,457.0,24.79,5523,53,446.2,457.0,446.2
2026-04-20,-6.0,-1.31,451.0,32.84,7270,58,479.8,479.8,449.0
2026-04-17,3.0,0.66,457.0,32.79,7210,50,450.0,460.0,448.2
2026-04-16,-12.0,-2.58,454.0,39.33,8551,52,466.0,466.0,454.0
2026-04-15,11.0,2.42,466.0,54.36,11703,78,452.1,472.9,452.0
2026-04-13,0.9,0.2,455.0,85.61,19065,126,454.1,462.0,444.5
2026-04-10,-7.9,-1.71,454.1,30.58,6707,52,460.0,460.0,452.8
2026-04-09,3.0,0.65,462.0,80.15,17421,119,463.5,467.0,455.0
2026-04-08,12.0,2.68,459.0,41.07,9052,62,455.9,459.0,450.6
2026-04-07,-3.0,-0.67,447.0,46.29,10244,75,457.9,466.9,445.0
2026-04-06,15.0,3.45,450.0,92.48,20655,136,442.7,451.0,441.0
2026-04-05,-20.0,-4.4,435.0,,25230,188,446.6,446.6,429.0
2026-04-02,-3.0,-0.66,455.0,92.11,20158,138,455.0,464.0,445.8
2026-04-01,-17.0,-3.58,458.0,84.14,18252,120,467.1,468.0,455.0
2026-03-31,4.1,0.87,475.0,,21737,127,471.0,483.9,457.2
2026-03-30,-13.1,-2.71,470.9,50.77,10705,95,480.0,488.8,467.0
2026-03-29,-11.9,-2.4,484.0,,25094,146,494.0,499.9,478.0
2026-03-26,-0.1,-0.02,495.9,54.24,11058,111,495.0,498.0,486.2
2026-03-25,-9.0,-1.78,496.0,,35963,161,501.1,508.0,493.0
2026-03-24,-1.0,-0.2,505.0,68.46,13535,123,506.0,514.0,503.0
2026-03-23,1.0,0.2,506.0,,38716,220,510.0,514.0,500.0
2026-03-22,16.0,3.27,505.0,,72612,375,495.0,512.0,488.0
2026-03-19,10.0,2.09,489.0,,27404,191,488.0,494.9,480.0
2026-03-17,0.9,0.19,479.0,40.8,8582,78,477.0,480.8,472.1
2026-03-16,-9.9,-2.03,478.1,59.46,12339,83,497.7,497.7,476.2
2026-03-15,-2.0,-0.41,488.0,92.72,18975,137,498.0,498.9,480.2
