DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.8,1.94,199.8,,89718,384,198.0,199.8,195.0
2026-05-07,2.2,1.14,196.0,,95677,348,190.0,196.0,190.0
2026-05-06,-0.2,-0.1,193.8,,63489,353,200.0,200.0,191.5
2026-05-05,1.4,0.73,194.0,,131119,594,194.0,196.0,191.2
2026-05-04,-3.4,-1.73,192.6,,131938,555,196.0,197.9,192.0
2026-04-30,-0.3,-0.15,196.0,,156425,691,197.0,197.0,191.2
2026-04-29,-3.2,-1.6,196.3,,232563,976,199.5,199.5,193.0
2026-04-28,-2.9,-1.43,199.5,,219397,754,202.4,203.0,199.0
2026-04-27,1.1,0.55,202.4,,99263,420,201.3,203.9,200.3
2026-04-24,0.3,0.15,201.3,,127874,535,211.0,211.0,197.5
2026-04-23,-1.9,-0.94,201.0,,164612,586,205.0,206.0,199.0
2026-04-22,0.0,0.0,202.9,,295171,1074,213.0,213.0,199.0
2026-04-21,-2.0,-0.98,202.9,,139790,509,205.0,205.7,202.1
2026-04-20,-1.1,-0.53,204.9,,124691,565,206.0,207.1,204.0
2026-04-17,-3.0,-1.44,206.0,,1194367,1837,204.9,215.2,204.9
2026-04-16,-4.0,-1.88,209.0,,160962,523,213.0,213.0,208.2
2026-04-15,4.0,1.91,213.0,,260210,813,209.0,215.1,209.0
2026-04-13,-2.0,-0.95,209.0,,86493,421,208.0,212.7,208.0
2026-04-10,-1.9,-0.89,211.0,,151190,482,208.7,216.0,208.7
2026-04-09,4.7,2.26,212.9,,320213,791,208.9,213.8,206.0
2026-04-08,2.6,1.26,208.2,,211806,586,209.7,209.7,204.0
2026-04-07,0.4,0.19,205.6,,217605,722,201.1,211.0,201.1
2026-04-06,7.2,3.64,205.2,,437020,1221,197.0,209.8,195.0
2026-04-05,-8.2,-3.98,198.0,,414277,1291,210.0,210.0,195.0
2026-04-02,0.2,0.1,206.2,,233724,808,205.0,209.9,202.0
2026-04-01,-6.9,-3.24,206.0,,279751,918,215.0,215.0,204.9
2026-03-31,3.4,1.62,212.9,,339233,1243,210.0,214.0,204.5
2026-03-30,-5.4,-2.51,209.5,,467588,1425,214.0,217.0,208.2
2026-03-29,-8.8,-3.93,214.9,,521561,1514,222.0,225.9,214.0
2026-03-26,0.6,0.27,223.7,,304331,1034,224.9,224.9,220.0
2026-03-25,-6.0,-2.62,223.1,,392802,1155,224.6,231.5,222.9
2026-03-24,-0.6,-0.26,229.1,,364653,1108,230.0,231.0,225.3
2026-03-23,-1.3,-0.56,229.7,,613630,1663,235.6,235.6,224.0
2026-03-22,7.7,3.45,231.0,,1057642,2788,227.7,233.3,223.3
2026-03-19,8.1,3.76,223.3,,1111074,2363,211.0,235.0,211.0
2026-03-17,3.4,1.61,215.2,,548416,913,213.0,215.2,206.6
2026-03-16,-7.2,-3.29,211.8,,313914,921,219.0,221.0,210.8
2026-03-15,5.8,2.72,219.0,,898091,1715,217.4,221.0,214.6
