DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,22.9,3.07,769.9,,18066,178,784.3,784.3,734.0
2026-05-07,11.1,1.51,747.0,,22944,137,737.0,747.9,733.2
2026-05-06,-4.1,-0.55,735.9,,23443,95,740.0,744.0,734.0
2026-05-05,10.0,1.37,740.0,,49201,184,729.0,745.0,719.0
2026-05-04,-24.0,-3.18,730.0,,71350,258,760.0,760.0,727.2
2026-04-30,-10.8,-1.41,754.0,,65157,268,745.1,758.9,722.8
2026-04-29,-15.2,-1.95,764.8,,57510,276,775.0,775.0,755.0
2026-04-28,-9.0,-1.14,780.0,,56765,206,775.5,798.0,775.1
2026-04-27,-1.0,-0.13,789.0,,12908,109,802.3,802.3,780.0
2026-04-24,1.0,0.13,790.0,,36399,176,795.0,795.0,775.0
2026-04-23,-14.0,-1.74,789.0,,46925,232,762.9,824.0,762.9
2026-04-22,9.0,1.13,803.0,,105077,354,790.0,805.3,775.0
2026-04-21,-5.8,-0.73,794.0,,53081,216,759.9,810.0,759.9
2026-04-20,-6.2,-0.77,799.8,,57776,222,765.7,811.0,765.7
2026-04-17,-8.5,-1.04,806.0,,101556,378,815.0,819.0,798.1
2026-04-16,-10.5,-1.27,814.5,,116129,320,825.0,827.2,808.1
2026-04-15,13.0,1.6,825.0,,127361,366,820.0,832.6,816.3
2026-04-13,-13.1,-1.59,812.0,,104467,318,825.2,833.0,812.0
2026-04-10,-14.9,-1.77,825.1,,162553,514,845.0,845.0,820.0
2026-04-09,15.0,1.82,840.0,,132099,401,825.0,842.0,817.1
2026-04-08,16.0,1.98,825.0,,141394,371,815.0,825.0,808.0
2026-04-07,-0.5,-0.06,809.0,,108105,455,815.0,824.9,800.5
2026-04-06,33.5,4.32,809.5,,161644,591,787.0,819.0,779.0
2026-04-05,-45.0,-5.48,776.0,,296038,789,805.0,811.0,771.0
2026-04-02,-2.0,-0.24,821.0,,168981,551,820.0,843.0,811.0
2026-04-01,-31.0,-3.63,823.0,,258655,743,837.0,853.0,810.0
2026-03-31,-10.5,-1.21,854.0,,299105,716,881.7,881.7,845.0
2026-03-30,-7.5,-0.86,864.5,,304523,935,889.4,889.4,850.3
2026-03-29,-25.0,-2.79,872.0,,397284,928,900.0,904.0,870.0
2026-03-26,-2.9,-0.32,897.0,,258398,576,899.0,902.9,890.2
2026-03-25,-5.1,-0.56,899.9,,369645,913,908.0,922.0,894.0
2026-03-24,27.0,3.08,905.0,,746092,1482,890.0,915.0,888.2
2026-03-23,0.7,0.08,878.0,,222605,562,880.0,885.0,867.1
2026-03-22,-7.2,-0.81,877.3,,289526,691,866.9,910.0,866.9
2026-03-19,2.5,0.28,884.5,,316006,733,875.0,897.0,875.0
2026-03-17,-6.0,-0.68,882.0,,155640,407,878.1,896.0,873.0
2026-03-16,-12.0,-1.33,888.0,,182681,473,900.0,909.8,880.0
2026-03-15,25.5,2.92,900.0,,510800,1123,857.1,905.0,857.1
2026-03-12,-0.5,-0.06,874.5,,276580,552,875.0,887.9,874.5
2026-03-11,-22.0,-2.45,875.0,,283579,748,914.9,914.9,875.0
2026-03-10,-23.0,-2.5,897.0,,511932,1270,922.0,922.0,883.6
2026-03-09,46.5,5.32,920.0,,24345,47,890.9,940.0,890.9
2026-03-03,16.6,1.94,873.5,,239141,616,874.0,880.0,846.2
2026-03-01,7.9,0.93,856.9,,424938,536,840.0,857.0,838.3
2026-02-26,-1.0,-0.12,849.0,,127962,304,852.0,853.0,846.2
2026-02-25,-5.6,-0.65,850.0,,112176,372,851.1,863.9,850.0
2026-02-24,7.7,0.91,855.6,,188890,495,831.0,859.0,831.0
2026-02-23,7.9,0.94,847.9,,176577,534,844.8,850.1,835.0
2026-02-22,8.3,1.0,840.0,,215666,612,835.0,845.0,827.5
2026-02-17,-13.3,-1.57,831.7,,222802,566,848.0,848.8,830.1
2026-02-16,0.0,0.0,845.0,,163075,408,828.1,855.0,828.1
2026-02-12,-3.0,-0.35,845.0,,269454,662,831.1,855.0,831.1
2026-02-11,-4.8,-0.56,848.0,,228817,605,862.0,863.0,838.0
2026-02-10,-9.2,-1.07,852.8,,333691,723,865.0,870.0,850.0
2026-02-09,-24.0,-2.71,862.0,,311170,917,880.1,885.0,855.8
2026-02-08,11.0,1.26,886.0,,497610,1230,885.0,894.0,877.1
2026-02-05,25.0,2.94,875.0,,654099,2357,833.0,895.4,833.0
2026-02-04,14.0,1.67,850.0,,308443,876,852.7,864.9,840.0
2026-02-03,-8.0,-0.95,836.0,,246150,773,827.2,854.0,827.2
2026-02-02,-1.0,-0.12,844.0,,333893,911,828.1,859.9,828.1
2026-02-01,-15.0,-1.74,845.0,,458748,1256,869.9,870.0,838.0
2026-01-29,-3.0,-0.35,860.0,,497203,1624,880.0,889.0,848.0
2026-01-28,36.0,4.35,863.0,,639015,2059,836.0,869.0,834.9
2026-01-27,17.0,2.1,827.0,,687523,2344,819.0,854.9,815.0
2026-01-26,-1.0,-0.12,810.0,,361837,927,811.0,824.3,805.1
2026-01-25,6.0,0.75,811.0,,317426,935,811.0,820.0,804.1
2026-01-22,-10.0,-1.23,805.0,,211263,758,822.0,823.0,801.1
2026-01-21,-5.5,-0.67,815.0,,344026,913,836.0,836.0,810.0
2026-01-20,27.8,3.51,820.5,,477973,1293,808.5,825.0,802.0
2026-01-18,-9.3,-1.16,792.7,,310404,1120,813.0,814.0,792.6
2026-01-14,-17.0,-2.08,802.0,,324761,1254,833.0,833.0,796.0
2026-01-13,31.0,3.93,819.0,,674600,2324,794.7,820.0,790.1
2026-01-12,25.0,3.28,788.0,,405871,1191,778.2,789.9,769.0
2026-01-08,9.5,1.26,763.0,,151349,449,753.5,770.0,750.3
2026-01-07,-11.2,-1.46,753.5,,132986,431,779.9,779.9,753.5
2026-01-06,14.7,1.96,764.7,,231496,710,751.0,771.0,750.5
2026-01-05,17.0,2.32,750.0,,124857,412,737.0,754.9,731.2
2026-01-04,-12.0,-1.61,733.0,,57683,248,737.0,750.8,730.4
2026-01-01,-9.0,-1.19,745.0,,97829,324,747.1,760.0,743.0
2025-12-31,4.3,0.57,754.0,,115779,266,744.4,759.1,744.4
2025-12-29,-3.3,-0.44,749.7,,98006,324,759.9,761.0,743.0
2025-12-28,23.0,3.15,753.0,,136618,461,734.0,757.0,730.1
2025-12-24,5.0,0.69,730.0,,64165,244,739.0,739.0,726.0
2025-12-23,0.0,0.0,725.0,,55091,195,730.0,730.0,721.2
2025-12-22,-10.0,-1.36,725.0,,77381,258,740.0,740.0,721.0
2025-12-21,-13.0,-1.74,735.0,,105447,361,738.0,750.0,733.3
2025-12-18,15.1,2.06,748.0,,246124,825,747.0,753.0,730.0
2025-12-17,11.9,1.65,732.9,,127945,377,719.1,734.0,719.1
2025-12-16,0.0,0.0,721.0,,102396,420,720.0,725.0,710.0
2025-12-15,1.0,0.14,721.0,,53450,215,713.5,724.0,713.5
2025-12-14,-2.2,-0.3,720.0,,88741,302,718.1,730.0,714.0
2025-12-11,-3.1,-0.43,722.2,,50101,213,721.0,732.8,719.5
2025-12-10,-5.7,-0.78,725.3,,69244,235,739.0,741.2,725.0
2025-12-09,13.9,1.94,731.0,,137040,441,711.1,735.0,711.1
2025-12-08,-6.9,-0.95,717.1,,125803,416,738.4,738.4,716.3
2025-12-07,-11.0,-1.5,724.0,,83963,323,731.0,734.0,722.0
2025-12-03,-3.6,-0.49,735.0,,102123,369,753.0,753.0,730.0
2025-12-02,5.6,0.76,738.6,,49368,242,745.0,745.0,736.0
2025-12-01,-4.1,-0.56,733.0,,77961,326,751.8,751.8,731.3
2025-11-30,-7.8,-1.05,737.1,,128864,425,759.7,759.7,735.0
2025-11-27,-4.1,-0.55,744.9,,111779,435,763.9,763.9,743.0
2025-11-26,-20.0,-2.6,749.0,,184861,604,784.0,784.0,747.0
2025-11-25,0.0,0.0,769.0,,129174,389,784.3,784.3,754.0
2025-11-24,0.0,0.0,769.0,,188899,568,784.3,784.3,764.0
2025-11-23,22.0,2.95,769.0,,284912,904,748.0,776.5,748.0
2025-11-20,4.0,0.54,747.0,,153662,507,757.0,758.0,730.0
2025-11-19,-6.0,-0.8,743.0,,213662,567,763.9,763.9,740.0
2025-11-18,-1.1,-0.15,749.0,,127990,520,765.1,771.0,749.0
2025-11-17,28.1,3.89,750.1,,206685,734,736.4,759.8,712.0
2025-11-16,-18.0,-2.43,722.0,,112346,516,754.8,754.8,720.4
2025-11-13,-5.0,-0.67,740.0,,126253,493,759.9,759.9,733.1
2025-11-12,-24.0,-3.12,745.0,,294796,930,765.0,774.0,740.0
2025-11-11,-10.0,-1.28,769.0,,418689,1222,794.0,794.5,762.4
2025-11-10,2.0,0.26,779.0,,228008,683,792.5,792.5,766.0
