DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.0,1.36,595.0,4.07,696,21,573.1,595.0,573.1
2026-05-07,0.0,0.0,587.0,3.98,691,20,616.3,616.3,555.0
2026-05-06,5.0,0.86,587.0,12.77,2202,29,584.0,598.7,565.4
2026-05-05,-18.0,-3.0,582.0,5.25,890,22,582.3,605.0,582.0
2026-05-04,-5.0,-0.83,600.0,1.92,321,21,587.0,614.8,587.0
2026-04-30,-5.0,-0.82,605.0,17.99,2895,48,640.0,640.0,600.0
2026-04-29,-5.0,-0.81,610.0,16.94,2840,58,610.0,610.0,587.0
2026-04-28,-15.0,-2.38,615.0,9.94,1597,31,630.0,639.0,615.0
2026-04-27,-18.7,-2.88,630.0,23.57,3747,42,648.7,645.0,625.0
2026-04-24,-6.3,-0.96,648.7,9.99,1559,24,655.0,655.1,630.0
2026-04-23,-5.0,-0.76,655.0,6.54,998,23,655.0,656.5,654.0
2026-04-22,-14.5,-2.15,660.0,3.97,600,13,674.0,674.0,660.0
2026-04-21,17.5,2.66,674.5,16.34,2430,48,657.0,678.0,657.0
2026-04-20,-5.0,-0.76,657.0,3.23,490,20,673.0,673.0,653.0
2026-04-17,2.0,0.3,662.0,11.07,1690,30,660.0,662.0,653.0
2026-04-16,-10.0,-1.49,660.0,12.11,1830,28,670.0,670.0,660.0
2026-04-15,0.0,0.0,670.0,13.17,1973,43,683.0,683.0,660.0
2026-04-13,1.0,0.15,670.0,13.62,2042,43,680.0,695.0,661.0
2026-04-10,-10.9,-1.6,669.0,1.6,240,14,667.0,669.0,667.0
2026-04-09,10.0,1.49,679.9,5.97,890,27,669.0,683.0,663.1
2026-04-08,9.9,1.5,669.9,12.01,1798,38,662.2,671.6,662.2
2026-04-07,-13.9,-2.06,660.0,11.05,1665,35,674.0,687.1,656.6
2026-04-06,14.9,2.26,673.9,16.66,2500,36,659.0,685.5,659.0
2026-04-05,-31.0,-4.49,659.0,11.39,1709,44,703.0,703.0,653.0
2026-04-02,0.0,0.0,690.0,12.47,1823,29,700.0,700.0,676.2
2026-04-01,-13.8,-1.96,690.0,17.79,2583,44,690.1,691.0,685.0
2026-03-31,4.8,0.69,703.8,28.66,4132,52,690.2,703.8,690.0
2026-03-30,-3.0,-0.43,699.0,31.88,4552,60,702.0,714.9,699.0
2026-03-29,-13.0,-1.82,702.0,39.51,5573,66,729.0,729.3,701.0
2026-03-26,-3.8,-0.53,715.0,10.94,1529,34,718.0,723.0,715.0
2026-03-25,1.8,0.25,718.8,17.04,2392,32,710.2,718.9,710.2
2026-03-24,0.0,0.0,717.0,28.92,4027,43,710.1,728.8,710.1
2026-03-23,-8.0,-1.1,717.0,21.01,2912,42,715.0,733.0,711.1
2026-03-22,3.0,0.42,725.0,47.21,6574,77,730.0,730.0,709.0
2026-03-19,2.0,0.28,722.0,76.81,10709,93,725.0,727.9,708.6
2026-03-17,4.0,0.56,720.0,6.28,872,32,718.0,724.0,711.1
2026-03-16,-5.5,-0.76,716.0,21.79,3051,51,707.1,723.6,707.1
2026-03-15,-18.5,-2.5,721.5,42.89,5935,64,730.0,740.0,715.0
2026-03-12,-7.0,-0.94,740.0,19.05,2579,36,734.0,750.0,734.0
2026-03-11,-5.0,-0.66,747.0,12.38,1670,31,737.0,751.7,734.1
2026-03-10,12.0,1.62,752.0,47.85,6441,97,754.8,769.0,730.0
2026-03-09,18.0,2.49,740.0,,30,3,736.4,740.0,736.4
2026-03-03,16.9,2.4,722.0,9.9,1390,24,710.0,722.0,705.1
