DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.4,0.92,371.4,60.71,16413,152,350.6,379.0,350.6
2026-05-07,-1.0,-0.27,368.0,52.56,14253,98,350.6,375.0,350.6
2026-05-06,1.0,0.27,369.0,59.51,16131,165,368.0,377.0,368.0
2026-05-05,-1.9,-0.51,368.0,93.33,25166,169,374.0,374.0,365.0
2026-05-04,-18.4,-4.74,369.9,,26959,244,390.0,390.0,369.0
2026-04-30,18.3,4.95,388.3,,82093,277,353.5,388.3,353.5
2026-04-29,-3.0,-0.8,370.0,93.55,25301,157,354.5,378.0,354.5
2026-04-28,-1.0,-0.27,373.0,,46519,229,374.0,385.0,372.5
2026-04-27,1.0,0.27,374.0,,35117,233,373.0,377.8,372.1
2026-04-24,1.1,0.3,373.0,,83952,209,353.4,377.0,353.4
2026-04-23,-6.1,-1.61,371.9,,37312,248,383.0,383.0,368.1
2026-04-22,0.0,0.0,378.0,,75542,363,373.1,384.0,367.0
2026-04-21,-2.2,-0.58,378.0,,45870,259,390.0,390.0,372.5
2026-04-20,-6.8,-1.76,380.2,,45192,220,394.0,397.7,380.0
2026-04-17,1.9,0.49,387.0,,50956,324,390.0,390.0,380.1
2026-04-16,-11.9,-3.0,385.1,,115499,391,391.0,399.0,384.0
2026-04-15,5.0,1.28,397.0,,70036,373,388.0,400.0,388.0
2026-04-13,-0.3,-0.08,392.0,,77031,321,389.9,395.9,389.0
2026-04-10,-7.7,-1.92,392.3,,100706,390,392.0,403.4,391.1
2026-04-09,3.0,0.76,400.0,,154529,446,390.0,403.0,390.0
2026-04-08,8.0,2.06,397.0,,97088,383,392.1,398.0,387.0
2026-04-07,8.1,2.13,389.0,,145982,535,385.0,394.0,376.0
2026-04-06,21.9,6.1,380.9,,161184,673,366.1,381.0,355.0
2026-04-05,-29.0,-7.47,359.0,,168397,693,388.0,390.0,358.0
2026-04-02,4.8,1.25,388.0,,99332,552,375.6,393.0,375.6
2026-04-01,-18.9,-4.7,383.2,,130170,628,409.0,409.0,383.0
2026-03-31,-1.8,-0.45,402.1,,112122,537,396.0,409.0,396.0
2026-03-30,-8.1,-1.97,403.9,,142532,676,415.0,415.0,401.1
