DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.8,1.39,277.8,20.25,7373,100,272.0,278.0,271.0
2026-05-07,-1.5,-0.54,274.0,28.72,10507,100,275.0,278.0,272.4
2026-05-06,-0.5,-0.18,275.5,19.48,7066,81,275.0,277.0,275.0
2026-05-05,1.0,0.36,276.0,40.35,14711,126,275.0,276.0,271.1
2026-05-04,0.0,0.0,275.0,39.8,14490,145,275.0,278.0,273.5
2026-04-30,-0.5,-0.18,275.0,59.22,21550,147,275.2,277.0,271.1
2026-04-29,-4.5,-1.61,275.5,47.91,17325,163,285.8,285.8,275.2
2026-04-28,-1.0,-0.36,280.0,52.55,18756,142,281.0,282.1,279.2
2026-04-27,0.6,0.21,281.0,55.83,19827,175,280.4,288.4,280.0
2026-04-24,-1.3,-0.46,280.4,52.83,18849,139,280.0,283.0,279.0
2026-04-23,-6.3,-2.19,281.7,47.84,16929,114,285.0,286.5,281.1
2026-04-22,2.0,0.7,288.0,85.5,30225,211,285.0,290.0,280.4
2026-04-21,-2.0,-0.69,286.0,48.9,16974,156,282.0,293.0,282.0
2026-04-20,-4.5,-1.54,288.0,68.05,23755,160,287.0,293.0,285.1
2026-04-17,-0.2,-0.07,292.5,78.52,27163,147,288.7,294.0,286.1
2026-04-16,-5.3,-1.78,292.7,84.37,28943,204,300.0,300.0,289.0
2026-04-15,3.0,1.02,298.0,81.04,27129,241,295.1,301.0,294.0
2026-04-13,2.0,0.68,295.0,,49312,227,287.2,299.8,287.2
2026-04-10,-2.0,-0.68,293.0,86.66,29559,188,291.0,297.0,291.0
2026-04-09,6.9,2.4,295.0,,42193,300,286.2,297.0,286.2
2026-04-08,1.1,0.38,288.1,62.66,21585,147,291.9,292.0,288.1
2026-04-07,2.0,0.7,287.0,,37867,190,290.0,292.9,285.0
2026-04-06,10.4,3.79,285.0,,55382,323,275.0,288.0,271.1
2026-04-05,-17.4,-5.96,274.6,,79919,427,286.2,293.6,273.0
2026-04-02,-1.8,-0.61,292.0,,55284,298,289.2,295.0,276.1
2026-04-01,-3.4,-1.14,293.8,,50045,298,302.9,302.9,289.5
2026-03-31,0.7,0.24,297.2,,50424,334,302.0,302.0,290.0
2026-03-30,-9.5,-3.1,296.5,,98719,409,306.0,308.0,292.2
2026-03-29,-8.2,-2.61,306.0,,88429,468,314.0,316.0,302.0
2026-03-26,2.0,0.64,314.2,,55381,272,314.5,314.8,308.3
2026-03-25,-7.8,-2.44,312.2,,113416,376,322.9,322.9,312.1
2026-03-24,4.0,1.27,320.0,,78078,482,316.2,325.0,316.2
2026-03-23,2.7,0.86,316.0,,143778,581,316.0,320.0,309.0
2026-03-22,-4.7,-1.48,313.3,,167129,759,324.0,325.0,308.0
2026-03-19,13.2,4.33,318.0,,344619,1325,305.0,324.0,304.0
2026-03-17,-0.2,-0.07,304.8,,217780,460,305.0,306.0,299.0
2026-03-16,-1.2,-0.39,305.0,,87240,333,306.0,308.0,303.5
2026-03-15,-1.7,-0.55,306.2,,93644,410,309.0,312.8,305.0
2026-03-12,6.9,2.29,307.9,,77972,372,304.9,309.7,299.0
2026-03-11,-0.5,-0.17,301.0,,82776,348,301.5,307.0,297.0
2026-03-10,-14.5,-4.59,301.5,,208899,820,318.0,318.0,299.1
2026-03-09,23.3,7.96,316.0,15.81,4968,16,298.5,321.0,298.5
2026-03-03,11.7,4.16,292.7,,59675,280,284.0,293.0,282.0
2026-03-01,-3.0,-1.06,281.0,,51045,220,280.1,286.8,280.0
2026-02-26,-1.2,-0.42,284.0,82.02,28856,132,285.0,289.0,283.0
2026-02-25,1.2,0.42,285.2,81.71,28492,189,284.0,290.8,284.0
2026-02-24,5.0,1.79,284.0,,36620,217,283.9,284.0,280.0
2026-02-23,-3.0,-1.06,279.0,,92412,317,280.0,289.0,277.0
2026-02-22,-12.0,-4.08,282.0,,72104,335,290.0,290.0,280.1
2026-02-17,-11.0,-3.61,294.0,,157523,455,305.0,309.5,293.4
2026-02-16,-3.2,-1.04,305.0,,277243,1179,314.3,322.0,303.0
2026-02-12,27.7,9.88,308.2,,603032,1686,284.0,308.5,282.0
2026-02-11,0.5,0.18,280.5,95.39,34103,169,281.0,284.7,277.1
2026-02-10,2.0,0.72,280.0,,56222,248,274.0,284.9,274.0
2026-02-09,-3.0,-1.07,278.0,,41635,255,278.2,284.9,276.0
2026-02-08,-4.0,-1.4,281.0,,43262,261,285.0,295.0,280.4
2026-02-05,5.0,1.79,285.0,,64251,353,277.0,288.0,277.0
2026-02-04,2.9,1.05,280.0,,54168,211,277.0,282.5,275.3
2026-02-03,-5.9,-2.08,277.1,,60079,249,288.6,288.6,276.5
2026-02-02,-4.0,-1.39,283.0,,89638,234,285.0,290.0,281.4
2026-02-01,-5.0,-1.71,287.0,78.13,27176,238,290.0,292.0,285.0
2026-01-29,3.0,1.04,292.0,,204562,822,294.0,304.9,287.3
2026-01-28,5.0,1.76,289.0,,109632,402,281.2,289.0,275.0
2026-01-27,-5.9,-2.04,284.0,,75361,399,294.5,299.0,281.3
2026-01-26,-1.1,-0.38,289.9,,74347,335,293.7,294.0,283.6
2026-01-25,9.9,3.52,291.0,,82032,426,280.0,292.0,280.0
2026-01-22,2.1,0.75,281.1,96.85,34649,201,279.0,282.6,276.0
2026-01-21,2.3,0.83,279.0,,48869,239,271.2,284.9,271.2
2026-01-20,3.7,1.36,276.7,,75944,364,276.0,283.0,273.2
2026-01-18,3.0,1.11,273.0,87.22,31975,208,270.3,276.0,270.3
2026-01-14,-6.1,-2.21,270.0,,42160,204,274.1,275.0,269.5
2026-01-13,-17.9,-6.09,276.1,,50927,295,288.2,288.2,271.0
2026-01-12,23.1,8.53,294.0,,59995,226,268.3,296.0,268.1
2026-01-08,0.9,0.33,270.9,51.06,18965,130,267.3,271.0,267.3
2026-01-07,-4.5,-1.64,270.0,53.89,19966,174,277.7,277.7,268.0
2026-01-06,2.5,0.92,274.5,92.66,33788,209,268.1,277.6,268.1
2026-01-05,2.8,1.04,272.0,71.8,26653,182,269.0,272.0,268.0
2026-01-04,-2.8,-1.03,269.2,38.61,14306,133,270.0,272.0,266.6
2026-01-01,0.0,0.0,272.0,42.89,15797,110,269.2,274.0,269.2
2025-12-31,-0.9,-0.33,272.0,57.32,21052,152,269.0,274.9,269.0
2025-12-29,-1.0,-0.37,272.9,54.1,19859,118,277.0,277.0,270.1
2025-12-28,5.1,1.9,273.9,66.91,24561,210,268.8,275.0,268.8
2025-12-24,-0.1,-0.04,268.8,47.74,17872,120,266.1,270.0,266.0
2025-12-23,2.7,1.01,268.9,46.8,17571,152,271.5,271.5,265.3
2025-12-22,-3.8,-1.41,266.2,71.27,26695,163,268.0,270.0,265.6
2025-12-21,-2.0,-0.74,270.0,76.64,28500,177,268.2,272.5,267.2
2025-12-18,-3.0,-1.09,272.0,73.12,26835,201,271.7,275.0,270.1
2025-12-17,1.0,0.36,275.0,52.62,19153,188,272.1,277.5,272.1
2025-12-16,0.1,0.04,274.0,55.84,20431,158,273.9,275.0,272.2
2025-12-15,0.8,0.29,273.9,53.3,19499,142,272.1,275.0,272.1
2025-12-14,-2.6,-0.94,273.1,64.44,23420,202,275.7,280.0,273.0
2025-12-11,-1.4,-0.51,275.7,62.86,22699,127,277.0,280.0,275.7
2025-12-10,-3.4,-1.21,277.1,54.52,19656,162,278.5,280.5,275.2
2025-12-09,1.7,0.61,280.5,88.45,31645,195,280.0,284.2,276.0
2025-12-08,0.9,0.32,278.8,,47159,221,275.3,291.0,275.3
2025-12-07,-6.1,-2.15,277.9,,63048,347,285.0,286.0,276.0
2025-12-03,-6.0,-2.07,284.0,,79463,430,295.0,318.0,284.0
2025-12-02,23.0,8.61,290.0,,267129,1264,267.0,293.7,267.0
2025-12-01,-2.1,-0.78,267.0,31.63,11818,125,266.0,269.0,266.0
2025-11-30,-2.7,-0.99,269.1,,49404,235,268.4,274.4,268.0
2025-11-27,4.3,1.61,271.8,71.4,26525,160,271.8,271.8,267.6
2025-11-26,-2.4,-0.89,267.5,71.69,26721,170,269.0,270.0,267.2
2025-11-25,0.1,0.04,269.9,49.7,18530,119,267.0,270.0,266.0
2025-11-24,4.7,1.77,269.8,74.07,27482,178,260.4,272.7,260.3
2025-11-23,4.1,1.57,265.1,,56051,245,256.0,270.0,255.9
2025-11-20,-2.0,-0.76,261.0,81.82,31113,158,260.0,268.2,260.0
2025-11-19,-2.0,-0.75,263.0,73.12,27455,170,270.3,272.0,262.0
2025-11-18,0.0,0.0,265.0,35.08,13141,146,270.3,270.3,265.0
