DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.9,2.63,346.8,,294378,653,343.8,349.0,337.1
2026-05-07,1.0,0.3,337.9,,239230,495,336.1,342.8,330.0
2026-05-06,-1.1,-0.33,336.9,,187186,491,338.0,346.0,335.1
2026-05-05,2.1,0.63,338.0,,180120,604,352.0,352.0,333.0
2026-05-04,-13.1,-3.75,335.9,,226091,632,349.0,353.9,334.2
2026-04-30,8.1,2.38,349.0,,322578,912,323.9,354.0,323.9
2026-04-29,-7.1,-2.04,340.9,,330123,853,360.0,360.0,339.9
2026-04-28,-8.3,-2.33,348.0,,546516,992,338.5,361.0,338.5
2026-04-27,-5.7,-1.57,356.3,,265791,678,380.0,380.0,353.0
2026-04-24,4.5,1.26,362.0,,757379,1113,375.0,375.0,350.0
2026-04-23,2.2,0.62,357.5,,456263,811,373.0,373.0,349.5
2026-04-22,5.3,1.51,355.3,,556519,1187,350.0,367.0,340.0
2026-04-21,-5.0,-1.41,350.0,,361244,847,340.0,361.9,338.0
2026-04-20,-10.0,-2.74,355.0,,289933,890,383.0,383.0,354.0
2026-04-17,0.8,0.22,365.0,,937821,1413,371.0,372.0,353.0
2026-04-16,-10.9,-2.91,364.2,,862811,1529,382.0,382.0,363.0
2026-04-15,-4.4,-1.16,375.1,,989186,1857,372.0,388.0,371.0
2026-04-13,8.5,2.29,379.5,,1292336,2400,371.0,385.0,369.2
2026-04-10,-1.0,-0.27,371.0,,1016874,2170,372.0,385.0,368.8
2026-04-09,24.0,6.9,372.0,,1132834,2174,350.0,372.1,349.0
2026-04-08,5.0,1.46,348.0,,682410,1340,349.0,355.8,343.0
2026-04-07,-4.6,-1.32,343.0,,537721,1341,350.0,356.0,338.0
2026-04-06,31.6,10.0,347.6,,894154,2117,320.9,347.6,317.0
2026-04-05,-31.9,-9.17,316.0,,953928,2132,341.0,341.0,315.0
2026-04-02,-0.1,-0.03,347.9,,700868,1576,350.0,357.0,335.0
2026-04-01,-19.8,-5.38,348.0,,1166475,2781,361.0,364.3,340.2
2026-03-31,-12.2,-3.21,367.8,,1305193,2521,387.6,387.6,364.0
2026-03-30,3.0,0.8,380.0,,1779539,3348,377.0,393.0,373.2
2026-03-29,-2.0,-0.53,377.0,,1876921,3240,380.0,385.0,366.0
2026-03-26,22.1,6.19,379.0,,1220472,2256,356.0,379.4,351.2
2026-03-25,5.0,1.42,356.9,,732605,1604,355.0,367.0,352.5
2026-03-24,-3.1,-0.87,351.9,,862584,1738,355.0,359.9,347.0
2026-03-23,-0.1,-0.03,355.0,,722527,1429,362.0,362.0,352.1
2026-03-22,-8.9,-2.45,355.1,,1347686,2785,364.0,368.9,350.1
2026-03-19,-6.0,-1.62,364.0,,1696461,3459,370.0,377.0,362.5
2026-03-17,6.0,1.65,370.0,,1517486,2659,360.0,380.1,360.0
2026-03-16,3.2,0.89,364.0,,987176,1861,360.0,368.2,353.0
2026-03-15,10.8,3.09,360.8,,1906230,3373,353.0,370.0,345.1
2026-03-12,-1.0,-0.28,350.0,,1093570,2502,352.9,369.0,348.0
2026-03-11,19.0,5.72,351.0,,2437330,4490,338.6,365.2,327.0
2026-03-10,-10.0,-2.92,332.0,,1810745,3351,340.0,340.0,324.0
2026-03-09,30.7,9.86,342.0,,54168,75,317.5,342.4,317.5
2026-03-03,10.3,3.42,311.3,,892830,1985,305.0,315.0,300.0
2026-03-01,10.0,3.44,301.0,,655403,1213,290.3,302.0,285.0
2026-02-26,-8.4,-2.81,291.0,,447312,1008,293.5,304.0,289.1
2026-02-25,2.4,0.81,299.4,,493119,1025,291.1,305.9,291.1
2026-02-24,8.0,2.77,297.0,,389242,1066,294.7,300.0,290.0
2026-02-23,-8.0,-2.69,289.0,,1091227,2416,301.0,309.8,281.0
2026-02-22,-27.0,-8.33,297.0,,1213582,2467,324.0,328.0,295.0
2026-02-17,-5.0,-1.52,324.0,,1599384,3157,335.0,343.2,323.4
2026-02-16,6.1,1.89,329.0,,2014126,4002,320.0,336.0,306.0
2026-02-12,-11.6,-3.47,322.9,,1271708,3152,340.0,342.0,320.0
2026-02-11,29.5,9.67,334.5,,2030944,4915,310.0,335.5,301.0
2026-02-10,-11.3,-3.57,305.0,,1229636,3631,320.0,332.0,304.0
2026-02-09,26.4,9.11,316.3,,2517995,6545,295.6,318.8,284.29
2026-02-08,26.3,9.98,289.9,,1658725,3865,268.8,289.9,268.8
2026-02-05,23.9,9.97,263.6,,894684,1692,237.0,263.6,237.0
2026-02-04,0.7,0.29,239.7,,85266,213,236.0,245.0,236.0
2026-02-03,-5.0,-2.05,239.0,,128138,276,240.1,246.9,236.1
2026-02-02,-2.5,-1.01,244.0,,91794,252,245.0,249.0,241.2
2026-02-01,0.0,0.0,246.5,,171897,447,246.5,254.9,243.1
2026-01-29,7.5,3.14,246.5,,416129,1085,241.0,255.0,240.0
