DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.0,0.86,1170.0,,34019,827,1118.0,1199.9,1118.0
2026-05-07,-15.0,-1.28,1160.0,,20584,647,1175.0,1175.0,1130.1
2026-05-06,30.0,2.62,1175.0,,31627,924,1150.0,1214.6,1125.0
2026-05-05,14.0,1.24,1145.0,,44625,1123,1140.0,1160.0,1110.6
2026-05-04,-19.0,-1.65,1131.0,,35656,1129,1150.0,1180.0,1118.0
2026-04-30,19.0,1.68,1150.0,,34662,1401,1131.0,1175.0,1080.1
2026-04-29,-14.0,-1.22,1131.0,,51593,1993,1202.0,1202.2,1100.0
2026-04-28,-131.0,-10.27,1145.0,,54167,2943,1270.0,1290.0,1145.0
2026-04-27,-45.1,-3.41,1276.0,,43856,2344,1321.1,1354.0,1275.0
2026-04-24,41.2,3.22,1321.1,,46369,2552,1279.9,1340.0,1242.0
2026-04-23,-72.1,-5.33,1279.9,,88355,4994,1352.0,1431.7,1260.2
2026-04-22,-48.0,-3.43,1352.0,,71250,6426,1428.0,1430.0,1265.0
2026-04-21,10.0,0.72,1400.0,,62780,5214,1455.0,1592.3,1310.0
2026-04-20,137.6,10.99,1390.0,,140360,12882,1315.0,1440.2,1207.0
2026-04-17,113.8,9.99,1252.4,,12230,1223,1116.1,1252.4,1116.1
2026-04-16,103.5,10.0,1138.6,41.65,3660,366,1055.0,1138.6,1055.0
2026-04-15,94.1,10.0,1035.1,25.85,2500,250,959.8,1035.1,959.8
2026-04-13,85.5,9.99,941.0,18.41,1960,196,872.6,941.0,872.6
2026-04-10,77.7,9.99,855.5,11.02,1290,129,793.3,855.5,793.3
2026-04-09,70.7,10.0,777.8,9.31,1200,120,721.2,777.8,721.2
2026-04-08,64.2,9.99,707.1,5.85,830,83,655.7,707.1,655.7
2026-04-07,58.4,9.99,642.9,3.26,510,51,596.1,642.9,596.1
2026-04-06,53.1,9.99,584.5,2.5,430,43,542.0,584.5,542.0
2026-04-05,48.3,10.0,531.4,2.32,440,44,492.7,531.4,492.7
2026-04-02,43.9,10.0,483.1,1.29,270,27,445.0,483.1,445.0
2026-04-01,39.9,9.99,439.2,,150,15,400.5,439.2,400.5
2026-03-31,36.3,10.0,399.3,,170,17,370.0,399.3,370.0
2026-03-30,33.0,10.0,363.0,,150,15,335.5,363.0,335.5
2026-03-29,30.0,10.0,330.0,,190,19,300.0,330.0,300.0
2026-03-26,0.0,0.0,30.0,300.0,10,1,30.0,30.0,30.0
