DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.2,1.21,434.0,45.39,10578,62,423.0,434.0,423.0
2026-05-07,3.3,0.78,428.8,37.11,8724,52,425.0,428.8,423.0
2026-05-06,0.5,0.12,425.5,20.21,4734,43,433.0,433.0,425.2
2026-05-05,-5.8,-1.35,425.0,20.08,4687,51,428.0,432.0,425.0
2026-05-04,0.8,0.19,430.8,51.19,12025,77,430.0,433.0,423.2
2026-04-30,2.0,0.47,430.0,22.7,5328,43,421.0,433.0,421.0
2026-04-29,-5.0,-1.15,428.0,,29100,119,425.2,437.0,417.1
2026-04-28,-4.0,-0.92,433.0,24.46,5624,44,437.0,445.0,432.0
2026-04-27,7.0,1.63,437.0,36.49,8417,87,430.0,441.0,430.0
2026-04-24,-8.9,-2.03,430.0,45.48,10579,73,460.8,460.8,425.0
2026-04-23,-5.1,-1.15,438.9,15.25,3450,44,452.0,452.0,434.6
2026-04-22,1.7,0.38,444.0,,30044,147,446.0,449.9,423.0
2026-04-21,-3.7,-0.83,442.3,26.34,5944,57,442.0,450.0,441.0
2026-04-20,-2.9,-0.65,446.0,12.37,2764,31,455.0,456.0,443.0
2026-04-17,-3.1,-0.69,448.9,60.0,13444,143,456.0,461.0,443.0
2026-04-16,-12.0,-2.59,452.0,62.83,13852,96,458.0,460.7,450.0
2026-04-15,8.5,1.87,464.0,,22644,157,455.0,471.0,450.0
2026-04-13,-2.4,-0.52,455.5,37.78,8357,63,467.0,467.0,448.0
2026-04-10,2.4,0.53,457.9,71.08,15729,95,463.8,463.8,447.1
2026-04-09,8.5,1.9,455.5,,34833,171,455.9,467.0,450.0
2026-04-08,10.0,2.29,447.0,58.03,13035,85,443.0,452.0,441.0
2026-04-07,-10.0,-2.24,437.0,65.0,14601,124,455.9,455.9,436.0
2026-04-06,22.0,5.18,447.0,,26079,148,433.5,459.5,424.9
2026-04-05,-23.0,-5.13,425.0,,33540,213,439.1,454.0,423.0
2026-04-02,-7.0,-1.54,448.0,,28371,184,464.1,464.1,445.9
2026-04-01,-17.9,-3.79,455.0,,27231,144,482.3,482.3,452.0
2026-03-31,2.9,0.62,472.9,95.64,20433,154,479.4,479.4,460.3
2026-03-30,-2.9,-0.61,470.0,,40316,201,482.3,482.3,458.0
2026-03-29,-20.1,-4.08,472.9,,44030,239,500.0,500.0,472.0
2026-03-26,0.0,0.0,493.0,,22183,144,500.0,500.0,488.0
2026-03-25,-15.0,-2.95,493.0,,59939,283,514.9,514.9,490.0
2026-03-24,8.1,1.62,508.0,,42092,199,493.0,510.0,491.0
2026-03-23,-1.8,-0.36,499.9,,52386,254,510.0,511.0,492.2
2026-03-22,14.7,3.02,501.7,,93798,502,496.7,505.9,488.1
2026-03-19,15.0,3.18,487.0,,36363,252,480.0,488.0,477.8
2026-03-17,-2.0,-0.42,472.0,80.86,17173,119,470.0,474.0,467.1
2026-03-16,-7.0,-1.46,474.0,,32473,175,481.0,481.9,470.0
2026-03-15,3.0,0.63,481.0,,32753,184,487.0,487.0,475.0
2026-03-12,5.0,1.06,478.0,,29916,172,473.0,482.0,464.1
2026-03-11,-14.0,-2.87,473.0,,27649,201,480.2,489.0,469.0
2026-03-10,-8.0,-1.62,487.0,,79610,473,490.0,499.8,471.0
2026-03-09,35.0,7.61,495.0,2.88,583,7,469.2,503.0,469.2
2026-03-03,5.0,1.1,460.0,,25175,116,455.0,467.0,455.0
2026-03-01,8.1,1.81,455.0,,25584,136,445.0,458.6,444.0
2026-02-26,-2.1,-0.47,446.9,24.51,5513,51,452.9,452.9,442.0
2026-02-25,-0.8,-0.18,449.0,37.4,8399,75,458.7,458.7,440.0
2026-02-24,3.0,0.67,449.8,34.67,7781,66,455.7,455.7,439.0
2026-02-23,10.5,2.41,446.8,43.05,9802,83,445.0,447.0,434.0
2026-02-22,-10.7,-2.39,436.3,54.22,12343,132,455.9,455.9,435.0
2026-02-17,-11.6,-2.53,447.0,,22954,164,467.7,467.7,447.0
2026-02-16,-2.5,-0.54,458.6,80.28,17267,135,470.3,478.0,455.0
2026-02-12,14.1,3.15,461.1,,57324,284,445.0,472.0,445.0
2026-02-11,-3.2,-0.71,447.0,99.98,22443,145,459.2,465.0,441.0
2026-02-10,-8.8,-1.92,450.2,93.81,20768,125,468.0,468.0,447.0
2026-02-09,-5.0,-1.08,459.0,,23252,168,473.0,473.0,452.0
2026-02-08,6.0,1.31,464.0,,64074,361,467.0,478.3,459.6
2026-02-05,-0.3,-0.07,458.0,,26614,169,459.0,465.0,450.0
2026-02-04,6.1,1.35,458.3,,30319,172,459.0,465.0,450.2
2026-02-03,-7.8,-1.7,452.2,,25924,127,468.0,468.0,451.0
2026-02-02,-5.0,-1.08,460.0,84.14,18188,140,473.0,474.0,456.0
2026-02-01,0.1,0.02,465.0,,30206,180,464.9,490.0,460.2
2026-01-29,-12.2,-2.56,464.9,,48980,262,471.0,484.5,460.0
2026-01-28,10.1,2.16,477.1,,64337,311,465.0,485.5,462.0
2026-01-27,-20.3,-4.17,467.0,,66053,427,490.0,496.0,463.8
2026-01-26,-10.1,-2.03,487.3,,110082,579,507.0,507.0,478.0
2026-01-25,45.2,10.0,497.4,,161415,846,461.2,497.4,461.2
2026-01-22,4.4,0.98,452.2,,47651,226,454.0,461.0,442.0
2026-01-21,-4.5,-0.99,447.8,,61242,226,450.0,461.0,440.0
2026-01-20,5.9,1.32,452.3,,68203,361,453.0,464.0,449.0
2026-01-18,16.9,3.93,446.4,,60268,309,425.7,452.0,425.7
2026-01-14,4.5,1.06,429.5,,32770,174,418.2,438.0,418.2
2026-01-13,1.7,0.4,425.0,47.86,11414,76,425.0,425.0,418.0
2026-01-12,-3.7,-0.87,423.3,40.23,9491,60,430.0,430.0,420.1
2026-01-08,-2.0,-0.47,427.0,51.64,12190,84,426.0,428.0,420.5
2026-01-07,-1.0,-0.23,429.0,,24130,119,438.6,438.6,426.0
2026-01-06,13.7,3.29,430.0,,42235,200,422.0,433.0,422.0
2026-01-05,3.0,0.73,416.3,44.31,10689,73,417.4,417.4,410.5
2026-01-04,-3.7,-0.89,413.3,28.93,7013,67,417.9,418.0,411.0
2026-01-01,-6.9,-1.63,417.0,30.46,7316,59,428.0,428.0,415.0
2025-12-31,1.9,0.45,423.9,76.3,17935,76,425.0,430.4,419.0
2025-12-29,2.0,0.48,422.0,30.82,7295,64,428.0,428.0,417.1
2025-12-28,12.7,3.12,420.0,83.44,20112,127,413.0,420.0,408.1
2025-12-24,-5.4,-1.31,407.3,49.28,12069,88,417.9,417.9,406.0
2025-12-23,1.7,0.41,412.7,34.49,8420,59,412.0,415.0,408.0
2025-12-22,-3.9,-0.94,411.0,32.65,7942,69,414.0,414.0,409.1
2025-12-21,-2.1,-0.5,414.9,50.83,12293,82,419.0,419.0,411.6
2025-12-18,-6.0,-1.42,417.0,,24729,152,428.0,428.0,416.0
2025-12-17,5.0,1.2,423.0,,30426,136,418.3,431.0,418.0
2025-12-16,0.0,0.0,418.0,87.72,20940,120,424.0,424.0,416.0
2025-12-15,0.9,0.22,418.0,87.28,20898,107,410.5,425.0,410.5
2025-12-14,-10.4,-2.43,417.1,75.63,17950,93,425.0,432.0,416.6
2025-12-11,-0.5,-0.12,427.5,41.59,9789,78,432.0,432.0,421.4
2025-12-10,-10.0,-2.28,428.0,29.58,6854,71,443.0,443.0,428.0
2025-12-09,0.0,0.0,438.0,55.27,12733,75,440.0,444.8,430.0
2025-12-08,-1.0,-0.23,438.0,53.58,12221,79,430.3,447.0,430.3
2025-12-07,-2.0,-0.45,439.0,83.65,18877,132,448.9,450.0,435.0
2025-12-03,9.0,2.08,441.0,,52854,328,435.0,450.0,435.0
2025-12-02,5.0,1.17,432.0,31.23,7226,56,435.0,438.0,427.5
2025-12-01,3.0,0.71,427.0,40.12,9314,55,428.0,434.9,424.0
2025-11-30,-10.0,-2.3,424.0,73.75,17162,96,438.0,439.0,423.5
2025-11-27,-6.0,-1.36,434.0,49.16,11386,77,439.0,439.0,427.0
2025-11-26,-5.0,-1.12,440.0,35.67,8117,50,451.0,451.0,437.0
2025-11-25,3.0,0.68,445.0,75.89,17048,95,447.0,450.0,441.0
2025-11-24,11.0,2.55,442.0,32.0,7329,80,436.9,442.0,433.0
2025-11-23,9.0,2.13,431.0,24.08,5608,69,427.9,435.0,423.2
2025-11-20,-2.8,-0.66,422.0,56.24,13255,92,430.0,433.2,419.0
2025-11-19,-2.5,-0.59,424.8,30.3,7159,46,433.0,433.0,420.0
2025-11-18,0.3,0.07,427.3,42.49,9825,47,431.0,438.9,425.2
2025-11-17,1.9,0.45,427.0,30.27,7112,60,420.0,430.0,416.6
2025-11-16,-3.4,-0.79,425.1,21.19,4979,39,434.9,434.9,421.0
2025-11-13,1.5,0.35,428.5,31.65,7418,44,426.0,429.9,424.0
2025-11-12,-4.9,-1.13,427.0,50.69,11883,79,435.0,435.0,425.0
2025-11-11,-3.1,-0.71,431.9,33.78,7850,53,439.0,439.0,427.3
2025-11-10,-3.0,-0.68,435.0,59.89,13885,102,435.0,438.7,428.0
2025-11-09,-16.6,-3.65,438.0,,27575,141,446.0,446.2,436.0
2025-11-06,3.6,0.8,454.6,,48435,355,457.0,470.0,454.0
2025-11-05,16.0,3.68,451.0,,24197,146,443.7,452.0,425.1
