DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.1,0.46,462.0,55.16,11927,263,459.0,468.8,459.0
2026-05-07,1.9,0.41,459.9,46.94,10239,194,457.0,461.0,457.0
2026-05-06,2.0,0.44,458.0,19.25,4222,193,456.0,460.0,453.0
2026-05-05,-0.1,-0.02,456.0,49.02,10764,243,452.1,459.0,451.2
2026-05-04,-4.0,-0.87,456.1,55.64,12187,246,456.0,460.0,456.0
2026-04-30,1.1,0.24,460.1,63.31,13805,212,457.1,461.0,454.0
2026-04-29,-2.9,-0.63,459.0,78.29,17090,279,470.0,470.0,456.3
2026-04-28,-7.1,-1.51,461.9,72.14,15629,398,469.0,465.0,460.0
2026-04-27,11.0,2.4,469.0,,50640,536,458.0,469.0,455.5
2026-04-24,0.3,0.07,458.0,44.25,9676,242,457.0,460.0,455.0
2026-04-23,-2.4,-0.52,457.7,51.56,11273,303,457.1,463.0,455.0
2026-04-22,-2.9,-0.63,460.1,,31773,362,457.0,465.0,456.8
2026-04-21,-2.0,-0.43,463.0,34.35,7430,327,455.0,466.0,455.0
2026-04-20,-4.7,-1.0,465.0,57.02,12293,408,470.0,473.0,460.0
2026-04-17,0.9,0.19,469.7,71.67,15386,298,467.0,469.7,465.0
2026-04-16,-1.4,-0.3,468.8,,25212,353,468.1,474.0,468.1
2026-04-15,4.2,0.9,470.2,,30744,621,467.2,477.0,467.2
2026-04-13,-2.0,-0.43,466.0,45.14,9671,349,465.1,473.5,465.1
2026-04-10,-7.0,-1.47,468.0,86.87,18488,359,474.0,475.0,467.5
2026-04-09,4.2,0.89,475.0,,28591,383,479.0,479.0,465.6
2026-04-08,5.8,1.25,470.8,89.56,19147,339,468.0,471.9,464.0
2026-04-07,0.0,0.0,465.0,,50597,396,465.0,469.9,463.0
2026-04-06,11.0,2.42,465.0,,39706,410,454.0,466.7,452.0
2026-04-05,-15.0,-3.2,454.0,,45889,516,461.1,464.0,453.0
2026-04-02,0.5,0.11,469.0,,34933,429,460.5,472.4,460.5
