DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.4,1.58,668.0,9.85,1488,30,676.9,676.9,655.0
2026-05-07,5.6,0.86,657.6,44.69,6834,54,645.1,661.0,645.1
2026-05-06,0.9,0.14,652.0,15.65,2395,47,651.1,660.0,651.1
2026-05-05,0.0,0.0,651.1,28.52,4376,51,647.0,656.8,640.0
2026-05-04,-13.9,-2.09,651.1,42.49,6457,57,665.0,665.0,651.0
2026-04-30,2.0,0.3,665.0,33.23,4978,50,664.0,679.0,660.0
2026-04-29,-9.2,-1.37,663.0,23.97,3608,43,672.2,672.2,660.1
2026-04-28,-7.5,-1.1,672.2,41.32,6138,53,679.7,680.0,671.5
2026-04-27,5.7,0.85,679.7,22.02,3258,48,674.0,679.9,670.2
2026-04-24,2.0,0.3,674.0,27.28,4041,28,672.0,685.0,668.0
2026-04-23,-3.0,-0.44,672.0,30.88,4594,39,675.0,685.0,667.2
2026-04-22,-9.9,-1.45,675.0,52.04,7704,70,691.9,691.9,670.0
2026-04-21,-8.0,-1.15,684.9,56.11,8194,52,712.0,712.0,683.0
2026-04-20,4.9,0.71,692.9,76.18,11218,64,671.0,697.0,671.0
2026-04-17,-12.0,-1.71,688.0,77.51,11325,113,689.0,690.0,675.5
2026-04-16,-13.0,-1.82,700.0,72.47,10367,82,719.0,719.0,691.0
2026-04-15,11.0,1.57,713.0,,17804,115,700.0,715.0,700.0
2026-04-13,-1.1,-0.16,702.0,63.79,9170,93,705.0,705.0,690.0
2026-04-10,-1.9,-0.27,703.1,54.37,7725,79,717.0,717.0,695.0
2026-04-09,3.0,0.43,705.0,,14519,145,710.0,714.0,700.2
2026-04-08,17.0,2.48,702.0,,21744,135,680.0,707.0,678.0
2026-04-07,-8.0,-1.15,685.0,85.51,12369,72,706.7,706.7,685.0
2026-04-06,21.0,3.12,693.0,,17149,123,680.0,699.0,680.0
2026-04-05,-24.0,-3.45,672.0,,45735,193,683.0,687.0,672.0
2026-04-02,-13.0,-1.83,696.0,,23222,146,696.1,714.0,690.0
2026-04-01,-19.5,-2.68,709.0,,43447,195,717.5,729.0,701.0
2026-03-31,5.5,0.76,728.5,,28981,210,723.0,735.0,707.0
2026-03-30,-5.9,-0.81,723.0,,58607,360,728.9,740.0,718.0
2026-03-29,-1.1,-0.15,728.9,,63151,298,732.0,739.9,716.0
2026-03-26,4.0,0.55,730.0,,46327,209,734.0,735.0,697.7
2026-03-25,-9.0,-1.22,726.0,,75711,311,735.0,735.0,696.8
2026-03-24,-12.5,-1.67,735.0,,31791,259,747.5,750.0,733.0
2026-03-23,13.6,1.85,747.5,,72131,573,740.1,763.0,740.0
2026-03-22,46.9,6.83,733.9,,106345,647,696.0,741.5,690.0
2026-03-19,17.0,2.54,687.0,,36401,227,668.0,688.5,668.0
2026-03-17,-4.0,-0.59,670.0,71.82,10680,85,669.0,675.0,669.0
2026-03-16,-9.0,-1.32,674.0,,18633,91,673.1,682.0,671.2
2026-03-15,3.1,0.46,683.0,78.7,11614,90,666.4,691.5,666.4
2026-03-12,4.6,0.68,679.9,,25126,161,666.0,724.0,662.0
2026-03-11,-13.7,-1.99,675.3,93.8,13826,120,675.3,692.0,670.1
2026-03-10,-21.0,-2.96,689.0,,57251,281,724.2,724.2,680.0
2026-03-09,40.0,5.97,710.0,,50,5,683.4,710.0,683.4
2026-03-03,11.1,1.68,670.0,,18352,92,650.1,672.0,650.1
2026-03-01,17.8,2.78,658.9,67.81,10373,82,628.3,672.0,628.3
2026-02-26,-9.9,-1.52,641.1,34.29,5299,46,664.0,664.0,641.0
2026-02-25,0.0,0.0,651.0,14.17,2196,39,655.0,655.0,641.0
2026-02-24,15.9,2.5,651.0,59.07,9202,78,635.1,651.0,628.8
2026-02-23,0.7,0.11,635.1,23.93,3761,42,634.4,645.0,634.4
2026-02-22,-6.6,-1.03,634.4,54.86,8638,83,653.0,653.0,630.0
2026-02-17,-10.0,-1.54,641.0,,18647,110,659.0,659.0,641.0
2026-02-16,-3.1,-0.47,651.0,69.76,10664,85,665.0,665.0,651.0
2026-02-12,-1.9,-0.29,654.1,94.89,14480,103,650.2,660.0,650.2
2026-02-11,2.0,0.31,656.0,,31844,81,667.0,667.0,652.0
2026-02-10,-4.0,-0.61,654.0,,28859,84,651.0,660.5,650.0
2026-02-09,-4.0,-0.6,658.0,88.53,13445,71,662.0,667.0,656.1
2026-02-08,-8.5,-1.27,662.0,,27676,141,671.0,680.0,662.0
2026-02-05,8.5,1.28,670.5,,16369,119,665.0,674.0,652.1
2026-02-04,8.9,1.36,662.0,75.72,11464,69,660.0,666.0,656.5
2026-02-03,-8.4,-1.27,653.1,,24480,109,652.1,660.0,652.0
2026-02-02,4.5,0.68,661.5,65.32,9983,85,668.8,668.8,651.3
2026-02-01,-0.9,-0.14,657.0,,15761,88,646.1,662.0,646.1
2026-01-29,1.5,0.23,657.9,,28029,129,650.1,664.0,650.1
2026-01-28,-0.6,-0.09,656.4,,19513,148,643.9,672.0,643.9
2026-01-27,-19.0,-2.81,657.0,,49033,259,685.0,685.0,645.9
2026-01-26,-13.0,-1.89,676.0,,40007,254,690.0,695.0,665.2
2026-01-25,24.0,3.61,689.0,,47011,322,666.0,700.7,666.0
2026-01-22,10.0,1.53,665.0,,47006,274,650.0,675.0,650.0
2026-01-21,3.1,0.48,655.0,,40590,198,662.0,664.9,645.2
2026-01-20,6.9,1.07,651.9,,50111,273,645.0,665.0,642.3
2026-01-18,5.1,0.8,645.0,,15687,123,643.0,650.0,635.0
2026-01-14,4.9,0.77,639.9,47.66,7484,99,626.0,698.5,626.0
2026-01-13,0.0,0.0,635.0,69.07,10951,94,640.0,645.9,628.2
2026-01-12,-7.0,-1.09,635.0,50.24,7937,74,633.1,641.0,631.3
2026-01-08,2.0,0.31,642.0,92.89,14461,103,633.0,650.0,633.0
2026-01-07,2.1,0.33,640.0,64.44,10090,82,628.2,645.2,628.2
2026-01-06,-1.9,-0.3,637.9,,17306,123,635.0,649.0,630.0
2026-01-05,7.3,1.15,639.8,,19280,136,632.7,643.0,627.2
2026-01-04,-10.5,-1.63,632.5,46.91,7405,88,630.2,649.9,578.7
2026-01-01,3.1,0.48,643.0,81.66,12911,97,630.0,643.0,630.0
2025-12-31,0.2,0.03,639.9,61.81,9739,63,627.0,652.0,627.0
2025-12-29,-2.3,-0.36,639.7,79.82,12445,71,631.0,665.0,631.0
2025-12-28,8.0,1.26,642.0,39.59,6208,63,646.0,646.0,626.2
2025-12-24,6.3,1.0,634.0,45.48,7238,48,617.0,634.0,617.0
2025-12-23,-2.2,-0.35,627.7,67.37,10742,77,620.1,642.4,620.1
2025-12-22,-4.1,-0.65,629.9,23.83,3795,59,626.0,646.5,625.3
2025-12-21,-13.8,-2.13,634.0,50.88,7961,88,635.0,652.0,633.2
2025-12-18,-13.2,-2.0,647.8,93.9,14456,118,655.0,668.0,640.0
2025-12-17,17.0,2.64,661.0,,41769,210,632.0,664.0,632.0
2025-12-16,21.0,3.37,644.0,46.91,7389,80,620.0,644.0,620.0
2025-12-15,-5.0,-0.8,623.0,62.33,10005,74,620.0,637.0,620.0
2025-12-14,0.0,0.0,628.0,36.34,5826,69,639.9,639.9,618.0
2025-12-11,-6.0,-0.95,628.0,,19822,121,628.0,652.6,622.0
2025-12-10,-0.8,-0.13,634.0,72.38,11570,112,643.0,643.0,615.0
2025-12-09,2.9,0.46,634.8,72.61,11481,84,644.0,644.0,627.0
2025-12-08,-3.0,-0.47,631.9,78.03,12310,101,647.1,660.0,623.2
2025-12-07,-13.1,-2.02,634.9,58.91,9270,103,645.0,645.0,630.0
2025-12-03,-11.0,-1.67,648.0,73.61,11298,97,650.0,670.0,641.1
2025-12-02,-0.9,-0.14,659.0,42.94,6532,65,659.8,668.5,651.0
2025-12-01,1.9,0.29,659.9,81.04,12283,103,655.0,665.0,650.1
2025-11-30,-21.9,-3.22,658.0,,26104,197,666.5,683.0,653.2
2025-11-27,19.9,3.02,679.9,,38330,279,660.0,685.0,660.0
2025-11-26,10.0,1.54,660.0,,54476,142,642.0,668.0,641.0
2025-11-25,-8.0,-1.22,650.0,80.69,12414,98,660.0,660.0,645.1
2025-11-24,15.1,2.35,658.0,,25375,193,655.7,659.5,629.8
2025-11-23,29.0,4.72,642.9,,30310,239,625.0,645.0,615.3
2025-11-20,2.5,0.41,613.9,62.84,10302,91,610.0,615.0,600.0
2025-11-19,0.4,0.07,611.4,11.18,1842,45,598.8,620.0,598.8
2025-11-18,3.0,0.49,611.0,44.74,7279,74,619.0,620.0,611.0
2025-11-17,5.3,0.88,608.0,40.97,6761,48,601.1,609.0,601.1
2025-11-16,-4.3,-0.71,602.7,86.94,14595,93,608.2,611.0,589.2
2025-11-13,1.0,0.17,607.0,62.89,10365,71,617.8,617.8,600.0
2025-11-12,-13.9,-2.24,606.0,47.85,7823,75,632.0,632.0,606.0
2025-11-11,-3.0,-0.48,619.9,50.74,8261,70,620.0,625.0,611.0
2025-11-10,5.5,0.89,622.9,54.29,8752,78,613.1,629.0,613.1
2025-11-09,-16.1,-2.54,617.4,43.05,6957,83,633.5,633.5,615.0
2025-11-06,4.4,0.7,633.5,52.29,8234,76,640.0,645.0,628.0
2025-11-05,-1.0,-0.16,629.1,30.61,4880,60,639.0,639.0,623.0
2025-11-04,-10.9,-1.7,630.1,,16594,109,641.0,641.0,630.0
2025-11-03,-18.0,-2.73,641.0,,16476,141,659.0,659.0,637.0
2025-11-02,9.0,1.38,659.0,,15876,130,650.0,672.0,650.0
2025-10-30,20.0,3.17,650.0,,28510,166,635.0,655.9,621.0
2025-10-29,-8.0,-1.25,630.0,59.1,9290,116,645.0,649.7,626.0
2025-10-28,43.0,7.23,638.0,78.8,12596,152,606.0,648.0,595.0
2025-10-26,-2.0,-0.34,595.0,20.08,3386,44,596.0,596.0,586.0
2025-10-19,0.5,0.08,597.0,28.82,4810,50,600.0,604.7,593.0
2025-10-16,-1.5,-0.25,596.5,20.61,3461,55,596.0,602.0,590.0
2025-10-15,-5.0,-0.83,598.0,49.98,8302,79,615.0,627.0,598.0
2025-10-14,-7.0,-1.15,603.0,55.84,9235,65,615.0,615.0,602.7
2025-10-13,5.0,0.83,610.0,63.78,10434,82,605.1,621.0,600.0
2025-10-12,-29.0,-4.57,605.0,48.58,7958,114,622.0,629.0,602.4
2025-10-09,20.0,3.26,634.0,,16595,153,626.2,651.0,620.0
2025-10-08,-15.0,-2.38,614.0,94.8,15532,155,625.0,625.0,601.0
2025-10-07,-20.0,-3.08,629.0,,16174,157,648.0,648.0,622.0
2025-09-28,-10.9,-1.65,649.0,,16766,178,660.0,660.0,637.4
2025-09-25,-10.1,-1.51,659.9,,15547,123,660.0,665.0,652.0
2025-09-24,-13.0,-1.9,670.0,,19368,119,670.0,685.0,660.0
2025-09-23,27.53,4.2,683.0,,35831,162,650.0,683.0,650.0
2025-09-21,22.47,3.55,655.47,,28227,179,625.0,671.0,625.0
2025-09-18,-38.72,-5.76,633.0,7.54,1181,13,658.3,659.0,633.0
2025-09-08,-12.08,-1.77,671.72,54.72,8127,82,673.3,680.0,670.0
2025-09-07,2.62,0.38,683.8,57.63,8442,66,667.9,687.7,667.9
2025-09-04,5.59,0.83,681.18,,20635,97,676.0,684.0,673.2
2025-09-03,-1.9,-0.28,675.59,42.26,6242,76,675.0,684.0,675.0
2025-09-02,-3.58,-0.53,677.49,54.9,8087,92,690.0,690.0,676.0
2025-09-01,2.68,0.4,681.07,57.83,8518,85,678.39,686.0,673.0
2025-08-31,-11.49,-1.67,678.39,83.43,12241,139,689.88,689.88,676.1
2025-08-28,-18.74,-2.64,689.88,,24325,225,700.1,709.0,688.0
2025-08-27,16.26,2.35,708.62,,20265,185,687.1,710.0,687.0
2025-08-26,-3.77,-0.54,692.36,,15856,120,696.13,703.0,691.1
2025-08-25,14.44,2.12,696.13,,24006,265,695.3,720.0,690.0
2025-08-24,-4.61,-0.67,681.69,74.98,10964,111,681.0,690.0,681.0
2025-08-21,-5.54,-0.8,686.3,74.22,10783,125,689.1,694.0,685.1
2025-08-20,0.32,0.05,691.84,70.41,10176,113,692.0,699.0,688.0
2025-08-19,1.76,0.26,691.52,63.05,9058,104,690.1,702.0,690.1
2025-08-18,0.05,0.01,689.76,,14557,145,699.0,700.0,686.1
2025-08-17,-11.22,-1.6,689.71,,23832,179,696.0,704.0,686.0
2025-08-14,-0.66,-0.09,700.93,,21177,197,715.0,715.0,698.0
2025-08-13,-6.84,-0.97,701.59,,21650,219,710.0,715.0,701.1
2025-08-12,-22.48,-3.08,708.43,,33616,277,735.0,735.0,703.0
2025-08-11,-14.77,-1.98,730.91,,34369,246,759.0,759.9,728.0
2025-08-07,2.02,0.27,745.68,,25483,204,750.0,750.0,739.2
2025-08-06,-2.71,-0.36,743.66,,33189,259,761.0,761.0,740.0
2025-08-05,-2.3,-0.31,746.37,,50683,456,750.0,770.0,728.0
2025-08-04,-1.69,-0.23,748.67,,47946,372,743.0,765.0,735.0
2025-08-03,-41.87,-5.29,750.36,,89462,638,790.0,790.0,749.0
2025-07-31,-13.45,-1.67,792.23,,61547,487,811.0,820.0,787.2
2025-07-30,-40.55,-4.79,805.68,,78800,614,830.0,845.0,802.0
2025-07-29,11.41,1.37,846.23,,107542,761,850.0,860.0,834.0
2025-07-28,-8.9,-1.05,834.82,,75708,671,833.0,845.0,820.5
2025-07-27,7.38,0.88,843.72,,193067,1273,853.0,880.0,840.0
2025-07-24,22.7,2.79,836.34,,213309,1144,815.0,855.0,790.0
2025-07-23,-34.8,-4.1,813.64,,166359,1106,860.0,860.0,800.0
2025-07-22,52.46,6.59,848.44,,166112,1205,780.1,860.0,780.1
2025-07-21,57.77,7.83,795.98,,237565,1401,740.0,802.0,740.0
2025-07-20,26.94,3.79,738.21,,162584,769,716.0,759.0,702.1
2025-07-17,10.08,1.44,711.27,,38563,321,709.0,715.0,697.9
2025-07-16,11.57,1.68,701.19,,22205,229,699.8,704.8,693.4
2025-07-15,9.49,1.4,689.62,83.48,12205,118,685.0,690.9,675.0
2025-07-14,-15.25,-2.19,680.13,,23980,168,687.0,690.0,675.0
2025-07-13,16.36,2.41,695.38,,43937,336,692.6,713.0,684.0
2025-07-10,14.91,2.25,679.02,,16044,168,668.0,681.0,668.0
2025-07-09,2.93,0.44,664.11,66.04,9940,72,670.0,671.0,663.0
2025-07-08,-0.83,-0.13,661.18,53.61,8077,75,674.0,674.0,660.0
2025-07-07,-7.45,-1.11,662.01,,18379,85,679.0,679.0,660.6
2025-07-06,-12.15,-1.78,669.46,,23181,166,685.0,685.0,663.0
2025-07-03,4.65,0.69,681.61,,17786,129,684.0,688.7,671.0
2025-07-02,6.53,0.97,676.96,,35343,187,671.0,688.0,668.0
2025-07-01,4.87,0.73,670.43,,19673,179,665.56,678.0,660.1
2025-06-30,2.02,0.3,665.56,,15590,114,656.0,672.9,653.0
2025-06-29,8.03,1.23,663.54,50.57,7696,64,649.0,665.0,647.0
2025-06-26,7.15,1.1,655.51,51.97,7957,103,648.36,663.0,645.1
2025-06-25,-0.2,-0.03,648.36,66.52,10161,47,660.0,660.0,646.8
2025-06-24,-4.39,-0.67,648.56,41.72,6398,76,664.0,664.0,648.0
2025-06-23,4.94,0.76,652.95,80.32,12420,102,644.0,670.0,638.0
2025-06-22,-7.34,-1.12,648.01,73.94,11428,125,653.0,653.0,642.3
2025-06-19,-7.7,-1.16,655.35,69.82,10593,108,656.0,672.0,653.0
2025-06-18,-2.17,-0.33,663.05,,18782,57,671.8,671.8,658.0
2025-06-17,3.97,0.6,665.22,,33211,199,668.9,680.0,661.1
2025-06-16,7.99,1.22,661.25,93.04,14101,105,653.26,666.3,652.1
2025-06-15,-7.59,-1.15,653.26,41.44,6331,92,660.0,665.0,651.0
2025-06-12,1.67,0.25,660.85,25.68,3887,62,669.0,669.0,656.0
2025-06-11,-12.61,-1.88,659.18,,18028,87,679.6,679.6,658.0
2025-06-10,9.25,1.4,671.79,,14843,131,674.1,728.7,660.0
2025-06-09,-4.14,-0.62,662.54,47.56,7161,74,678.3,678.3,659.2
2025-06-08,16.62,2.56,666.68,73.32,11206,118,650.06,671.5,645.5
2025-06-05,-5.73,-0.87,650.06,,21010,93,646.0,664.9,646.0
2025-06-04,-9.79,-1.47,655.79,57.4,8697,99,678.8,678.8,650.0
2025-06-03,-12.5,-1.84,665.58,,17321,93,678.1,678.1,664.6
2025-06-02,2.55,0.38,678.08,,21185,103,686.0,686.0,677.3
2025-05-28,-1.93,-0.28,675.53,,15168,120,666.5,683.0,666.5
2025-05-27,-7.42,-1.08,677.46,48.76,7180,80,686.0,686.0,676.0
2025-05-26,-12.01,-1.72,684.88,,29119,185,705.0,711.0,683.0
2025-05-25,10.17,1.48,696.89,,26038,240,680.0,703.8,680.0
2025-05-22,15.12,2.25,686.72,,30820,285,680.0,692.5,670.0
2025-05-21,1.3,0.19,671.6,,29988,194,683.5,708.0,667.2
2025-05-20,11.74,1.78,670.3,73.08,10942,135,658.0,675.0,655.0
