DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,107.0,2.9,3800.0,,36444,832,3631.0,3800.0,3631.0
2026-05-07,4.0,0.11,3693.0,,38611,674,3690.0,3724.0,3636.1
2026-05-06,-61.0,-1.63,3689.0,,43504,929,3700.1,3775.0,3619.0
2026-05-05,30.0,0.81,3750.0,,33951,728,3790.0,3839.9,3675.0
2026-05-04,-130.2,-3.38,3720.0,,47038,717,3865.0,3949.0,3699.0
2026-04-30,40.1,1.05,3850.2,,70158,1522,3780.0,3989.0,3700.0
2026-04-29,-189.9,-4.75,3810.1,,62734,1510,4000.0,4000.0,3790.0
2026-04-28,-239.0,-5.64,4000.0,,85116,1751,4239.0,4270.0,3981.0
2026-04-27,19.0,0.45,4239.0,,72187,961,4203.0,4346.0,4195.0
2026-04-24,-100.0,-2.31,4220.0,,58569,887,4291.0,4330.0,4200.0
2026-04-23,90.0,2.13,4320.0,,70488,1501,4180.0,4425.0,4070.0
2026-04-22,-60.0,-1.4,4230.0,,78442,1744,4080.0,4326.0,4080.0
2026-04-21,-189.0,-4.22,4290.0,,68901,1403,4390.1,4539.9,4210.0
2026-04-20,-170.1,-3.66,4479.0,,42038,951,4700.0,4700.0,4465.0
2026-04-17,283.1,6.48,4649.1,,72648,2081,4400.0,4730.0,4300.0
2026-04-16,-164.0,-3.62,4366.0,,140365,3636,4501.0,4600.0,4280.0
2026-04-15,-269.0,-5.61,4530.0,,106020,2586,4799.0,4896.0,4500.0
2026-04-13,108.0,2.3,4799.0,,94947,2155,4775.4,5049.0,4611.0
2026-04-10,401.6,9.36,4691.0,,93429,2361,4375.1,4718.3,4375.1
2026-04-09,389.9,10.0,4289.4,,68240,1651,3977.0,4289.4,3825.0
2026-04-08,354.5,10.0,3899.5,,110003,2847,3545.0,3899.5,3545.0
2026-04-07,36.0,1.03,3545.0,,68424,2319,3509.0,3650.0,3440.0
2026-04-06,-57.0,-1.6,3509.0,,326117,9683,3637.3,3922.6,3210.0
2026-04-05,324.1,10.0,3566.0,,18487,547,3306.7,3566.0,3306.7
2026-04-02,294.7,10.0,3241.9,,16025,457,3006.1,3241.9,3006.1
2026-04-01,267.9,10.0,2947.2,,5120,139,2678.2,2947.2,2678.2
2026-03-31,243.5,10.0,2679.3,56.24,2107,64,2430.1,2679.3,2430.1
2026-03-30,221.4,10.0,2435.8,55.74,2297,81,2203.9,2435.8,2203.9
2026-03-29,201.3,10.0,2214.4,49.14,2225,62,2009.7,2214.4,2009.7
2026-03-26,183.0,10.0,2013.1,67.59,3368,93,1821.0,2013.1,1821.0
2026-03-25,166.3,10.0,1830.1,18.53,1020,28,1697.0,1830.1,1697.0
2026-03-24,151.2,10.0,1663.8,8.83,543,19,1494.4,1663.8,1494.4
2026-03-23,137.5,10.0,1512.6,7.14,480,17,1361.4,1512.6,1361.4
2026-03-22,125.0,10.0,1375.1,5.04,375,12,1235.0,1375.1,1235.0
2026-03-19,113.6,10.0,1250.1,9.46,770,21,1120.5,1250.1,1120.5
2026-03-17,103.3,10.0,1136.5,2.7,250,13,1017.8,1136.5,1017.8
2026-03-16,93.9,10.0,1033.2,1.68,170,11,921.2,1033.2,921.2
2026-03-15,46.0,5.15,939.3,,80,4,885.2,939.3,885.2
2026-03-12,81.2,10.0,893.3,1.36,160,8,802.1,893.3,802.1
2026-03-11,69.3,9.33,812.1,,60,6,735.6,812.1,735.6
2026-03-10,67.5,10.0,742.8,,80,7,688.8,742.8,688.8
2026-03-09,-10.2,-1.49,675.3,,10,1,675.3,675.3,675.3
2026-03-03,61.3,9.82,685.5,,60,6,621.1,685.5,621.1
2026-03-01,56.7,9.99,624.2,,110,8,561.9,624.2,561.9
2026-02-26,48.1,9.26,567.5,,60,6,514.3,567.5,514.3
2026-02-25,47.2,10.0,519.4,,60,6,467.5,519.4,467.5
2026-02-24,40.2,9.31,472.2,,60,6,427.9,472.2,427.9
2026-02-23,36.7,9.28,432.0,,60,6,391.5,432.0,391.5
2026-02-22,33.5,9.26,395.3,,60,6,358.2,395.3,358.2
2026-02-17,31.8,9.64,361.8,,60,6,328.0,361.8,328.0
2026-02-16,30.0,10.0,330.0,,130,11,300.0,330.0,300.0
