DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.5,0.69,654.0,23.18,3558,38,649.5,654.0,641.1
2026-05-07,6.6,1.03,649.5,10.68,1651,38,642.0,655.0,638.4
2026-05-06,-7.0,-1.08,642.9,26.98,4182,51,641.0,659.0,641.0
2026-05-05,14.9,2.35,649.9,25.22,3899,63,640.0,650.0,636.0
2026-05-04,-15.1,-2.32,635.0,,15723,100,650.0,655.0,635.0
2026-04-30,-4.9,-0.75,650.1,36.97,5680,45,643.0,665.3,641.2
2026-04-29,-10.0,-1.5,655.0,14.78,2267,55,660.0,660.0,650.0
2026-04-28,4.9,0.74,665.0,25.44,3860,73,660.1,669.0,651.2
2026-04-27,3.0,0.46,660.1,19.03,2874,61,657.1,666.0,657.0
2026-04-24,-4.1,-0.62,657.1,19.11,2906,40,661.2,660.0,655.1
2026-04-23,-6.8,-1.02,661.2,16.24,2448,55,668.0,673.0,661.0
2026-04-22,-2.0,-0.3,668.0,63.21,9524,114,667.0,670.0,659.0
2026-04-21,-1.3,-0.19,670.0,18.58,2773,69,671.3,674.0,667.2
2026-04-20,-9.3,-1.37,671.3,34.87,5185,95,665.6,684.0,661.0
2026-04-17,3.1,0.46,680.6,50.62,7487,108,685.0,685.0,674.0
2026-04-16,-6.1,-0.89,677.5,,24600,104,673.0,681.9,672.1
2026-04-15,7.6,1.12,683.6,,22553,140,688.0,688.0,666.4
2026-04-13,4.0,0.6,676.0,,20604,150,670.0,684.0,658.6
2026-04-10,0.9,0.13,672.0,,16509,74,679.9,679.9,667.0
2026-04-09,1.1,0.16,671.1,77.47,11527,77,670.0,680.0,668.0
2026-04-08,22.0,3.4,670.0,66.27,9980,98,660.9,670.0,654.0
2026-04-07,-6.0,-0.92,648.0,48.18,7375,87,658.1,667.0,645.0
2026-04-06,18.0,2.83,654.0,98.05,15220,92,638.0,657.9,638.0
2026-04-05,-27.0,-4.07,636.0,,19672,170,650.0,660.0,631.0
2026-04-02,-7.0,-1.04,663.0,48.31,7310,106,657.0,673.1,643.6
2026-04-01,-13.0,-1.9,670.0,,16296,130,695.9,695.9,660.0
2026-03-31,3.0,0.44,683.0,66.8,9821,83,693.0,693.0,667.2
2026-03-30,-17.9,-2.56,680.0,93.4,13616,128,694.0,695.0,680.0
2026-03-29,9.1,1.32,697.9,,57028,392,702.0,710.0,678.1
2026-03-26,1.8,0.26,688.8,54.51,7910,94,685.0,699.7,685.0
2026-03-25,-12.9,-1.84,687.0,,25491,187,705.8,708.8,686.0
2026-03-24,12.0,1.74,699.9,,27975,168,681.2,701.0,681.1
2026-03-23,-1.1,-0.16,687.9,57.42,8412,99,689.0,692.0,678.1
2026-03-22,8.8,1.29,689.0,,21224,186,692.0,692.0,679.0
2026-03-19,0.2,0.03,680.2,,19942,154,692.8,692.8,680.0
2026-03-17,-9.0,-1.31,680.0,47.16,6929,81,680.0,686.9,675.3
2026-03-16,-9.0,-1.29,689.0,69.8,10233,103,685.0,695.0,676.0
2026-03-15,-1.0,-0.14,698.0,40.21,5823,74,699.0,705.0,683.0
2026-03-12,24.0,3.56,699.0,,16487,127,685.8,699.0,670.6
2026-03-11,-15.0,-2.17,675.0,97.68,14319,122,703.8,703.8,673.3
2026-03-10,-19.5,-2.75,690.0,,18968,220,715.0,715.0,682.1
2026-03-09,40.6,6.07,709.5,1.93,276,5,682.2,709.5,682.2
2026-03-03,8.9,1.35,668.9,36.78,5521,51,669.8,673.0,656.2
2026-03-01,2.4,0.36,660.0,43.26,6572,70,645.1,665.0,644.5
2026-02-26,2.7,0.41,657.6,17.77,2711,39,651.0,660.0,650.0
2026-02-25,1.9,0.29,654.9,23.14,3547,41,663.0,663.0,650.0
2026-02-24,4.0,0.62,653.0,19.01,2926,38,649.0,656.0,645.2
2026-02-23,0.0,0.0,649.0,18.85,2899,38,649.2,658.8,649.0
2026-02-22,-11.0,-1.67,649.0,47.02,7259,90,650.1,654.0,645.0
2026-02-17,6.0,0.92,660.0,33.63,5153,77,654.0,667.0,650.0
2026-02-16,-3.0,-0.46,654.0,,17022,82,658.1,670.0,654.0
2026-02-12,-8.0,-1.2,657.0,,16906,110,665.0,668.0,656.0
2026-02-11,5.9,0.9,665.0,55.3,8386,85,670.0,679.0,656.0
2026-02-10,-7.9,-1.18,659.1,70.93,10708,100,656.0,670.0,656.0
2026-02-09,-3.0,-0.45,667.0,,20351,89,665.1,677.0,659.0
2026-02-08,-1.1,-0.16,670.0,,15547,104,679.1,679.1,670.0
2026-02-05,0.1,0.01,671.1,51.73,7709,74,667.2,677.9,667.2
2026-02-04,6.8,1.02,671.0,83.55,12521,85,675.0,675.0,663.0
2026-02-03,0.2,0.03,664.2,89.32,13418,116,663.0,674.9,660.0
2026-02-02,-3.9,-0.58,664.0,51.02,7695,73,670.0,670.0,661.0
2026-02-01,-0.6,-0.09,667.9,67.62,10175,100,680.0,680.0,662.1
2026-01-29,-7.5,-1.11,668.5,,26026,168,677.0,681.0,667.0
2026-01-28,6.0,0.9,676.0,67.08,9992,106,673.0,680.0,661.0
2026-01-27,-12.0,-1.76,670.0,94.28,13955,132,673.1,684.0,670.0
2026-01-26,-1.0,-0.15,682.0,,27394,185,680.0,689.9,673.0
2026-01-25,8.0,1.19,683.0,95.08,13941,148,687.0,687.0,675.0
2026-01-22,7.0,1.05,675.0,83.56,12444,119,670.0,676.0,667.0
2026-01-21,-1.0,-0.15,668.0,74.34,11114,102,671.0,676.0,665.0
2026-01-20,4.0,0.6,669.0,,22592,173,675.0,678.0,667.1
2026-01-18,5.0,0.76,665.0,88.73,13344,97,673.0,673.0,660.0
2026-01-14,3.0,0.46,660.0,73.2,11062,110,670.0,670.0,657.0
2026-01-13,1.0,0.15,657.0,79.43,12019,113,667.0,668.0,656.0
2026-01-12,-12.0,-1.8,656.0,,23160,183,679.5,681.3,656.0
2026-01-08,-2.0,-0.3,668.0,64.1,9636,104,658.0,680.0,658.0
2026-01-07,-5.0,-0.74,670.0,,18198,152,671.0,680.0,665.0
2026-01-06,-62.0,-8.41,675.0,,140080,651,722.3,722.3,663.3
2026-01-05,67.0,10.0,737.0,,31821,163,661.0,737.0,661.0
2026-01-04,-0.5,-0.07,670.0,80.5,11991,92,665.1,678.0,665.0
2026-01-01,0.5,0.07,670.5,49.32,7364,82,670.0,682.0,668.0
2025-12-31,-17.0,-2.47,670.0,,45809,206,687.0,694.0,668.0
2025-12-29,-8.0,-1.15,687.0,37.92,5540,95,704.8,704.9,678.0
2025-12-28,34.09,5.16,695.0,,16668,225,667.0,695.0,666.0
2025-12-24,-2.8,-0.38,727.0,,18045,166,720.0,737.0,720.0
2025-12-23,-0.1,-0.01,729.8,47.51,6538,79,717.0,734.0,717.0
2025-12-22,2.0,0.27,729.9,51.23,7089,88,721.0,734.0,718.0
2025-12-21,5.0,0.69,727.9,,15178,156,737.0,737.0,720.0
2025-12-18,-4.1,-0.56,722.9,65.21,9042,78,721.0,725.0,716.5
2025-12-17,0.0,0.0,727.0,36.25,5005,67,720.1,727.0,720.1
2025-12-16,1.2,0.17,727.0,32.8,4533,45,725.0,730.0,718.1
2025-12-15,5.8,0.81,725.8,49.42,6856,57,715.0,729.0,715.0
2025-12-14,-2.2,-0.3,720.0,,18258,93,720.0,733.9,715.5
2025-12-11,-6.8,-0.93,722.2,36.72,5066,57,714.5,734.0,714.5
2025-12-10,-2.8,-0.38,729.0,45.61,6259,66,717.2,736.4,717.2
2025-12-09,3.3,0.45,731.8,67.89,9301,90,724.0,735.9,722.0
2025-12-08,-3.5,-0.48,728.5,48.15,6608,83,745.0,745.0,724.0
2025-12-07,-8.0,-1.08,732.0,78.49,10645,74,740.0,748.0,732.0
2025-12-03,-8.0,-1.07,740.0,82.13,11055,69,733.5,750.0,733.5
2025-12-02,2.0,0.27,748.0,63.09,8482,63,746.0,750.0,741.2
2025-12-01,-6.5,-0.86,746.0,73.59,9884,69,746.2,751.9,740.1
2025-11-30,-7.5,-0.99,752.5,,18508,100,745.0,764.0,745.0
2025-11-27,13.0,1.74,760.0,,16583,136,750.0,760.0,745.0
2025-11-26,6.6,0.89,747.0,47.48,6370,84,725.6,765.0,725.6
2025-11-25,-7.6,-1.02,740.4,87.91,11805,103,733.1,761.0,733.1
2025-11-24,-10.9,-1.44,748.0,,16306,122,747.0,755.0,747.0
2025-11-23,1.0,0.13,758.9,96.51,12803,125,743.0,758.9,743.0
2025-11-20,0.9,0.12,757.9,,13505,100,742.0,786.0,742.0
2025-11-19,4.1,0.54,757.0,,22235,133,750.1,759.8,750.0
2025-11-18,1.9,0.25,752.9,,55900,156,751.0,760.0,742.0
2025-11-17,0.0,0.0,751.0,,24836,129,736.0,754.0,736.0
2025-11-16,-79.0,-9.52,751.0,,47287,307,813.4,813.4,747.0
2025-11-13,75.2,9.96,830.0,,77482,170,740.1,830.0,740.0
2025-11-12,-0.4,-0.05,754.8,,17764,107,740.1,754.8,736.0
2025-11-11,-4.7,-0.62,755.2,,14688,114,747.0,765.0,745.0
2025-11-10,-70.1,-8.45,759.9,,51255,376,813.4,813.4,749.3
2025-11-09,75.0,9.93,830.0,,29757,171,740.0,830.0,740.0
2025-11-06,8.8,1.18,755.0,,18367,152,755.0,760.0,745.0
2025-11-05,2.2,0.3,746.2,,17553,128,730.0,757.0,730.0
2025-11-04,13.5,1.85,744.0,,56036,232,737.0,760.0,720.1
2025-11-03,3.5,0.48,730.5,,44081,107,727.0,733.0,715.0
2025-11-02,6.1,0.85,727.0,49.34,6775,66,725.0,735.0,724.0
2025-10-30,25.7,3.7,720.9,63.56,8856,70,705.0,725.0,702.1
2025-10-29,-15.9,-2.24,695.2,55.53,7693,68,705.0,737.0,695.1
2025-10-28,12.1,1.73,711.1,55.44,7768,74,690.0,725.1,690.0
2025-10-26,-7.9,-1.12,699.0,31.41,4483,39,695.0,714.9,681.2
2025-10-19,17.0,2.46,706.9,33.76,4886,46,694.0,717.0,677.4
2025-10-16,-10.1,-1.44,689.9,34.99,5058,43,687.0,700.0,686.1
2025-10-15,-11.5,-1.62,700.0,46.42,6673,74,711.5,711.9,685.0
2025-10-14,-8.5,-1.18,711.5,15.72,2218,32,711.0,720.0,707.0
2025-10-13,4.2,0.59,720.0,,22318,90,710.0,720.0,697.1
2025-10-12,-21.6,-2.93,715.8,61.74,8753,94,723.0,729.3,696.0
2025-10-09,12.5,1.72,737.4,,16627,108,739.0,753.0,715.0
2025-10-08,-8.1,-1.11,724.9,70.9,9919,92,736.0,747.0,703.2
2025-10-07,7.5,1.03,733.0,79.31,10955,57,711.0,733.0,711.0
2025-09-28,5.9,0.82,725.5,11.28,1553,33,733.9,733.9,720.0
2025-09-25,-0.4,-0.06,719.6,50.75,6972,49,724.0,736.0,711.0
2025-09-24,-6.0,-0.83,720.0,36.76,5071,45,716.0,728.9,716.0
2025-09-23,28.57,4.1,726.0,57.23,8028,93,690.0,726.2,690.0
2025-09-21,47.43,7.3,697.43,73.14,10739,134,640.0,706.0,640.0
2025-09-18,-60.1,-8.46,650.0,6.87,1036,17,695.9,695.9,650.0
2025-09-08,-13.14,-1.82,710.1,54.45,7642,107,710.0,720.0,702.0
2025-09-07,-1.41,-0.19,723.24,50.07,6905,60,711.0,734.4,711.0
2025-09-04,-3.89,-0.53,724.65,76.88,10623,81,715.0,727.6,715.0
2025-09-03,2.4,0.33,728.54,26.89,3692,61,724.5,734.6,724.4
2025-09-02,-3.33,-0.46,726.14,55.68,7659,61,729.0,734.9,726.0
2025-09-01,-4.29,-0.58,729.47,44.04,6044,97,725.3,737.0,725.3
2025-08-31,-2.66,-0.36,733.76,60.92,8285,88,725.0,746.7,723.4
2025-08-28,-8.98,-1.2,736.42,81.62,11034,81,745.4,750.0,733.2
2025-08-27,5.15,0.7,745.4,65.92,8825,81,726.0,755.0,726.0
2025-08-26,-3.33,-0.45,740.25,17.95,2422,41,740.0,747.0,740.0
2025-08-25,3.26,0.44,743.58,43.35,5835,64,735.1,748.0,735.1
2025-08-24,-0.41,-0.06,740.32,,29336,122,726.0,765.0,726.0
2025-08-21,-1.45,-0.2,740.73,58.2,7852,63,728.0,756.9,728.0
2025-08-20,-12.37,-1.64,742.18,77.55,10363,84,745.1,758.0,740.1
2025-08-19,7.39,0.99,754.55,40.04,5312,65,744.1,758.0,744.1
2025-08-18,5.0,0.67,747.16,52.71,7013,72,730.1,757.0,730.1
2025-08-17,0.6,0.08,742.16,,17328,128,730.1,770.0,730.1
2025-08-14,-1.54,-0.21,741.56,45.32,6077,71,729.0,755.7,729.0
2025-08-13,0.51,0.07,743.1,65.97,8862,78,740.0,755.0,740.0
2025-08-12,-10.16,-1.35,742.59,,14422,110,740.0,759.0,740.0
2025-08-11,-1.28,-0.17,752.75,,31087,194,749.0,780.0,749.0
2025-08-07,6.01,0.8,754.03,86.62,11478,124,737.1,762.5,737.1
2025-08-06,10.09,1.37,748.02,93.34,12520,94,752.6,754.0,736.0
2025-08-05,-8.07,-1.08,737.93,,18731,136,732.1,760.0,732.1
2025-08-04,-4.26,-0.57,746.0,,23445,198,765.2,770.0,736.0
2025-08-03,-17.55,-2.29,750.26,,22226,173,760.0,773.0,748.0
2025-07-31,-0.64,-0.08,767.81,,20577,168,770.0,783.7,764.0
2025-07-30,-27.71,-3.48,768.45,,33189,245,783.0,797.0,764.5
2025-07-29,-4.16,-0.52,796.16,,19504,164,810.0,816.0,795.0
2025-07-28,-9.41,-1.16,800.32,,45711,353,794.0,825.9,780.0
2025-07-27,-3.08,-0.38,809.73,,52384,407,797.0,844.0,795.8
2025-07-24,35.57,4.58,812.81,,47690,438,762.0,853.0,762.0
2025-07-23,-14.81,-1.87,777.24,,25470,189,784.2,798.0,771.0
2025-07-22,41.92,5.59,792.05,,52768,474,736.0,817.0,736.0
2025-07-21,5.65,0.76,750.13,,56843,161,750.0,771.9,721.0
2025-07-20,2.17,0.29,744.48,,29765,228,748.0,760.0,736.8
2025-07-17,13.37,1.83,742.31,,34412,222,739.0,750.0,736.9
2025-07-16,12.55,1.75,728.94,,53606,115,710.0,737.0,710.0
2025-07-15,-2.08,-0.29,716.39,91.54,12741,78,716.0,723.0,715.0
2025-07-14,3.95,0.55,718.47,96.32,13451,90,710.0,723.0,710.0
2025-07-13,3.15,0.44,714.52,59.61,8306,72,725.0,725.0,714.0
2025-07-10,1.81,0.26,711.37,64.82,9081,75,722.0,722.0,710.0
2025-07-09,-4.69,-0.66,709.56,58.68,8241,90,700.0,728.0,700.0
2025-07-08,13.93,1.99,714.25,53.51,7528,67,714.0,723.0,700.0
2025-07-07,-12.72,-1.78,700.32,,23499,131,701.0,729.3,700.0
2025-07-06,-6.01,-0.84,713.04,89.77,12518,84,707.3,732.0,707.2
2025-07-03,-2.07,-0.29,719.05,71.67,9935,64,734.0,735.5,716.1
2025-07-02,-3.21,-0.44,721.12,,17836,102,725.0,729.0,717.0
2025-07-01,12.23,1.72,724.33,86.84,12048,83,700.0,726.0,700.0
2025-06-30,-1.97,-0.28,712.1,55.41,7738,64,700.0,723.4,700.0
2025-06-29,1.18,0.17,714.07,62.12,8716,61,699.0,724.8,699.0
2025-06-26,-2.47,-0.35,712.89,65.05,9116,63,703.0,729.0,703.0
2025-06-25,2.21,0.31,715.36,76.49,10725,68,706.0,720.0,706.0
2025-06-24,1.64,0.23,713.15,97.62,13662,91,725.7,735.0,711.2
2025-06-23,-5.1,-0.71,711.51,80.34,11315,77,705.0,725.0,705.0
2025-06-22,-15.05,-2.06,716.61,,14076,92,731.0,740.0,715.1
2025-06-19,10.51,1.46,731.66,,26445,149,721.0,735.0,715.5
2025-06-18,3.93,0.55,721.15,,27827,122,707.0,725.0,707.0
2025-06-17,-1.59,-0.22,717.22,44.22,6187,72,705.0,733.0,705.0
2025-06-16,-15.36,-2.09,718.81,,38670,181,734.0,748.0,710.0
2025-06-15,-15.19,-2.03,734.17,,46414,156,760.0,760.0,733.0
2025-06-12,6.76,0.91,749.36,,59434,397,750.0,783.2,743.4
2025-06-11,32.04,4.51,742.6,,46209,223,703.0,750.0,703.0
2025-06-10,6.04,0.86,710.56,,31148,162,705.1,720.0,705.0
2025-06-09,14.6,2.12,704.52,,17962,122,700.0,709.0,685.2
2025-06-08,2.41,0.35,689.92,62.03,8995,71,690.0,699.0,685.1
2025-06-05,6.94,1.02,687.51,86.34,12611,78,681.0,694.1,680.0
2025-06-04,-7.22,-1.05,680.57,29.99,4394,64,688.0,698.0,679.0
2025-06-03,-5.24,-0.76,687.79,63.68,9243,70,700.0,700.0,685.0
2025-06-02,0.59,0.09,693.03,,14631,95,700.0,719.0,690.1
2025-05-28,5.3,0.77,692.44,63.01,9112,60,690.0,699.9,690.0
2025-05-27,-8.23,-1.18,687.14,86.05,12497,94,708.9,708.9,685.0
2025-05-26,-4.47,-0.64,695.37,,24896,123,713.0,713.0,695.0
2025-05-25,0.36,0.05,699.84,38.32,5472,78,711.0,711.0,699.2
2025-05-22,-1.78,-0.25,699.48,,16231,92,714.8,714.8,698.0
2025-05-21,-9.79,-1.38,701.26,61.4,8613,115,725.0,750.0,700.0
2025-05-20,23.02,3.35,711.05,87.81,12497,102,686.5,714.0,686.5
2025-05-19,-2.48,-0.36,688.03,60.37,8730,96,700.0,702.5,687.0
2025-05-18,-2.91,-0.42,690.51,64.38,9253,84,700.0,707.0,690.0
2025-05-15,-2.4,-0.34,693.42,61.35,8813,107,688.1,705.0,688.1
2025-05-14,-6.5,-0.93,695.82,80.27,11472,127,705.0,707.0,692.1
2025-05-13,-7.56,-1.06,702.32,74.33,10537,114,709.1,710.0,700.1
2025-05-11,-6.55,-0.91,709.88,64.67,9092,66,707.0,716.1,705.2
2025-05-08,5.31,0.75,716.43,,17542,128,713.0,724.6,710.0
2025-05-07,6.0,0.85,711.12,,15084,152,705.0,729.0,700.2
2025-05-06,3.24,0.46,705.12,54.96,7797,79,715.9,715.9,702.0
2025-05-05,-7.37,-1.04,701.88,71.83,10188,120,705.2,714.9,700.0
2025-05-04,-9.68,-1.35,709.25,90.17,12665,108,720.1,721.9,705.0
2025-04-30,5.77,0.81,718.93,99.75,13927,103,726.9,726.9,705.5
2025-04-29,3.54,0.5,713.16,92.08,12917,108,710.0,718.1,707.0
2025-04-28,-9.3,-1.29,709.62,,14175,129,724.9,732.0,707.1
2025-04-27,6.25,0.88,718.92,,17139,123,725.0,740.0,716.0
2025-04-24,-3.01,-0.42,712.67,,25331,215,729.0,741.9,704.3
2025-04-23,-24.33,-3.29,715.68,,15807,137,738.0,745.0,710.1
2025-04-22,-25.44,-3.32,740.01,,49988,180,765.0,780.0,737.1
2025-04-21,27.49,3.73,765.45,,64416,313,740.0,780.0,732.1
2025-04-20,-2.99,-0.4,737.96,80.55,10839,101,749.0,754.5,730.0
