DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,32.0,2.66,1235.0,,9228,352,1263.0,1263.0,1195.0
2026-05-07,5.1,0.43,1203.0,,10889,404,1163.0,1210.5,1163.0
2026-05-06,-35.1,-2.85,1197.9,,26742,564,1225.0,1250.0,1150.0
2026-05-05,-8.0,-0.64,1233.0,,18632,562,1240.0,1285.0,1188.0
2026-05-04,-108.0,-8.01,1241.0,,32409,728,1350.0,1399.0,1239.7
2026-04-30,-17.0,-1.24,1349.0,,32910,653,1366.0,1369.9,1326.2
2026-04-29,-63.0,-4.41,1366.0,,37096,1094,1401.5,1410.0,1355.0
2026-04-28,-60.6,-4.07,1429.0,,43280,1037,1464.0,1505.0,1428.0
2026-04-27,-9.4,-0.63,1489.6,,28360,935,1499.0,1528.0,1475.0
2026-04-24,-7.0,-0.46,1499.0,,28436,667,1485.1,1510.0,1465.0
2026-04-23,-34.0,-2.21,1506.0,,25962,838,1465.0,1560.0,1465.0
2026-04-22,-30.0,-1.91,1540.0,,34748,1055,1560.0,1581.0,1516.0
2026-04-21,52.0,3.43,1570.0,,74501,2359,1530.0,1630.0,1501.0
2026-04-20,-20.0,-1.3,1518.0,,26890,955,1530.0,1540.0,1495.0
2026-04-17,21.0,1.38,1538.0,,40617,1161,1510.0,1550.0,1470.0
2026-04-16,-58.0,-3.68,1517.0,,31586,1105,1561.0,1562.0,1503.4
2026-04-15,-35.0,-2.17,1575.0,,31226,1177,1600.0,1620.0,1555.0
2026-04-13,21.0,1.32,1610.0,,58338,1745,1620.7,1699.0,1559.2
2026-04-10,62.0,4.06,1589.0,,46790,1481,1527.0,1632.0,1495.0
2026-04-09,-3.1,-0.2,1527.0,,31542,1001,1510.0,1570.0,1510.0
2026-04-08,79.1,5.45,1530.1,,43271,1389,1451.0,1550.0,1451.0
2026-04-07,-24.0,-1.63,1451.0,,19375,744,1446.0,1503.0,1446.0
2026-04-06,40.0,2.79,1475.0,,38064,1286,1415.0,1500.0,1372.0
2026-04-05,-105.0,-6.82,1435.0,,52652,1782,1540.0,1550.0,1432.0
2026-04-02,4.0,0.26,1540.0,,33239,1405,1507.0,1600.0,1483.0
2026-04-01,-84.0,-5.19,1536.0,,32686,1398,1650.0,1650.0,1535.0
2026-03-31,36.9,2.33,1620.0,,80697,4205,1583.1,1638.0,1480.0
2026-03-30,-40.9,-2.52,1583.1,,69410,4143,1624.0,1630.0,1574.0
2026-03-29,-59.0,-3.51,1624.0,,64843,5164,1683.0,1700.0,1618.0
2026-03-26,-36.0,-2.09,1683.0,,111799,8054,1700.0,1708.0,1600.0
2026-03-25,-129.1,-6.99,1719.0,,152335,13224,1885.0,2000.0,1715.0
2026-03-24,168.0,10.0,1848.1,,33530,3320,1713.7,1848.1,1713.7
2026-03-23,152.7,10.0,1680.1,,180400,17937,1557.9,1680.1,1557.9
2026-03-22,138.8,10.0,1527.4,,48701,1938,1416.3,1527.4,1416.3
2026-03-19,126.2,10.0,1388.6,,12660,899,1262.0,1388.6,1262.0
2026-03-17,114.7,9.99,1262.4,76.18,6040,604,1170.6,1262.4,1170.6
2026-03-16,104.3,10.0,1147.7,78.17,6820,682,1064.2,1147.7,1064.2
2026-03-15,94.8,9.99,1043.4,51.05,4900,490,950.0,1043.4,950.0
2026-03-12,86.2,10.0,948.6,21.61,2280,228,879.6,948.6,879.6
2026-03-11,78.4,10.0,862.4,12.91,1500,150,780.0,862.4,780.0
2026-03-10,71.2,9.99,784.0,15.24,1950,195,727.0,784.0,727.0
2026-03-09,5.7,0.81,712.8,,20,2,698.9,712.8,698.9
2026-03-03,64.2,9.99,707.1,5.35,760,76,635.8,707.1,635.8
2026-03-01,58.4,9.99,642.9,4.41,690,69,578.8,642.9,578.8
2026-02-26,53.1,9.99,584.5,2.72,470,47,526.2,584.5,526.2
2026-02-25,48.3,10.0,531.4,1.94,370,37,478.3,531.4,478.3
2026-02-24,43.9,10.0,483.1,,200,20,447.9,483.1,447.9
2026-02-23,39.9,9.99,439.2,1.07,250,25,395.4,439.2,395.4
2026-02-22,36.3,10.0,399.3,,169,17,363.0,399.3,363.0
2026-02-17,33.0,10.0,363.0,,120,12,333.3,363.0,333.3
2026-02-16,30.0,10.0,330.0,,180,18,300.0,330.0,300.0
