DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.4,1.56,417.4,79.77,19299,95,411.1,417.4,411.0
2026-05-07,2.4,0.59,411.0,75.53,18472,87,407.1,414.8,407.1
2026-05-06,-3.9,-0.95,408.6,51.26,12499,65,412.0,415.0,408.0
2026-05-05,-1.5,-0.36,412.5,20.32,4936,58,416.3,416.3,408.0
2026-05-04,0.2,0.05,414.0,,25203,94,411.0,417.0,410.0
2026-04-30,-1.2,-0.29,413.8,82.87,20093,80,418.0,420.0,410.0
2026-04-29,-1.0,-0.24,415.0,82.06,19843,90,412.0,418.0,411.0
2026-04-28,0.0,0.0,416.0,,25220,107,416.0,425.9,413.1
2026-04-27,2.0,0.48,416.0,42.81,10254,75,414.0,421.0,414.0
2026-04-24,-1.5,-0.36,414.0,65.2,15700,91,411.0,418.0,411.0
2026-04-23,-4.5,-1.07,415.5,,25357,110,425.0,432.0,414.0
2026-04-22,-3.0,-0.71,420.0,,154781,210,425.0,426.9,412.1
2026-04-21,-0.7,-0.17,423.0,,24397,128,403.0,439.0,403.0
2026-04-20,-1.4,-0.33,423.7,,58734,104,424.0,430.0,418.1
2026-04-17,-1.9,-0.44,425.1,97.68,22947,124,432.0,435.0,421.4
2026-04-16,-6.9,-1.59,427.0,,30155,139,436.5,436.5,427.0
2026-04-15,8.9,2.09,433.9,,36576,196,425.2,437.5,425.1
2026-04-13,-2.0,-0.47,425.0,82.93,19442,124,422.5,431.0,422.5
2026-04-10,-5.0,-1.16,427.0,,40520,189,433.0,434.0,423.5
2026-04-09,5.0,1.17,432.0,,38450,215,430.0,433.0,422.8
2026-04-08,6.7,1.59,427.0,,48180,222,420.0,428.9,420.0
2026-04-07,-4.2,-0.99,420.3,98.84,23359,151,431.0,431.0,417.0
2026-04-06,12.5,3.03,424.5,,108230,309,419.5,425.5,411.0
2026-04-05,-14.8,-3.47,412.0,,87960,268,420.0,420.0,410.0
2026-04-02,-0.2,-0.05,426.8,,72649,216,420.1,432.0,420.1
2026-04-01,-9.0,-2.06,427.0,,109634,295,436.2,437.9,425.5
2026-03-31,1.0,0.23,436.0,,60233,187,437.9,442.0,430.0
2026-03-30,-7.3,-1.65,435.0,,71422,233,436.3,445.0,433.3
