DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,32.0,1.89,1729.0,,8352,149,1670.0,1732.0,1670.0
2026-05-07,27.0,1.62,1697.0,,10018,151,1670.0,1700.0,1662.1
2026-05-06,-24.0,-1.42,1670.0,,6790,136,1694.0,1710.0,1660.0
2026-05-05,19.0,1.13,1694.0,,11577,238,1655.0,1720.0,1655.0
2026-05-04,-95.9,-5.42,1675.0,,10353,213,1733.0,1745.0,1675.0
2026-04-30,35.9,2.07,1770.9,,18123,264,1700.0,1775.0,1684.0
2026-04-29,-45.0,-2.53,1735.0,,6969,185,1727.2,1777.0,1727.0
2026-04-28,-29.0,-1.6,1780.0,,10572,205,1809.0,1811.0,1760.0
2026-04-27,2.0,0.11,1809.0,,12466,284,1807.0,1861.0,1796.1
2026-04-24,47.0,2.67,1807.0,,22611,280,1727.0,1820.0,1714.0
2026-04-23,-20.0,-1.12,1760.0,,9657,186,1780.0,1798.0,1750.0
2026-04-22,21.0,1.19,1780.0,,18045,365,1755.0,1800.0,1710.0
2026-04-21,-60.0,-3.3,1759.0,,21532,331,1802.0,1843.0,1751.0
2026-04-20,-46.0,-2.47,1819.0,,11644,235,1849.0,1869.0,1792.0
2026-04-17,-15.0,-0.8,1865.0,,16588,192,1897.8,1897.8,1809.2
2026-04-16,-38.0,-1.98,1880.0,,12949,203,1905.0,1908.0,1870.0
2026-04-15,-4.0,-0.21,1918.0,,15617,269,1923.0,1940.0,1892.1
2026-04-13,-7.9,-0.41,1922.0,,13507,214,1920.0,1944.0,1900.0
2026-04-10,-19.1,-0.98,1929.9,,27171,306,1916.0,1990.0,1915.0
2026-04-09,24.0,1.25,1949.0,,25393,310,1920.0,1980.0,1900.0
2026-04-08,115.0,6.35,1925.0,,37853,469,1835.0,1989.0,1804.9
2026-04-07,-10.0,-0.55,1810.0,,22486,248,1820.1,1853.0,1800.0
2026-04-06,91.0,5.26,1820.0,,15403,328,1729.0,1832.0,1723.0
2026-04-05,-173.0,-9.1,1729.0,,32297,606,1864.0,1864.0,1712.1
2026-04-02,26.0,1.39,1902.0,,16159,302,1850.0,1947.0,1839.0
2026-04-01,-65.9,-3.39,1876.0,,10317,249,1910.3,1939.0,1860.1
2026-03-31,-8.1,-0.42,1941.9,,15842,255,1950.0,1958.0,1911.1
2026-03-30,-17.4,-0.88,1950.0,,20006,268,1968.0,1990.0,1942.0
2026-03-29,-87.6,-4.26,1967.4,,22326,427,2013.9,2064.0,1967.4
2026-03-26,12.0,0.59,2055.0,,37964,556,2043.0,2090.9,2011.0
2026-03-25,45.0,2.25,2043.0,,48300,758,2004.0,2099.0,1983.2
2026-03-24,-2.0,-0.1,1998.0,,15311,289,1990.0,1999.0,1966.0
2026-03-23,53.0,2.72,2000.0,,27692,415,1935.0,2000.0,1935.0
2026-03-22,13.0,0.67,1947.0,,18028,325,1964.9,1966.0,1932.0
2026-03-19,14.0,0.73,1934.0,,23738,370,1925.0,1949.0,1915.3
2026-03-17,-35.0,-1.79,1920.0,,20229,281,1985.0,1985.0,1901.9
2026-03-16,30.0,1.56,1955.0,,14950,285,1910.0,1960.0,1910.0
2026-03-15,-40.0,-2.04,1925.0,,35305,467,1965.2,1980.1,1900.0
2026-03-12,-23.0,-1.16,1965.0,,42768,388,2027.7,2050.0,1950.0
2026-03-11,-71.0,-3.45,1988.0,,25513,371,2026.0,2074.2,1985.0
2026-03-10,-113.0,-5.2,2059.0,,49300,666,2180.0,2180.0,2040.0
2026-03-09,163.0,8.11,2172.0,24.22,1120,13,2049.1,2172.0,2049.1
2026-03-03,9.0,0.45,2009.0,,21402,349,2040.0,2040.0,1962.0
2026-03-01,15.0,0.76,2000.0,,18573,324,1950.0,2020.0,1913.0
2026-02-26,-23.0,-1.15,1985.0,,13243,304,1980.0,2019.0,1929.8
2026-02-25,25.0,1.26,2008.0,,22170,378,2000.0,2040.0,1983.0
2026-02-24,163.1,8.96,1983.0,,28190,426,1819.0,1983.0,1809.0
2026-02-23,-32.1,-1.73,1819.9,,14267,345,1852.0,1888.0,1810.0
2026-02-22,-123.0,-6.23,1852.0,,26386,418,1975.0,1975.0,1851.0
2026-02-17,-38.0,-1.89,1975.0,,20949,375,2053.0,2062.0,1961.0
2026-02-16,48.0,2.44,2013.0,,24781,464,2004.3,2135.0,1966.1
2026-02-12,-49.0,-2.43,1965.0,,16658,435,2054.0,2054.0,1950.0
2026-02-11,-52.0,-2.52,2014.0,,21960,431,2025.0,2100.0,1995.0
2026-02-10,14.0,0.68,2066.0,,14697,361,2093.0,2093.0,2010.1
2026-02-09,-28.0,-1.35,2052.0,,34884,576,2119.0,2119.0,2011.0
2026-02-08,-80.0,-3.7,2080.0,,24335,489,2200.0,2200.0,2080.0
2026-02-05,40.0,1.89,2160.0,,22769,538,2120.0,2178.0,2083.0
2026-02-04,-30.0,-1.4,2120.0,,22917,420,2150.0,2187.9,2090.1
2026-02-03,-53.0,-2.41,2150.0,,33154,557,2200.0,2230.0,2100.0
2026-02-02,118.0,5.66,2203.0,,49340,808,2085.0,2293.0,2077.0
2026-02-01,-45.0,-2.11,2085.0,,37451,874,2172.6,2172.6,2070.0
2026-01-29,-135.0,-5.96,2130.0,,37182,857,2299.0,2299.0,2103.0
2026-01-28,-35.0,-1.52,2265.0,,64783,1011,2300.0,2376.0,2230.0
2026-01-27,-54.0,-2.29,2300.0,,77794,1128,2360.0,2400.0,2240.0
2026-01-26,-6.0,-0.25,2354.0,,77305,1223,2349.9,2395.0,2286.0
2026-01-25,62.0,2.7,2360.0,,76416,1128,2343.9,2439.0,2280.0
2026-01-22,108.0,4.93,2298.0,,62021,1146,2180.0,2299.9,2168.2
2026-01-21,-45.0,-2.01,2190.0,,45786,970,2245.0,2268.9,2171.0
2026-01-20,29.5,1.34,2235.0,,56353,1123,2249.6,2320.0,2191.5
2026-01-18,200.5,10.0,2205.5,,115153,2265,2039.0,2205.5,2020.0
2026-01-14,39.0,1.98,2005.0,,54968,983,1960.0,2019.6,1960.0
2026-01-13,-35.0,-1.75,1966.0,,75443,1151,2010.0,2020.0,1960.0
