DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,27.0,2.42,1145.0,,32572,502,1105.1,1159.0,1105.1
2026-05-07,-1.0,-0.09,1118.0,,23086,373,1113.2,1136.0,1106.0
2026-05-06,-41.0,-3.53,1119.0,,24392,411,1218.0,1218.0,1112.2
2026-05-05,-6.0,-0.51,1160.0,,20369,405,1165.9,1175.0,1120.0
2026-05-04,-97.0,-7.68,1166.0,,72345,784,1230.0,1404.0,1165.0
2026-04-30,141.0,12.57,1263.0,,84231,832,1100.0,1290.3,1080.0
2026-04-29,-33.0,-2.86,1122.0,,35070,597,1212.7,1212.7,1120.0
2026-04-28,-35.0,-2.94,1155.0,,33843,715,1190.0,1208.0,1147.0
2026-04-27,-28.0,-2.3,1190.0,,44913,628,1278.9,1278.9,1170.0
2026-04-24,57.0,4.91,1218.0,,50963,687,1161.0,1246.0,1131.0
2026-04-23,-44.0,-3.65,1161.0,,54744,724,1200.2,1215.0,1155.8
2026-04-22,-19.9,-1.62,1205.0,,46621,827,1204.0,1220.0,1180.0
2026-04-21,-6.1,-0.5,1224.9,,36008,648,1231.0,1258.0,1210.0
2026-04-20,-28.0,-2.22,1231.0,,38707,602,1250.0,1275.0,1220.0
2026-04-17,-16.0,-1.25,1259.0,,29782,542,1265.0,1276.1,1237.0
2026-04-16,-34.0,-2.6,1275.0,,47974,748,1286.0,1324.1,1249.6
2026-04-15,13.0,1.0,1309.0,,61772,863,1321.9,1348.3,1292.0
2026-04-13,-24.0,-1.82,1296.0,,97080,903,1310.0,1310.0,1285.0
2026-04-10,-28.9,-2.14,1320.0,,142633,1502,1322.0,1395.0,1314.0
2026-04-09,45.4,3.48,1348.9,,106190,1344,1329.5,1400.0,1310.1
2026-04-08,118.5,10.0,1303.5,,156157,1576,1185.0,1303.5,1167.0
2026-04-07,-13.0,-1.09,1185.0,,24296,485,1221.9,1246.0,1170.0
2026-04-06,19.2,1.63,1198.0,,86494,923,1178.8,1226.0,1156.0
2026-04-05,-121.2,-9.32,1178.8,,46569,977,1274.0,1274.0,1170.0
2026-04-02,82.0,6.73,1300.0,,67146,1050,1193.7,1300.0,1193.7
2026-04-01,-82.0,-6.31,1218.0,,44063,885,1300.0,1318.0,1215.2
2026-03-31,0.0,0.0,1300.0,,52346,1001,1300.0,1352.5,1270.0
2026-03-30,-21.0,-1.59,1300.0,,77513,1087,1347.4,1347.4,1285.2
2026-03-29,-71.0,-5.1,1321.0,,54031,864,1392.0,1394.0,1319.1
2026-03-26,32.0,2.35,1392.0,,143616,1935,1370.0,1415.0,1345.0
2026-03-25,27.0,2.03,1360.0,,94038,1360,1333.0,1376.5,1318.0
2026-03-24,18.0,1.37,1333.0,,81159,881,1315.0,1334.0,1305.0
2026-03-23,5.0,0.38,1315.0,,73901,1174,1300.0,1346.0,1300.0
2026-03-22,-40.0,-2.96,1310.0,,86700,1189,1330.0,1377.0,1310.0
