DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,15.0,2.24,684.0,72.76,10726,217,660.2,690.0,660.2
2026-05-07,8.0,1.21,669.0,46.29,6917,143,694.0,694.0,660.0
2026-05-06,-6.0,-0.9,661.0,64.35,9611,177,665.0,680.0,661.0
2026-05-05,-2.3,-0.34,667.0,83.14,12410,200,669.3,680.0,660.0
2026-05-04,-23.7,-3.42,669.3,73.86,10877,221,682.2,690.0,669.3
2026-04-30,-4.0,-0.57,693.0,,18017,250,690.5,699.0,670.0
2026-04-29,-7.0,-0.99,697.0,,14799,304,690.0,707.0,685.0
2026-04-28,-8.8,-1.23,704.0,,25439,354,712.8,710.0,692.0
2026-04-27,2.8,0.39,712.8,,18467,346,674.5,720.0,674.5
2026-04-24,6.0,0.85,710.0,,17649,246,690.0,720.9,690.0
2026-04-23,-7.0,-0.98,704.0,,26846,276,711.0,729.0,698.0
2026-04-22,-9.0,-1.25,711.0,,40033,447,720.0,723.0,690.0
2026-04-21,-21.0,-2.83,720.0,,42667,447,710.0,751.9,703.3
2026-04-20,-9.0,-1.2,741.0,96.79,13126,272,787.5,787.5,731.0
2026-04-17,9.0,1.21,750.0,,26416,305,741.0,753.0,727.0
2026-04-16,-25.0,-3.26,741.0,,37455,389,755.0,760.0,738.0
2026-04-15,12.1,1.6,766.0,,27245,432,750.0,780.0,746.0
2026-04-13,-23.0,-2.96,753.9,,47082,472,762.0,777.0,747.0
2026-04-10,-20.1,-2.52,776.9,,71389,600,812.9,812.9,761.1
2026-04-09,28.0,3.64,797.0,,52377,551,768.0,816.0,763.0
2026-04-08,64.9,9.22,769.0,,48476,518,696.0,769.0,696.0
2026-04-07,-4.8,-0.68,704.1,,23142,273,706.0,733.0,698.0
2026-04-06,28.0,4.11,708.9,,50700,545,672.1,737.0,667.3
2026-04-05,-75.6,-9.99,680.9,,58704,581,742.0,742.0,680.9
2026-04-02,-13.5,-1.75,756.5,,20144,341,770.0,774.9,740.0
2026-04-01,-39.0,-4.82,770.0,,39974,427,802.2,803.0,750.0
2026-03-31,-6.0,-0.74,809.0,,31591,453,815.0,820.0,788.9
2026-03-30,-15.0,-1.81,815.0,,23381,358,830.0,836.1,814.1
2026-03-29,-38.0,-4.38,830.0,,53383,537,885.3,885.3,828.3
2026-03-26,28.1,3.35,868.0,,156348,1257,845.0,870.0,838.0
2026-03-25,22.9,2.8,839.9,,57436,586,817.0,846.0,810.0
2026-03-24,-2.0,-0.24,817.0,,21792,369,830.0,830.0,813.5
2026-03-23,1.0,0.12,819.0,,25883,390,819.0,820.1,807.0
2026-03-22,-4.0,-0.49,818.0,,25201,421,838.0,838.0,816.0
2026-03-19,2.5,0.31,822.0,,49171,585,815.0,840.0,815.0
2026-03-17,1.5,0.18,819.5,,18926,223,818.0,822.9,809.0
2026-03-16,-11.9,-1.43,818.0,,33056,328,846.4,846.4,815.0
2026-03-15,-5.1,-0.61,829.9,,25651,378,818.3,848.0,818.0
2026-03-12,-21.0,-2.45,835.0,,51378,527,873.1,873.1,825.0
2026-03-11,-3.0,-0.35,856.0,,51235,383,856.0,860.0,834.0
2026-03-10,-33.0,-3.7,859.0,,98825,813,909.0,909.0,845.0
2026-03-09,53.0,6.32,892.0,80.16,9040,30,855.7,907.0,855.7
2026-03-03,29.0,3.58,839.0,,51813,360,803.0,842.0,803.0
2026-03-01,-5.0,-0.61,810.0,,37820,324,799.0,829.0,783.4
2026-02-26,11.0,1.37,815.0,,32562,286,805.1,819.9,795.0
2026-02-25,-4.0,-0.5,804.0,,30665,374,824.1,832.0,792.0
2026-02-24,29.0,3.72,808.0,,36291,420,785.0,838.0,770.0
2026-02-23,-11.1,-1.4,779.0,,33909,389,780.0,812.0,775.2
2026-02-22,-29.9,-3.65,790.1,,31792,491,808.5,832.0,790.1
2026-02-17,-25.0,-2.96,820.0,,39146,399,834.0,850.0,818.1
2026-02-16,10.0,1.2,845.0,,35349,480,835.0,856.0,820.5
2026-02-12,14.4,1.75,835.0,,63447,608,820.0,850.0,811.0
2026-02-11,-29.4,-3.46,820.6,,65926,519,867.0,867.0,820.1
2026-02-10,14.8,1.77,850.0,,50349,604,835.0,875.0,831.0
2026-02-09,-29.8,-3.45,835.2,,67711,667,847.7,875.0,835.0
2026-02-08,-20.0,-2.26,865.0,,73955,764,885.0,900.0,860.1
2026-02-05,-10.0,-1.12,885.0,,68209,778,890.0,910.0,874.2
2026-02-04,-12.0,-1.32,895.0,,68799,826,925.0,930.0,875.0
2026-02-03,-44.0,-4.63,907.0,,105327,1140,970.0,978.9,890.0
2026-02-02,86.0,9.94,951.0,,161879,1727,855.0,951.0,855.0
2026-02-01,-50.0,-5.46,865.0,,101928,1492,915.0,930.0,863.0
2026-01-29,-100.0,-9.85,915.0,,214100,1959,1014.5,1015.0,915.0
2026-01-28,20.0,2.01,1015.0,,169028,2139,995.0,1030.0,981.0
2026-01-27,18.2,1.86,995.0,,191610,2632,996.3,1060.0,990.0
2026-01-26,88.8,10.0,976.8,,374180,2729,892.0,976.8,870.5
2026-01-25,25.0,2.9,888.0,,216421,1730,865.0,924.9,861.2
2026-01-22,38.1,4.62,863.0,,220656,1508,825.0,875.0,816.0
2026-01-21,0.9,0.11,824.9,,92929,933,825.0,833.0,817.0
2026-01-20,-3.0,-0.36,824.0,,215879,1344,835.0,848.0,820.0
2026-01-18,2.0,0.24,827.0,,176620,1454,815.0,850.6,815.0
2026-01-14,-10.0,-1.2,825.0,,116172,1189,838.0,855.0,812.0
2026-01-13,5.0,0.6,835.0,,182364,1541,830.0,845.0,806.0
2026-01-12,35.0,4.4,830.0,,247910,2352,795.0,850.0,785.1
2026-01-08,60.0,8.16,795.0,,205667,1991,721.0,800.0,721.0
2026-01-07,-5.0,-0.68,735.0,,199155,1478,725.2,755.0,715.0
2026-01-06,-44.0,-5.61,740.0,,84441,1247,786.0,800.0,740.0
2026-01-05,44.0,5.95,784.0,,151257,1812,754.8,786.9,740.0
2026-01-04,62.1,9.16,740.0,,164596,1724,677.9,740.0,671.1
2026-01-01,20.9,3.18,677.9,,109174,1050,655.0,690.0,651.3
2025-12-31,12.0,1.86,657.0,,38117,554,640.0,659.8,640.0
