DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.0,0.9,784.0,,16211,178,788.0,790.0,775.0
2026-05-07,-3.1,-0.4,777.0,65.26,8347,136,781.0,789.6,775.0
2026-05-06,-19.8,-2.48,780.1,,22188,231,795.0,800.0,780.1
2026-05-05,3.9,0.49,799.9,,18388,241,785.0,807.0,785.0
2026-05-04,-19.0,-2.33,796.0,,34039,407,815.0,815.0,791.0
2026-04-30,-16.8,-2.02,815.0,,52986,472,791.0,835.0,791.0
2026-04-29,-6.2,-0.74,831.8,,80870,510,830.0,951.5,820.9
2026-04-28,0.0,0.0,838.0,,50205,456,838.0,864.0,838.0
2026-04-27,35.0,4.36,838.0,,68300,683,803.0,848.0,795.0
2026-04-24,-17.0,-2.07,803.0,,72164,547,830.0,830.0,798.0
2026-04-23,-5.0,-0.61,820.0,,53398,513,826.0,840.0,802.0
2026-04-22,-24.0,-2.83,825.0,,88888,600,849.0,854.9,823.0
2026-04-21,-28.0,-3.19,849.0,,62121,343,853.0,886.0,827.5
2026-04-20,20.0,2.33,877.0,,63287,387,899.8,945.2,845.0
2026-04-17,-17.8,-2.03,857.0,,19083,191,857.5,870.0,850.1
2026-04-16,5.1,0.59,874.8,,20493,206,866.0,914.4,855.0
2026-04-15,11.7,1.36,869.7,,34141,236,858.0,874.0,846.1
2026-04-13,-21.0,-2.39,858.0,,36312,259,870.0,875.0,837.9
2026-04-10,-15.9,-1.78,879.0,,42074,280,894.9,895.0,869.0
2026-04-09,5.0,0.56,894.9,,42835,363,872.2,900.0,866.2
2026-04-08,23.0,2.65,889.9,,30445,250,850.0,892.0,850.0
2026-04-07,0.9,0.1,866.9,,20680,230,880.0,880.0,848.0
2026-04-06,10.4,1.22,866.0,,85689,590,839.0,917.0,823.2
2026-04-05,-95.0,-9.99,855.6,,49649,478,931.6,931.6,855.6
2026-04-02,65.7,7.42,950.6,,96914,680,882.0,950.6,837.0
2026-04-01,-69.5,-7.28,884.9,,70390,632,950.0,950.0,864.4
2026-03-31,-93.9,-8.96,954.4,,102523,838,1027.4,1027.4,943.5
2026-03-30,93.8,9.83,1048.3,,226294,1308,950.0,1048.3,893.8
2026-03-29,26.6,2.87,954.5,,144532,1186,946.4,954.6,918.0
2026-03-26,-5.4,-0.58,927.9,,97018,554,935.0,1026.6,902.0
2026-03-25,18.3,2.0,933.3,,74673,540,917.0,983.2,912.0
2026-03-24,2.0,0.22,915.0,,63409,397,912.0,930.0,897.7
2026-03-23,-25.7,-2.74,913.0,,81418,703,920.0,936.0,902.0
2026-03-22,33.7,3.72,938.7,,123606,940,886.9,947.9,886.9
2026-03-19,27.4,3.12,905.0,,124346,870,860.1,913.0,860.1
2026-03-17,24.6,2.88,877.6,,100660,865,870.0,888.0,855.0
2026-03-16,22.0,2.65,853.0,,61546,441,831.0,860.0,822.0
2026-03-15,-1.0,-0.12,831.0,,26212,231,840.0,840.0,830.0
2026-03-12,-3.0,-0.36,832.0,,34460,300,851.7,851.7,821.0
2026-03-11,-23.5,-2.74,835.0,,30304,342,858.5,860.0,830.0
2026-03-10,-31.5,-3.54,858.5,,64559,538,890.0,890.0,830.1
2026-03-09,67.0,8.14,890.0,3.68,420,12,839.4,905.3,839.4
2026-03-03,9.0,1.11,823.0,,19475,223,807.2,825.5,807.0
2026-03-01,0.0,0.0,814.0,,35822,260,808.0,820.0,808.0
2026-02-26,-7.7,-0.94,814.0,,23179,151,810.0,826.2,810.0
2026-02-25,2.7,0.33,821.7,,17711,184,805.0,832.9,805.0
2026-02-24,9.5,1.17,819.0,91.76,11274,136,801.2,820.0,801.2
2026-02-23,0.5,0.06,809.5,,58616,348,801.1,828.0,801.1
2026-02-22,-5.0,-0.61,809.0,,16160,172,807.0,822.0,801.0
2026-02-17,-3.0,-0.37,814.0,,26650,239,810.0,820.0,805.0
2026-02-16,-11.0,-1.33,817.0,,28126,228,820.0,834.4,815.0
2026-02-12,14.5,1.78,828.0,,50841,457,819.0,839.8,800.1
2026-02-11,-4.5,-0.55,813.5,,43003,376,805.0,833.9,805.0
2026-02-10,-14.1,-1.69,818.0,,129281,856,815.5,847.0,799.2
2026-02-09,-31.9,-3.69,832.1,,92201,567,846.8,880.0,808.5
2026-02-08,-6.0,-0.69,864.0,,71754,304,861.1,887.0,855.0
2026-02-05,-17.0,-1.92,870.0,,51021,394,869.3,900.0,863.0
2026-02-04,-1.0,-0.11,887.0,,52918,362,876.0,903.9,870.0
2026-02-03,-12.0,-1.33,888.0,,60137,348,900.0,917.0,884.0
2026-02-02,15.1,1.71,900.0,,69646,681,867.3,940.0,867.3
2026-02-01,11.9,1.36,884.9,,118386,794,860.0,887.0,846.0
2026-01-29,-97.0,-10.0,873.0,,309166,1381,951.0,973.0,873.0
2026-01-28,-20.0,-2.02,970.0,,117246,889,1009.0,1025.0,941.0
2026-01-27,78.1,8.56,990.0,,234507,1821,930.1,1003.0,930.1
2026-01-26,82.9,10.0,911.9,,288835,1671,830.1,911.9,830.0
2026-01-25,6.0,0.73,829.0,,55063,369,825.1,841.7,825.0
2026-01-22,-5.4,-0.65,823.0,,36296,246,811.9,831.0,811.9
2026-01-21,-10.2,-1.22,828.4,,28870,218,832.0,840.0,821.9
2026-01-20,-15.1,-1.77,838.6,,96700,473,840.0,847.0,820.0
2026-01-18,5.7,0.67,853.7,,148640,581,860.0,894.7,827.0
2026-01-14,18.5,2.23,848.0,,48714,281,840.0,848.0,816.1
2026-01-13,-0.3,-0.04,829.5,,35643,212,814.0,829.5,813.0
2026-01-12,0.0,0.0,829.8,,29581,210,816.1,833.0,814.1
2026-01-08,-4.2,-0.5,829.8,,23449,161,823.0,839.3,817.5
2026-01-07,-12.0,-1.42,834.0,,20483,188,829.1,850.0,829.1
2026-01-06,5.6,0.67,846.0,,29672,240,834.0,852.0,833.0
2026-01-05,-21.5,-2.49,840.4,,30786,294,844.7,859.7,840.4
2026-01-04,-28.1,-3.16,861.9,,57603,379,872.2,872.2,850.0
2026-01-01,35.0,4.09,890.0,,65564,402,837.9,891.4,830.0
2025-12-31,1.1,0.13,855.0,,79629,531,845.0,875.0,840.0
2025-12-29,52.4,6.54,853.9,,121253,916,817.5,855.0,817.5
