DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.0,0.96,838.0,73.12,8798,69,840.0,840.0,827.0
2026-05-07,0.1,0.01,830.0,40.5,4896,75,838.8,838.8,820.0
2026-05-06,9.9,1.21,829.9,46.68,5633,60,820.0,834.9,820.0
2026-05-05,-2.0,-0.24,820.0,,12305,111,821.0,832.0,816.0
2026-05-04,-5.0,-0.6,822.0,37.16,4505,82,830.0,839.9,822.0
2026-04-30,-6.0,-0.72,827.0,56.67,6865,102,833.0,835.0,820.0
2026-04-29,-6.5,-0.77,833.0,44.05,5272,76,839.5,840.2,831.0
2026-04-28,-4.0,-0.47,839.5,92.22,10931,111,843.5,860.0,838.0
2026-04-27,2.5,0.3,843.5,74.25,8753,108,841.0,866.1,843.0
2026-04-24,-7.0,-0.83,841.0,81.24,9652,116,840.1,855.0,836.0
2026-04-23,-12.0,-1.4,848.0,56.73,6685,76,860.0,861.0,840.3
2026-04-22,2.0,0.23,860.0,,12391,120,860.0,860.0,848.0
2026-04-21,1.0,0.12,858.0,77.46,9046,100,851.2,865.9,851.2
2026-04-20,-11.0,-1.27,857.0,56.69,6616,79,868.0,868.0,855.0
2026-04-17,-10.0,-1.14,868.0,81.67,9389,81,878.0,878.0,865.1
2026-04-16,-10.9,-1.23,878.0,,12162,134,872.2,888.0,872.1
2026-04-15,26.4,3.06,888.9,,27525,217,870.0,896.9,863.0
2026-04-13,-17.5,-1.99,862.5,,12919,94,889.8,889.8,862.5
2026-04-10,5.0,0.57,880.0,,19829,157,875.0,888.0,865.2
2026-04-09,17.5,2.04,875.0,,37791,229,857.0,880.0,850.0
2026-04-08,5.5,0.65,857.5,90.31,10496,134,856.0,867.0,853.1
2026-04-07,-3.0,-0.35,852.0,,14201,142,860.0,869.0,845.0
2026-04-06,17.0,2.03,855.0,,17316,163,830.0,868.0,823.7
2026-04-05,-18.3,-2.14,838.0,,32922,262,856.3,856.3,831.0
2026-04-02,-15.6,-1.79,856.3,,25420,213,855.0,871.0,840.0
2026-04-01,-12.9,-1.46,871.9,,19338,170,868.1,880.0,862.0
2026-03-31,12.8,1.47,884.8,,26300,189,875.0,887.6,861.0
2026-03-30,-17.0,-1.91,872.0,,34401,225,885.0,904.5,868.3
2026-03-29,-9.0,-1.0,889.0,,48451,253,915.9,915.9,887.5
2026-03-26,-8.9,-0.98,898.0,,48559,326,907.0,907.0,881.0
2026-03-25,-16.1,-1.74,906.9,,23105,221,934.0,934.0,900.2
2026-03-24,1.0,0.11,923.0,,48091,213,934.5,934.5,916.3
2026-03-23,4.2,0.46,922.0,,91529,346,912.0,934.0,910.0
2026-03-22,13.8,1.53,917.8,,92611,456,910.0,934.0,903.0
2026-03-19,15.0,1.69,904.0,,44785,309,877.0,906.0,877.0
2026-03-17,-1.3,-0.15,889.0,,22741,150,876.3,901.0,873.0
2026-03-16,-11.8,-1.31,890.3,,29683,224,891.0,902.0,886.1
2026-03-15,0.1,0.01,902.1,,24514,166,900.0,907.0,900.0
2026-03-12,-5.1,-0.56,902.0,,54203,369,900.0,906.0,894.0
2026-03-11,-3.9,-0.43,907.1,,60923,212,901.0,920.0,901.0
2026-03-10,-13.0,-1.41,911.0,,71555,338,942.4,942.4,880.0
2026-03-09,35.0,3.94,924.0,14.36,1551,12,906.7,942.0,906.7
