DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.3,0.33,399.0,34.4,8631,40,404.9,404.9,396.5
2026-05-07,2.7,0.68,397.7,69.97,17681,44,397.9,400.0,392.0
2026-05-06,-2.2,-0.55,395.0,21.53,5437,41,398.0,398.0,395.0
2026-05-05,1.2,0.3,397.2,23.59,5964,41,392.2,398.0,391.0
2026-05-04,-1.9,-0.48,396.0,33.92,8579,46,400.0,400.8,391.1
2026-04-30,-1.7,-0.43,397.9,29.69,7503,37,399.0,399.0,395.0
2026-04-29,-2.4,-0.6,399.6,55.14,13887,64,407.9,407.9,396.4
2026-04-28,-7.0,-1.71,402.0,45.42,11244,60,409.0,414.0,402.0
2026-04-27,-1.0,-0.24,409.0,85.28,20879,73,410.0,410.0,405.0
2026-04-24,1.3,0.32,410.0,80.03,19755,83,401.0,410.0,401.0
2026-04-23,0.9,0.22,408.7,92.36,22677,86,420.0,420.0,401.5
2026-04-22,1.8,0.44,407.8,,37842,103,403.1,408.0,400.0
2026-04-21,0.2,0.05,406.0,58.4,14464,69,408.9,408.9,402.2
2026-04-20,-1.8,-0.44,405.8,53.27,13177,58,405.0,406.0,403.2
2026-04-17,0.2,0.05,407.6,74.73,18404,80,410.0,410.0,402.2
2026-04-16,-1.6,-0.39,407.4,,28530,56,411.0,411.0,402.1
2026-04-15,4.0,0.99,409.0,68.76,16890,94,409.0,410.0,401.0
2026-04-13,-2.0,-0.49,405.0,55.85,13821,85,403.0,410.5,403.0
2026-04-10,-1.8,-0.44,407.0,,32030,109,415.0,415.0,400.0
2026-04-09,0.8,0.2,408.8,,25909,137,412.0,412.0,405.0
2026-04-08,2.4,0.59,408.0,69.44,17126,86,413.7,413.7,402.1
2026-04-07,5.6,1.4,405.6,,89132,156,405.9,405.9,398.0
2026-04-06,6.5,1.65,400.0,,51193,203,386.2,402.9,386.2
2026-04-05,-14.5,-3.55,393.5,,56500,240,402.0,406.0,390.1
2026-04-02,2.0,0.49,408.0,,42269,172,398.0,408.0,398.0
2026-04-01,-12.0,-2.87,406.0,,33484,130,415.0,415.0,405.5
2026-03-31,6.6,1.6,418.0,,40817,153,410.0,418.0,404.0
2026-03-30,-9.5,-2.26,411.4,,38869,196,415.0,421.9,408.0
2026-03-29,-9.0,-2.09,420.9,,92759,213,428.0,428.0,417.0
2026-03-26,2.0,0.47,429.9,,29833,155,419.5,430.0,419.5
2026-03-25,-0.2,-0.05,427.9,,131450,253,436.6,436.6,420.0
2026-03-24,-0.8,-0.19,428.1,,57929,217,424.9,432.0,421.1
2026-03-23,-4.8,-1.11,428.9,,57198,198,425.1,433.6,422.1
2026-03-22,7.9,1.86,433.7,,161652,358,430.0,434.0,425.0
2026-03-19,12.4,3.0,425.8,,97260,310,413.4,437.0,411.1
2026-03-17,-0.1,-0.02,413.4,27.42,6619,64,410.0,418.0,410.0
2026-03-16,-5.5,-1.31,413.5,,37342,105,424.0,424.0,412.0
