DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.2,0.5,645.2,26.6,4125,63,649.9,649.9,642.0
2026-05-07,1.1,0.17,642.0,18.2,2840,66,636.1,644.6,636.1
2026-05-06,3.4,0.53,640.9,35.69,5579,80,636.1,641.5,636.1
2026-05-05,-3.5,-0.55,637.5,19.39,3039,68,627.0,642.0,626.0
2026-05-04,2.0,0.31,641.0,74.96,11750,110,639.0,647.4,634.2
2026-04-30,-0.4,-0.06,639.0,90.64,14186,102,639.0,640.4,635.0
2026-04-29,-3.6,-0.56,639.4,47.43,7418,117,640.1,640.1,638.3
2026-04-28,-4.5,-0.69,643.0,37.26,5780,106,647.5,649.5,642.0
2026-04-27,-2.5,-0.38,647.5,44.58,6877,90,650.0,664.9,645.0
2026-04-24,4.0,0.62,650.0,48.73,7573,98,635.2,650.0,635.2
2026-04-23,-2.0,-0.31,646.0,77.73,12008,93,654.0,654.0,643.2
2026-04-22,-4.5,-0.69,648.0,46.05,7133,80,650.0,650.0,634.1
2026-04-21,-1.5,-0.23,652.5,67.28,10277,87,658.0,658.0,651.0
2026-04-20,-4.9,-0.74,654.0,70.46,10777,101,665.1,665.1,651.0
2026-04-17,-1.1,-0.17,658.9,80.56,12279,92,659.9,659.9,652.1
2026-04-16,1.1,0.17,660.0,72.67,11086,109,655.0,660.0,650.3
2026-04-15,7.9,1.21,658.9,69.64,10631,128,655.0,659.0,651.0
2026-04-13,-4.5,-0.69,651.0,54.34,8316,123,655.0,657.6,648.0
2026-04-10,0.5,0.08,655.5,,24520,106,650.0,656.0,649.0
2026-04-09,6.0,0.92,655.0,,27670,181,651.9,658.0,641.7
2026-04-08,1.0,0.15,649.0,80.19,12367,102,650.0,653.5,645.0
2026-04-07,6.0,0.93,648.0,74.21,11479,143,642.3,653.8,642.1
2026-04-06,1.7,0.27,642.0,,18284,211,640.0,655.0,639.0
2026-04-05,-13.2,-2.02,640.3,,36523,234,650.0,650.0,637.3
2026-04-02,3.5,0.54,653.5,,21410,118,646.1,653.9,645.0
2026-04-01,-9.0,-1.37,650.0,,24372,154,660.0,660.0,648.0
2026-03-31,4.0,0.61,659.0,,17316,141,651.0,660.0,646.3
2026-03-30,-14.0,-2.09,655.0,,18093,176,656.1,679.0,654.0
2026-03-29,-8.0,-1.18,669.0,,38887,232,680.0,680.0,663.5
2026-03-26,-1.9,-0.28,677.0,,14816,117,673.0,679.0,670.0
2026-03-25,-1.1,-0.16,678.9,,26166,194,693.6,693.6,676.0
2026-03-24,1.0,0.15,680.0,,35672,207,683.9,683.9,679.0
2026-03-23,6.0,0.89,679.0,,29479,226,684.0,684.0,673.0
2026-03-22,5.6,0.84,673.0,,38779,242,670.0,679.0,662.5
2026-03-19,4.4,0.66,667.4,,40079,237,670.0,673.0,663.8
2026-03-17,5.0,0.76,663.0,59.95,9078,108,664.0,664.9,655.0
2026-03-16,-9.0,-1.35,658.0,,20686,142,653.7,669.0,653.7
2026-03-15,-1.0,-0.15,667.0,89.86,13467,149,675.0,675.0,663.0
2026-03-12,3.0,0.45,668.0,,21163,134,665.0,669.0,660.1
2026-03-11,-20.0,-2.92,665.0,81.63,12196,150,698.1,698.1,665.0
2026-03-10,-13.7,-1.96,685.0,,82493,483,712.0,712.6,653.3
2026-03-09,48.7,7.49,698.7,3.13,460,7,663.0,698.7,663.0
2026-03-03,2.8,0.43,650.0,63.56,9794,88,647.2,652.0,642.1
2026-03-01,0.1,0.02,647.2,92.01,14211,112,647.0,651.0,641.1
2026-02-26,4.9,0.76,647.1,,24303,171,643.1,652.0,643.0
2026-02-25,-5.8,-0.9,642.2,91.6,14223,94,649.9,649.9,638.9
2026-02-24,8.0,1.25,648.0,,21552,160,640.0,648.0,638.0
2026-02-23,3.0,0.47,640.0,,18763,140,637.0,641.0,634.1
2026-02-22,-3.8,-0.59,637.0,,16872,115,653.6,653.6,630.0
2026-02-17,0.8,0.12,640.8,,50691,173,640.0,640.8,629.2
2026-02-16,2.4,0.38,640.0,,33111,139,640.0,640.0,636.0
2026-02-12,-2.4,-0.37,637.6,,18299,124,639.0,641.0,636.2
2026-02-11,2.0,0.31,640.0,,15782,92,642.0,645.0,632.1
2026-02-10,2.9,0.46,638.0,,16846,89,635.0,638.0,632.1
2026-02-09,-2.9,-0.45,635.1,80.73,12711,90,641.0,641.0,633.0
2026-02-08,-1.9,-0.3,638.0,,27351,157,639.9,640.8,633.3
2026-02-05,8.9,1.41,639.9,,27507,151,628.1,640.0,628.1
2026-02-04,-2.0,-0.32,631.0,69.79,11041,87,621.0,635.0,621.0
2026-02-03,1.5,0.24,633.0,,28318,121,631.5,634.5,631.1
2026-02-02,0.0,0.0,631.5,,35979,127,635.0,635.0,629.5
2026-02-01,1.5,0.24,631.5,,22323,144,630.0,633.9,628.1
2026-01-29,-4.7,-0.74,630.0,,39369,211,628.1,633.0,628.1
2026-01-28,1.5,0.24,634.7,96.45,15258,107,633.0,639.0,630.1
2026-01-27,-1.8,-0.28,633.2,,18551,134,635.0,640.0,630.2
2026-01-26,-2.2,-0.35,635.0,,24899,164,635.0,640.0,632.1
2026-01-25,6.2,0.98,637.2,,17448,151,631.5,642.0,631.5
2026-01-22,-7.0,-1.1,631.0,,54460,174,634.6,642.5,628.0
2026-01-21,-2.6,-0.41,638.0,,20013,115,638.0,642.0,636.0
2026-01-20,7.5,1.18,640.6,,20233,140,630.0,642.0,630.0
2026-01-18,1.7,0.27,633.1,75.29,11893,113,632.5,636.0,631.4
2026-01-14,-1.7,-0.27,631.4,94.67,14973,91,633.1,639.9,630.1
2026-01-13,-2.9,-0.46,633.1,,15863,134,642.7,699.0,625.0
2026-01-12,-4.0,-0.62,636.0,78.1,12219,110,641.8,641.9,636.0
2026-01-08,2.0,0.31,640.0,,25322,144,638.9,642.4,638.0
2026-01-07,3.0,0.47,638.0,,45060,170,635.0,641.9,630.2
2026-01-06,3.1,0.49,635.0,,54373,138,639.9,639.9,628.4
2026-01-05,-0.1,-0.02,631.9,,19360,133,636.0,636.0,628.2
2026-01-04,0.0,0.0,632.0,99.51,15776,113,627.0,633.0,627.0
2026-01-01,1.0,0.16,632.0,,24484,105,638.0,638.0,627.1
2025-12-31,4.5,0.72,631.0,80.63,12802,138,630.0,634.0,624.1
