DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.3,0.34,379.0,20.89,5552,35,380.0,380.7,373.2
2026-05-07,-1.3,-0.34,377.7,23.0,6126,35,377.0,378.0,373.0
2026-05-06,1.0,0.26,379.0,7.72,2025,29,384.0,384.0,378.0
2026-05-05,4.0,1.07,378.0,18.72,4970,51,372.0,379.9,371.1
2026-05-04,-6.0,-1.58,374.0,22.35,5952,54,380.0,382.0,373.0
2026-04-30,-0.5,-0.13,380.0,27.04,7148,62,375.1,383.0,373.0
2026-04-29,0.5,0.13,380.5,26.88,7052,46,397.3,397.3,377.0
2026-04-28,-3.1,-0.81,380.0,34.87,9119,61,383.1,390.0,380.0
2026-04-27,-1.9,-0.49,383.1,41.42,10785,49,385.0,390.0,378.3
2026-04-24,1.5,0.39,385.0,19.05,4967,40,368.3,387.0,368.3
2026-04-23,-6.5,-1.67,383.5,26.55,6885,55,390.0,392.5,382.0
2026-04-22,8.0,2.09,390.0,85.17,22183,122,375.0,393.4,374.0
2026-04-21,-10.0,-2.55,382.0,35.76,9269,58,396.9,396.9,381.1
2026-04-20,3.8,0.98,392.0,43.12,10967,81,390.0,400.0,387.9
2026-04-17,1.7,0.44,388.2,55.12,14204,82,392.9,393.4,385.0
2026-04-16,-12.5,-3.13,386.5,,28795,172,395.0,395.0,383.1
2026-04-15,2.0,0.5,399.0,63.58,15987,110,404.0,404.0,396.0
2026-04-13,0.0,0.0,397.0,23.42,5910,56,395.0,410.9,395.0
2026-04-10,-6.8,-1.68,397.0,18.38,4621,37,409.0,409.0,396.0
2026-04-09,7.8,1.97,403.8,57.0,14320,108,395.0,404.8,388.1
2026-04-08,3.0,0.76,396.0,42.92,10859,68,394.5,398.8,393.0
2026-04-07,-4.9,-1.23,393.0,36.5,9220,71,398.0,400.0,392.0
2026-04-06,16.0,4.19,397.9,64.63,16641,145,374.3,398.7,374.3
2026-04-05,-10.8,-2.75,381.9,66.07,17276,130,385.0,390.0,377.3
2026-04-02,-7.2,-1.8,392.7,69.17,17663,153,400.0,400.0,385.0
2026-04-01,-11.1,-2.7,399.9,67.48,16884,105,403.0,411.0,392.1
2026-03-31,4.2,1.03,411.0,82.76,20502,130,412.9,414.9,398.7
2026-03-30,-8.2,-1.98,406.8,89.6,21837,160,423.3,423.3,399.0
2026-03-29,-15.0,-3.49,415.0,,35713,233,430.0,430.0,409.8
2026-03-26,1.0,0.23,430.0,79.42,18615,147,425.1,430.9,424.1
2026-03-25,-11.0,-2.5,429.0,,25031,168,439.0,442.0,428.0
2026-03-24,7.0,1.62,440.0,,23027,160,441.6,450.4,435.0
2026-03-23,-6.0,-1.37,433.0,,43694,235,445.0,450.0,430.4
2026-03-22,18.0,4.28,439.0,,61198,447,426.0,441.0,419.0
2026-03-19,11.0,2.68,421.0,,53757,331,414.5,422.0,411.0
2026-03-17,3.0,0.74,410.0,62.02,15366,105,407.0,410.0,401.0
2026-03-16,-2.0,-0.49,407.0,69.89,17202,121,410.0,414.0,402.0
2026-03-15,-5.5,-1.33,409.0,92.44,22506,137,415.0,420.0,408.0
2026-03-12,4.7,1.15,414.5,75.56,18398,133,409.8,415.0,404.0
2026-03-11,-9.2,-2.2,409.8,74.95,18143,146,420.0,420.9,407.0
2026-03-10,9.0,2.2,419.0,,69735,530,418.2,442.0,411.6
2026-03-09,15.2,3.85,410.0,1.64,410,3,402.0,410.0,402.0
2026-03-03,3.8,0.97,394.8,87.51,22195,135,391.0,398.8,391.0
2026-03-01,13.0,3.44,391.0,91.0,23568,136,381.9,391.0,375.5
2026-02-26,2.0,0.53,378.0,36.07,9545,57,377.0,380.9,375.1
2026-02-25,-2.0,-0.53,376.0,33.2,8803,59,383.0,383.0,376.0
2026-02-24,2.9,0.77,378.0,24.65,6520,53,379.9,382.0,375.0
2026-02-23,-1.8,-0.48,375.1,38.02,10091,73,378.0,379.8,373.0
2026-02-22,-4.1,-1.08,376.9,25.29,6712,75,386.0,386.0,373.1
2026-02-17,-6.0,-1.55,381.0,51.29,13585,114,389.0,389.0,372.3
2026-02-16,6.9,1.82,387.0,65.97,17128,100,381.0,390.0,376.0
2026-02-12,-0.9,-0.24,380.1,50.78,13319,103,381.1,385.0,379.0
2026-02-11,-2.3,-0.6,381.0,66.11,17367,121,388.9,389.0,377.1
2026-02-10,-3.7,-0.96,383.3,49.39,12852,79,388.0,390.0,382.5
2026-02-09,-4.5,-1.15,387.0,65.16,16788,106,391.4,391.5,385.2
2026-02-08,-2.0,-0.51,391.5,53.95,13682,92,399.0,401.0,391.0
2026-02-05,-0.5,-0.13,393.5,67.97,17244,109,393.0,396.9,392.1
2026-02-04,3.9,1.0,394.0,50.88,12953,93,395.0,397.9,390.0
2026-02-03,-2.9,-0.74,390.1,64.34,16468,112,400.8,400.8,390.0
2026-02-02,-2.0,-0.51,393.0,65.51,16732,139,393.0,396.0,390.0
2026-02-01,-4.5,-1.13,395.0,87.99,22228,165,403.0,403.0,390.1
2026-01-29,-6.5,-1.6,399.5,,27176,212,410.0,411.0,397.0
2026-01-28,11.0,2.78,406.0,,36979,256,400.0,411.0,387.0
2026-01-27,-21.1,-5.07,395.0,,68446,367,416.0,419.0,383.0
2026-01-26,-5.0,-1.19,416.1,,41073,276,424.0,427.9,407.0
2026-01-25,22.1,5.54,421.1,,58169,451,405.0,432.0,404.0
2026-01-22,1.0,0.25,399.0,80.62,20006,182,405.9,412.0,398.0
2026-01-21,-5.0,-1.24,398.0,63.26,15886,150,408.9,410.0,394.0
2026-01-20,3.1,0.78,403.0,,53537,399,404.0,415.0,399.0
2026-01-18,24.5,6.53,399.9,,69350,472,378.9,404.0,378.9
2026-01-14,5.4,1.46,375.4,61.73,16390,144,370.0,384.0,369.8
2026-01-13,-2.0,-0.54,370.0,70.41,19106,120,370.0,373.5,367.0
2026-01-12,-7.7,-2.03,372.0,94.54,25340,145,379.0,381.0,369.0
2026-01-08,-8.2,-2.11,379.7,50.9,13344,120,390.0,390.0,377.0
2026-01-07,6.9,1.81,387.9,,32861,254,375.3,395.0,375.3
2026-01-06,8.9,2.39,381.0,,27696,199,370.0,383.0,370.0
2026-01-05,-1.9,-0.51,372.1,,32800,261,371.5,377.1,359.4
2026-01-04,-2.0,-0.53,374.0,42.17,11219,97,378.0,380.0,373.0
2026-01-01,-4.0,-1.05,376.0,33.11,8781,68,380.0,380.0,376.0
2025-12-31,-0.9,-0.24,380.0,43.99,11543,76,378.1,386.0,378.0
2025-12-29,-3.1,-0.81,380.9,32.96,8587,81,388.0,389.0,379.1
2025-12-28,9.0,2.4,384.0,42.27,11087,75,380.0,384.0,375.5
2025-12-24,-4.5,-1.19,375.0,21.5,5702,57,381.9,381.9,375.0
2025-12-23,-2.5,-0.65,379.5,10.28,2706,39,384.0,385.0,378.1
2025-12-22,-1.0,-0.26,382.0,18.04,4745,52,377.0,382.0,377.0
2025-12-21,-3.0,-0.78,383.0,31.54,8268,87,381.0,388.9,379.0
2025-12-18,-7.0,-1.78,386.0,40.5,10433,69,393.0,394.0,386.0
