DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,0.65,462.0,25.77,5624,69,465.0,465.0,455.0
2026-05-07,5.0,1.1,459.0,45.33,9901,82,445.0,461.9,445.0
2026-05-06,2.29,0.51,454.0,50.39,11023,115,460.0,462.9,451.0
2026-05-05,6.3,1.35,474.3,84.76,17955,164,468.0,477.0,461.0
2026-05-04,-8.4,-1.76,468.0,64.88,13819,140,468.2,476.0,468.0
2026-04-30,1.5,0.32,476.4,33.14,7020,84,473.1,476.9,468.0
2026-04-29,-0.3,-0.06,474.9,63.05,13362,102,474.2,478.0,470.0
2026-04-28,-2.0,-0.42,475.2,28.92,6072,83,477.2,480.0,473.1
2026-04-27,-2.6,-0.54,477.2,60.29,12627,150,479.8,483.1,475.0
2026-04-24,6.2,1.31,479.8,68.05,14412,151,471.0,480.0,470.0
2026-04-23,-9.4,-1.95,473.6,34.9,7347,99,473.2,485.0,473.2
2026-04-22,1.0,0.21,483.0,,29063,179,474.0,483.0,470.0
2026-04-21,1.6,0.33,482.0,51.58,10765,120,489.4,489.4,477.0
2026-04-20,-4.6,-0.95,480.4,48.09,9954,116,495.0,495.0,480.4
2026-04-17,0.9,0.19,485.0,54.47,11294,114,485.0,486.0,480.0
2026-04-16,-10.9,-2.2,484.1,,25471,158,490.0,495.0,480.7
2026-04-15,1.1,0.22,495.0,86.47,17387,212,498.0,499.8,490.0
2026-04-13,-1.8,-0.36,493.9,68.82,14010,117,487.0,496.0,487.0
2026-04-10,-3.8,-0.76,495.7,50.53,10237,145,492.1,496.0,492.0
2026-04-09,6.5,1.32,499.5,69.29,13910,157,495.0,501.9,492.0
2026-04-08,7.0,1.44,493.0,46.38,9489,111,488.0,494.4,484.2
2026-04-07,2.0,0.41,486.0,70.25,14411,124,490.8,491.9,481.1
2026-04-06,11.7,2.48,484.0,99.21,20423,210,471.1,491.0,471.1
2026-04-05,-13.7,-2.82,472.3,,29692,197,480.0,485.0,472.0
2026-04-02,-2.0,-0.41,486.0,66.15,13553,129,480.0,492.9,480.0
2026-04-01,-6.1,-1.23,488.0,,26603,192,491.1,493.0,485.0
2026-03-31,-0.9,-0.18,494.1,,28898,231,490.0,504.0,488.5
2026-03-30,-14.0,-2.75,495.0,,53712,273,500.1,510.0,491.0
2026-03-29,-17.0,-3.23,509.0,,54939,286,526.0,526.0,505.5
2026-03-26,-1.0,-0.19,526.0,,30204,183,520.0,527.0,519.0
2026-03-25,-5.0,-0.94,527.0,,33439,234,530.3,530.3,520.0
2026-03-24,-3.0,-0.56,532.0,,26401,217,536.0,536.0,526.0
2026-03-23,5.0,0.94,535.0,,62749,396,533.0,538.5,525.1
2026-03-22,15.0,2.91,530.0,,48274,385,521.0,533.0,514.0
2026-03-19,16.0,3.21,515.0,,60619,510,500.1,521.0,496.0
2026-03-17,2.8,0.56,499.0,,21741,193,493.4,503.0,493.4
2026-03-16,-3.8,-0.76,496.2,,24581,207,500.0,503.0,493.0
2026-03-15,3.0,0.6,500.0,,24495,244,499.0,504.9,493.0
2026-03-12,3.0,0.61,497.0,,28909,207,489.0,500.0,485.2
2026-03-11,-10.0,-1.98,494.0,,28822,198,496.1,502.8,491.0
2026-03-10,-4.0,-0.79,504.0,,58354,436,505.0,515.0,490.1
2026-03-09,28.0,5.83,508.0,13.34,2673,6,489.6,508.0,489.6
2026-03-03,8.0,1.69,480.0,,21260,157,466.5,480.0,466.5
2026-03-01,2.0,0.43,472.0,25.57,5468,83,462.0,472.0,462.0
2026-02-26,3.8,0.82,470.0,38.83,8270,88,466.0,474.0,466.0
2026-02-25,-0.7,-0.15,466.2,29.39,6323,87,466.0,470.0,462.3
2026-02-24,2.9,0.62,466.9,30.35,6532,96,462.0,469.9,462.0
2026-02-23,-1.0,-0.22,464.0,,36155,94,460.2,465.5,460.2
2026-02-22,-2.0,-0.43,465.0,60.93,13208,168,461.3,470.0,460.0
2026-02-17,-3.0,-0.64,467.0,81.53,17427,115,465.5,471.9,465.5
2026-02-16,-3.9,-0.82,470.0,62.14,13159,117,475.0,475.0,469.0
2026-02-12,-1.1,-0.23,473.9,74.58,15794,166,473.0,476.8,470.1
2026-02-11,1.0,0.21,475.0,,35276,175,476.0,476.0,464.6
2026-02-10,-1.0,-0.21,474.0,78.18,16584,160,470.0,475.0,469.0
