DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.7,2.53,311.9,,77941,345,306.0,312.0,304.0
2026-05-07,-0.3,-0.1,304.2,,43524,249,300.1,306.0,300.1
2026-05-06,-0.5,-0.16,304.5,,155234,353,305.0,307.0,299.3
2026-05-05,2.9,0.96,305.0,,80147,313,303.0,308.0,298.6
2026-05-04,-4.9,-1.6,302.1,,64541,309,307.0,308.0,301.3
2026-04-30,0.0,0.0,307.0,,124580,428,303.0,309.0,302.0
2026-04-29,-4.0,-1.29,307.0,,121321,447,315.0,315.0,305.0
2026-04-28,-6.5,-2.05,311.0,,123844,377,317.5,319.9,311.0
2026-04-27,3.5,1.11,317.5,,51827,300,314.0,319.0,312.0
2026-04-24,-2.9,-0.92,314.0,,61153,294,314.0,316.8,310.5
2026-04-23,-2.1,-0.66,316.9,,67897,311,323.7,323.7,313.1
2026-04-22,1.6,0.5,319.0,,167624,683,315.1,324.0,310.1
2026-04-21,-5.0,-1.55,317.4,,134970,415,326.0,326.0,316.1
2026-04-20,-2.8,-0.86,322.4,,98789,342,309.0,329.0,309.0
2026-04-17,0.1,0.03,325.2,,152437,541,322.1,328.5,321.1
2026-04-16,-8.8,-2.64,325.1,,233848,771,337.4,337.4,325.0
2026-04-15,4.9,1.49,333.9,,346111,990,334.0,338.2,331.2
2026-04-13,0.0,0.0,329.0,,170408,647,325.1,333.0,325.1
2026-04-10,-2.0,-0.6,329.0,,458027,1192,336.9,336.9,327.0
2026-04-09,8.9,2.76,331.0,,402803,1202,325.0,336.0,320.0
2026-04-08,8.1,2.58,322.1,,287506,932,307.8,324.9,307.8
2026-04-07,0.0,0.0,314.0,,249367,844,316.9,321.0,311.1
2026-04-06,16.7,5.62,314.0,,320503,1180,297.0,319.0,297.0
2026-04-05,-18.6,-5.89,297.3,,621810,1546,322.2,322.2,297.0
2026-04-02,0.9,0.29,315.9,,286286,945,311.0,321.3,308.1
2026-04-01,-14.0,-4.26,315.0,,475191,1342,329.0,333.0,311.0
2026-03-31,1.9,0.58,329.0,,396157,1395,328.0,331.5,318.0
2026-03-30,-7.4,-2.21,327.1,,459239,1516,334.5,338.0,326.0
2026-03-29,-13.5,-3.88,334.5,,612738,1810,354.8,354.8,333.3
2026-03-26,1.0,0.29,348.0,,335203,1405,345.0,349.9,340.1
2026-03-25,-7.1,-2.01,347.0,,591764,1533,355.9,361.0,345.1
2026-03-24,9.9,2.88,354.1,,1026409,2523,348.0,358.5,336.0
2026-03-23,9.2,2.75,344.2,,653861,1317,330.2,346.9,330.2
2026-03-22,-3.7,-1.09,335.0,,706414,1771,345.0,345.0,329.1
2026-03-19,0.7,0.21,338.7,,796798,2011,344.7,347.0,337.0
