DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.8,0.44,409.6,33.97,8322,63,408.0,410.0,405.0
2026-05-07,1.8,0.44,407.8,22.42,5545,37,401.1,407.8,401.1
2026-05-06,0.0,0.0,406.0,42.84,10556,78,410.0,415.0,401.5
2026-05-05,3.5,0.87,406.0,,46354,154,400.1,406.0,398.0
2026-05-04,-2.5,-0.62,402.5,64.34,16012,100,400.1,409.5,400.0
2026-04-30,3.6,0.9,405.0,,25799,141,400.0,407.0,400.0
2026-04-29,-0.4,-0.1,401.4,73.55,18322,113,401.0,405.0,400.1
2026-04-28,-2.2,-0.54,401.8,71.97,17817,110,404.0,409.0,401.2
2026-04-27,1.9,0.47,404.0,70.75,17538,98,402.1,407.0,402.0
2026-04-24,-5.0,-1.23,402.1,86.97,21616,122,427.4,427.4,396.0
2026-04-23,-4.3,-1.05,407.1,45.81,11225,70,411.0,411.0,403.0
2026-04-22,4.4,1.08,411.4,,33139,170,427.3,427.3,396.0
2026-04-21,-3.1,-0.76,407.0,77.32,18954,97,410.0,419.0,407.0
2026-04-20,-4.9,-1.18,410.1,45.82,11155,75,408.2,415.0,408.1
2026-04-17,-0.7,-0.17,415.0,87.71,21253,91,418.8,418.8,409.1
2026-04-16,-4.3,-1.02,415.7,,27305,121,420.0,420.0,412.0
2026-04-15,7.0,1.69,420.0,73.73,17565,149,409.0,422.5,409.0
2026-04-13,0.0,0.0,413.0,55.02,13327,89,408.0,415.0,408.0
2026-04-10,-6.0,-1.43,413.0,,43971,174,419.0,419.9,410.0
2026-04-09,5.6,1.35,419.0,,30967,208,412.0,420.0,411.3
2026-04-08,6.4,1.57,413.4,,25778,152,407.0,414.5,406.2
2026-04-07,-3.0,-0.73,407.0,,30182,182,412.0,414.6,403.3
2026-04-06,11.0,2.76,410.0,,98048,252,405.0,413.0,400.0
2026-04-05,-11.0,-2.68,399.0,,68064,368,418.0,418.0,398.0
2026-04-02,1.9,0.47,410.0,,35385,201,408.0,413.0,402.0
2026-04-01,-13.0,-3.09,408.1,,58700,267,415.1,420.0,406.9
2026-03-31,3.1,0.74,421.1,,59689,316,410.0,426.5,410.0
2026-03-30,-9.0,-2.11,418.0,,63223,317,427.0,430.0,415.5
2026-03-29,-13.0,-2.95,427.0,,75739,408,440.0,440.0,427.0
2026-03-26,1.6,0.36,440.0,,69937,294,429.7,440.0,429.7
2026-03-25,-10.6,-2.36,438.4,,96275,412,447.0,447.0,438.0
2026-03-24,9.1,2.07,449.0,,147648,461,437.0,449.0,435.8
2026-03-23,-4.0,-0.9,439.9,,78099,407,439.0,444.0,433.0
2026-03-22,10.9,2.52,443.9,,244161,948,441.6,449.7,437.0
2026-03-19,10.0,2.36,433.0,,120787,537,422.0,438.5,421.4
2026-03-17,-2.1,-0.49,423.0,,31079,162,424.0,429.9,417.0
2026-03-16,-10.4,-2.39,425.1,,64385,201,444.2,444.2,424.0
