DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.9,1.48,676.8,,85257,537,666.9,676.9,660.0
2026-05-07,4.9,0.74,666.9,,60189,409,662.0,669.8,662.0
2026-05-06,2.0,0.3,662.0,,88362,396,670.0,670.0,658.5
2026-05-05,4.0,0.61,660.0,,77677,495,660.0,665.0,651.3
2026-05-04,-8.2,-1.23,656.0,,121198,602,670.0,670.0,655.0
2026-04-30,6.2,0.94,664.2,,258669,900,658.0,668.0,650.1
2026-04-29,-8.0,-1.2,658.0,,187670,795,666.0,672.0,656.0
2026-04-28,-6.0,-0.89,666.0,,172219,729,672.0,679.0,665.1
2026-04-27,2.3,0.34,672.0,,164981,771,669.7,679.9,661.3
2026-04-24,-3.3,-0.49,669.7,,197127,770,665.0,680.0,656.1
2026-04-23,-7.0,-1.03,673.0,,135387,695,700.0,700.0,670.0
2026-04-22,0.0,0.0,680.0,,377686,1520,680.0,690.0,666.4
2026-04-21,-2.0,-0.29,680.0,,246868,942,697.9,697.9,678.0
2026-04-20,-13.0,-1.87,682.0,,235104,1163,700.0,700.0,680.1
2026-04-17,4.8,0.7,695.0,,345817,1243,678.0,701.0,678.0
2026-04-16,-17.8,-2.51,690.2,,384656,1762,708.0,711.0,690.2
2026-04-15,20.0,2.91,708.0,,817913,3049,688.0,718.0,688.0
2026-04-13,3.0,0.44,688.0,,275103,951,687.5,692.9,683.2
2026-04-10,-10.0,-1.44,685.0,,367225,1375,695.0,700.0,682.1
2026-04-09,2.0,0.29,695.0,,447466,1721,700.0,700.0,688.1
2026-04-08,27.7,4.16,693.0,,545654,1670,678.6,696.0,666.0
2026-04-07,-0.7,-0.11,665.3,,323631,1105,675.0,679.0,661.0
2026-04-06,20.0,3.1,666.0,,372890,1617,644.0,674.9,642.0
2026-04-05,-29.0,-4.3,646.0,,694509,2632,661.5,665.0,643.0
2026-04-02,6.0,0.9,675.0,,355138,1378,661.0,682.0,660.0
2026-04-01,-16.0,-2.34,669.0,,637105,2157,685.0,690.9,660.0
2026-03-31,9.0,1.33,685.0,,515667,2129,680.0,693.0,670.2
2026-03-30,-13.0,-1.89,676.0,,639774,2209,689.0,697.5,675.1
2026-03-29,-17.0,-2.41,689.0,,686100,2699,710.0,714.0,688.0
2026-03-26,8.0,1.15,706.0,,404924,2011,698.0,708.9,691.0
2026-03-25,-12.0,-1.69,698.0,,681616,2470,710.0,713.0,695.9
2026-03-24,-10.0,-1.39,710.0,,547372,2277,720.0,730.0,708.0
2026-03-23,22.0,3.15,720.0,,853309,3907,700.0,724.8,687.0
2026-03-22,26.1,3.88,698.0,,1082551,3739,675.0,709.0,675.0
2026-03-19,20.9,3.21,671.9,,560219,1703,654.8,672.0,654.8
