DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.0,0.54,1490.0,5.91,403,21,1438.0,1493.0,1438.0
2026-05-07,61.0,4.29,1482.0,3.5,240,14,1425.0,1497.0,1418.0
2026-05-06,-28.9,-1.99,1421.0,1.4,99,9,1440.0,1440.0,1415.0
2026-05-05,-5.1,-0.35,1449.9,32.48,2250,18,1420.0,1450.0,1420.0
2026-05-04,-5.0,-0.34,1455.0,5.82,408,22,1420.5,1463.0,1420.5
2026-04-30,-29.9,-2.01,1460.0,5.68,390,15,1455.0,1470.0,1455.0
2026-04-29,13.8,0.93,1489.9,5.73,390,8,1476.1,1489.9,1452.0
2026-04-28,-33.9,-2.25,1476.1,1.49,100,10,1510.0,1555.0,1465.0
2026-04-27,5.0,0.33,1510.0,2.67,180,11,1505.0,1510.0,1476.0
2026-04-24,15.0,1.01,1505.0,10.74,716,12,1490.0,1505.0,1454.0
2026-04-23,-10.0,-0.67,1490.0,5.54,370,11,1500.0,1500.0,1463.0
2026-04-22,-5.0,-0.33,1500.0,7.25,485,14,1488.1,1505.0,1488.1
2026-04-21,-25.0,-1.63,1505.0,9.46,629,22,1490.1,1520.0,1490.1
2026-04-20,10.0,0.66,1530.0,10.57,702,19,1505.1,1550.1,1500.0
2026-04-17,8.8,0.58,1520.0,3.11,205,9,1517.7,1522.0,1517.7
2026-04-16,-43.8,-2.82,1511.2,4.92,320,14,1530.0,1550.0,1511.2
2026-04-15,10.0,0.65,1555.0,7.47,480,21,1530.0,1575.0,1530.0
2026-04-13,-6.0,-0.39,1545.0,8.16,530,13,1550.0,1550.0,1534.0
2026-04-10,-24.0,-1.52,1551.0,2.94,190,11,1547.2,1551.0,1547.0
2026-04-09,35.0,2.27,1575.0,12.84,822,26,1525.0,1586.1,1525.0
2026-04-08,13.9,0.91,1540.0,4.46,290,9,1550.0,1554.0,1523.1
2026-04-07,-28.9,-1.86,1526.1,11.56,755,29,1525.1,1540.0,1525.0
2026-04-06,0.0,0.0,1555.0,5.58,360,23,1559.0,1565.0,1530.0
2026-04-05,-1.0,-0.06,1555.0,28.59,1903,44,1536.0,1555.0,1488.0
2026-04-02,-22.0,-1.39,1556.0,13.98,900,34,1547.0,1580.0,1519.0
2026-04-01,-33.0,-2.05,1578.0,9.52,600,27,1585.1,1620.0,1555.0
2026-03-31,-23.0,-1.41,1611.0,6.23,385,16,1602.3,1642.0,1601.1
2026-03-30,-27.0,-1.63,1634.0,9.95,610,23,1662.0,1680.0,1605.0
2026-03-29,-57.9,-3.37,1661.0,20.35,1217,32,1691.0,1691.0,1661.0
2026-03-26,9.9,0.58,1718.9,15.0,886,38,1690.0,1720.0,1683.0
2026-03-25,-25.0,-1.44,1709.0,20.02,1170,24,1700.0,1715.0,1700.0
2026-03-24,5.0,0.29,1734.0,6.62,385,17,1707.1,1734.0,1707.1
2026-03-23,29.0,1.71,1729.0,39.96,2323,76,1710.0,1735.0,1710.0
2026-03-22,56.0,3.41,1700.0,44.63,2641,81,1640.0,1729.0,1640.0
2026-03-19,23.0,1.42,1644.0,14.87,911,28,1644.4,1644.4,1625.0
2026-03-17,-9.0,-0.55,1621.0,2.43,150,10,1630.0,1653.5,1602.0
2026-03-16,17.0,1.05,1630.0,17.56,1085,19,1621.0,1630.0,1600.0
2026-03-15,-32.0,-1.95,1613.0,13.69,838,22,1670.0,1670.0,1613.0
2026-03-12,3.0,0.18,1645.0,8.82,540,15,1642.0,1650.0,1622.0
2026-03-11,-14.0,-0.85,1642.0,11.2,676,27,1686.0,1686.0,1642.0
2026-03-10,18.9,1.15,1656.0,33.05,1997,46,1669.8,1700.0,1643.0
2026-03-09,32.1,2.0,1637.1,,10,1,1637.1,1637.1,1637.1
2026-03-03,25.1,1.59,1605.0,4.5,282,11,1570.0,1607.0,1570.0
2026-03-01,23.9,1.54,1579.9,1.25,80,8,1535.1,1587.0,1535.1
2026-02-26,-4.0,-0.26,1556.0,2.86,184,8,1555.1,1560.0,1555.1
2026-02-25,8.0,0.52,1560.0,10.4,670,7,1552.0,1560.0,1552.0
2026-02-24,6.0,0.39,1552.0,3.2,205,12,1576.0,1576.9,1546.0
2026-02-23,-12.0,-0.77,1546.0,14.96,966,24,1567.0,1570.0,1546.0
2026-02-22,-24.0,-1.52,1558.0,4.06,260,17,1613.0,1644.0,1551.0
2026-02-17,-16.0,-1.0,1582.0,7.14,454,16,1571.1,1589.0,1567.0
2026-02-16,11.8,0.74,1598.0,4.53,288,19,1570.0,1598.0,1560.0
2026-02-12,-24.7,-1.53,1586.2,17.61,1109,22,1635.0,1635.0,1585.0
2026-02-11,40.9,2.61,1610.9,5.41,340,14,1601.4,1610.9,1575.0
2026-02-10,-38.0,-2.36,1570.0,20.68,1299,34,1620.0,1630.0,1570.0
2026-02-09,-24.0,-1.47,1608.0,5.62,350,10,1608.0,1608.1,1602.0
2026-02-08,-16.2,-0.98,1632.0,8.24,511,18,1616.0,1632.0,1600.0
2026-02-05,32.2,1.99,1648.2,14.88,925,33,1648.0,1648.2,1600.0
2026-02-04,-13.0,-0.8,1616.0,10.24,638,31,1605.1,1616.0,1600.0
2026-02-03,-1.0,-0.06,1629.0,12.32,766,28,1606.0,1629.0,1601.0
2026-02-02,-14.9,-0.91,1630.0,17.32,1064,26,1637.1,1655.0,1619.0
2026-02-01,-33.1,-1.97,1644.9,4.83,295,21,1644.5,1670.0,1630.0
2026-01-29,-16.9,-1.0,1678.0,14.56,880,24,1670.1,1679.9,1645.1
2026-01-28,27.9,1.67,1694.9,6.19,375,15,1667.0,1694.9,1642.5
2026-01-27,-26.0,-1.54,1667.0,20.78,1234,35,1693.0,1726.8,1667.0
