DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,17.6,3.4,535.0,19.74,3725,25,521.0,535.0,521.0
2026-05-07,-2.6,-0.5,517.4,19.05,3669,32,520.0,523.0,517.1
2026-05-06,-3.0,-0.57,520.0,16.32,3101,45,538.6,538.6,520.0
2026-05-05,-11.0,-2.06,523.0,10.15,1926,31,525.0,539.0,522.1
2026-05-04,4.0,0.75,534.0,8.04,1510,17,537.0,537.0,525.0
2026-04-30,-13.0,-2.39,530.0,62.33,11738,99,530.0,540.0,528.0
2026-04-29,-5.5,-1.0,543.0,13.32,2462,32,535.6,547.0,535.6
2026-04-28,2.2,0.4,548.5,11.8,2158,25,546.3,555.0,545.0
2026-04-27,-3.7,-0.67,546.3,19.24,3489,46,550.0,563.0,546.2
2026-04-24,5.0,0.92,550.0,17.21,3160,36,537.0,552.0,536.0
2026-04-23,-25.0,-4.39,545.0,,27571,73,598.5,598.5,541.0
2026-04-22,17.1,3.09,570.0,88.57,16115,87,541.0,603.0,537.0
2026-04-21,-1.1,-0.2,552.9,30.13,5496,35,581.7,581.7,546.0
2026-04-20,-0.1,-0.02,554.0,44.38,7999,44,555.0,570.0,542.0
2026-04-17,-2.1,-0.38,554.1,31.18,5715,47,545.7,555.0,536.0
2026-04-16,-7.6,-1.35,556.2,80.99,14654,70,565.0,565.0,545.6
2026-04-15,7.8,1.4,563.8,,18585,98,564.8,578.0,551.2
2026-04-13,-8.9,-1.58,556.0,39.92,7215,44,556.1,556.2,545.3
2026-04-10,0.2,0.04,564.9,88.04,15758,83,562.0,569.8,550.1
2026-04-09,5.7,1.02,564.7,,23468,70,555.0,567.0,555.0
2026-04-08,3.0,0.54,559.0,51.29,9218,57,564.0,564.0,545.0
2026-04-07,-4.0,-0.71,556.0,,21802,100,562.0,562.0,535.0
2026-04-06,25.1,4.69,560.0,90.91,16655,128,530.0,566.0,530.0
2026-04-05,-26.1,-4.65,534.9,,30995,152,550.1,561.0,518.6
2026-04-02,1.5,0.27,561.0,,23124,92,550.1,570.6,538.4
2026-04-01,-25.5,-4.36,559.5,,18465,99,575.0,578.2,555.1
2026-03-31,6.1,1.05,585.0,51.85,9020,73,571.5,587.0,570.1
2026-03-30,-13.7,-2.31,578.9,,34591,128,584.0,590.0,572.0
2026-03-29,-12.3,-2.03,592.6,,21000,135,600.0,613.0,585.0
2026-03-26,1.5,0.25,604.9,82.38,13665,75,610.0,610.0,598.4
2026-03-25,-16.3,-2.63,603.4,,18745,124,610.0,621.0,602.0
2026-03-24,4.7,0.76,619.7,,25389,129,610.0,622.9,609.0
2026-03-23,-9.5,-1.52,615.0,,40861,265,625.0,632.8,607.6
2026-03-22,10.5,1.71,624.5,,49698,289,601.8,634.0,601.8
2026-03-19,15.5,2.59,614.0,,34230,179,600.0,614.0,592.0
2026-03-17,-1.5,-0.25,598.5,,21925,91,590.5,605.0,590.5
2026-03-16,-3.0,-0.5,600.0,,33137,145,601.0,613.0,597.4
2026-03-15,-2.0,-0.33,603.0,,27518,143,615.0,616.9,595.3
2026-03-12,0.1,0.02,605.0,,38433,164,594.1,614.0,594.1
2026-03-11,-15.1,-2.44,604.9,,18181,110,608.1,628.9,600.0
