DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.4,0.77,577.9,33.68,5850,86,573.0,579.7,572.0
2026-05-07,0.5,0.09,573.5,31.34,5490,64,572.0,574.5,570.0
2026-05-06,-0.4,-0.07,573.0,19.24,3343,55,575.0,580.0,572.0
2026-05-05,2.4,0.42,573.4,40.11,6989,88,571.0,580.0,565.0
2026-05-04,-10.0,-1.72,571.0,36.84,6410,99,581.0,581.0,571.0
2026-04-30,-6.0,-1.02,581.0,73.97,12806,158,576.0,584.5,575.0
2026-04-29,-5.0,-0.84,587.0,85.03,14527,117,588.0,592.0,581.2
2026-04-28,-5.3,-0.89,592.0,65.64,11043,121,597.3,610.0,591.3
2026-04-27,-2.6,-0.43,597.3,49.37,8222,87,599.9,606.0,595.0
2026-04-24,-1.1,-0.18,599.9,,17802,126,600.0,604.0,589.3
2026-04-23,-2.0,-0.33,601.0,52.26,8688,95,603.0,610.0,600.0
2026-04-22,-7.0,-1.15,603.0,77.24,12825,118,605.0,609.0,594.0
2026-04-21,-4.5,-0.73,610.0,63.66,10407,91,611.8,618.5,610.0
2026-04-20,-7.5,-1.21,614.5,30.51,4978,74,622.0,622.0,611.2
2026-04-17,-2.9,-0.46,622.0,74.86,12105,150,620.0,631.9,610.0
2026-04-16,-13.1,-2.05,624.9,,19465,224,626.1,638.0,620.1
2026-04-15,26.8,4.38,638.0,,48593,373,610.2,639.5,610.1
2026-04-13,-1.8,-0.29,611.2,63.45,10361,96,615.0,618.9,605.2
2026-04-10,-6.0,-0.97,613.0,45.18,7357,92,620.0,620.0,609.2
2026-04-09,8.1,1.33,619.0,98.57,15949,170,611.0,620.0,611.0
2026-04-08,7.9,1.31,610.9,97.17,15961,131,604.0,614.0,604.0
2026-04-07,-1.0,-0.17,603.0,89.1,14657,150,595.8,614.8,595.8
2026-04-06,19.0,3.25,604.0,,23526,208,590.0,612.0,584.2
2026-04-05,-23.0,-3.78,585.0,,40995,319,600.0,605.0,580.0
2026-04-02,0.0,0.0,608.0,,26294,245,601.1,611.9,590.0
2026-04-01,-16.0,-2.56,608.0,,23177,224,625.0,625.0,604.6
