DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.0,1.15,705.0,48.65,6852,133,700.0,714.0,700.0
2026-05-07,-9.0,-1.27,697.0,92.34,13182,159,692.1,710.0,692.1
2026-05-06,-14.0,-1.94,706.0,92.95,13163,160,720.0,720.0,700.0
2026-05-05,4.0,0.56,720.0,69.59,9722,149,701.0,727.0,696.0
2026-05-04,-16.1,-2.2,716.0,,14039,192,730.0,735.0,711.0
2026-04-30,-14.9,-1.99,732.1,,17819,229,740.0,744.9,725.0
2026-04-29,-11.9,-1.57,747.0,73.27,9762,122,745.0,764.0,745.0
2026-04-28,8.9,1.19,758.9,,42273,328,750.0,768.0,750.0
2026-04-27,15.0,2.04,750.0,,29662,306,735.0,765.0,730.2
2026-04-24,-9.0,-1.21,735.0,56.41,7659,127,733.2,748.8,733.2
2026-04-23,-6.0,-0.8,744.0,46.4,6224,107,738.0,760.0,738.0
2026-04-22,9.9,1.34,750.0,,25674,271,742.0,760.0,732.5
2026-04-21,-20.9,-2.75,740.1,,23165,234,740.1,770.0,739.0
2026-04-20,8.8,1.17,761.0,81.45,10755,142,789.8,789.8,745.0
2026-04-17,-2.8,-0.37,752.2,,21297,288,770.0,770.0,739.9
2026-04-16,-79.0,-9.47,755.0,,100203,785,817.4,817.4,750.6
2026-04-15,75.8,10.0,834.0,,39196,291,765.0,834.0,750.6
2026-04-13,-2.8,-0.37,758.2,,18978,214,750.1,774.8,735.1
2026-04-10,-19.0,-2.44,761.0,,26801,202,765.0,784.9,760.0
2026-04-09,22.0,2.9,780.0,,18628,260,743.0,780.0,743.0
2026-04-08,18.0,2.43,758.0,,14261,139,750.0,760.0,746.0
2026-04-07,-8.1,-1.08,740.0,,14696,178,750.0,769.8,740.0
2026-04-06,39.1,5.51,748.1,,29151,420,710.0,758.0,700.0
2026-04-05,-60.1,-7.81,709.0,,49083,388,758.0,760.0,706.0
2026-04-02,-4.9,-0.63,769.1,,15622,259,760.1,788.4,745.0
2026-04-01,-31.1,-3.86,774.0,,26821,315,790.0,809.0,770.0
2026-03-31,19.4,2.47,805.1,,35633,361,801.4,815.0,771.0
2026-03-30,-22.3,-2.76,785.7,,27164,368,800.0,823.0,780.0
2026-03-29,-25.0,-3.0,808.0,,35513,375,833.0,833.0,800.0
2026-03-26,-30.9,-3.58,833.0,,74271,559,850.0,850.0,829.0
2026-03-25,-56.0,-6.09,863.9,,129671,1097,901.6,901.6,846.0
2026-03-24,82.9,9.9,919.9,,98586,563,836.0,919.9,806.6
2026-03-23,-27.9,-3.23,837.0,,26249,303,865.0,865.0,818.0
2026-03-22,35.1,4.23,864.9,,127416,843,813.3,899.0,813.3
2026-03-19,30.1,3.76,829.8,,66159,565,783.8,830.0,783.8
2026-03-17,-1.3,-0.16,799.7,,25004,255,790.0,800.0,774.2
2026-03-16,47.7,6.33,801.0,,45102,361,754.0,801.0,743.5
2026-03-15,-14.8,-1.93,753.3,,15493,188,771.0,776.0,753.3
2026-03-12,-10.9,-1.4,768.1,,17219,175,779.1,787.0,760.0
2026-03-11,-13.0,-1.64,779.0,,17430,177,777.0,801.0,775.5
2026-03-10,-19.5,-2.4,792.0,,38884,411,800.0,824.0,770.0
2026-03-09,61.0,8.13,811.5,17.16,2125,13,765.5,811.5,765.5
2026-03-03,8.5,1.15,750.5,,15964,147,729.0,758.0,729.0
2026-03-01,3.9,0.53,742.0,,18883,153,723.4,744.3,715.0
2026-02-26,-6.9,-0.93,738.1,97.55,13205,129,735.0,745.0,735.0
2026-02-25,1.1,0.15,745.0,,16116,135,730.0,756.0,730.0
2026-02-24,5.4,0.73,743.9,,16737,166,723.8,746.0,723.8
2026-02-23,8.5,1.16,738.5,,47727,399,719.0,769.0,719.0
2026-02-22,-1.0,-0.14,730.0,77.24,10635,131,716.5,745.0,716.5
2026-02-17,-18.0,-2.4,731.0,,25618,261,763.0,763.0,726.0
2026-02-16,-10.0,-1.32,749.0,,20515,175,750.5,773.0,745.0
2026-02-12,2.0,0.26,759.0,,18840,232,757.0,777.0,748.0
2026-02-11,-6.0,-0.79,757.0,,21234,228,763.0,790.0,756.0
2026-02-10,-25.0,-3.17,763.0,,45201,380,785.0,795.0,763.0
2026-02-09,-33.0,-4.02,788.0,,55357,434,807.0,820.0,784.0
2026-02-08,-4.0,-0.48,821.0,,37979,350,838.0,838.0,802.6
2026-02-05,-17.0,-2.02,825.0,,23930,269,827.0,850.0,822.1
2026-02-04,-25.0,-2.88,842.0,,37869,361,850.0,866.0,828.0
2026-02-03,-19.9,-2.24,867.0,,125766,924,880.0,912.9,845.1
2026-02-02,56.9,6.86,886.9,,164428,1019,814.0,887.0,814.0
2026-02-01,26.0,3.23,830.0,,73848,504,819.0,832.3,809.0
2026-01-29,-65.0,-7.48,804.0,,115194,798,851.7,917.8,784.0
2026-01-28,29.0,3.45,869.0,,81462,651,823.2,869.0,814.5
2026-01-27,10.0,1.2,840.0,,160409,1493,813.4,897.0,797.2
2026-01-26,53.0,6.82,830.0,,161653,1089,776.7,848.9,765.2
2026-01-25,36.0,4.86,777.0,,69795,516,755.8,789.9,742.0
2026-01-22,1.0,0.14,741.0,,50118,386,730.0,797.6,730.0
2026-01-21,-7.0,-0.94,740.0,,21993,184,732.1,759.0,730.5
2026-01-20,17.0,2.33,747.0,,57149,435,716.0,788.5,716.0
2026-01-18,10.1,1.4,730.0,,28645,200,724.0,730.0,720.0
2026-01-14,4.6,0.64,719.9,,25344,180,720.0,723.0,713.0
2026-01-13,-7.6,-1.05,715.3,63.44,8865,94,713.0,720.0,710.0
2026-01-12,8.9,1.25,722.9,,25494,225,718.0,726.0,710.0
2026-01-08,-10.0,-1.38,714.0,95.15,13268,142,710.0,725.0,710.0
2026-01-07,-14.8,-2.0,724.0,,35085,237,724.1,744.0,716.9
2026-01-06,17.8,2.47,738.8,,37806,269,715.0,743.0,715.0
2026-01-05,12.7,1.79,721.0,,24243,193,708.0,729.9,708.0
2026-01-04,-6.8,-0.95,708.3,71.15,9948,125,700.8,724.9,700.8
2026-01-01,-5.0,-0.69,715.1,85.23,11868,136,719.9,727.0,710.0
2025-12-31,-9.9,-1.36,720.1,,20198,197,716.0,744.0,716.0
2025-12-29,24.0,3.4,730.0,,35112,315,714.0,735.0,714.0
2025-12-28,4.0,0.57,706.0,,21005,180,711.0,711.0,697.1
2025-12-24,-4.3,-0.61,702.0,,20541,162,718.0,718.0,699.0
2025-12-23,-0.9,-0.13,706.3,84.1,11895,138,707.0,715.0,702.2
2025-12-22,-11.0,-1.53,707.2,,14336,198,703.9,725.0,703.9
2025-12-21,-79.8,-10.0,718.2,,71083,575,800.0,800.0,718.2
2025-12-18,69.6,9.56,798.0,,45411,354,713.9,798.0,713.9
2025-12-17,21.9,3.1,728.4,,28699,252,715.0,734.9,708.0
2025-12-16,-3.4,-0.48,706.5,,17037,137,701.1,717.0,701.1
2025-12-15,-5.1,-0.71,709.9,,16759,145,705.0,711.9,704.9
2025-12-14,-15.0,-2.05,715.0,70.38,9840,133,731.0,731.0,710.0
2025-12-11,0.0,0.0,730.0,95.95,13321,151,715.4,730.0,715.1
2025-12-10,-17.0,-2.28,730.0,,24150,212,732.1,751.9,722.8
2025-12-09,2.0,0.27,747.0,,43399,345,744.7,759.0,731.0
2025-12-08,10.0,1.36,745.0,,51986,463,723.0,750.0,718.1
2025-12-07,7.1,0.98,735.0,,42407,222,714.0,735.0,706.0
2025-12-03,-3.1,-0.42,727.9,,18956,156,721.0,736.9,709.6
2025-12-02,-2.0,-0.27,731.0,91.47,12503,144,718.4,737.0,718.4
2025-12-01,5.0,0.69,733.0,,36703,238,713.5,787.4,713.5
2025-11-30,-6.0,-0.82,728.0,,18752,193,734.0,734.8,711.0
2025-11-27,20.9,2.93,734.0,,29457,248,719.0,734.0,711.0
2025-11-26,-8.0,-1.11,713.1,70.37,9813,120,716.0,729.0,713.1
2025-11-25,-3.9,-0.54,721.1,52.86,7292,119,722.0,730.0,717.0
2025-11-24,-8.0,-1.09,725.0,,21657,190,722.0,734.8,722.0
2025-11-23,-32.0,-4.18,733.0,,27617,251,749.7,749.7,707.0
2025-11-20,67.0,9.6,765.0,,33629,254,709.0,765.0,685.0
2025-11-19,-11.0,-1.55,698.0,88.32,12601,111,700.0,722.0,695.0
2025-11-18,0.0,0.0,709.0,,25879,170,720.0,723.0,695.8
2025-11-17,25.1,3.67,709.0,,20746,224,675.1,718.0,675.1
2025-11-16,-7.2,-1.04,683.9,29.02,4256,96,688.0,692.1,679.0
2025-11-13,-5.4,-0.78,691.1,41.27,5957,86,708.9,708.9,690.0
2025-11-12,1.5,0.22,696.5,77.27,11082,114,690.0,703.0,690.0
2025-11-11,-1.0,-0.14,695.0,69.16,9966,102,696.0,705.0,690.0
2025-11-10,-5.0,-0.71,696.0,60.09,8605,103,690.0,705.3,690.0
2025-11-09,-13.9,-1.94,701.0,65.57,9312,129,705.0,710.0,700.0
2025-11-06,4.9,0.69,714.9,60.44,8482,100,700.0,718.0,700.0
2025-11-05,1.0,0.14,710.0,67.89,9583,94,714.9,715.0,701.0
2025-11-04,-11.0,-1.53,709.0,94.13,13171,122,712.0,725.0,706.0
2025-11-03,-4.2,-0.58,720.0,57.91,8016,130,711.0,737.0,711.0
2025-11-02,-0.8,-0.11,724.2,74.37,10227,133,711.0,739.5,711.0
2025-10-30,5.0,0.69,725.0,,13866,126,706.0,729.0,706.0
2025-10-29,5.0,0.7,720.0,,26677,241,729.0,786.5,708.0
2025-10-28,34.8,5.12,715.0,78.96,11150,149,666.6,720.0,666.6
2025-10-26,-5.0,-0.73,680.2,42.07,6185,81,673.1,688.0,673.1
2025-10-19,-4.8,-0.7,685.2,28.5,4135,74,703.8,703.8,679.0
2025-10-16,-14.0,-1.99,690.0,80.81,11673,141,700.0,700.0,688.0
2025-10-15,-3.0,-0.42,704.0,40.43,5749,82,721.1,721.1,699.0
2025-10-14,-16.0,-2.21,707.0,33.25,4669,85,710.0,735.0,707.0
2025-10-13,14.0,1.97,723.0,83.68,11738,152,700.1,727.0,691.0
2025-10-12,-22.0,-3.01,709.0,,17969,210,731.0,731.0,705.0
2025-10-09,28.0,3.98,731.0,,27509,274,717.0,760.0,717.0
2025-10-08,-16.0,-2.23,703.0,,18453,184,733.3,733.3,698.3
2025-10-07,-22.0,-2.97,719.0,,15665,207,726.2,738.0,713.0
2025-09-28,-1.0,-0.13,741.0,70.17,9420,120,750.0,758.8,740.0
2025-09-25,-7.0,-0.93,742.0,,25000,283,735.1,764.9,735.0
2025-09-24,1.3,0.17,749.0,,36410,396,755.0,774.0,740.0
2025-09-23,67.9,9.99,747.7,,55207,546,693.3,747.7,691.9
2025-09-21,61.8,10.0,679.8,,42063,464,618.0,679.8,608.0
2025-09-18,-68.67,-10.0,618.0,7.0,1075,27,690.0,690.0,618.0
2025-09-08,-12.13,-1.74,686.67,67.64,9779,132,700.0,702.0,685.0
2025-09-07,-1.21,-0.17,698.8,70.75,10095,154,709.0,709.0,698.0
2025-09-04,-12.97,-1.82,700.01,,23850,301,698.8,723.0,690.0
2025-09-03,-21.56,-2.94,712.98,,18265,230,749.2,749.2,710.0
2025-09-02,-4.81,-0.65,734.54,60.77,8255,102,754.1,754.1,732.0
2025-09-01,-0.12,-0.02,739.35,61.59,8325,87,740.0,748.5,731.0
2025-08-31,-12.92,-1.72,739.47,78.51,10556,129,755.0,755.0,735.0
2025-08-28,-11.61,-1.52,752.39,97.22,12801,164,773.5,773.5,750.0
2025-08-27,15.72,2.1,764.0,,16026,178,733.4,765.0,733.4
2025-08-26,-4.06,-0.54,748.28,62.97,8416,128,767.3,767.3,745.0
2025-08-25,4.37,0.58,752.34,92.46,12384,183,762.9,762.9,733.4
2025-08-24,-7.24,-0.96,747.97,90.36,12035,194,757.7,760.0,745.0
2025-08-21,-4.15,-0.55,755.21,,13493,193,774.0,774.0,752.0
2025-08-20,-3.72,-0.49,759.36,70.79,9293,132,778.3,778.3,752.2
2025-08-19,2.96,0.39,763.08,88.1,11525,140,775.3,775.3,762.0
2025-08-18,-7.79,-1.01,760.12,,19859,269,752.6,782.0,752.6
2025-08-17,-16.66,-2.12,767.91,,17945,235,790.0,791.9,766.0
2025-08-14,-3.35,-0.43,784.57,,13643,219,772.2,801.0,772.2
2025-08-13,7.85,1.01,787.92,,14095,199,764.5,805.9,764.5
2025-08-12,-15.11,-1.9,780.07,,26155,339,779.3,809.0,778.0
2025-08-11,-13.09,-1.62,795.18,,28645,290,824.0,824.0,794.0
2025-08-07,2.53,0.31,808.27,,25736,344,800.0,816.0,800.0
2025-08-06,-3.0,-0.37,805.74,,20145,261,793.0,820.0,793.0
2025-08-05,-7.0,-0.86,808.74,,21125,256,830.9,830.9,805.7
2025-08-04,-15.32,-1.84,815.74,,32454,388,814.5,847.6,810.0
2025-08-03,-28.16,-3.28,831.06,,34790,460,876.4,876.4,825.0
2025-07-31,54.28,6.74,859.22,,144566,1595,820.0,879.8,820.0
2025-07-30,-15.86,-1.93,804.94,,27288,305,804.4,820.0,803.0
2025-07-29,-0.29,-0.04,820.8,,33432,352,821.1,835.0,815.0
2025-07-28,22.32,2.79,821.09,,49024,527,814.0,824.5,795.0
2025-07-27,-12.52,-1.54,798.77,,57501,616,795.1,829.9,795.1
2025-07-24,-16.22,-1.96,811.29,,69022,705,828.0,828.0,805.0
2025-07-23,-8.54,-1.02,827.51,,30269,378,836.5,850.0,820.0
2025-07-22,28.42,3.52,836.05,,66910,840,820.0,851.0,790.9
2025-07-21,-54.85,-6.36,807.63,,242793,2312,865.0,870.0,776.3
2025-07-20,-11.74,-1.34,862.48,,67185,614,891.0,891.0,859.0
2025-07-17,7.52,0.87,874.22,,36834,427,883.9,883.9,870.0
2025-07-16,5.74,0.67,866.7,,40641,417,861.0,886.3,845.0
2025-07-15,11.43,1.35,860.96,,38386,422,845.1,885.0,845.1
2025-07-14,-22.6,-2.59,849.53,,48465,630,872.0,875.0,843.0
2025-07-13,-10.61,-1.2,872.13,,75372,778,900.3,918.0,865.0
2025-07-10,-40.5,-4.39,882.74,,110196,1058,920.0,975.0,869.3
2025-07-09,7.84,0.86,923.24,,64619,732,915.4,938.0,900.0
2025-07-08,10.86,1.2,915.4,,107119,714,886.5,958.1,870.0
2025-07-07,32.62,3.74,904.54,,97569,864,870.0,942.5,843.8
2025-07-06,-53.75,-5.81,871.92,,103465,1162,944.0,944.0,861.0
2025-07-03,47.48,5.41,925.67,,172138,1684,890.0,963.2,883.0
2025-07-02,71.92,8.92,878.19,,124436,1328,822.3,886.8,808.0
2025-07-01,-12.22,-1.49,806.27,,52063,664,834.8,839.0,797.0
2025-06-30,59.28,7.81,818.49,,156199,1616,774.3,831.3,763.0
2025-06-29,11.19,1.5,759.21,,70100,675,740.0,776.0,730.1
2025-06-26,12.77,1.74,748.02,,45238,485,749.8,758.9,726.0
2025-06-25,-24.88,-3.27,735.25,,44476,511,767.8,767.8,732.0
2025-06-24,-5.45,-0.71,760.13,,22841,247,763.3,775.0,756.0
2025-06-23,-12.12,-1.56,765.58,,20112,245,789.0,799.9,763.4
2025-06-22,9.87,1.29,777.7,,53226,666,770.0,815.0,753.3
2025-06-19,17.95,2.39,767.83,,48870,656,749.0,775.0,749.0
2025-06-18,-23.2,-3.0,749.88,,59102,703,774.0,780.0,747.0
2025-06-17,-30.27,-3.77,773.08,,56100,777,796.0,799.8,770.0
2025-06-16,-29.58,-3.55,803.35,,79885,890,848.0,848.0,793.2
2025-06-15,-10.11,-1.2,832.93,,54379,571,836.1,859.0,823.3
2025-06-12,-4.28,-0.51,843.04,,55088,667,848.0,867.0,835.0
2025-06-11,-23.98,-2.75,847.32,,42343,473,862.0,887.9,845.9
2025-06-10,-10.7,-1.21,871.3,,31641,392,883.0,899.6,865.5
2025-06-09,19.75,2.29,882.0,,81710,788,846.0,909.0,846.0
2025-06-08,14.09,1.66,862.25,,80346,707,850.0,887.0,838.1
2025-06-05,-24.94,-2.86,848.16,,82073,816,889.9,889.9,837.9
2025-06-04,-6.26,-0.71,873.1,,68256,612,862.0,932.1,862.0
2025-06-03,3.91,0.45,879.36,,82142,613,892.9,928.2,874.2
2025-06-02,-11.22,-1.27,875.45,,55431,553,904.4,915.8,867.0
2025-05-28,8.79,1.0,886.67,,71637,835,875.0,910.0,861.0
2025-05-27,41.81,5.0,877.88,,101517,937,823.0,888.0,800.0
2025-05-26,-7.83,-0.93,836.07,,66176,739,860.7,912.3,830.0
2025-05-25,-76.14,-8.28,843.9,,76439,1037,902.0,910.0,840.0
2025-05-22,-1.07,-0.12,920.04,,171153,1192,930.0,965.0,876.1
2025-05-21,44.81,5.11,921.11,,116590,1537,893.8,963.9,893.8
2025-05-20,79.63,10.0,876.3,,96072,1191,812.0,876.3,812.0
2025-05-19,72.38,9.99,796.67,,82276,1137,713.0,796.7,713.0
2025-05-18,3.77,0.52,724.29,,96299,1133,720.52,748.9,681.0
2025-05-15,-43.46,-5.69,720.52,,63342,844,749.0,778.7,713.0
2025-05-14,-35.8,-4.48,763.98,,46755,656,788.1,810.0,760.0
2025-05-13,-26.57,-3.22,799.78,,115513,1108,828.0,858.0,784.0
2025-05-11,-65.03,-7.3,826.35,,86305,1020,888.0,905.0,817.0
2025-05-08,-38.63,-4.15,891.38,,61469,685,920.0,947.9,885.1
2025-05-07,3.45,0.37,930.01,,78912,780,910.1,965.0,895.1
2025-05-06,-34.72,-3.61,926.56,,51008,557,942.1,999.7,920.0
2025-05-05,5.29,0.55,961.28,,50683,457,936.9,1013.9,936.9
2025-05-04,11.55,1.22,955.99,,65254,534,950.0,967.5,937.2
2025-04-30,-25.93,-2.67,944.44,,59501,727,989.7,989.7,938.0
2025-04-29,-68.9,-6.63,970.37,,60248,547,1018.5,1059.5,961.0
2025-04-28,45.57,4.59,1039.27,,92639,566,973.9,1080.0,960.4
2025-04-27,-4.32,-0.43,993.7,,113522,1180,985.0,1051.8,930.0
2025-04-24,-43.61,-4.19,998.02,,82806,879,1057.0,1059.0,980.7
2025-04-23,-48.34,-4.43,1041.63,,105244,800,1068.2,1130.0,1035.0
2025-04-22,14.73,1.37,1089.97,,76309,532,1076.0,1135.0,1055.0
2025-04-21,27.93,2.67,1075.24,,95907,726,1048.0,1085.0,1027.1
2025-04-20,-9.53,-0.9,1047.31,,64608,762,1057.0,1077.9,1040.0
2025-04-17,-23.55,-2.18,1056.84,,60419,746,1076.0,1086.9,1053.5
2025-04-16,-49.6,-4.39,1080.39,,133908,1013,1107.4,1152.0,1075.0
2025-04-15,38.21,3.5,1129.99,,137110,1056,1092.0,1158.7,1058.4
2025-04-13,-109.02,-9.08,1091.78,,175228,1334,1176.8,1176.8,1080.8
2025-04-10,88.7,7.98,1200.8,,116751,497,1089.9,1222.4,1068.2
2025-04-09,-89.81,-7.47,1112.1,,41786,505,1177.9,1177.9,1088.0
2025-04-08,25.17,2.14,1201.91,,115489,676,1153.3,1247.0,1086.9
2025-04-07,71.15,6.44,1176.74,,49992,541,1106.0,1210.0,1072.0
2025-04-03,-34.23,-3.0,1105.59,,54596,665,1117.1,1147.9,1095.0
2025-04-02,1.09,0.1,1139.82,,44168,402,1139.0,1200.0,1120.0
2025-04-01,12.51,1.11,1138.73,,101764,1036,1110.0,1168.1,1110.0
2025-03-30,50.85,4.73,1126.22,,83209,949,1062.6,1150.0,1062.6
2025-03-27,2.45,0.23,1075.37,,32047,395,1060.0,1092.0,1060.0
2025-03-26,10.72,1.01,1072.92,,58033,748,1045.0,1092.0,1030.1
2025-03-25,-76.92,-6.75,1062.2,,81715,907,1126.0,1142.4,1060.0
2025-03-24,-10.43,-0.91,1139.12,,103255,1120,1148.0,1234.9,1090.0
2025-03-23,5.64,0.49,1149.55,,165483,1740,1166.7,1224.0,1125.0
2025-03-20,54.91,5.04,1143.91,,146530,1339,1110.0,1156.5,1067.3
2025-03-19,20.8,1.95,1089.0,,55120,562,1089.0,1100.0,1066.0
2025-03-18,22.2,2.12,1068.2,,64962,710,1048.0,1099.9,1038.1
2025-03-17,-26.1,-2.43,1046.0,,29184,346,1052.0,1088.9,1045.0
2025-03-16,-17.9,-1.64,1072.1,,74455,721,1090.0,1100.0,1033.0
2025-03-12,-26.0,-2.33,1090.0,,63403,653,1093.7,1141.9,1050.5
2025-03-11,1.0,0.09,1116.0,,86263,693,1133.0,1195.0,1070.0
2025-03-10,-18.1,-1.6,1115.0,,84706,767,1110.5,1178.7,1083.0
2025-03-09,-125.9,-10.0,1133.1,,147582,1266,1233.9,1233.9,1133.1
2025-03-06,-31.0,-2.4,1259.0,,200897,1863,1264.2,1264.2,1161.0
2025-03-05,57.0,4.62,1290.0,,190306,1513,1233.0,1308.7,1139.8
2025-03-04,-137.0,-10.0,1233.0,,361196,2316,1342.6,1482.0,1233.0
2025-03-03,99.7,7.85,1370.0,,217974,1595,1295.7,1397.3,1220.1
2025-03-02,115.4,9.99,1270.3,,328292,1705,1154.9,1270.3,1109.3
2025-02-27,104.9,9.99,1154.9,,153934,913,1070.0,1155.0,1061.0
2025-02-25,5.1,0.49,1050.0,,59595,587,1026.0,1070.0,1004.5
2025-02-24,0.9,0.09,1044.9,,55155,407,1044.0,1088.7,1009.4
2025-02-23,10.9,1.06,1044.0,,36697,408,1033.1,1050.0,980.0
2025-02-20,-18.9,-1.8,1033.1,,35252,376,1035.0,1072.0,1015.0
2025-02-18,-41.0,-3.75,1052.0,,61509,550,1073.0,1090.0,1050.6
2025-02-17,-26.9,-2.4,1093.0,,51711,585,1097.6,1119.0,1082.1
2025-02-16,-20.1,-1.76,1119.9,,61214,721,1162.8,1162.8,1087.8
2025-02-13,6.0,0.53,1140.0,,166127,1197,1150.0,1192.0,1140.0
2025-02-12,75.0,7.08,1134.0,,167459,1295,1080.1,1137.0,1070.0
2025-02-11,60.0,6.01,1059.0,,77049,849,999.0,1063.8,995.0
2025-02-10,-25.1,-2.45,999.0,,69061,669,1007.0,1038.9,989.8
2025-02-09,-60.9,-5.61,1024.1,,61694,503,1085.1,1095.0,1024.1
2025-02-06,17.0,1.59,1085.0,,105971,795,1070.0,1130.0,1018.6
2025-02-05,-23.7,-2.17,1068.0,,118857,990,1069.9,1069.9,983.0
2025-02-04,-121.3,-10.0,1091.7,,137611,1126,1212.0,1212.0,1091.7
2025-02-03,-35.0,-2.8,1213.0,,141101,882,1223.1,1349.6,1151.4
2025-02-02,1.2,0.1,1248.0,,251989,1808,1221.9,1340.0,1122.2
2025-01-28,107.9,9.47,1246.8,,141231,898,1116.2,1246.8,1072.1
