DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,24.0,2.88,856.0,,27199,1360,830.0,888.0,825.1
2026-05-07,-33.0,-3.82,832.0,,20929,1280,865.0,889.0,830.4
2026-05-06,-35.0,-3.89,865.0,,24250,1453,875.0,898.0,855.0
2026-05-05,-5.0,-0.55,900.0,,43463,2411,859.8,909.4,859.8
2026-05-04,-69.0,-7.08,905.0,,37868,2808,974.0,1003.2,902.0
2026-04-30,71.4,7.91,974.0,,62190,5217,876.0,1028.0,854.0
2026-04-29,-99.4,-9.92,902.6,,126545,12627,1002.0,1002.0,891.0
2026-04-28,-56.1,-5.3,1002.0,,128510,12485,1111.0,1216.8,1000.1
2026-04-27,138.0,15.0,1058.1,46.3,4380,438,966.1,1058.1,966.1
2026-04-24,120.0,15.0,920.1,16.52,1800,180,840.1,920.1,840.1
2026-04-23,104.3,14.99,800.1,13.09,1640,164,730.5,800.1,730.5
2026-04-22,90.7,14.99,695.8,5.4,780,78,623.2,695.8,623.2
2026-04-21,78.9,14.99,605.1,3.47,580,58,528.7,605.1,528.7
2026-04-20,68.6,14.99,526.2,1.98,380,38,471.3,526.2,471.3
2026-04-17,41.6,10.0,457.6,,220,22,424.3,457.6,424.3
2026-04-16,37.8,9.99,416.0,,200,20,372.5,416.0,372.5
2026-04-15,34.3,9.97,378.2,1.04,280,28,340.6,378.2,340.6
2026-04-13,31.2,9.98,343.9,,230,23,312.1,343.9,312.1
2026-04-10,28.4,9.99,312.7,,140,14,284.3,312.7,284.3
