DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.1,1.05,298.9,43.05,14657,114,291.0,299.0,290.2
2026-05-07,0.9,0.31,295.8,42.5,14615,88,303.0,303.0,289.1
2026-05-06,-0.1,-0.03,294.9,20.73,7114,80,293.0,294.9,290.1
2026-05-05,1.9,0.65,295.0,31.42,10723,114,293.1,296.0,289.0
2026-05-04,-5.6,-1.87,293.1,50.13,17089,114,298.0,299.0,291.1
2026-04-30,-1.3,-0.43,298.7,94.28,31991,145,295.0,305.0,291.1
2026-04-29,-6.0,-1.96,300.0,68.35,22766,140,300.3,305.0,297.0
2026-04-28,-1.5,-0.49,306.0,72.87,23922,139,307.5,309.0,300.3
2026-04-27,1.5,0.49,307.5,32.95,10807,142,306.0,314.8,301.1
2026-04-24,-2.0,-0.65,306.0,37.69,12395,99,292.6,306.5,292.6
2026-04-23,-3.9,-1.25,308.0,47.09,15432,120,303.1,311.0,300.1
2026-04-22,-2.6,-0.83,311.9,,42016,191,298.8,315.6,298.8
2026-04-21,-2.0,-0.63,314.5,36.99,11812,130,310.0,317.9,310.0
2026-04-20,-6.3,-1.95,316.5,89.47,28371,159,323.0,325.0,311.0
2026-04-17,-1.9,-0.59,322.8,,42321,169,324.7,324.7,315.0
2026-04-16,-1.3,-0.4,324.7,,43492,190,322.1,329.4,316.0
2026-04-15,1.5,0.46,326.0,,59496,263,330.0,332.5,323.0
2026-04-13,6.3,1.98,324.5,,41652,245,312.2,336.0,312.2
2026-04-10,-5.8,-1.79,318.2,,35120,187,318.1,325.0,318.0
2026-04-09,7.7,2.43,324.0,,74847,252,312.0,326.0,311.1
2026-04-08,2.4,0.76,316.3,,51670,171,317.0,322.0,316.0
2026-04-07,-6.1,-1.91,313.9,,56392,169,313.6,324.0,312.9
2026-04-06,11.0,3.56,320.0,,35091,211,303.0,326.2,302.9
2026-04-05,-12.0,-3.74,309.0,,37198,196,315.0,321.0,303.1
2026-04-02,3.9,1.23,321.0,,41654,231,312.1,321.9,306.1
2026-04-01,-17.7,-5.29,317.1,,46382,244,332.0,335.6,310.0
2026-03-31,5.8,1.76,334.8,,54838,278,326.0,335.0,325.0
2026-03-30,-13.9,-4.05,329.0,,76061,292,342.0,342.0,325.0
2026-03-29,-9.1,-2.59,342.9,,147061,436,350.0,353.0,330.0
2026-03-26,6.1,1.76,352.0,,157138,563,345.9,358.0,345.9
2026-03-25,-8.0,-2.26,345.9,,78662,308,360.9,360.9,343.0
2026-03-24,-4.1,-1.15,353.9,,112549,433,355.0,365.0,351.3
2026-03-23,15.2,4.43,358.0,,192719,827,339.0,362.1,336.0
2026-03-22,3.8,1.12,342.8,,138691,526,345.0,345.0,333.0
2026-03-19,25.1,8.0,339.0,,286529,1157,315.0,344.6,315.0
2026-03-17,0.9,0.29,313.9,65.22,20920,161,313.0,316.0,309.0
2026-03-16,-4.0,-1.26,313.0,63.38,20339,177,323.3,323.3,309.9
2026-03-15,2.0,0.63,317.0,77.93,24736,228,321.3,321.3,312.0
2026-03-12,7.6,2.47,315.0,,34027,233,302.0,317.0,302.0
2026-03-11,-6.5,-2.07,307.4,,41907,205,314.0,316.0,307.3
2026-03-10,-9.1,-2.82,313.9,,94325,394,323.0,323.0,304.8
2026-03-09,18.1,5.94,323.0,1.93,605,7,310.9,323.0,310.9
2026-03-03,6.1,2.04,304.9,68.11,22526,118,301.7,312.0,294.2
2026-03-01,2.8,0.95,298.8,18.5,6293,67,292.0,299.0,291.1
2026-02-26,-5.0,-1.66,296.0,28.65,9702,79,300.0,300.0,292.0
2026-02-25,3.7,1.24,301.0,40.32,13525,114,300.0,301.0,295.2
2026-02-24,6.1,2.09,297.3,32.91,11256,113,297.0,297.3,290.2
2026-02-23,-4.8,-1.62,291.2,39.26,13370,118,290.5,301.0,290.5
2026-02-22,-5.8,-1.92,296.0,42.85,14569,144,300.0,301.0,291.2
2026-02-17,-7.9,-2.55,301.8,,89234,292,307.0,307.0,299.0
2026-02-16,-10.2,-3.19,309.7,,35099,284,323.0,323.0,307.0
2026-02-12,18.4,6.1,319.9,,177229,841,297.6,325.0,297.6
2026-02-11,7.3,2.48,301.5,,40787,203,300.0,306.0,290.0
2026-02-10,-2.7,-0.91,294.2,67.51,22828,121,296.9,302.3,293.0
2026-02-09,0.4,0.13,296.9,63.47,21529,136,295.0,297.0,291.2
