DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.3,0.77,431.3,44.72,10435,144,423.1,435.0,423.1
2026-05-07,2.0,0.47,428.0,14.81,3469,93,432.0,432.0,423.1
2026-05-06,-1.0,-0.23,426.0,80.07,18854,141,423.1,429.9,422.5
2026-05-05,-3.0,-0.7,427.0,60.18,14098,161,420.1,430.0,420.1
2026-05-04,0.4,0.09,430.0,69.96,16430,242,429.0,431.0,423.0
2026-04-30,-0.4,-0.09,429.6,94.83,22142,170,428.0,431.0,426.1
2026-04-29,-5.0,-1.15,430.0,38.95,9050,133,431.1,434.0,429.1
2026-04-28,1.7,0.39,435.0,48.59,11244,219,433.3,435.0,430.1
2026-04-27,1.3,0.3,433.3,25.03,5764,183,432.0,440.0,428.3
2026-04-24,-3.0,-0.69,432.0,28.92,6710,116,431.0,436.0,428.0
2026-04-23,-1.5,-0.34,435.0,35.41,8130,135,435.0,442.0,431.0
2026-04-22,-3.5,-0.8,436.5,,38044,234,430.7,440.0,425.1
2026-04-21,0.0,0.0,440.0,85.41,19585,220,444.0,445.9,432.5
2026-04-20,0.0,0.0,440.0,37.93,8663,169,440.0,444.8,435.9
2026-04-17,-1.8,-0.41,440.0,74.31,16929,200,440.0,444.0,436.5
2026-04-16,-5.2,-1.16,441.8,,26406,167,441.3,446.9,440.0
2026-04-15,2.0,0.45,447.0,,29068,313,439.0,451.0,439.0
2026-04-13,0.0,0.0,445.0,,23952,205,440.0,448.4,440.0
2026-04-10,-3.0,-0.67,445.0,,26699,202,449.0,450.0,440.0
2026-04-09,2.0,0.45,448.0,,25454,250,442.0,450.0,440.0
2026-04-08,3.0,0.68,446.0,,33627,251,443.0,447.9,440.0
2026-04-07,0.0,0.0,443.0,92.22,20848,205,439.0,449.8,437.0
2026-04-06,14.8,3.46,443.0,,33619,258,429.0,444.0,428.0
2026-04-05,-14.8,-3.34,428.2,,53801,331,436.1,438.0,428.1
2026-04-02,-0.5,-0.11,443.0,,29692,230,450.0,450.0,436.1
2026-04-01,-7.5,-1.66,443.5,95.45,21445,221,451.0,458.0,440.2
2026-03-31,2.9,0.65,451.0,,25836,247,442.0,452.0,442.0
2026-03-30,-2.1,-0.47,448.1,,45501,327,459.2,459.2,447.8
2026-03-29,-12.0,-2.6,450.2,,44917,358,455.0,465.0,450.2
2026-03-26,1.6,0.35,462.2,,31619,280,460.0,465.0,456.0
2026-03-25,-7.4,-1.58,460.6,,30610,287,477.3,477.3,460.2
2026-03-24,-5.0,-1.06,468.0,,28304,257,469.1,473.0,465.3
2026-03-23,-1.0,-0.21,473.0,,43109,357,477.0,478.0,467.0
2026-03-22,2.0,0.42,474.0,,127483,550,471.0,480.0,470.0
2026-03-19,21.0,4.66,472.0,,64297,579,456.0,472.0,455.0
2026-03-17,-5.5,-1.2,451.0,,38796,219,450.0,457.0,450.0
2026-03-16,-5.4,-1.17,456.5,83.76,18250,180,458.0,463.0,456.1
2026-03-15,-0.1,-0.02,461.9,,28405,267,461.1,465.0,457.5
2026-03-12,-1.4,-0.3,462.0,,46553,294,458.1,470.0,458.0
2026-03-11,-17.6,-3.66,463.4,,64858,278,475.0,478.8,463.1
2026-03-10,-3.9,-0.8,481.0,,159925,619,480.0,485.0,456.5
2026-03-09,27.9,6.11,484.9,5.93,1258,7,466.1,484.9,466.1
2026-03-03,6.0,1.33,457.0,,48442,258,442.0,460.0,442.0
2026-03-01,7.3,1.65,451.0,,47074,282,434.9,455.7,434.9
2026-02-26,0.7,0.16,443.7,,36569,138,438.1,444.0,437.0
2026-02-25,11.0,2.55,443.0,,41350,294,430.0,444.0,428.1
2026-02-24,3.1,0.72,432.0,29.27,6813,142,426.0,432.0,426.0
2026-02-23,-0.1,-0.02,428.9,95.79,22422,190,426.1,429.0,425.1
2026-02-22,-3.5,-0.81,429.0,60.06,13996,153,434.0,434.0,427.0
2026-02-17,1.0,0.23,432.5,,42433,273,430.0,434.0,427.0
2026-02-16,-4.5,-1.03,431.5,71.82,16638,213,430.0,434.9,430.0
2026-02-12,1.1,0.25,436.0,,29255,212,430.0,443.0,430.0
2026-02-11,4.9,1.14,434.9,,43114,226,438.0,438.6,432.0
2026-02-10,-2.0,-0.46,430.0,55.71,12919,176,427.6,435.0,427.6
2026-02-09,-6.1,-1.39,432.0,,60178,362,440.0,440.0,428.5
2026-02-08,-4.9,-1.11,438.1,,38918,264,444.1,446.0,437.0
2026-02-05,5.5,1.26,443.0,84.41,19080,263,434.0,445.5,434.0
2026-02-04,-5.5,-1.24,437.5,,26284,212,440.0,445.0,437.3
2026-02-03,-0.8,-0.18,443.0,,34965,259,440.0,450.0,438.1
2026-02-02,-3.2,-0.72,443.8,,22950,228,440.0,450.0,440.0
2026-02-01,-1.9,-0.42,447.0,,27552,218,445.1,447.0,440.1
2026-01-29,-5.6,-1.23,448.9,,48868,293,446.1,455.0,445.0
2026-01-28,4.3,0.96,454.5,,48160,291,445.1,454.5,445.1
2026-01-27,-7.3,-1.6,450.2,,42023,337,456.0,466.6,448.5
2026-01-26,0.9,0.2,457.5,,161364,515,457.0,466.0,457.0
2026-01-25,2.6,0.57,456.6,,74967,385,463.0,463.0,455.1
2026-01-22,-3.0,-0.66,454.0,,52443,256,466.1,466.1,451.5
2026-01-21,2.5,0.55,457.0,,95391,327,445.5,460.0,445.5
2026-01-20,4.5,1.0,454.5,,78349,398,455.0,460.0,448.3
2026-01-18,8.5,1.93,450.0,,30016,349,441.5,451.0,441.0
2026-01-14,3.0,0.68,441.5,,25123,223,446.9,446.9,438.0
2026-01-13,1.0,0.23,438.5,87.29,19823,228,440.0,443.9,437.0
2026-01-12,-4.4,-1.0,437.5,,30540,292,442.0,446.0,436.2
2026-01-08,-2.1,-0.47,441.9,96.38,21773,215,444.0,449.0,440.5
2026-01-07,-1.0,-0.22,444.0,67.09,15081,169,440.5,452.0,440.5
2026-01-06,-0.8,-0.18,445.0,79.16,17653,209,441.0,454.0,441.0
2026-01-05,-0.5,-0.11,445.8,,54252,296,448.0,451.0,445.0
2026-01-04,-18.8,-4.04,446.3,,42043,311,455.8,455.8,446.2
2026-01-01,-1.7,-0.36,465.1,,125699,389,466.8,470.0,460.0
2025-12-31,-1.2,-0.26,466.8,,136732,377,477.3,477.3,463.1
2025-12-29,-4.0,-0.85,468.0,,76057,273,470.0,477.0,465.0
2025-12-28,17.0,3.74,472.0,,109682,431,449.0,472.0,449.0
2025-12-24,0.9,0.2,455.0,,55288,240,463.1,463.1,451.4
2025-12-23,-3.1,-0.68,454.1,,101212,239,466.3,466.3,450.1
2025-12-22,1.2,0.26,457.2,,51656,310,453.1,462.0,450.0
2025-12-21,-21.1,-4.42,456.0,,184799,554,486.6,486.6,455.0
2025-12-18,3.2,0.68,477.1,,93901,438,483.0,483.0,472.0
2025-12-17,4.0,0.85,473.9,,127511,436,469.0,476.0,466.1
2025-12-16,8.9,1.93,469.9,,38536,338,461.1,470.0,461.1
2025-12-15,0.5,0.11,461.0,,34782,241,460.0,464.0,457.0
2025-12-14,-4.5,-0.97,460.5,,42595,237,460.0,468.0,460.0
2025-12-11,-1.0,-0.21,465.0,,65762,364,460.0,476.3,460.0
2025-12-10,-2.5,-0.53,466.0,,118715,337,459.2,470.0,459.2
2025-12-09,5.5,1.19,468.5,,90541,367,460.7,469.0,460.7
2025-12-08,2.0,0.43,463.0,,62559,293,452.1,468.0,452.1
2025-12-07,-0.9,-0.19,461.0,,48117,336,456.3,466.0,455.0
2025-12-03,-1.1,-0.24,461.9,,62104,304,457.0,469.0,456.7
2025-12-02,-0.5,-0.11,463.0,,68946,209,470.5,470.5,461.1
2025-12-01,-10.5,-2.22,463.5,,103950,399,465.1,474.0,460.0
2025-11-30,-7.0,-1.46,474.0,,244931,705,481.0,489.9,470.1
