DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.2,0.81,769.0,60.76,7921,132,770.0,770.0,765.0
2026-05-07,0.8,0.1,762.8,92.57,12217,124,762.1,763.0,750.1
2026-05-06,6.0,0.79,762.0,48.06,6319,111,756.0,768.9,756.0
2026-05-05,-2.0,-0.26,756.0,,15475,160,751.1,759.9,750.0
2026-05-04,-2.0,-0.26,758.0,80.0,10575,151,760.0,768.0,755.0
2026-04-30,-1.0,-0.13,760.0,85.58,11251,127,761.0,762.0,756.1
2026-04-29,-4.0,-0.52,761.0,71.43,9385,132,765.0,769.0,760.0
2026-04-28,-3.5,-0.46,765.0,,14803,149,755.0,832.0,755.0
2026-04-27,-0.4,-0.05,768.5,22.83,2974,55,768.9,771.0,765.1
2026-04-24,-3.1,-0.4,768.9,73.63,9620,112,761.0,769.5,761.0
2026-04-23,-2.0,-0.26,772.0,,15376,122,776.0,822.0,760.5
2026-04-22,5.0,0.65,774.0,84.77,11073,140,807.4,807.4,760.6
2026-04-21,-1.1,-0.14,769.0,67.06,8701,101,770.0,778.5,765.5
2026-04-20,-1.9,-0.25,770.1,76.47,9929,125,772.0,773.9,768.5
2026-04-17,-2.0,-0.26,772.0,38.8,5038,102,774.0,774.0,766.6
2026-04-16,-4.7,-0.6,774.0,76.53,9910,138,778.0,779.9,770.0
2026-04-15,6.7,0.87,778.7,97.73,12567,164,780.0,787.3,774.2
2026-04-13,-2.0,-0.26,772.0,78.77,10189,122,774.0,778.0,770.0
2026-04-10,-6.0,-0.77,774.0,94.03,12147,121,780.0,780.0,771.2
2026-04-09,4.0,0.52,780.0,,26598,220,785.0,785.0,770.0
2026-04-08,7.1,0.92,776.0,,19275,206,761.4,776.0,761.4
2026-04-07,-0.1,-0.01,768.9,89.25,11545,154,783.0,783.0,765.4
2026-04-06,12.4,1.64,769.0,,30225,273,750.1,778.0,750.0
2026-04-05,-15.3,-1.98,756.6,,40004,399,772.0,772.0,756.0
2026-04-02,1.9,0.25,771.9,,20720,222,768.0,780.0,760.0
2026-04-01,-7.4,-0.95,770.0,,36899,306,775.0,780.0,768.2
2026-03-31,-0.6,-0.08,777.4,,32761,337,777.0,791.0,771.1
2026-03-30,-16.0,-2.02,778.0,,27245,336,789.0,794.7,777.0
2026-03-29,-9.5,-1.18,794.0,,39570,325,815.0,815.0,790.3
2026-03-26,1.5,0.19,803.5,,25683,308,802.0,806.0,798.4
2026-03-25,-7.9,-0.98,802.0,,27880,254,810.0,817.0,801.1
2026-03-24,-5.7,-0.7,809.9,,27326,351,812.1,820.0,806.5
2026-03-23,-10.4,-1.26,815.6,,35621,276,829.0,833.0,811.1
2026-03-22,27.0,3.38,826.0,,54052,428,800.1,830.1,800.1
2026-03-19,10.0,1.27,799.0,,19249,193,799.0,810.0,793.0
2026-03-17,-3.6,-0.45,789.0,,16009,132,791.0,795.0,785.0
2026-03-16,-6.0,-0.75,792.6,,17836,139,798.0,798.0,792.5
2026-03-15,0.6,0.08,798.6,,12821,121,805.0,805.0,795.0
2026-03-12,1.0,0.13,798.0,,17844,139,792.0,806.0,792.0
2026-03-11,-13.0,-1.6,797.0,,15006,162,810.0,814.0,794.0
2026-03-10,-2.0,-0.25,810.0,,65247,376,828.0,828.0,795.0
2026-03-09,31.0,3.97,812.0,4.51,564,7,796.6,812.0,796.6
2026-03-03,16.0,2.09,781.0,,26587,176,770.0,785.0,759.0
2026-03-01,1.0,0.13,765.0,,23243,129,756.0,786.0,756.0
2026-02-26,2.8,0.37,764.0,60.26,7891,84,761.0,770.0,757.0
2026-02-25,-5.3,-0.69,761.2,91.96,12025,97,766.5,775.0,760.0
2026-02-24,10.5,1.39,766.5,63.24,8318,79,757.0,766.5,755.1
2026-02-23,0.0,0.0,756.0,71.54,9440,90,756.0,763.0,755.1
2026-02-22,0.0,0.0,756.0,,16023,157,760.0,766.0,752.0
2026-02-17,-5.3,-0.7,756.0,,15366,161,765.0,765.0,756.0
2026-02-16,-2.2,-0.29,761.3,92.78,12189,126,762.0,770.0,759.0
2026-02-12,0.6,0.08,763.5,,27913,158,765.0,770.0,762.0
2026-02-11,0.4,0.05,762.9,,14901,86,774.0,774.0,760.2
2026-02-10,3.5,0.46,762.5,30.03,3949,64,752.7,768.0,752.7
2026-02-09,-2.5,-0.33,759.0,,19597,208,772.0,772.0,755.0
2026-02-08,0.4,0.05,761.5,,20356,177,767.0,774.0,761.5
2026-02-05,1.0,0.13,761.1,,21226,179,764.0,766.0,758.6
2026-02-04,-4.3,-0.56,760.1,,14924,193,765.3,776.0,758.0
