DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,79.0,6.12,1369.0,,12416,478,1290.0,1369.0,1256.2
2026-05-07,-9.0,-0.69,1290.0,,13992,436,1234.1,1369.0,1234.1
2026-05-06,-44.0,-3.28,1299.0,,12398,429,1410.0,1410.0,1288.0
2026-05-05,-9.0,-0.67,1343.0,,22973,621,1352.0,1399.8,1301.0
2026-05-04,-67.9,-4.78,1352.0,,13596,592,1450.0,1450.0,1321.0
2026-04-30,19.9,1.42,1419.9,,12590,703,1386.0,1441.0,1365.0
2026-04-29,-14.0,-0.99,1400.0,,32134,1446,1410.0,1509.0,1363.0
2026-04-28,-156.0,-9.94,1414.0,,38520,2117,1580.0,1580.0,1410.0
2026-04-27,-65.0,-3.98,1570.0,,18600,1635,1635.0,1633.5,1563.0
2026-04-24,43.8,2.75,1635.0,,40161,4001,1595.0,1740.7,1470.0
2026-04-23,-212.6,-11.79,1591.2,,109130,9138,1893.9,2069.4,1591.0
2026-04-22,235.2,14.99,1803.8,,10180,1010,1647.0,1803.8,1647.0
2026-04-21,204.6,15.0,1568.6,,7280,708,1432.2,1568.6,1432.2
2026-04-20,177.9,15.0,1364.0,97.35,7150,715,1245.4,1364.0,1245.4
2026-04-17,107.8,10.0,1186.1,24.5,2070,207,1099.8,1186.1,1099.8
2026-04-16,98.0,10.0,1078.3,13.67,1270,127,999.9,1078.3,999.9
2026-04-15,89.1,10.0,980.3,10.55,1080,108,900.0,980.3,900.0
2026-04-13,81.0,10.0,891.2,9.34,1050,105,826.4,891.2,826.4
2026-04-10,73.6,9.99,810.2,6.22,770,77,750.0,810.2,750.0
2026-04-09,66.9,9.99,736.6,4.91,670,67,669.7,736.6,669.7
2026-04-08,60.8,9.99,669.7,2.39,360,36,621.0,669.7,621.0
2026-04-07,55.3,9.99,608.9,2.18,360,36,564.6,608.9,564.6
2026-04-06,50.3,9.99,553.6,1.7,310,31,513.3,553.6,513.3
2026-04-05,45.7,9.99,503.3,1.24,250,25,466.7,503.3,466.7
2026-04-02,41.6,10.0,457.6,,150,15,424.3,457.6,424.3
2026-04-01,37.8,9.99,416.0,,110,11,377.1,416.0,377.1
2026-03-31,34.3,9.97,378.2,,90,9,350.7,378.2,350.7
2026-03-30,31.2,9.98,343.9,,70,7,318.9,343.9,318.9
2026-03-29,28.4,9.99,312.7,,80,8,284.3,312.7,284.3
