DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,41.8,4.56,958.8,,23388,629,962.0,968.0,910.0
2026-05-07,14.0,1.55,917.0,,27662,647,900.0,920.0,880.0
2026-05-06,-27.0,-2.9,903.0,,26465,724,974.3,974.3,901.0
2026-05-05,-30.0,-3.12,930.0,,30205,783,960.0,986.0,928.0
2026-05-04,-20.1,-2.05,960.0,,23940,839,1029.0,1029.0,945.0
2026-04-30,18.1,1.88,980.1,,25492,984,964.0,1013.0,941.3
2026-04-29,-33.0,-3.32,962.0,,45797,1703,981.0,1024.0,935.0
2026-04-28,-75.0,-7.01,995.0,,77031,2357,1070.0,1082.7,983.0
2026-04-27,-54.0,-4.8,1070.0,,29633,1626,1124.0,1145.0,1069.0
2026-04-24,24.0,2.18,1124.0,,46323,1937,1067.1,1140.0,1042.0
2026-04-23,-85.0,-7.17,1100.0,,56335,2593,1144.0,1181.0,1092.0
2026-04-22,-100.0,-7.78,1185.0,,56625,2495,1270.0,1270.0,1150.1
2026-04-21,25.0,1.98,1285.0,,84702,3533,1295.0,1360.0,1203.0
2026-04-20,64.0,5.35,1260.0,,69209,5905,1200.0,1335.0,1128.1
2026-04-17,-55.0,-4.4,1196.0,,121778,9047,1251.0,1251.0,1170.0
2026-04-16,-1.4,-0.11,1251.0,,114850,10838,1277.4,1360.0,1220.0
2026-04-15,113.8,9.99,1252.4,,33670,2431,1161.3,1252.4,1161.3
2026-04-13,103.5,10.0,1138.6,,50391,4281,1055.8,1138.6,1055.8
2026-04-10,94.1,10.0,1035.1,91.67,8860,886,959.8,1035.1,959.8
2026-04-09,85.5,9.99,941.0,71.95,7650,765,872.6,941.0,872.6
2026-04-08,77.7,9.99,855.5,52.07,6090,609,793.0,855.5,793.0
2026-04-07,70.7,10.0,777.8,21.82,2810,247,721.1,777.8,721.1
2026-04-06,64.2,9.99,707.1,14.89,2109,211,655.7,707.1,655.7
2026-04-05,58.4,9.99,642.9,8.46,1320,132,584.0,642.9,584.0
2026-04-02,53.1,9.99,584.5,3.32,570,57,542.0,584.5,542.0
2026-04-01,48.3,10.0,531.4,1.79,340,34,492.7,531.4,492.7
2026-03-31,43.9,10.0,483.1,1.72,360,36,438.9,483.1,438.9
2026-03-30,39.9,9.99,439.2,,190,19,407.2,439.2,407.2
2026-03-29,36.3,10.0,399.3,,170,17,360.1,399.3,360.1
2026-03-26,33.0,10.0,363.0,,130,13,326.3,363.0,326.3
2026-03-25,30.0,10.0,330.0,,90,9,300.0,330.0,300.0
