DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.0,0.61,822.0,70.1,8547,76,825.9,825.9,815.0
2026-05-07,-1.9,-0.23,817.0,49.01,5988,65,815.0,822.9,815.0
2026-05-06,5.4,0.66,818.9,34.89,4300,58,810.0,819.0,809.0
2026-05-05,3.5,0.43,813.5,20.13,2475,52,801.2,820.0,801.1
2026-05-04,0.0,0.0,810.0,60.63,7409,78,850.0,850.0,808.1
2026-04-30,-5.0,-0.61,810.0,18.35,2270,64,816.0,818.0,805.0
2026-04-29,1.1,0.14,815.0,35.52,4355,83,810.0,818.0,810.0
2026-04-28,0.7,0.09,813.9,33.36,4097,85,813.2,818.9,810.5
2026-04-27,3.2,0.4,813.2,34.25,4207,66,845.0,845.0,808.0
2026-04-24,-10.0,-1.22,810.0,13.14,1618,52,861.0,861.0,806.0
2026-04-23,-2.2,-0.27,820.0,96.28,11877,91,815.0,825.0,805.5
2026-04-22,1.7,0.21,822.2,36.63,4486,84,810.5,827.5,810.0
2026-04-21,-5.5,-0.67,820.5,72.1,8808,113,826.0,832.0,815.0
2026-04-20,-3.0,-0.36,826.0,19.1,2313,53,829.0,849.0,824.0
2026-04-17,-6.9,-0.83,829.0,31.7,3835,81,830.0,830.0,823.0
2026-04-16,-4.1,-0.49,835.9,38.9,4692,79,827.0,838.0,826.4
2026-04-15,7.8,0.94,840.0,42.3,5057,109,848.0,848.0,834.0
2026-04-13,1.2,0.14,832.2,33.63,4029,89,816.3,847.0,816.3
2026-04-10,-9.0,-1.07,831.0,42.96,5150,87,830.0,840.0,825.1
2026-04-09,10.1,1.22,840.0,59.06,7085,98,829.0,842.9,822.0
2026-04-08,8.7,1.06,829.9,64.07,7760,113,822.0,832.5,818.0
2026-04-07,-6.8,-0.82,821.2,40.42,4905,104,820.5,835.9,820.5
2026-04-06,25.9,3.23,828.0,,15152,151,810.0,835.0,806.6
2026-04-05,-20.9,-2.54,802.1,,17573,167,812.0,817.0,800.0
2026-04-02,-5.9,-0.71,823.0,65.17,7908,119,815.0,829.0,815.0
