DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-10.0,-0.83,1188.0,8.39,705,11,1190.0,1205.0,1188.0
2026-05-07,8.0,0.67,1198.0,6.18,528,16,1190.0,1198.0,1170.0
2026-05-06,-11.0,-0.92,1190.0,7.71,653,13,1201.0,1201.0,1170.0
2026-05-05,-3.0,-0.25,1201.0,12.6,1064,35,1171.0,1205.0,1170.0
2026-05-04,-13.0,-1.07,1204.0,3.08,257,14,1217.0,1217.0,1185.1
2026-04-30,-3.0,-0.25,1217.0,10.79,899,12,1220.0,1229.0,1200.0
2026-04-29,-11.9,-0.97,1220.0,12.23,1019,27,1200.3,1220.0,1195.0
2026-04-28,-3.2,-0.26,1231.9,18.99,1561,39,1235.1,1235.0,1200.8
2026-04-27,-37.9,-2.98,1235.1,8.18,652,20,1273.0,1284.0,1235.1
2026-04-24,23.0,1.84,1273.0,7.32,585,8,1250.0,1273.2,1228.0
2026-04-23,-16.0,-1.26,1250.0,20.57,1647,33,1202.7,1277.3,1202.7
2026-04-22,-18.0,-1.4,1266.0,12.06,961,26,1252.1,1287.5,1250.0
2026-04-21,-1.0,-0.08,1284.0,51.88,3971,23,1252.0,1319.0,1252.0
2026-04-20,-34.8,-2.64,1285.0,58.08,4533,25,1318.0,1318.0,1278.5
2026-04-17,29.7,2.3,1319.8,,8647,120,1265.0,1319.8,1250.2
2026-04-16,-28.8,-2.18,1290.1,51.7,4035,59,1336.0,1336.0,1270.0
2026-04-15,-4.0,-0.3,1318.9,22.57,1726,52,1340.0,1340.0,1291.0
2026-04-13,-0.1,-0.01,1322.9,64.83,5049,76,1348.0,1348.0,1253.0
2026-04-10,-31.0,-2.29,1323.0,25.69,1955,51,1327.1,1379.0,1300.0
2026-04-09,17.0,1.27,1354.0,29.83,2227,56,1325.0,1363.7,1311.4
2026-04-08,16.0,1.21,1337.0,,8416,54,1295.0,1340.0,1295.0
2026-04-07,-23.0,-1.71,1321.0,11.36,858,26,1365.0,1365.0,1320.0
2026-04-06,19.0,1.43,1344.0,25.27,1911,30,1298.5,1350.0,1298.5
2026-04-05,-59.0,-4.26,1325.0,67.2,5042,57,1408.8,1408.8,1299.6
2026-04-02,22.0,1.62,1384.0,53.03,3928,69,1389.2,1389.2,1317.8
2026-04-01,-32.2,-2.31,1362.0,40.21,2953,50,1405.0,1405.0,1330.0
2026-03-31,-2.1,-0.15,1394.2,24.87,1802,52,1410.0,1410.0,1327.3
2026-03-30,38.9,2.87,1396.3,77.05,5534,111,1384.5,1410.0,1350.1
2026-03-29,-55.6,-3.93,1357.4,50.54,3640,87,1441.2,1441.2,1357.4
2026-03-26,13.0,0.93,1413.0,47.01,3359,61,1386.0,1413.0,1280.0
2026-03-25,-9.0,-0.64,1400.0,84.27,6062,75,1409.0,1409.0,1381.1
2026-03-24,1.0,0.07,1409.0,30.48,2165,38,1405.0,1420.0,1399.0
2026-03-23,-17.0,-1.19,1408.0,89.08,6347,82,1426.0,1426.0,1390.0
2026-03-22,55.1,4.02,1425.0,,11098,173,1369.9,1430.0,1369.9
2026-03-19,25.1,1.87,1369.9,58.18,4318,77,1344.0,1369.9,1332.5
2026-03-17,-2.1,-0.16,1344.8,45.72,3455,65,1331.1,1344.8,1318.0
2026-03-16,-10.1,-0.74,1346.9,11.51,858,18,1357.0,1357.0,1336.0
2026-03-15,2.1,0.15,1357.0,16.26,1207,30,1354.0,1359.8,1331.0
2026-03-12,-7.1,-0.52,1354.9,20.95,1548,40,1350.0,1368.0,1342.0
2026-03-11,-23.0,-1.66,1362.0,26.14,1909,40,1358.0,1384.0,1350.0
2026-03-10,48.8,3.65,1385.0,,8248,137,1362.9,1390.0,1337.0
2026-03-09,26.2,2.0,1336.2,,20,2,1336.2,1336.2,1336.2
2026-03-03,11.0,0.85,1310.0,8.44,648,25,1288.0,1313.3,1288.0
2026-03-01,5.9,0.46,1299.0,35.61,2741,25,1307.9,1310.0,1285.0
2026-02-26,-2.9,-0.22,1293.1,7.48,580,15,1316.5,1316.5,1278.0
2026-02-25,-7.9,-0.61,1296.0,18.61,1434,33,1303.9,1314.5,1290.0
2026-02-24,3.9,0.3,1303.9,7.29,561,17,1300.0,1305.0,1290.0
2026-02-23,10.0,0.78,1300.0,3.79,296,18,1290.0,1301.9,1280.0
2026-02-22,-24.0,-1.83,1290.0,9.98,769,22,1319.0,1319.0,1285.0
2026-02-17,5.1,0.39,1314.0,38.95,2996,43,1300.0,1314.0,1283.0
2026-02-16,-0.1,-0.01,1308.9,14.19,1100,34,1290.0,1308.9,1285.0
2026-02-12,18.8,1.46,1309.0,28.11,2175,45,1290.3,1310.0,1280.0
2026-02-11,-22.8,-1.74,1290.2,13.78,1055,30,1338.9,1358.9,1290.2
2026-02-10,10.9,0.84,1313.0,10.81,834,24,1302.0,1313.0,1292.0
2026-02-09,-21.9,-1.65,1302.1,19.75,1515,42,1324.0,1324.0,1302.0
2026-02-08,-4.9,-0.37,1324.0,25.17,1906,40,1349.0,1349.0,1309.0
2026-02-05,-1.1,-0.08,1328.9,19.24,1466,36,1330.0,1330.0,1304.0
2026-02-04,-29.9,-2.2,1330.0,40.29,3079,72,1333.5,1349.8,1293.6
2026-02-03,23.9,1.79,1359.9,27.01,2057,46,1321.0,1359.9,1300.0
2026-02-02,-4.0,-0.3,1336.0,18.84,1426,48,1325.0,1345.0,1320.0
2026-02-01,0.0,0.0,1340.0,9.43,705,33,1365.0,1365.0,1315.0
2026-01-29,-15.0,-1.11,1340.0,49.62,3660,84,1356.0,1388.0,1330.0
2026-01-28,-34.9,-2.51,1355.0,45.8,3344,72,1370.0,1397.4,1345.0
2026-01-27,-35.1,-2.46,1389.9,92.12,6667,112,1425.5,1428.1,1300.0
2026-01-26,-25.0,-1.72,1425.0,63.52,4480,94,1422.1,1465.0,1395.0
2026-01-25,91.0,6.7,1450.0,65.1,4673,124,1385.9,1450.0,1305.4
2026-01-22,-10.0,-0.73,1359.0,14.22,1055,28,1350.0,1359.0,1343.1
2026-01-21,-7.0,-0.51,1369.0,49.09,3577,58,1376.0,1398.0,1350.0
2026-01-20,56.1,4.25,1376.0,,7389,137,1346.0,1400.0,1325.1
2026-01-18,40.9,3.2,1319.9,55.04,4220,60,1304.5,1320.0,1283.1
2026-01-14,-5.0,-0.39,1279.0,20.09,1571,31,1285.1,1285.1,1275.0
2026-01-13,-16.0,-1.23,1284.0,11.67,910,24,1300.0,1300.0,1280.0
2026-01-12,-7.0,-0.54,1300.0,22.4,1738,35,1308.0,1308.0,1286.0
2026-01-08,0.0,0.0,1307.0,29.4,2277,40,1307.0,1307.9,1284.1
2026-01-07,3.0,0.23,1307.0,49.07,3747,26,1308.0,1317.8,1287.9
2026-01-06,4.0,0.31,1304.0,33.58,2593,42,1326.0,1326.0,1287.1
2026-01-05,17.7,1.38,1300.0,24.03,1860,40,1300.0,1300.0,1282.0
