DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,14.0,1.84,775.0,27.21,3516,69,761.0,782.0,761.0
2026-05-07,-1.0,-0.13,761.0,30.05,3978,85,760.0,767.0,750.0
2026-05-06,-4.0,-0.52,762.0,9.18,1202,36,770.0,771.0,761.0
2026-05-05,13.1,1.74,766.0,21.54,2829,82,755.0,767.0,750.1
2026-05-04,-2.1,-0.28,752.9,35.63,4749,89,745.1,755.0,745.1
2026-04-30,-5.0,-0.66,755.0,31.95,4213,90,750.1,767.0,750.1
2026-04-29,-6.0,-0.78,760.0,84.47,11044,122,767.0,775.0,760.0
2026-04-28,-10.9,-1.4,766.0,58.26,7558,93,776.9,780.0,766.0
2026-04-27,4.9,0.63,776.9,38.21,4916,71,772.0,784.8,770.0
2026-04-24,-6.0,-0.77,772.0,44.75,5797,92,770.0,777.9,768.1
2026-04-23,0.8,0.1,778.0,23.38,3014,69,778.0,789.0,770.0
2026-04-22,-7.8,-0.99,777.2,38.41,4921,95,780.1,785.0,776.3
2026-04-21,-3.1,-0.39,785.0,28.07,3576,81,780.0,800.0,780.0
2026-04-20,-3.9,-0.49,788.1,31.15,3959,68,824.9,824.9,780.1
2026-04-17,1.0,0.13,792.0,27.52,3499,69,781.1,795.0,781.1
2026-04-16,-9.0,-1.12,791.0,13.61,1718,48,786.9,800.0,786.9
2026-04-15,12.0,1.52,800.0,40.49,5075,96,803.0,804.0,790.1
2026-04-13,-3.5,-0.44,788.0,28.7,3629,92,790.0,799.0,786.1
2026-04-10,-17.5,-2.16,791.5,57.08,7155,102,810.0,810.0,791.5
2026-04-09,14.0,1.76,809.0,41.86,5179,107,808.0,814.7,793.0
2026-04-08,12.0,1.53,795.0,47.6,6000,92,785.0,798.0,785.0
2026-04-07,-5.0,-0.63,783.0,48.76,6177,93,795.0,796.0,780.1
2026-04-06,17.0,2.2,788.0,97.16,12333,122,775.0,795.0,770.0
2026-04-05,-21.0,-2.65,771.0,,16056,206,807.8,807.8,765.1
2026-04-02,-7.1,-0.89,792.0,98.05,12286,200,790.1,808.0,776.0
2026-04-01,-22.9,-2.79,799.1,88.45,10969,192,822.0,823.9,799.1
2026-03-31,7.0,0.86,822.0,57.95,7148,123,827.0,827.0,801.0
2026-03-30,-15.0,-1.81,815.0,71.12,8632,146,820.0,839.9,812.0
2026-03-29,-35.0,-4.05,830.0,,25033,242,882.3,882.3,824.2
2026-03-26,-1.5,-0.17,865.0,96.05,11250,182,851.1,865.0,849.0
2026-03-25,-29.9,-3.34,866.5,,22859,276,896.0,896.0,849.7
2026-03-24,0.4,0.04,896.4,82.05,9164,147,892.0,909.9,885.0
2026-03-23,14.0,1.59,896.0,,26498,326,882.0,896.0,870.0
2026-03-22,54.1,6.53,882.0,,59311,561,825.0,885.0,825.0
2026-03-19,16.6,2.05,827.9,,15860,198,827.0,839.0,815.0
2026-03-17,-3.7,-0.45,811.3,66.86,8215,131,800.2,820.0,800.2
2026-03-16,-16.8,-2.02,815.0,51.15,6267,89,844.0,845.0,810.1
2026-03-15,13.7,1.67,831.8,85.28,10337,155,820.5,834.0,812.0
2026-03-12,4.1,0.5,818.1,,17352,164,812.0,836.4,810.0
2026-03-11,-20.9,-2.5,814.0,74.92,9125,139,820.0,835.0,810.0
2026-03-10,-17.8,-2.09,834.9,,19521,284,869.0,869.6,808.8
2026-03-09,52.8,6.6,852.7,2.45,300,7,815.0,852.7,815.0
2026-03-03,9.8,1.24,799.9,97.53,12167,76,805.9,805.9,785.2
2026-03-01,5.2,0.66,790.1,42.43,5435,81,775.0,795.0,760.0
2026-02-26,6.4,0.82,784.9,15.27,1963,39,779.2,784.9,771.9
2026-02-25,7.3,0.95,778.5,21.94,2824,52,775.0,780.0,772.4
2026-02-24,0.9,0.12,771.2,35.53,4593,52,770.0,776.0,770.0
2026-02-23,-1.9,-0.25,770.3,32.39,4195,72,780.0,780.0,769.0
2026-02-22,-7.8,-1.0,772.2,42.17,5450,77,775.0,780.0,772.1
2026-02-17,2.0,0.26,780.0,63.81,8172,75,776.0,786.9,776.0
2026-02-16,-3.0,-0.38,778.0,43.8,5621,69,776.1,782.0,776.0
2026-02-12,-1.0,-0.13,781.0,32.46,4153,64,775.0,790.0,775.0
2026-02-11,2.0,0.26,782.0,48.03,6119,83,795.6,795.6,773.0
2026-02-10,0.0,0.0,780.0,43.35,5571,88,780.0,783.7,775.1
2026-02-09,-20.0,-2.5,780.0,85.57,10910,142,787.1,798.0,780.0
2026-02-08,4.0,0.5,800.0,66.65,8420,97,811.0,811.0,785.0
2026-02-05,5.8,0.73,796.0,56.96,7192,100,790.2,800.0,785.0
2026-02-04,2.1,0.27,790.2,17.44,2211,67,798.0,802.0,786.1
2026-02-03,2.0,0.25,788.1,48.89,6187,100,800.0,801.5,786.0
2026-02-02,-7.2,-0.91,786.1,58.59,7425,99,798.0,798.0,785.1
2026-02-01,-8.7,-1.08,793.3,35.9,4513,84,794.1,802.0,792.0
2026-01-29,1.0,0.12,802.0,66.76,8316,132,797.0,810.0,797.0
2026-01-28,-5.0,-0.62,801.0,75.38,9408,139,800.0,805.0,796.0
2026-01-27,-15.0,-1.83,806.0,,15954,155,812.0,820.0,805.0
2026-01-26,-5.3,-0.64,821.0,,23743,253,832.0,839.0,810.0
2026-01-25,17.3,2.14,826.3,,15244,171,809.2,832.0,809.2
2026-01-22,7.0,0.87,809.0,51.89,6496,108,801.0,809.0,795.0
2026-01-21,-3.6,-0.45,802.0,73.27,9092,116,821.6,821.7,800.0
2026-01-20,9.6,1.21,805.6,71.16,8755,128,811.9,820.0,805.0
2026-01-18,21.0,2.71,796.0,,19361,280,790.0,815.0,790.0
2026-01-14,2.0,0.26,775.0,39.27,5051,96,770.0,790.0,770.0
2026-01-13,-4.1,-0.53,773.0,45.06,5808,92,777.0,781.0,770.0
2026-01-12,-7.9,-1.01,777.1,34.5,4412,75,790.0,790.0,775.0
2026-01-08,3.5,0.45,785.0,27.75,3553,82,781.5,794.9,775.0
2026-01-07,-4.4,-0.56,781.5,31.88,4073,77,785.0,790.0,780.0
2026-01-06,5.8,0.74,785.9,46.13,5871,80,795.0,795.7,780.0
2026-01-05,5.1,0.66,780.1,78.11,10048,143,770.1,787.0,770.1
2026-01-04,10.24,1.34,775.0,45.33,5836,143,770.0,790.0,765.0
2026-01-01,2.3,0.29,803.0,28.99,3621,82,805.0,806.9,795.4
2025-12-31,-4.3,-0.53,800.7,45.21,5608,114,806.0,818.9,800.2
2025-12-29,-7.0,-0.86,805.0,19.36,2393,60,806.1,815.0,805.0
2025-12-28,17.6,2.22,812.0,48.11,5985,101,792.0,816.0,792.0
2025-12-24,3.9,0.49,794.4,42.78,5395,89,792.0,797.9,790.0
2025-12-23,4.5,0.57,790.5,21.25,2692,73,789.0,794.8,788.0
2025-12-22,-7.0,-0.88,786.0,49.11,6234,101,782.0,791.0,782.0
2025-12-21,-12.0,-1.49,793.0,32.57,4102,88,805.0,805.0,790.5
2025-12-18,-3.0,-0.37,805.0,21.58,2665,107,808.0,821.1,801.1
2025-12-17,3.9,0.49,808.0,45.31,5615,111,820.1,820.1,804.3
2025-12-16,0.9,0.11,804.1,30.51,3757,79,817.0,819.2,804.0
2025-12-15,2.2,0.27,803.2,21.68,2695,80,786.0,809.7,786.0
2025-12-14,-11.0,-1.35,801.0,88.37,11016,145,802.0,812.0,800.0
2025-12-11,9.0,1.12,812.0,55.08,6764,116,800.4,820.0,800.4
2025-12-10,-7.0,-0.86,803.0,84.05,10405,135,810.1,815.0,801.0
2025-12-09,-1.0,-0.12,810.0,56.6,6956,105,811.2,822.0,810.0
2025-12-08,-7.0,-0.86,811.0,42.41,5224,118,818.0,819.0,808.1
2025-12-07,3.0,0.37,818.0,41.45,5066,99,815.2,824.0,815.2
2025-12-03,-6.0,-0.73,815.0,67.38,8210,83,820.5,835.0,815.0
2025-12-02,-8.9,-1.07,821.0,32.53,3948,83,826.6,840.0,820.0
2025-12-01,-8.1,-0.97,829.9,,12141,139,824.1,839.0,820.0
2025-11-30,-19.0,-2.22,838.0,,20875,223,860.0,860.0,821.6
2025-11-27,8.0,0.94,857.0,,24711,208,849.1,860.9,835.0
2025-11-26,9.0,1.07,849.0,,16015,195,825.0,862.0,825.0
2025-11-25,-21.0,-2.44,840.0,,21667,234,864.8,864.8,834.0
2025-11-24,38.0,4.62,861.0,,46656,369,830.0,861.0,830.0
2025-11-23,39.0,4.97,823.0,,24108,331,790.0,830.1,790.0
2025-11-20,-11.6,-1.46,784.0,65.59,8353,131,796.0,797.0,782.1
2025-11-19,6.6,0.84,795.6,63.54,8115,114,773.3,795.6,773.3
2025-11-18,7.0,0.9,789.0,60.9,7725,104,785.0,794.9,784.6
2025-11-17,0.9,0.12,782.0,43.0,5488,91,785.0,788.9,782.0
2025-11-16,2.0,0.26,781.1,59.92,7649,90,794.0,794.0,776.0
2025-11-13,3.1,0.4,779.1,71.99,9219,134,776.0,789.6,775.2
2025-11-12,-10.0,-1.27,776.0,92.5,11824,153,796.0,796.0,775.2
2025-11-11,-10.0,-1.26,786.0,,13150,196,809.0,809.0,783.0
2025-11-10,-6.0,-0.75,796.0,,17835,236,786.3,804.7,785.0
2025-11-09,-2.2,-0.27,802.0,,18449,217,802.1,818.0,795.0
2025-11-06,-11.7,-1.43,804.2,,24917,226,815.1,826.3,801.1
2025-11-05,4.9,0.6,815.9,57.28,7044,99,800.8,826.9,800.8
2025-11-04,-14.9,-1.8,811.0,,20031,250,812.0,825.0,800.0
2025-11-03,-11.1,-1.33,825.9,,38006,283,820.6,854.2,800.0
2025-11-02,6.0,0.72,837.0,,25123,302,847.3,847.3,816.0
2025-10-30,11.0,1.34,831.0,,21423,273,820.0,868.9,810.0
2025-10-29,-25.0,-2.96,820.0,,19304,268,828.1,877.0,812.0
2025-10-28,-25.0,-2.87,845.0,,24447,411,852.6,859.0,802.7
2025-10-26,71.0,8.89,870.0,,22819,239,785.0,878.0,770.3
2025-10-19,-26.0,-3.15,799.0,,12657,212,809.5,810.8,787.0
2025-10-16,-55.0,-6.25,825.0,,18414,322,862.4,862.4,793.0
2025-10-15,57.0,6.93,880.0,,42282,471,806.6,887.0,775.5
2025-10-14,-36.0,-4.19,823.0,,29091,346,850.0,871.0,797.0
2025-10-13,-31.4,-3.53,859.0,,54975,641,872.6,884.0,819.3
2025-10-12,-24.6,-2.69,890.4,,23892,366,900.0,930.0,824.0
2025-10-09,-12.0,-1.29,915.0,,22353,309,930.0,953.7,888.0
2025-10-08,6.0,0.65,927.0,,20163,283,903.0,948.0,875.0
2025-10-07,-16.0,-1.71,921.0,,13238,222,920.0,955.0,901.0
2025-09-28,-6.1,-0.65,937.0,,11197,152,930.0,999.0,915.0
2025-09-25,-46.9,-4.74,943.1,,19226,284,970.2,970.2,914.0
2025-09-24,35.0,3.66,990.0,,25275,313,935.9,993.0,906.0
2025-09-23,6.02,0.63,955.0,,27753,355,930.1,980.0,912.0
2025-09-21,-6.02,-0.63,948.98,,27279,386,950.0,969.0,900.1
2025-09-18,-19.97,-2.05,955.0,16.17,1730,16,955.5,955.5,900.0
2025-09-08,4.61,0.48,974.97,,18279,263,951.0,984.0,917.1
2025-09-07,-0.68,-0.07,970.36,,18924,277,951.7,1012.0,933.0
2025-09-04,-4.32,-0.44,971.04,,27794,349,970.0,1008.0,937.0
2025-09-03,-27.96,-2.79,975.36,,17814,246,983.3,1042.0,964.0
2025-09-02,-14.8,-1.45,1003.32,,90445,397,997.8,1025.0,950.0
2025-09-01,11.28,1.12,1018.12,,28187,403,986.8,1055.0,948.1
2025-08-31,25.92,2.64,1006.84,,21583,356,961.4,1019.0,925.0
2025-08-28,22.94,2.39,980.92,,51740,962,938.9,1037.9,938.9
2025-08-27,82.0,9.36,957.98,,35772,496,870.0,963.0,870.0
2025-08-26,-12.69,-1.43,875.98,,11679,218,872.0,906.4,865.0
2025-08-25,-5.99,-0.67,888.67,,32356,377,894.0,948.0,879.2
2025-08-24,-29.12,-3.15,894.66,,12498,223,939.0,939.0,892.0
2025-08-21,-7.74,-0.83,923.78,,20859,323,950.0,950.0,905.6
2025-08-20,6.83,0.74,931.52,,35440,257,922.0,942.9,911.4
2025-08-19,-4.62,-0.5,924.69,,33575,270,947.4,956.0,910.4
2025-08-18,-34.01,-3.53,929.31,,32242,260,944.1,974.0,915.0
2025-08-17,-19.45,-1.98,963.32,,48459,449,965.0,1000.0,915.6
2025-08-14,-24.88,-2.47,982.77,,18420,332,987.5,1015.0,959.0
2025-08-13,8.27,0.83,1007.65,,47299,415,1019.0,1019.0,946.8
2025-08-12,-28.87,-2.81,999.38,,27767,371,1015.0,1077.0,980.0
2025-08-11,-50.81,-4.71,1028.25,,17145,458,1057.5,1096.5,1000.0
2025-08-07,30.53,2.91,1079.06,,55593,540,1027.6,1113.0,1027.6
2025-08-06,-29.37,-2.72,1048.53,,21975,463,1056.4,1098.5,1023.0
2025-08-05,-4.74,-0.44,1077.9,,63150,647,1065.0,1120.0,1033.9
2025-08-04,9.84,0.92,1082.64,,30981,766,1074.0,1118.9,1055.0
2025-08-03,-118.65,-9.96,1072.8,,51559,891,1170.0,1200.0,1072.3
2025-07-31,-34.82,-2.84,1191.45,,40869,779,1226.0,1226.0,1135.5
2025-07-30,77.43,6.74,1226.27,,82358,1316,1130.0,1255.0,1056.5
