DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,23.8,1.38,1749.0,8.45,488,21,1720.0,1749.8,1720.0
2026-05-07,-24.8,-1.42,1725.2,12.25,710,39,1700.0,1735.0,1700.0
2026-05-06,7.0,0.4,1750.0,6.48,372,10,1725.0,1750.0,1725.0
2026-05-05,38.6,2.26,1743.0,17.82,1031,29,1699.0,1755.1,1699.0
2026-05-04,-13.6,-0.79,1704.4,9.38,546,23,1720.0,1767.0,1704.4
2026-04-30,-12.0,-0.69,1718.0,5.82,340,12,1700.0,1720.1,1700.0
2026-04-29,-38.0,-2.15,1730.0,21.87,1254,43,1768.0,1772.0,1725.0
2026-04-28,16.0,0.91,1768.0,5.62,323,10,1752.0,1768.0,1741.0
2026-04-27,2.0,0.11,1752.0,15.92,913,17,1750.0,1780.0,1739.0
2026-04-24,0.0,0.0,1750.0,13.86,795,28,1750.0,1780.0,1721.0
2026-04-23,-25.0,-1.41,1750.0,18.19,1038,38,1814.0,1814.0,1740.0
2026-04-22,-25.0,-1.39,1775.0,4.21,238,16,1830.0,1830.0,1750.0
2026-04-21,15.0,0.84,1800.0,37.01,2024,42,1770.0,1850.0,1770.0
2026-04-20,-11.0,-0.61,1785.0,10.18,573,26,1800.0,1800.0,1770.0
2026-04-17,-2.2,-0.12,1796.0,12.67,700,30,1798.2,1833.5,1796.0
2026-04-16,-23.1,-1.27,1798.2,25.9,1424,43,1801.0,1844.0,1798.2
2026-04-15,10.3,0.57,1821.3,8.0,438,23,1806.0,1838.0,1806.0
2026-04-13,-25.0,-1.36,1811.0,8.8,486,12,1836.0,1836.0,1803.6
2026-04-10,7.0,0.38,1836.0,7.39,407,15,1829.0,1837.0,1811.5
2026-04-09,24.0,1.33,1829.0,11.02,601,29,1802.2,1845.0,1802.2
2026-04-08,5.0,0.28,1805.0,25.74,1422,37,1801.0,1835.0,1780.0
2026-04-07,-40.0,-2.17,1800.0,10.03,555,22,1817.0,1839.9,1800.0
2026-04-06,2.0,0.11,1840.0,21.86,1199,29,1801.3,1850.0,1801.3
2026-04-05,-1.9,-0.1,1838.0,35.59,1998,77,1835.0,1838.0,1741.0
2026-04-02,-42.1,-2.24,1839.9,24.78,1340,38,1846.0,1880.0,1820.0
2026-04-01,-2.0,-0.11,1882.0,37.72,2049,50,1855.0,1882.0,1819.0
2026-03-31,4.0,0.21,1884.0,24.02,1292,44,1860.0,1884.0,1851.0
2026-03-30,-10.2,-0.54,1880.0,15.92,843,31,1890.2,1920.0,1880.0
2026-03-29,-59.8,-3.07,1890.2,28.18,1475,43,1950.0,1950.0,1890.0
2026-03-26,20.0,1.04,1950.0,45.0,2306,46,1930.0,1965.0,1930.0
2026-03-25,-34.0,-1.73,1930.0,25.83,1329,33,1964.0,1964.0,1925.0
2026-03-24,-4.0,-0.2,1964.0,31.16,1604,43,1951.1,1964.0,1929.0
2026-03-23,-1.0,-0.05,1968.0,79.68,4079,82,1970.0,1980.0,1930.1
2026-03-22,47.1,2.45,1969.0,98.28,5014,98,1925.0,1980.0,1924.0
2026-03-19,21.9,1.15,1921.9,67.78,3562,68,1880.0,1924.0,1880.0
2026-03-17,-4.9,-0.26,1900.0,6.55,346,16,1876.3,1905.0,1876.3
2026-03-16,14.9,0.79,1904.9,33.33,1769,37,1890.0,1905.0,1870.0
2026-03-15,-32.2,-1.68,1890.0,38.09,2007,51,1921.0,1921.0,1870.0
2026-03-12,-36.8,-1.88,1922.2,33.34,1730,44,1920.0,1950.0,1920.0
2026-03-11,-21.0,-1.06,1959.0,12.69,652,22,1980.0,1980.0,1940.4
2026-03-10,-10.1,-0.51,1980.0,77.65,3922,76,2029.9,2029.9,1950.0
2026-03-09,77.2,4.04,1990.1,5.4,277,4,1951.1,1990.1,1951.1
2026-03-03,12.9,0.68,1912.9,26.73,1422,28,1866.0,1912.9,1865.0
2026-03-01,-20.0,-1.04,1900.0,29.67,1583,39,1903.0,1903.0,1850.0
2026-02-26,-44.0,-2.24,1920.0,36.66,1920,28,1924.8,1940.0,1900.0
2026-02-25,-34.0,-1.7,1964.0,55.6,2829,64,1985.0,2001.0,1906.4
2026-02-24,51.0,2.62,1998.0,73.04,3851,68,1908.1,2024.0,1832.6
2026-02-23,112.0,6.1,1947.0,50.91,2772,56,1871.7,1947.0,1804.0
2026-02-22,-5.0,-0.27,1835.0,17.18,947,30,1830.0,1835.0,1806.0
2026-02-17,-25.1,-1.35,1840.0,45.7,2468,40,1865.0,1865.0,1840.0
2026-02-16,-24.9,-1.32,1865.1,6.19,332,15,1890.0,1890.0,1862.0
2026-02-12,9.0,0.48,1890.0,20.89,1114,35,1900.0,1900.0,1860.2
2026-02-11,-7.0,-0.37,1881.0,12.62,666,18,1910.0,1910.0,1880.1
2026-02-10,3.0,0.16,1888.0,9.26,494,19,1850.2,1888.4,1850.2
2026-02-09,-18.0,-0.95,1885.0,18.35,971,27,1895.0,1897.0,1882.0
2026-02-08,0.0,0.0,1903.0,22.93,1205,33,1911.0,1919.0,1900.0
2026-02-05,-25.0,-1.3,1903.0,10.93,575,29,1924.0,1924.9,1896.1
2026-02-04,11.0,0.57,1928.0,13.31,691,22,1946.0,1946.0,1907.2
2026-02-03,46.0,2.46,1917.0,44.4,2349,55,1871.0,1918.0,1860.0
2026-02-02,-29.1,-1.53,1871.0,40.83,2171,62,1904.0,1905.0,1866.0
2026-02-01,-50.9,-2.61,1900.1,48.46,2531,72,1943.0,1943.0,1900.0
2026-01-29,-49.0,-2.45,1951.0,56.75,2875,73,2000.0,2040.0,1951.0
2026-01-28,-33.0,-1.62,2000.0,80.96,4063,84,2000.0,2029.0,1980.0
2026-01-27,93.0,4.79,2033.0,,9747,232,1975.0,2134.0,1975.0
2026-01-26,26.0,1.36,1940.0,19.4,1012,44,1940.0,1949.0,1900.1
2026-01-25,50.0,2.68,1914.0,59.49,3144,42,1835.0,1914.0,1835.0
2026-01-22,4.1,0.22,1864.0,18.91,1019,36,1860.0,1878.0,1851.0
2026-01-21,1.9,0.1,1859.9,28.58,1545,42,1860.0,1879.9,1840.0
2026-01-20,61.0,3.39,1858.0,71.63,3876,84,1810.0,1875.0,1805.5
2026-01-18,14.0,0.79,1797.0,28.34,1574,44,1800.0,1815.0,1781.2
2026-01-14,-1.9,-0.11,1783.0,13.86,782,33,1755.0,1790.0,1755.0
2026-01-13,4.9,0.28,1784.9,27.29,1556,42,1751.2,1784.9,1745.0
2026-01-12,-10.0,-0.56,1780.0,26.98,1529,41,1770.0,1805.0,1740.0
2026-01-08,0.0,0.0,1790.0,48.73,2713,54,1800.0,1817.0,1790.0
2026-01-07,-23.0,-1.27,1790.0,23.99,1335,54,1800.0,1810.0,1785.0
2026-01-06,14.0,0.78,1813.0,,6591,66,1834.0,1834.0,1785.0
2026-01-05,49.0,2.8,1799.0,41.24,2320,51,1750.1,1799.0,1750.0
2026-01-04,5.0,0.29,1750.0,31.39,1809,59,1745.0,1760.0,1710.1
2026-01-01,5.0,0.29,1745.0,22.18,1269,47,1740.0,1760.0,1740.0
2025-12-31,17.63,1.02,1740.0,51.49,2930,102,1756.8,1791.9,1740.0
2025-12-29,-5.0,-0.26,1886.0,54.77,2892,76,1928.0,1928.0,1882.2
2025-12-28,-9.0,-0.47,1891.0,67.31,3550,102,1900.0,1910.0,1886.5
2025-12-24,-35.0,-1.81,1900.0,38.74,2036,60,1935.0,1935.0,1900.0
2025-12-23,9.0,0.47,1935.0,25.74,1348,45,1902.0,1935.0,1891.5
2025-12-22,-26.0,-1.33,1926.0,37.68,1947,58,1945.0,1950.0,1925.0
