DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-10.1,-0.62,1628.9,67.67,4339,58,1559.6,1635.0,1513.0
2026-05-07,44.0,2.76,1639.0,,45,5,1565.0,1639.0,1565.0
2026-05-06,15.0,0.95,1595.0,4.03,250,13,1627.0,1630.0,1595.0
2026-05-05,-16.0,-1.0,1580.0,,32,4,1596.0,1596.0,1580.0
2026-05-04,-15.5,-0.96,1596.0,2.04,128,6,1611.5,1611.5,1596.0
2026-04-30,-31.5,-1.92,1611.5,23.09,1414,19,1681.0,1681.0,1601.2
2026-04-29,-42.0,-2.49,1643.0,1.19,73,11,1685.0,1685.0,1642.5
2026-04-28,-4.8,-0.28,1685.0,11.26,682,18,1689.8,1685.0,1650.0
2026-04-27,9.8,0.58,1689.8,3.49,210,10,1680.0,1689.8,1642.1
2026-04-24,-18.0,-1.06,1680.0,6.48,393,12,1698.0,1680.0,1650.0
2026-04-23,0.0,0.0,1698.0,,5,2,1698.0,1698.0,1698.0
2026-04-22,17.0,1.01,1698.0,25.41,1515,23,1729.0,1729.0,1650.0
2026-04-21,-18.9,-1.11,1681.0,7.57,450,11,1675.0,1700.0,1675.0
2026-04-20,0.9,0.05,1699.9,3.28,197,11,1652.1,1705.0,1652.1
2026-04-17,0.2,0.01,1699.0,12.81,765,22,1698.8,1699.0,1666.0
2026-04-16,-9.2,-0.54,1698.8,20.57,1216,28,1674.3,1720.0,1674.3
2026-04-15,-26.0,-1.5,1708.0,21.97,1287,33,1730.0,1730.0,1705.0
2026-04-13,-1.0,-0.06,1734.0,5.89,344,15,1703.1,1736.0,1702.0
2026-04-10,-12.0,-0.69,1735.0,51.71,3005,44,1717.1,1735.0,1713.0
2026-04-09,41.0,2.4,1747.0,50.3,2921,69,1708.0,1747.0,1700.0
2026-04-08,22.9,1.36,1706.0,27.88,1635,51,1650.1,1719.0,1650.1
2026-04-07,-15.8,-0.93,1683.1,34.72,2055,31,1699.9,1700.0,1680.1
2026-04-06,38.9,2.34,1698.9,52.95,3148,42,1689.0,1700.0,1670.0
2026-04-05,-43.0,-2.52,1660.0,75.97,4573,51,1681.0,1681.0,1646.1
2026-04-02,34.0,2.04,1703.0,,6399,51,1651.1,1704.9,1650.0
2026-04-01,-27.0,-1.59,1669.0,6.57,393,21,1668.0,1700.3,1667.0
2026-03-31,17.0,1.01,1696.0,59.96,3557,35,1704.0,1704.0,1646.0
2026-03-30,-3.9,-0.23,1679.0,55.47,3303,52,1713.0,1713.0,1650.0
2026-03-29,-37.1,-2.16,1682.9,34.4,2040,44,1722.0,1722.0,1670.1
2026-03-26,8.8,0.51,1720.0,43.61,2567,60,1745.4,1745.4,1678.0
2026-03-25,-18.8,-1.09,1711.2,11.42,667,18,1706.0,1714.1,1706.0
2026-03-24,-2.9,-0.17,1730.0,22.9,1334,26,1698.3,1763.7,1698.3
2026-03-23,-12.1,-0.69,1732.9,47.84,2767,67,1779.0,1779.9,1712.3
2026-03-22,67.0,3.99,1745.0,,6492,95,1700.0,1745.0,1666.0
2026-03-19,14.0,0.84,1678.0,26.52,1594,34,1664.0,1678.0,1647.0
2026-03-17,-9.0,-0.54,1664.0,7.63,461,16,1664.0,1664.0,1649.1
2026-03-16,3.2,0.19,1673.0,11.11,670,13,1648.3,1673.0,1648.3
2026-03-15,9.8,0.59,1669.8,44.51,2688,29,1660.1,1669.8,1638.0
2026-03-12,-23.0,-1.37,1660.0,20.35,1229,24,1700.0,1700.0,1635.1
2026-03-11,-14.0,-0.82,1683.0,47.42,2877,54,1665.1,1683.0,1620.1
2026-03-10,-20.6,-1.2,1697.0,79.01,4739,79,1751.9,1751.9,1640.0
2026-03-09,33.6,2.0,1717.6,,20,2,1717.6,1717.6,1717.6
2026-03-03,19.0,1.14,1684.0,23.34,1415,31,1665.0,1684.0,1631.8
2026-03-01,11.0,0.67,1665.0,29.47,1782,31,1654.0,1665.0,1646.1
2026-02-26,2.0,0.12,1654.0,,6517,23,1670.0,1670.0,1632.0
2026-02-25,-17.9,-1.07,1652.0,9.92,610,15,1636.6,1652.0,1617.2
2026-02-24,61.9,3.85,1669.9,16.29,995,24,1589.2,1669.9,1589.1
2026-02-23,-31.9,-1.95,1608.0,1.93,120,10,1610.0,1640.8,1600.0
2026-02-22,-27.8,-1.67,1639.9,25.72,1565,40,1688.0,1725.0,1600.0
2026-02-17,32.7,2.0,1667.7,42.25,2610,31,1610.0,1667.7,1583.0
2026-02-16,5.1,0.31,1635.0,15.17,944,26,1602.0,1635.0,1601.0
2026-02-12,-0.1,-0.01,1629.9,13.99,875,23,1600.0,1629.9,1590.0
2026-02-11,5.0,0.31,1630.0,4.27,265,9,1606.5,1630.0,1603.0
2026-02-10,-5.0,-0.31,1625.0,29.5,1844,48,1625.0,1631.0,1598.0
2026-02-09,-15.0,-0.91,1630.0,4.15,254,11,1645.0,1645.0,1630.0
2026-02-08,-34.0,-2.03,1645.0,7.2,437,28,1645.5,1654.0,1645.0
2026-02-05,-0.9,-0.05,1679.0,2.82,169,9,1679.9,1679.9,1650.0
2026-02-04,-10.1,-0.6,1679.9,2.27,137,14,1690.0,1690.0,1660.0
2026-02-03,23.1,1.39,1690.0,2.69,164,14,1633.6,1690.0,1610.0
2026-02-02,-2.1,-0.13,1666.9,7.49,458,26,1635.8,1667.9,1615.1
2026-02-01,-4.8,-0.29,1669.0,5.8,356,18,1641.1,1669.0,1610.0
2026-01-29,-20.9,-1.23,1673.8,16.04,972,24,1694.7,1694.7,1631.0
2026-01-28,-5.3,-0.31,1694.7,19.95,1195,16,1734.0,1734.0,1648.0
2026-01-27,-14.0,-0.82,1700.0,54.39,3232,41,1696.0,1709.0,1675.0
2026-01-26,-28.9,-1.66,1714.0,29.37,1737,24,1725.0,1725.0,1679.0
2026-01-25,2.9,0.17,1742.9,32.18,1893,22,1710.0,1742.9,1690.0
2026-01-22,0.0,0.0,1740.0,61.9,3681,24,1707.0,1740.0,1672.1
2026-01-21,-30.0,-1.69,1740.0,6.75,393,10,1750.0,1750.0,1716.0
2026-01-20,19.0,1.09,1770.0,27.39,1555,29,1765.0,1770.0,1731.0
2026-01-18,71.0,4.23,1751.0,64.77,3747,57,1713.0,1770.0,1705.2
2026-01-14,64.0,3.96,1680.0,49.69,3040,40,1647.8,1680.0,1602.0
2026-01-13,-19.9,-1.22,1616.0,3.73,230,8,1635.9,1668.0,1616.0
2026-01-12,-62.1,-3.66,1635.9,41.6,2506,27,1700.0,1700.0,1635.7
2026-01-08,30.0,1.8,1698.0,9.23,556,11,1668.0,1698.0,1645.0
2026-01-07,12.0,0.72,1668.0,26.36,1612,26,1685.0,1689.0,1611.0
2026-01-06,16.0,0.98,1656.0,22.53,1359,27,1640.0,1688.1,1640.0
2026-01-05,0.0,0.0,1640.0,26.09,1589,19,1640.0,1670.0,1639.0
2026-01-04,-60.0,-3.53,1640.0,22.18,1332,11,1670.0,1670.0,1640.0
2026-01-01,16.0,0.95,1700.0,10.86,651,16,1684.0,1700.0,1659.1
2025-12-31,-69.0,-3.94,1684.0,14.45,857,15,1718.0,1718.0,1684.0
2025-12-29,24.1,1.39,1753.0,16.03,943,21,1762.0,1762.0,1639.0
2025-12-28,53.9,3.22,1728.9,19.18,1135,27,1700.0,1728.9,1667.0
2025-12-24,-20.0,-1.18,1675.0,4.44,264,7,1695.0,1700.0,1675.0
2025-12-23,-15.0,-0.88,1695.0,9.99,592,11,1689.0,1700.5,1655.0
2025-12-22,10.0,0.59,1710.0,11.48,674,16,1680.0,1710.0,1680.0
2025-12-21,0.0,0.0,1700.0,17.78,1052,25,1700.0,1710.0,1679.0
