DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.7,0.55,497.6,,24032,142,493.1,499.9,490.0
2026-05-07,-2.1,-0.42,494.9,63.06,12771,142,496.0,499.9,490.0
2026-05-06,1.0,0.2,497.0,,41365,230,501.0,505.0,491.9
2026-05-05,9.0,1.85,496.0,,30971,236,480.0,498.0,480.0
2026-05-04,0.7,0.14,487.0,,35117,224,486.4,498.0,482.0
2026-04-30,-4.2,-0.86,486.3,,44961,264,487.0,494.0,486.1
2026-04-29,-7.5,-1.51,490.5,,54178,247,498.0,501.0,490.0
2026-04-28,-3.2,-0.64,498.0,,47427,263,501.2,505.0,496.1
2026-04-27,-4.8,-0.95,501.2,,20060,203,506.0,514.0,501.0
2026-04-24,1.0,0.2,506.0,,43126,206,505.0,506.9,491.0
2026-04-23,-1.2,-0.24,505.0,,39120,231,507.0,515.0,501.5
2026-04-22,-4.8,-0.94,506.2,,80634,450,511.0,511.0,495.7
2026-04-21,-5.0,-0.97,511.0,,65309,322,513.1,520.0,505.0
2026-04-20,-7.0,-1.34,516.0,,75926,335,540.0,540.0,513.5
2026-04-17,1.0,0.19,523.0,,102699,488,518.0,525.0,517.0
2026-04-16,0.0,0.0,522.0,,109803,500,522.0,523.0,513.1
2026-04-15,17.0,3.37,522.0,,116007,546,511.0,523.0,505.3
2026-04-13,0.0,0.0,505.0,,86610,358,510.0,511.0,504.0
2026-04-10,-4.0,-0.79,505.0,,105971,471,515.0,515.9,502.5
2026-04-09,4.1,0.81,509.0,,109179,521,512.0,512.5,501.0
2026-04-08,11.8,2.39,504.9,,92869,388,499.8,508.0,499.0
2026-04-07,-11.9,-2.36,493.1,,75285,466,510.0,514.0,493.1
2026-04-06,23.0,4.77,505.0,,130009,706,482.0,515.0,477.3
2026-04-05,-26.0,-5.12,482.0,,186737,971,501.1,501.1,478.0
2026-04-02,-3.0,-0.59,508.0,,140125,645,521.0,521.0,501.0
2026-04-01,-8.0,-1.54,511.0,,277222,878,520.0,520.0,501.0
2026-03-31,4.0,0.78,519.0,,244340,1076,519.0,529.0,502.0
2026-03-30,-15.8,-2.98,515.0,,153363,956,520.2,539.8,514.5
2026-03-29,-22.5,-4.07,530.8,,188571,1068,554.0,554.0,529.0
2026-03-26,-2.9,-0.52,553.3,,172033,880,557.0,557.0,545.2
2026-03-25,11.1,2.04,556.2,,866401,2267,550.0,575.0,505.0
2026-03-24,14.8,2.79,545.1,,258888,1196,535.0,548.2,535.0
2026-03-23,2.3,0.44,530.3,,234098,994,528.0,540.0,525.0
2026-03-22,-17.2,-3.15,528.0,,506739,2128,550.0,550.0,526.0
2026-03-19,18.2,3.45,545.2,,519901,2062,529.0,552.5,527.0
2026-03-17,11.0,2.13,527.0,,237742,1139,516.5,530.0,511.0
2026-03-16,-9.0,-1.71,516.0,,268843,1149,527.0,527.0,515.0
2026-03-15,-2.0,-0.38,525.0,,316929,1545,530.0,535.0,515.5
2026-03-12,13.2,2.57,527.0,,272911,1406,520.0,530.0,513.8
2026-03-11,18.8,3.8,513.8,,633879,2211,500.0,518.0,493.6
2026-03-10,-14.0,-2.75,495.0,,491459,2296,512.0,514.0,482.0
2026-03-09,40.5,8.64,509.0,,20969,78,477.8,515.0,477.8
2026-03-03,7.5,1.63,468.5,,151488,588,455.0,468.9,455.0
2026-03-01,-0.5,-0.11,461.0,,99906,424,461.5,464.7,452.3
2026-02-26,-1.9,-0.41,461.5,,81997,468,472.0,472.0,457.0
2026-02-25,4.1,0.89,463.4,,116834,495,464.0,467.0,459.0
2026-02-24,8.2,1.82,459.3,,169517,499,460.1,463.0,450.2
2026-02-23,-12.4,-2.68,451.1,,190995,710,465.0,465.0,451.0
2026-02-22,18.5,4.16,463.5,,168919,1138,443.2,474.0,443.1
2026-02-17,-11.1,-2.43,445.0,,187803,871,456.1,459.0,443.0
2026-02-16,-7.9,-1.7,456.1,,144604,721,467.0,469.9,453.1
2026-02-12,3.0,0.65,464.0,,101605,535,469.7,469.8,455.4
2026-02-11,-7.9,-1.68,461.0,,227074,1166,459.6,469.0,451.0
2026-02-10,-20.9,-4.27,468.9,,219767,1243,490.0,490.0,456.0
2026-02-09,3.8,0.78,489.8,,204971,895,495.7,496.0,478.0
2026-02-08,-8.1,-1.64,486.0,,1180165,3015,484.3,500.0,444.7
2026-02-05,-54.8,-9.98,494.1,,356268,1236,538.0,538.0,494.1
2026-02-04,49.9,10.0,548.9,,75980,772,508.0,548.9,508.0
2026-02-03,-9.0,-1.77,499.0,,36994,451,512.9,512.9,495.0
2026-02-02,-11.0,-2.12,508.0,,30752,383,520.0,521.0,505.0
2026-02-01,-6.0,-1.14,519.0,,23198,280,535.5,540.0,519.0
2026-01-29,-11.0,-2.05,525.0,,29875,271,545.0,545.0,522.0
2026-01-28,6.0,1.13,536.0,,30799,354,525.3,537.0,517.0
2026-01-27,-23.0,-4.16,530.0,,40227,439,555.0,555.0,530.0
