DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.1,0.72,572.1,21.94,3835,59,575.0,575.0,563.0
2026-05-07,2.0,0.35,568.0,16.2,2875,46,573.0,573.0,562.1
2026-05-06,4.0,0.71,566.0,19.84,3496,54,553.0,572.9,550.0
2026-05-05,14.0,2.55,562.0,52.79,9480,118,541.1,564.0,541.0
2026-05-04,-11.0,-1.97,548.0,72.08,13031,155,570.0,570.0,546.1
2026-04-30,6.9,1.25,559.0,65.02,11735,161,567.0,567.0,549.2
2026-04-29,-15.9,-2.8,552.1,,26585,221,585.0,585.0,550.0
2026-04-28,-4.2,-0.73,568.0,48.46,8504,150,572.2,589.0,566.0
2026-04-27,-4.8,-0.83,572.2,,19917,154,577.0,594.3,572.2
2026-04-24,-11.0,-1.87,577.0,,27748,216,590.0,599.9,571.0
2026-04-23,-4.9,-0.83,588.0,45.41,7740,69,595.0,605.0,582.0
2026-04-22,-3.1,-0.52,592.9,,17301,148,593.0,610.0,585.0
2026-04-21,2.0,0.34,596.0,74.37,12487,121,623.0,623.0,590.0
2026-04-20,-4.8,-0.8,594.0,,18697,182,612.0,612.0,588.0
2026-04-17,-6.2,-1.02,598.8,,20245,172,613.0,613.0,598.5
2026-04-16,-1.2,-0.2,605.0,,22666,163,606.5,614.4,600.0
2026-04-15,6.2,1.03,606.2,,54333,225,605.0,614.0,600.0
2026-04-13,-10.0,-1.64,600.0,,26482,191,603.5,615.0,600.0
2026-04-10,-5.9,-0.96,610.0,57.94,9502,100,616.0,616.0,605.0
2026-04-09,4.9,0.8,615.9,66.42,10846,150,610.0,617.8,609.0
2026-04-08,7.0,1.16,611.0,31.31,5138,67,607.0,614.0,605.0
2026-04-07,-7.0,-1.15,604.0,47.09,7703,99,615.0,620.0,604.0
2026-04-06,17.1,2.88,611.0,56.89,9392,141,586.2,614.9,583.0
2026-04-05,-14.1,-2.32,593.9,,25795,234,620.1,620.1,590.0
2026-04-02,-3.0,-0.49,608.0,,19073,208,607.1,618.0,601.0
2026-04-01,-16.0,-2.55,611.0,77.24,12497,166,627.1,627.1,611.0
2026-03-31,6.0,0.97,627.0,,19130,210,623.0,629.0,616.0
2026-03-30,-10.5,-1.66,621.0,,21687,217,631.0,634.5,620.0
2026-03-29,-11.5,-1.79,631.5,,21528,232,640.0,655.0,631.0
2026-03-26,2.7,0.42,643.0,,33419,272,640.5,647.0,635.0
2026-03-25,-1.7,-0.26,640.3,,60014,421,646.0,654.6,639.2
2026-03-24,4.0,0.63,642.0,,45818,273,638.5,643.0,635.0
2026-03-23,0.0,0.0,638.0,,25743,222,642.0,642.0,630.0
2026-03-22,-2.0,-0.31,638.0,,46839,409,642.0,645.0,634.0
2026-03-19,10.0,1.59,640.0,,54899,358,638.0,642.0,630.0
2026-03-17,-2.0,-0.32,630.0,,23583,203,620.0,638.0,620.0
2026-03-16,-5.1,-0.8,632.0,,17732,167,639.0,639.0,630.0
2026-03-15,-1.9,-0.3,637.1,,26341,208,645.0,650.0,636.0
2026-03-12,-8.0,-1.24,639.0,,119637,546,652.0,657.0,614.5
2026-03-11,-13.0,-1.97,647.0,,78314,386,667.0,667.0,615.5
2026-03-10,0.0,0.0,660.0,,56694,453,673.2,686.2,652.0
2026-03-09,25.0,3.94,660.0,,150,6,647.0,660.0,647.0
2026-03-03,9.0,1.44,635.0,65.57,10407,144,627.0,635.0,622.3
2026-03-01,1.0,0.16,626.0,56.64,9111,159,612.5,626.0,612.5
2026-02-26,-21.0,-3.25,625.0,,34375,340,646.0,671.0,618.0
2026-02-25,54.33,9.18,646.0,,61139,675,603.0,650.7,603.0
2026-02-24,11.0,1.57,710.0,,135815,1067,712.8,727.0,703.0
2026-02-23,-0.9,-0.13,699.0,,94675,513,701.0,711.0,698.5
2026-02-22,-31.2,-4.27,699.9,,118791,874,716.5,716.5,689.0
2026-02-17,-81.2,-10.0,731.1,,86038,709,796.1,796.1,731.1
2026-02-16,-11.0,-1.34,812.3,58.51,7139,147,806.9,835.0,800.0
2026-02-12,-11.7,-1.4,823.3,53.53,6435,138,834.0,849.0,818.0
2026-02-11,-57.0,-6.39,835.0,,16377,227,900.0,900.0,811.0
2026-02-10,2.0,0.22,892.0,79.67,8940,150,907.2,907.2,875.0
2026-02-09,-41.7,-4.48,890.0,,36942,526,950.3,1024.8,861.0
2026-02-08,84.7,10.0,931.7,95.28,10231,171,863.9,931.7,863.9
2026-02-05,77.0,10.0,847.0,23.4,2768,39,785.4,847.0,785.4
2026-02-04,70.0,10.0,770.0,34.61,4498,65,714.0,770.0,714.0
2026-02-03,-10.0,-1.41,700.0,17.39,2485,33,723.8,723.8,696.3
2026-02-02,-10.0,-1.39,710.0,34.47,4845,49,720.0,724.5,695.0
2026-02-01,-27.9,-3.73,720.0,14.45,2000,36,733.0,733.0,719.4
2026-01-29,-5.1,-0.68,747.9,8.99,1215,17,753.0,765.0,731.0
2026-01-28,3.0,0.4,753.0,31.64,4219,59,754.9,758.0,738.0
2026-01-27,28.0,3.88,750.0,,13637,171,716.0,769.0,716.0
2026-01-26,-3.0,-0.41,722.0,19.89,2754,50,725.0,725.0,720.0
2026-01-25,-3.0,-0.41,725.0,24.05,3316,79,728.0,732.0,718.9
2026-01-22,0.0,0.0,728.0,9.62,1326,38,739.0,739.0,719.0
2026-01-21,-5.0,-0.68,728.0,15.48,2136,37,745.0,745.0,720.7
2026-01-20,3.0,0.41,733.0,20.32,2776,55,740.0,749.0,720.2
2026-01-18,14.0,1.96,730.0,,21157,55,730.0,770.0,702.0
2026-01-14,-6.0,-0.83,716.0,25.11,3485,69,712.0,731.8,712.0
2026-01-13,-3.0,-0.41,722.0,,21076,53,711.0,735.0,685.1
2026-01-12,-3.0,-0.41,725.0,19.61,2724,58,740.0,740.0,713.7
2026-01-08,2.9,0.4,728.0,24.13,3326,36,738.0,738.0,716.1
2026-01-07,15.1,2.13,725.1,50.01,6874,100,719.0,745.0,705.2
