DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.0,1.15,440.0,58.83,13395,137,431.2,445.0,431.1
2026-05-07,-2.5,-0.57,435.0,25.35,5839,87,443.0,443.9,431.0
2026-05-06,-1.5,-0.34,437.5,23.46,5343,94,435.0,444.0,435.0
2026-05-05,0.0,0.0,439.0,47.78,10936,117,435.0,440.0,430.0
2026-05-04,-15.0,-3.3,439.0,,29846,233,454.0,454.0,431.3
2026-04-30,-6.0,-1.3,454.0,,23274,190,460.0,471.4,447.2
2026-04-29,-7.0,-1.5,460.0,83.02,18014,159,465.0,467.0,459.0
2026-04-28,0.0,0.0,467.0,23.63,5063,125,465.0,474.9,465.0
2026-04-27,-1.0,-0.21,467.0,68.17,14566,165,468.0,475.0,464.0
2026-04-24,-1.8,-0.38,468.0,72.42,15506,139,470.0,472.0,460.2
2026-04-23,-6.2,-1.3,469.8,41.55,8869,112,476.0,476.0,466.5
2026-04-22,10.0,2.15,476.0,80.0,17113,160,464.0,477.9,460.0
2026-04-21,-4.0,-0.85,466.0,,23143,235,470.0,476.0,465.0
2026-04-20,-11.1,-2.31,470.0,,71050,338,476.1,482.0,468.2
2026-04-17,-7.6,-1.56,481.1,,22346,200,492.0,492.0,480.1
2026-04-16,-9.8,-1.97,488.7,,30600,205,498.0,498.0,482.4
2026-04-15,-0.9,-0.18,498.5,,30987,277,495.0,502.0,490.1
2026-04-13,-2.5,-0.5,499.4,,34014,259,511.9,511.9,495.1
2026-04-10,11.9,2.43,501.9,,91370,391,499.8,515.0,483.0
2026-04-09,9.0,1.87,490.0,,65344,330,490.6,496.5,479.4
2026-04-08,1.0,0.21,481.0,,35220,209,475.0,484.0,475.0
2026-04-07,-2.0,-0.41,480.0,,34298,224,490.9,490.9,472.6
2026-04-06,15.0,3.21,482.0,,46883,288,476.3,488.5,461.0
2026-04-05,-18.9,-3.89,467.0,,51595,360,481.0,487.0,465.0
2026-04-02,-2.3,-0.47,485.9,,27837,254,495.4,495.4,483.1
2026-04-01,-4.5,-0.91,488.2,,72143,345,492.7,502.5,485.0
2026-03-31,-0.5,-0.1,492.7,,172480,813,483.4,510.0,483.4
2026-03-30,2.2,0.45,493.2,,48911,339,491.0,515.0,483.5
2026-03-29,-12.0,-2.39,491.0,,33347,261,510.0,510.0,490.0
2026-03-26,-2.0,-0.4,503.0,,41334,275,496.1,506.0,496.1
2026-03-25,-3.1,-0.61,505.0,,39697,345,510.0,511.0,501.0
2026-03-24,24.1,4.98,508.1,,70356,513,486.0,512.0,486.0
2026-03-23,-5.0,-1.02,484.0,,38380,271,489.0,490.0,482.0
2026-03-22,-5.0,-1.01,489.0,,31599,355,484.7,499.0,484.7
2026-03-19,-4.5,-0.9,494.0,,50045,377,508.4,508.4,493.0
2026-03-17,5.5,1.12,498.5,,69986,330,488.0,502.8,478.4
2026-03-16,-1.0,-0.2,493.0,46.4,9482,104,503.0,503.0,486.1
2026-03-15,3.9,0.8,494.0,,26842,244,491.1,509.0,486.0
2026-03-12,-8.9,-1.78,490.1,,29778,236,495.1,504.0,489.1
2026-03-11,0.0,0.0,499.0,,26115,194,504.5,504.5,497.0
2026-03-10,6.0,1.22,499.0,,47135,372,502.8,512.8,484.1
2026-03-09,19.0,4.01,493.0,,20,2,483.4,493.0,483.4
2026-03-03,6.0,1.28,474.0,33.67,7138,100,467.0,476.0,467.0
2026-03-01,-7.0,-1.47,468.0,,23911,211,468.5,476.0,464.0
2026-02-26,5.0,1.06,475.0,16.01,3398,101,470.0,475.0,470.0
2026-02-25,-3.4,-0.72,470.0,56.63,12015,134,482.8,484.0,470.0
2026-02-24,-1.7,-0.36,473.4,57.85,12177,157,473.0,483.0,472.0
2026-02-23,-3.9,-0.81,475.1,,23623,141,472.0,510.0,472.0
2026-02-22,-6.1,-1.26,479.0,53.37,11095,147,482.0,485.1,478.5
2026-02-17,-4.9,-1.0,485.1,57.22,11732,116,486.1,493.0,485.1
2026-02-16,4.0,0.82,490.0,83.85,16871,203,481.0,502.0,481.0
2026-02-12,3.0,0.62,486.0,81.87,16816,175,481.1,499.0,481.1
2026-02-11,-7.0,-1.43,483.0,,24152,159,499.0,499.0,483.0
2026-02-10,-2.0,-0.41,490.0,99.64,20426,183,492.0,495.0,484.0
2026-02-09,-10.0,-1.99,492.0,80.3,16209,183,496.1,502.9,490.1
2026-02-08,-18.0,-3.46,502.0,,27555,263,520.0,529.0,498.1
2026-02-05,3.0,0.58,520.0,,25207,298,527.3,527.5,517.5
2026-02-04,20.0,4.02,517.0,,67002,598,502.0,530.0,498.0
2026-02-03,2.0,0.4,497.0,,25799,201,492.0,502.8,491.0
2026-02-02,-3.7,-0.74,495.0,24.57,4966,123,498.0,500.0,491.0
2026-02-01,5.1,1.03,498.7,90.53,18166,207,493.6,505.0,488.0
2026-01-29,-1.4,-0.28,493.6,,26928,284,492.2,508.0,492.2
2026-01-28,1.0,0.2,495.0,99.87,20209,180,487.2,500.0,487.2
2026-01-27,-6.0,-1.2,494.0,,23964,195,500.0,508.0,492.0
2026-01-26,-4.0,-0.79,500.0,87.27,17518,204,500.0,507.0,494.0
2026-01-25,7.0,1.41,504.0,,22128,287,504.0,505.8,490.3
2026-01-22,-3.0,-0.6,497.0,36.18,7308,129,509.9,509.9,492.1
2026-01-21,3.0,0.6,500.0,,34825,260,497.0,505.0,481.2
2026-01-20,5.0,1.02,497.0,87.98,17748,221,501.8,504.9,490.1
2026-01-18,-2.0,-0.4,492.0,43.97,8922,179,487.0,498.0,485.0
2026-01-14,6.6,1.35,494.0,54.56,11196,148,483.0,494.0,483.0
2026-01-13,3.4,0.7,487.4,32.23,6641,133,484.0,490.0,480.0
2026-01-12,-2.2,-0.45,484.0,51.83,10716,144,485.0,490.1,480.1
2026-01-08,-2.4,-0.49,486.2,47.59,9741,138,489.0,497.0,486.2
2026-01-07,-8.2,-1.65,488.6,38.84,7901,118,486.9,515.0,486.9
2026-01-06,1.8,0.36,496.8,26.57,5394,116,486.1,499.0,486.1
2026-01-05,7.0,1.43,495.0,80.2,16338,157,481.0,496.0,479.0
2026-01-04,-4.0,-0.81,488.0,19.14,3910,113,485.0,495.0,485.0
2026-01-01,-2.3,-0.47,492.0,54.19,11095,128,502.0,502.0,485.1
2025-12-31,-5.7,-1.14,494.3,49.24,9972,128,510.0,510.0,489.2
2025-12-29,0.4,0.08,500.0,40.97,8247,110,494.1,502.0,494.1
2025-12-28,9.9,2.02,499.6,55.71,11183,169,490.0,505.9,486.5
2025-12-24,4.7,0.97,489.7,21.53,4422,92,481.0,499.0,481.0
2025-12-23,-5.0,-1.02,485.0,66.85,13747,134,499.8,509.0,481.0
2025-12-22,-5.1,-1.03,490.0,32.5,6620,110,492.0,493.0,489.0
2025-12-21,-0.9,-0.18,495.1,29.53,5931,126,494.0,504.0,493.9
2025-12-18,-4.0,-0.8,496.0,58.52,11823,180,495.0,500.0,490.0
2025-12-17,-5.0,-0.99,500.0,34.23,6845,113,501.0,509.0,499.1
2025-12-16,3.0,0.6,505.0,16.05,3207,149,505.0,507.0,497.0
2025-12-15,7.0,1.41,502.0,24.45,4912,117,490.0,502.0,490.0
2025-12-14,-8.0,-1.59,495.0,49.63,10015,116,498.0,502.0,493.0
2025-12-11,-1.9,-0.38,503.0,39.14,7812,122,501.0,504.0,500.0
2025-12-10,-1.1,-0.22,504.9,26.87,5328,123,507.0,511.4,500.1
2025-12-09,2.9,0.58,506.0,27.44,5410,133,500.0,513.0,500.0
2025-12-08,-1.9,-0.38,503.1,44.69,8889,169,504.5,508.0,499.0
2025-12-07,-9.0,-1.75,505.0,20.11,3987,138,511.4,513.8,498.0
2025-12-03,-6.0,-1.15,514.0,54.98,10706,122,510.0,519.5,510.0
2025-12-02,0.0,0.0,520.0,20.5,3955,119,510.1,524.0,510.1
2025-12-01,0.0,0.0,520.0,50.0,9685,112,510.6,520.0,510.3
2025-11-30,-9.2,-1.74,520.0,34.11,6518,142,535.0,539.0,513.1
2025-11-27,10.6,2.04,529.2,,23886,257,514.0,529.2,514.0
2025-11-26,3.6,0.7,518.6,84.35,16444,176,510.0,518.6,505.2
2025-11-25,-3.0,-0.58,515.0,56.41,11037,153,528.3,528.3,508.2
2025-11-24,6.0,1.17,518.0,89.15,17283,178,520.0,520.0,508.1
2025-11-23,-1.9,-0.37,512.0,,22964,265,524.1,534.5,510.0
2025-11-20,5.9,1.16,513.9,91.12,17785,227,508.0,518.0,506.0
2025-11-19,-4.9,-0.96,508.0,35.96,7119,114,518.0,518.0,501.3
2025-11-18,22.9,4.67,512.9,96.88,19038,248,490.3,519.9,490.3
2025-11-17,0.0,0.0,490.0,33.18,6748,71,487.0,496.0,487.0
2025-11-16,-8.9,-1.78,490.0,35.65,7271,113,492.5,500.0,486.3
2025-11-13,-1.1,-0.22,498.9,19.72,3971,87,500.0,502.0,490.2
2025-11-12,0.0,0.0,500.0,17.72,3565,71,500.0,500.0,495.0
2025-11-11,10.1,2.06,500.0,26.76,5398,79,490.0,501.0,489.0
2025-11-10,-1.9,-0.39,489.9,87.31,17815,136,490.0,499.8,485.0
2025-11-09,3.7,0.76,491.8,42.02,8541,113,495.0,498.0,488.0
2025-11-06,-14.9,-2.96,488.1,81.47,16533,130,500.0,507.0,485.1
2025-11-05,4.0,0.8,503.0,45.97,9203,104,494.0,505.0,494.0
2025-11-04,-4.8,-0.95,499.0,80.07,15964,128,505.0,513.0,498.5
2025-11-03,-15.2,-2.93,503.8,58.48,11423,140,510.1,520.0,503.8
2025-11-02,-2.0,-0.38,519.0,68.69,13250,156,512.1,527.0,512.0
