DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.0,0.0,840.0,11.37,1360,34,835.0,847.0,830.0
2026-05-07,3.2,0.38,840.0,3.23,388,20,829.1,843.0,829.0
2026-05-06,-1.2,-0.14,836.8,15.84,1904,36,849.0,849.0,825.0
2026-05-05,9.0,1.09,838.0,16.5,1976,34,846.0,846.0,825.0
2026-05-04,-15.9,-1.88,829.0,19.37,2336,63,869.0,869.0,825.5
2026-04-30,6.9,0.82,844.9,5.61,674,35,838.0,848.9,825.4
2026-04-29,-8.3,-0.98,838.0,28.49,3412,69,846.3,859.0,821.1
2026-04-28,-0.8,-0.09,846.3,27.22,3205,65,847.1,892.0,846.0
2026-04-27,-5.9,-0.69,847.1,21.64,2547,71,853.0,862.0,840.0
2026-04-24,-2.0,-0.23,853.0,23.65,2807,52,871.0,871.0,833.7
2026-04-23,-10.0,-1.16,855.0,3.77,441,25,887.0,887.0,847.5
2026-04-22,-7.0,-0.8,865.0,31.11,3662,72,846.0,883.0,821.0
2026-04-21,-11.0,-1.25,872.0,9.48,1095,35,899.0,899.0,858.0
2026-04-20,8.0,0.91,883.0,15.26,1780,53,850.3,900.0,850.3
2026-04-17,5.0,0.57,875.0,11.78,1361,42,855.0,882.0,855.0
2026-04-16,-1.0,-0.11,870.0,22.2,2559,65,885.0,885.0,863.0
2026-04-15,11.0,1.28,871.0,14.18,1621,58,876.0,889.0,870.0
2026-04-13,-18.9,-2.15,860.0,32.41,3757,50,870.1,875.0,855.0
2026-04-10,-0.1,-0.01,878.9,27.29,3127,40,893.0,893.0,865.0
2026-04-09,5.2,0.6,879.0,25.98,2971,67,889.0,889.0,860.0
2026-04-08,13.8,1.6,873.8,39.96,4601,78,874.0,877.2,862.0
2026-04-07,-4.0,-0.46,860.0,15.74,1825,48,880.0,880.0,855.1
2026-04-06,24.0,2.86,864.0,55.38,6501,117,856.8,872.0,838.0
2026-04-05,-31.9,-3.66,840.0,83.97,9840,160,889.0,889.0,840.0
2026-04-02,8.6,1.0,871.9,23.68,2728,80,860.0,878.0,856.0
2026-04-01,-26.7,-3.0,863.3,74.51,8570,106,873.0,900.0,861.3
2026-03-31,5.0,0.56,890.0,70.65,8089,97,885.0,896.0,857.5
2026-03-30,-13.0,-1.45,885.0,47.92,5403,77,881.1,895.0,881.1
2026-03-29,-15.0,-1.64,898.0,83.28,9224,85,931.2,931.2,898.0
2026-03-26,8.0,0.88,913.0,47.62,5238,61,891.1,915.0,891.1
2026-03-25,-27.0,-2.9,905.0,,16471,162,921.1,925.6,902.6
2026-03-24,-3.0,-0.32,932.0,74.04,7974,106,935.0,937.0,923.0
2026-03-23,-4.0,-0.43,935.0,85.65,9163,154,949.0,949.0,925.0
2026-03-22,39.0,4.33,939.0,,35213,374,908.0,940.0,907.0
2026-03-19,8.6,0.96,900.0,92.47,10331,138,894.9,904.0,885.0
2026-03-17,8.4,0.95,891.4,51.02,5817,73,876.0,891.4,871.0
2026-03-16,-16.9,-1.88,883.0,47.01,5290,56,882.0,900.0,882.0
2026-03-15,9.9,1.11,899.9,55.13,6162,73,877.1,902.0,877.1
2026-03-12,4.0,0.45,890.0,65.63,7352,94,894.7,899.1,887.0
2026-03-11,-17.0,-1.88,886.0,49.01,5476,67,885.0,912.0,885.0
2026-03-10,-7.3,-0.8,903.0,57.26,6327,120,928.0,928.0,893.3
2026-03-09,35.3,4.03,910.3,,20,2,892.5,910.3,892.5
2026-03-03,3.1,0.36,875.0,31.66,3610,49,881.9,882.9,873.0
2026-03-01,-2.1,-0.24,871.9,21.04,2434,55,857.0,872.0,856.0
2026-02-26,-1.0,-0.11,874.0,9.77,1125,34,861.8,875.9,861.8
2026-02-25,8.1,0.93,875.0,21.9,2541,61,861.2,875.0,860.0
2026-02-24,4.6,0.53,866.9,14.42,1671,25,855.3,872.0,855.3
2026-02-23,-1.4,-0.16,862.3,32.86,3816,68,861.0,868.0,860.0
2026-02-22,3.7,0.43,863.7,33.07,3858,75,857.0,866.9,852.0
2026-02-17,-7.0,-0.81,860.0,62.02,7195,98,860.5,872.0,858.0
2026-02-16,-3.0,-0.34,867.0,17.93,2071,62,866.0,870.0,861.1
2026-02-12,0.0,0.0,870.0,30.62,3505,81,879.9,882.0,863.1
2026-02-11,5.0,0.58,870.0,26.45,3017,68,882.3,899.9,862.4
2026-02-10,-9.5,-1.09,865.0,17.1,1961,65,878.6,890.0,865.0
2026-02-09,-5.5,-0.62,874.5,9.58,1093,34,876.0,881.0,873.0
2026-02-08,3.0,0.34,880.0,31.35,3554,79,885.0,890.0,878.0
2026-02-05,-3.0,-0.34,877.0,23.62,2683,58,886.9,886.9,876.5
2026-02-04,-5.0,-0.56,880.0,19.25,2189,68,877.1,888.0,875.1
2026-02-03,-1.0,-0.11,885.0,28.91,3274,52,885.2,889.0,880.0
2026-02-02,-4.9,-0.55,886.0,27.27,3074,65,889.9,895.0,885.3
2026-02-01,5.9,0.67,890.9,38.54,4345,64,880.0,890.9,880.0
2026-01-29,-9.1,-1.02,885.0,91.47,10281,124,890.0,904.7,877.3
2026-01-28,-4.9,-0.55,894.1,34.32,3816,78,882.1,915.0,882.1
2026-01-27,-23.0,-2.49,899.0,,15773,192,922.0,930.0,892.1
2026-01-26,15.0,1.65,922.0,,13169,171,906.1,922.0,901.0
2026-01-25,15.1,1.69,907.0,84.44,9357,121,904.0,907.0,889.0
2026-01-22,0.9,0.1,891.9,52.96,5986,82,896.0,896.0,881.2
2026-01-21,-8.8,-0.98,891.0,25.25,2834,61,910.9,910.9,885.2
2026-01-20,19.5,2.22,899.8,47.16,5254,91,870.0,905.1,870.0
2026-01-18,13.3,1.53,880.3,60.31,6824,112,876.0,890.0,870.0
2026-01-14,-6.0,-0.69,867.0,,20054,195,862.2,870.0,850.0
2026-01-13,-5.0,-0.57,873.0,53.61,6188,93,870.0,883.8,852.1
2026-01-12,-1.0,-0.11,878.0,52.8,6057,82,872.0,885.0,868.0
2026-01-08,-3.0,-0.34,879.0,20.05,2291,51,898.9,898.9,865.0
2026-01-07,-1.2,-0.14,882.0,62.8,7131,96,870.0,895.0,870.0
2026-01-06,7.2,0.82,883.2,46.27,5239,83,892.9,905.0,866.0
2026-01-05,7.0,0.81,876.0,58.14,6680,98,865.0,879.8,865.0
2026-01-04,-15.0,-1.7,869.0,47.13,5415,93,880.0,880.0,868.2
2026-01-01,-5.0,-0.56,884.0,17.11,1953,53,874.0,885.0,874.0
2025-12-31,-0.5,-0.06,889.0,22.71,2562,55,887.0,895.0,875.0
2025-12-29,-4.5,-0.5,889.5,36.44,4138,76,883.1,889.5,877.0
2025-12-28,20.9,2.39,894.0,45.56,5156,63,890.0,899.0,878.0
2025-12-24,-13.9,-1.57,873.1,24.42,2787,68,887.0,894.9,871.4
2025-12-23,7.0,0.8,887.0,25.9,2953,56,871.0,887.0,870.1
2025-12-22,-15.0,-1.68,880.0,19.3,2190,51,878.0,883.0,878.0
2025-12-21,-2.9,-0.32,895.0,23.49,2645,65,891.0,896.9,882.1
2025-12-18,5.9,0.66,897.9,21.28,2392,49,883.5,900.0,883.5
2025-12-17,-13.0,-1.44,892.0,32.67,3632,62,915.0,915.0,890.6
2025-12-16,7.1,0.79,905.0,16.92,1886,55,895.0,906.6,892.5
2025-12-15,-1.9,-0.21,897.9,17.79,2003,70,906.0,906.0,882.0
2025-12-14,-10.0,-1.1,899.8,27.37,3051,64,901.1,910.0,888.2
2025-12-11,-4.2,-0.46,909.8,35.9,3963,65,900.0,915.0,900.0
2025-12-10,0.0,0.0,914.0,41.75,4620,86,895.8,939.0,895.8
2025-12-09,-10.8,-1.17,914.0,27.61,3016,72,909.0,925.8,902.1
2025-12-08,-12.2,-1.3,924.8,,11300,145,918.3,932.0,914.0
2025-12-07,-4.0,-0.43,937.0,,17202,180,923.0,944.9,919.0
2025-12-03,11.0,1.18,941.0,,11964,169,911.4,950.0,911.4
2025-12-02,10.0,1.09,930.0,91.93,9910,140,901.6,942.0,901.6
2025-12-01,5.0,0.55,920.0,,12400,132,903.1,922.9,903.0
2025-11-30,-8.0,-0.87,915.0,,15426,143,923.0,928.2,905.0
2025-11-27,4.0,0.44,923.0,,13661,94,900.7,934.8,900.7
2025-11-26,2.0,0.22,919.0,,11254,116,917.0,925.9,907.1
2025-11-25,-1.0,-0.11,917.0,69.0,7578,114,929.9,929.9,903.1
2025-11-24,17.1,1.9,918.0,,11525,97,886.9,935.2,886.9
2025-11-23,15.9,1.8,900.9,61.77,6888,91,900.0,907.0,882.0
2025-11-20,-4.9,-0.55,885.0,9.98,1134,46,873.4,889.5,873.1
2025-11-19,-0.1,-0.01,889.9,25.53,2895,47,872.2,924.0,872.2
2025-11-18,14.0,1.6,890.0,26.83,3011,61,864.0,929.0,864.0
2025-11-17,-15.0,-1.68,876.0,29.81,3397,56,873.2,890.0,873.0
2025-11-16,8.0,0.91,891.0,32.05,3608,47,899.9,900.0,871.0
2025-11-13,-21.0,-2.32,883.0,26.78,3041,62,886.0,900.0,875.0
2025-11-12,-18.0,-1.95,904.0,39.73,4491,91,906.0,906.0,877.1
2025-11-11,27.0,3.02,922.0,34.42,3825,70,880.0,924.0,880.0
2025-11-10,2.0,0.22,895.0,84.02,9588,128,876.0,903.0,858.0
2025-11-09,-50.2,-5.32,893.0,,35124,235,943.2,943.2,869.3
2025-11-06,-104.8,-10.0,943.2,,36628,327,1027.1,1027.1,943.2
2025-11-05,58.0,5.86,1048.0,,28451,251,970.2,1064.0,913.2
2025-11-04,52.0,5.54,990.0,,16310,199,919.3,993.0,906.0
2025-11-03,19.3,2.1,938.0,89.04,9651,127,900.4,963.0,900.4
2025-11-02,1.7,0.19,918.7,28.05,3075,55,910.0,920.0,907.0
2025-10-30,22.2,2.48,917.0,46.36,5184,78,877.0,917.0,870.0
2025-10-29,7.8,0.88,894.8,30.72,3462,66,900.0,900.0,878.1
2025-10-28,22.0,2.54,887.0,23.78,2695,49,860.0,900.0,860.0
2025-10-26,-3.0,-0.35,865.0,17.56,2075,42,850.8,872.0,840.0
2025-10-19,1.1,0.13,868.0,8.67,1014,27,853.1,868.0,852.0
2025-10-16,1.9,0.22,866.9,13.83,1616,43,865.0,875.0,850.5
2025-10-15,-12.9,-1.47,865.0,23.52,2736,61,861.1,870.0,851.0
2025-10-14,-10.1,-1.14,877.9,39.66,4569,50,871.0,896.0,860.0
2025-10-13,13.0,1.49,888.0,40.82,4699,90,890.0,890.0,852.0
2025-10-12,-27.0,-2.99,875.0,42.69,4878,88,886.0,886.0,870.0
2025-10-09,12.0,1.35,902.0,16.16,1782,52,907.8,960.0,896.1
2025-10-08,-15.0,-1.66,890.0,55.3,6246,95,888.0,921.0,872.0
2025-10-07,-23.0,-2.48,905.0,56.75,6266,64,923.0,923.0,894.8
2025-09-28,-6.0,-0.64,928.0,36.74,3961,61,932.0,939.0,918.1
2025-09-25,15.3,1.67,934.0,75.18,8128,72,905.0,948.0,905.0
