DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,9.1,1.28,719.0,,168353,2136,707.0,720.0,705.0
2026-05-07,-1.1,-0.15,709.9,,121069,2237,744.0,744.0,695.2
2026-05-06,-7.5,-1.04,711.0,,305806,2915,718.5,736.0,705.0
2026-05-05,50.5,7.56,718.5,,336179,4004,668.0,726.0,660.0
2026-05-04,-42.0,-5.92,668.0,,129243,2726,710.0,720.0,661.1
2026-04-30,-31.0,-4.18,710.0,,194162,3450,741.0,741.0,691.0
2026-04-29,-19.0,-2.5,741.0,,241567,4813,798.0,798.0,722.0
2026-04-28,-39.0,-4.88,760.0,,363152,6192,799.0,807.9,754.0
2026-04-27,-15.9,-1.95,799.0,,295122,6938,815.0,825.0,796.0
2026-04-24,19.9,2.5,814.9,,294511,6429,795.0,820.9,777.0
2026-04-23,0.0,0.0,795.0,,324344,7987,795.0,825.0,776.0
2026-04-22,-5.0,-0.62,795.0,,405236,8664,800.0,816.7,762.6
2026-04-21,-49.0,-5.77,800.0,,448273,8418,849.0,860.0,792.1
2026-04-20,2.0,0.24,849.0,,350008,9566,850.0,875.5,825.1
2026-04-17,36.8,4.54,847.0,,455168,12525,809.5,852.0,790.0
2026-04-16,-6.8,-0.83,810.2,,403251,12900,817.0,820.0,785.0
2026-04-15,64.9,8.63,817.0,,517281,17358,750.0,827.0,750.0
2026-04-13,-16.9,-2.2,752.1,,384582,13919,770.0,787.0,735.0
2026-04-10,16.4,2.18,769.0,,469480,15180,767.6,800.0,765.0
2026-04-09,68.4,10.0,752.6,,384690,12135,697.8,752.6,685.0
2026-04-08,62.2,10.0,684.2,,250400,10115,625.0,684.2,618.1
2026-04-07,0.0,0.0,622.0,,77730,4868,622.0,634.1,609.6
2026-04-06,18.1,3.0,622.0,,125001,6534,603.9,627.0,592.0
2026-04-05,-56.6,-8.57,603.9,,187035,8848,660.5,660.5,600.5
2026-04-02,-5.5,-0.83,660.5,,117989,7119,656.0,687.0,640.1
2026-04-01,-25.1,-3.63,666.0,,130296,7523,700.0,700.0,655.7
2026-03-31,16.1,2.39,691.1,,279142,24591,675.0,716.0,629.0
2026-03-30,-57.0,-7.79,675.0,,404031,37436,745.0,745.0,665.0
2026-03-29,24.9,3.52,732.0,,661803,59382,721.2,777.8,652.0
2026-03-26,64.2,9.99,707.1,,236950,22362,655.7,707.1,655.7
2026-03-25,58.4,9.99,642.9,,22360,2141,596.1,642.9,596.1
2026-03-24,53.1,9.99,584.5,56.01,9590,902,542.0,584.5,542.0
2026-03-23,48.3,10.0,531.4,54.07,10180,980,492.7,531.4,492.7
2026-03-22,43.9,10.0,483.1,17.8,3690,343,447.0,483.1,447.0
2026-03-19,39.9,9.99,439.2,8.1,1850,173,405.5,439.2,405.5
2026-03-17,36.3,10.0,399.3,3.34,840,83,367.7,399.3,367.7
2026-03-16,33.0,10.0,363.0,2.85,790,76,336.6,363.0,336.6
2026-03-15,30.0,10.0,330.0,2.78,860,83,300.0,330.0,300.0
