DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.1,0.95,437.1,68.24,15685,246,433.0,440.0,430.0
2026-05-07,3.0,0.7,433.0,40.35,9357,178,426.3,433.9,426.3
2026-05-06,-1.5,-0.35,430.0,43.15,10015,211,431.0,434.7,426.8
2026-05-05,4.5,1.05,431.5,76.53,17810,284,422.0,435.0,421.0
2026-05-04,-6.0,-1.39,427.0,65.02,15227,290,430.0,433.0,425.5
2026-04-30,0.0,0.0,433.0,,40142,369,431.1,436.9,424.0
2026-04-29,-4.0,-0.92,433.0,69.66,16103,249,434.0,436.0,431.2
2026-04-28,-5.1,-1.15,437.0,,42099,343,442.1,448.0,435.0
2026-04-27,2.1,0.48,442.1,,23581,349,440.0,449.0,437.1
2026-04-24,0.0,0.0,440.0,,29014,292,427.0,440.0,427.0
2026-04-23,-7.9,-1.76,440.0,,32964,307,449.0,449.0,437.0
2026-04-22,1.9,0.43,447.9,,43491,429,442.4,454.0,436.0
2026-04-21,-8.0,-1.76,446.0,,35544,421,448.0,460.0,445.0
2026-04-20,-7.9,-1.71,454.0,,23636,362,484.9,484.9,450.0
2026-04-17,0.9,0.2,461.9,,50734,419,455.0,463.5,450.1
2026-04-16,-10.9,-2.31,461.0,,89730,474,472.0,472.0,457.1
2026-04-15,14.9,3.26,471.9,,134381,983,466.0,478.0,458.1
2026-04-13,-3.3,-0.72,457.0,,69791,466,451.5,465.3,451.1
2026-04-10,0.3,0.07,460.3,,110798,502,460.0,464.0,452.3
2026-04-09,1.0,0.22,460.0,,71280,531,459.0,467.0,452.1
2026-04-08,23.8,5.47,459.0,,57550,513,435.0,465.0,435.0
2026-04-07,-7.0,-1.58,435.2,,46921,430,448.0,450.0,435.0
2026-04-06,16.7,3.92,442.2,,75849,543,422.0,448.0,422.0
2026-04-05,-16.5,-3.73,425.5,,138532,702,436.2,444.0,423.6
2026-04-02,-5.0,-1.12,442.0,,78530,528,440.2,454.5,438.2
2026-04-01,-15.0,-3.25,447.0,,123219,659,460.0,461.8,444.1
2026-03-31,10.0,2.21,462.0,,82118,698,448.0,465.0,448.0
2026-03-30,-14.0,-3.0,452.0,,124768,707,460.0,473.0,447.0
2026-03-29,-18.4,-3.8,466.0,,158650,891,490.0,490.0,463.1
2026-03-26,2.4,0.5,484.4,,134416,894,482.0,487.5,473.5
2026-03-25,-16.0,-3.21,482.0,,145267,924,498.0,498.0,481.0
2026-03-24,-4.4,-0.88,498.0,,142793,893,510.0,510.0,491.9
2026-03-23,8.5,1.72,502.4,,246213,1671,496.0,506.7,485.3
2026-03-22,20.0,4.22,493.9,,351739,2033,483.3,501.5,475.6
2026-03-19,17.9,3.93,473.9,,147325,1168,465.1,475.0,456.0
