DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.5,1.29,512.0,4.47,875,21,516.0,516.0,502.1
2026-05-07,1.5,0.3,505.5,9.81,1933,17,519.1,519.1,504.0
2026-05-06,0.0,0.0,504.0,11.95,2389,22,519.0,519.0,498.1
2026-05-05,-5.0,-0.98,504.0,25.26,5022,42,500.1,515.0,500.0
2026-05-04,-7.5,-1.45,509.0,8.89,1744,26,510.0,515.9,509.0
2026-04-30,1.5,0.29,516.5,6.24,1217,24,503.1,517.0,503.1
2026-04-29,-8.0,-1.53,515.0,11.59,2254,27,497.4,519.9,497.4
2026-04-28,3.0,0.58,523.0,14.21,2750,35,520.0,523.0,515.0
2026-04-27,-7.0,-1.33,520.0,20.32,3928,54,527.0,530.0,514.0
2026-04-24,-0.9,-0.17,527.0,2.59,500,21,527.9,527.0,513.7
2026-04-23,3.9,0.74,527.9,11.19,2160,31,517.5,529.0,517.4
2026-04-22,1.7,0.33,524.0,21.31,4054,44,537.0,537.0,517.3
2026-04-21,-7.7,-1.45,522.3,27.22,5180,45,540.0,543.6,521.0
2026-04-20,-9.5,-1.76,530.0,9.59,1810,23,526.0,533.0,526.0
2026-04-17,8.5,1.6,539.5,25.37,4825,57,525.0,541.0,520.0
2026-04-16,-6.5,-1.21,531.0,9.19,1731,32,529.0,547.0,529.0
2026-04-15,3.5,0.66,537.5,32.17,5953,50,544.6,547.0,536.1
2026-04-13,-4.5,-0.84,534.0,38.88,7198,76,528.1,551.9,528.1
2026-04-10,-6.5,-1.19,538.5,24.49,4579,43,535.0,539.0,530.0
2026-04-09,6.0,1.11,545.0,27.8,5161,56,548.9,548.9,530.0
2026-04-08,21.0,4.05,539.0,39.59,7540,53,510.1,539.0,510.1
2026-04-07,-7.0,-1.33,518.0,34.09,6483,58,517.0,535.5,517.0
2026-04-06,15.0,2.94,525.0,44.49,8487,86,505.0,535.5,500.0
2026-04-05,-32.0,-5.9,510.0,42.67,8221,72,533.0,533.0,508.0
2026-04-02,-1.9,-0.35,542.0,32.5,6051,55,534.1,543.8,524.0
2026-04-01,-10.2,-1.84,543.9,41.58,7687,64,550.0,550.0,535.0
2026-03-31,4.1,0.75,554.1,28.79,5238,63,561.0,561.0,544.5
2026-03-30,-3.0,-0.54,550.0,56.6,10203,92,547.0,562.0,545.0
2026-03-29,-15.0,-2.64,553.0,80.96,14449,112,568.0,573.0,550.0
2026-03-26,1.6,0.28,568.0,46.86,8256,57,566.4,573.0,566.1
2026-03-25,-9.5,-1.65,566.4,48.76,8538,89,575.0,581.9,566.4
2026-03-24,4.0,0.7,575.9,76.92,13378,92,560.5,580.0,560.5
2026-03-23,1.9,0.33,571.9,54.32,9540,102,568.2,578.0,565.1
2026-03-22,-10.0,-1.72,570.0,,20740,161,590.0,590.0,564.0
2026-03-19,0.2,0.03,580.0,,32734,194,585.0,602.9,575.0
2026-03-17,9.9,1.74,579.8,,17865,131,575.0,586.5,564.0
2026-03-16,3.6,0.64,569.9,60.63,10686,100,560.2,575.0,560.2
2026-03-15,-5.6,-0.98,566.3,50.17,8812,99,564.5,575.5,564.5
2026-03-12,2.9,0.51,571.9,84.21,14879,95,573.9,574.0,560.0
2026-03-11,5.5,0.98,569.0,76.42,13384,119,573.0,575.0,565.0
2026-03-10,2.5,0.45,563.5,,33932,250,572.2,583.6,560.0
2026-03-09,11.0,2.0,561.0,,10,1,561.0,561.0,561.0
2026-03-03,10.0,1.85,550.0,35.66,6488,69,537.0,552.9,537.0
2026-03-01,5.5,1.03,540.0,31.22,5792,54,534.0,542.0,532.0
2026-02-26,-0.5,-0.09,534.5,26.92,5040,51,540.0,540.0,532.0
2026-02-25,-1.0,-0.19,535.0,22.46,4206,39,531.1,540.5,531.0
2026-02-24,2.2,0.41,536.0,11.14,2086,45,535.0,536.4,531.0
2026-02-23,3.7,0.7,533.8,18.0,3383,44,540.0,540.0,525.0
2026-02-22,-11.9,-2.2,530.1,39.75,7460,71,538.0,538.0,530.0
2026-02-17,-13.0,-2.34,542.0,73.44,13470,131,549.0,558.5,524.0
2026-02-16,0.0,0.0,555.0,79.87,14410,91,566.0,566.0,548.8
2026-02-12,-9.0,-1.6,555.0,,23900,141,555.0,573.4,550.0
2026-02-11,-1.0,-0.18,564.0,38.04,6733,72,570.0,572.0,562.0
2026-02-10,-9.3,-1.62,565.0,58.72,10317,74,583.0,584.0,563.0
2026-02-09,-4.6,-0.79,574.3,42.37,7350,67,572.5,583.4,572.0
2026-02-08,-8.1,-1.38,578.9,35.14,6010,80,597.7,598.0,578.0
2026-02-05,2.0,0.34,587.0,94.77,16161,130,596.7,596.7,582.0
2026-02-04,5.1,0.88,585.0,80.43,13734,124,580.0,595.0,579.0
2026-02-03,3.8,0.66,579.9,,17860,98,577.0,596.3,572.0
2026-02-02,-3.9,-0.67,576.1,62.36,10765,79,580.0,590.0,574.4
2026-02-01,-20.1,-3.35,580.0,,18568,170,589.0,600.0,576.5
2026-01-29,-17.9,-2.9,600.1,,44646,303,630.0,630.3,599.0
2026-01-28,41.0,7.11,618.0,,45668,314,566.0,619.0,566.0
2026-01-27,2.0,0.35,577.0,,24854,160,580.0,591.0,565.0
2026-01-26,-6.0,-1.03,575.0,,18157,127,579.0,586.0,572.0
2026-01-25,7.0,1.22,581.0,,23193,164,580.0,587.9,571.2
2026-01-22,5.3,0.93,574.0,89.59,15772,116,563.0,578.0,563.0
2026-01-21,-6.3,-1.1,568.7,54.93,9615,75,570.0,581.0,567.1
2026-01-20,6.0,1.05,575.0,85.77,14959,132,580.0,580.0,569.0
2026-01-18,-4.0,-0.7,569.0,55.0,9666,103,570.0,581.0,565.0
2026-01-14,-5.3,-0.92,573.0,83.73,14740,113,575.0,578.0,561.0
2026-01-13,-0.7,-0.12,578.3,74.16,12893,83,579.0,588.8,566.9
2026-01-12,-15.5,-2.61,579.0,,22560,148,595.0,595.0,575.0
2026-01-08,4.5,0.76,594.5,,24382,161,594.5,596.0,585.6
2026-01-07,15.1,2.63,590.0,,50938,301,575.0,603.9,575.0
2026-01-06,9.9,1.75,574.9,,34598,200,570.0,585.0,568.0
2026-01-05,7.0,1.25,565.0,,25154,162,567.0,569.0,547.5
2026-01-04,15.0,2.76,558.0,69.48,12698,94,542.5,558.0,540.1
2026-01-01,-17.0,-3.04,543.0,,22865,160,569.9,569.9,540.7
2025-12-31,-6.9,-1.22,560.0,,23235,150,558.0,575.0,553.0
2025-12-29,-13.1,-2.26,566.9,,23705,133,575.0,585.0,563.0
2025-12-28,14.0,2.47,580.0,,46843,230,567.0,585.0,551.0
2025-12-24,-11.5,-1.99,566.0,70.61,12359,113,580.0,588.0,565.0
2025-12-23,32.5,5.96,577.5,,69151,342,542.0,579.0,542.0
2025-12-22,0.0,0.0,545.0,,22470,105,555.9,555.9,542.0
2025-12-21,-5.0,-0.91,545.0,49.57,9069,66,561.0,561.0,540.0
2025-12-18,-5.0,-0.9,550.0,,18647,132,560.0,564.6,550.0
