DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,0.43,700.0,18.66,2660,26,700.0,705.0,696.1
2026-05-07,1.0,0.14,697.0,19.72,2832,28,696.0,700.0,680.0
2026-05-06,-7.0,-1.0,696.0,4.37,626,12,684.0,704.4,684.0
2026-05-05,9.0,1.3,703.0,17.51,2493,28,686.1,709.9,686.1
2026-05-04,-16.0,-2.25,694.0,31.18,4440,40,702.1,712.0,693.2
2026-04-30,-9.0,-1.25,710.0,8.98,1272,30,700.1,719.0,700.1
2026-04-29,-5.0,-0.69,719.0,6.13,856,13,710.0,722.9,710.0
2026-04-28,-10.0,-1.36,724.0,11.84,1641,31,730.0,733.0,717.0
2026-04-27,23.8,3.35,734.0,91.04,12449,104,710.2,746.7,705.2
2026-04-24,-10.8,-1.5,710.2,31.9,4458,58,685.0,739.0,685.0
2026-04-23,10.0,1.41,721.0,55.57,7681,98,710.0,740.0,705.1
2026-04-22,-6.0,-0.84,711.0,27.33,3879,55,717.0,717.0,700.0
2026-04-21,-4.0,-0.55,717.0,27.73,3900,42,712.0,721.0,704.0
2026-04-20,-8.0,-1.1,721.0,14.33,1988,33,711.0,731.0,711.0
2026-04-17,6.0,0.83,729.0,38.45,5359,59,709.2,729.0,709.2
2026-04-16,-16.0,-2.17,723.0,26.41,3665,49,750.0,750.0,711.6
2026-04-15,14.0,1.93,739.0,34.86,4780,48,725.0,749.0,721.1
2026-04-13,0.1,0.01,725.0,28.59,3950,62,711.0,745.4,711.0
2026-04-10,-2.0,-0.28,724.9,22.14,3075,58,719.0,728.1,715.0
2026-04-09,3.5,0.48,726.9,33.18,4578,52,715.0,730.0,715.0
2026-04-08,17.5,2.48,723.4,63.57,8954,64,710.0,723.4,700.3
2026-04-07,0.9,0.13,705.9,37.09,5188,60,717.0,722.9,700.0
2026-04-06,34.6,5.16,705.0,76.39,10931,90,680.0,711.0,680.0
2026-04-05,-55.6,-7.66,670.4,65.63,9565,128,716.1,717.0,670.4
2026-04-02,3.0,0.41,726.0,54.05,7507,91,719.0,733.0,714.0
2026-04-01,-25.0,-3.34,723.0,,14123,143,740.2,751.8,720.0
2026-03-31,-4.0,-0.53,748.0,80.19,10796,121,767.0,767.0,737.0
2026-03-30,-14.0,-1.83,752.0,90.57,11949,123,760.0,772.9,746.0
2026-03-29,-39.0,-4.84,766.0,,31111,294,805.0,805.0,757.0
2026-03-26,44.1,5.8,805.0,,21752,160,750.0,805.0,747.1
2026-03-25,3.9,0.52,760.9,,22959,122,753.0,765.0,745.9
2026-03-24,1.0,0.13,757.0,93.59,12381,116,743.0,770.0,743.0
2026-03-23,-4.0,-0.53,756.0,89.15,11849,115,757.3,763.8,748.0
2026-03-22,6.0,0.8,760.0,,15749,141,758.0,769.0,755.0
2026-03-19,9.0,1.21,754.0,,39953,259,732.0,773.0,732.0
2026-03-17,-7.9,-1.05,745.0,,16031,127,750.0,764.6,737.0
2026-03-16,16.9,2.3,752.9,,18162,134,737.1,754.0,737.1
2026-03-15,-10.1,-1.35,736.0,71.95,9733,121,741.0,750.0,735.0
2026-03-12,-2.9,-0.39,746.1,75.92,10173,102,736.2,750.0,736.2
2026-03-11,4.0,0.54,749.0,69.77,9305,102,731.8,775.0,731.8
2026-03-10,-33.0,-4.24,745.0,,34131,225,779.0,779.0,736.7
2026-03-09,70.4,9.95,778.0,,50,5,721.0,778.0,721.0
2026-03-03,-18.4,-2.53,707.6,68.07,9449,96,726.0,753.0,707.6
2026-03-01,-6.0,-0.82,726.0,11.74,1615,28,718.1,739.0,705.1
