DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.0,1.55,393.0,51.18,13165,223,385.0,395.0,385.0
2026-05-07,-1.0,-0.26,387.0,54.17,14020,151,385.1,390.0,385.1
2026-05-06,0.0,0.0,388.0,85.21,22044,151,386.2,391.0,384.0
2026-05-05,0.0,0.0,388.0,67.12,17308,195,388.0,392.0,385.3
2026-05-04,-2.0,-0.51,388.0,33.4,8627,216,386.1,390.0,385.0
2026-04-30,-1.0,-0.26,390.0,40.23,10369,160,385.3,393.7,385.3
2026-04-29,-3.0,-0.76,391.0,31.66,8117,172,387.1,392.0,387.1
2026-04-28,-1.0,-0.25,394.0,35.49,9012,228,395.0,399.9,391.5
2026-04-27,4.5,1.15,395.0,55.65,14107,283,390.0,400.0,390.0
2026-04-24,-2.5,-0.64,390.5,66.02,16950,172,390.0,392.0,387.0
2026-04-23,-3.0,-0.76,393.0,59.45,15147,196,392.0,395.0,391.2
2026-04-22,-0.3,-0.08,396.0,65.51,16690,222,391.0,396.0,380.3
2026-04-21,-5.7,-1.42,396.3,57.6,14469,227,401.9,406.8,396.0
2026-04-20,-3.5,-0.86,402.0,76.5,19081,235,405.0,405.5,396.0
2026-04-17,9.5,2.4,405.5,,72521,373,397.0,409.5,392.1
2026-04-16,-5.9,-1.47,396.0,74.27,18705,216,395.5,402.5,395.5
2026-04-15,1.7,0.42,401.9,99.64,24809,345,404.9,404.9,398.0
2026-04-13,-1.8,-0.45,400.2,,37872,257,402.0,405.9,400.0
2026-04-10,1.0,0.25,402.0,,36369,313,401.0,405.0,396.0
2026-04-09,3.1,0.78,401.0,,33215,358,398.0,404.0,393.2
2026-04-08,5.9,1.51,397.9,81.73,20621,237,398.0,398.0,391.0
2026-04-07,-0.9,-0.23,392.0,,29784,281,393.0,397.9,390.0
2026-04-06,10.4,2.72,392.9,,56453,376,383.0,397.0,381.0
2026-04-05,-13.5,-3.41,382.5,,83112,515,389.0,395.0,380.3
2026-04-02,-1.0,-0.25,396.0,96.11,24342,278,395.0,400.0,389.3
2026-04-01,-8.0,-1.98,397.0,,33699,334,405.0,405.0,395.0
2026-03-31,2.0,0.5,405.0,,38224,408,395.5,407.6,395.5
2026-03-30,-5.0,-1.23,403.0,,49096,417,406.0,410.0,401.0
2026-03-29,-8.4,-2.02,408.0,,48682,467,416.0,418.0,407.9
2026-03-26,-1.6,-0.38,416.4,,58920,396,417.0,419.9,412.1
2026-03-25,-7.0,-1.65,418.0,,51414,408,422.5,429.7,417.0
2026-03-24,-5.0,-1.16,425.0,,41267,422,428.0,431.7,423.0
2026-03-23,0.7,0.16,430.0,,93943,750,430.0,437.7,425.0
2026-03-22,12.4,2.97,429.3,,169740,1253,418.0,432.0,416.0
2026-03-19,12.1,2.99,416.9,,110714,872,404.9,421.0,404.9
2026-03-17,-1.2,-0.3,404.8,,43273,274,401.0,407.0,401.0
2026-03-16,-3.0,-0.73,406.0,,29834,251,405.2,409.5,405.2
2026-03-15,1.0,0.25,409.0,,51410,401,409.0,413.0,406.0
2026-03-12,0.0,0.0,408.0,,54362,426,402.0,411.0,402.0
2026-03-11,-4.0,-0.97,408.0,,35350,310,420.0,420.0,406.8
2026-03-10,-8.0,-1.9,412.0,,133543,734,420.0,426.0,405.0
2026-03-09,23.8,6.01,420.0,10.88,2611,20,404.1,420.3,404.1
2026-03-03,1.2,0.3,396.2,98.55,24915,211,395.0,397.9,390.0
2026-03-01,2.0,0.51,395.0,67.62,17223,173,390.0,395.4,388.2
2026-02-26,-0.4,-0.1,393.0,41.11,10504,179,393.1,394.0,390.0
2026-02-25,7.4,1.92,393.4,,29429,302,384.0,399.9,384.0
2026-02-24,0.9,0.23,386.0,68.35,17677,206,384.2,390.0,384.2
2026-02-23,1.1,0.29,385.1,84.06,21812,201,389.0,389.0,383.3
2026-02-22,-0.5,-0.13,384.0,,39461,264,383.2,388.0,383.2
2026-02-17,-4.3,-1.11,384.5,,46627,245,390.0,393.0,384.0
2026-02-16,-3.2,-0.82,388.8,46.55,11959,250,392.0,392.0,388.0
2026-02-12,7.5,1.95,392.0,,33106,364,385.2,392.0,383.3
2026-02-11,-0.3,-0.08,384.5,98.95,25536,256,390.0,391.9,384.5
2026-02-10,-2.5,-0.65,384.8,,47881,325,388.1,392.6,384.8
2026-02-09,-3.7,-0.95,387.3,,30039,271,391.0,393.1,387.2
2026-02-08,-3.0,-0.76,391.0,,35645,370,390.0,400.0,389.8
2026-02-05,3.7,0.95,394.0,79.37,20230,334,390.4,396.0,390.1
2026-02-04,-2.5,-0.64,390.3,,35067,250,390.0,397.4,390.0
2026-02-03,0.4,0.1,392.8,,35652,296,392.4,396.0,390.1
2026-02-02,0.2,0.05,392.4,88.85,22560,271,384.4,397.4,384.4
2026-02-01,-1.8,-0.46,392.2,92.85,23638,279,391.7,395.0,391.7
2026-01-29,-2.0,-0.51,394.0,,48106,443,394.0,401.0,393.8
2026-01-28,-1.0,-0.25,396.0,,35720,353,397.3,400.0,394.2
2026-01-27,-8.0,-1.98,397.0,,46702,434,402.0,408.7,396.4
2026-01-26,-4.7,-1.15,405.0,,45204,431,409.7,414.9,403.6
2026-01-25,3.3,0.81,409.7,,49708,495,407.0,410.1,403.1
2026-01-22,0.2,0.05,406.4,83.23,20563,289,405.0,406.5,403.2
2026-01-21,-2.3,-0.56,406.2,,41409,300,412.9,413.2,406.1
2026-01-20,8.0,2.0,408.5,,72604,528,405.0,411.0,403.1
2026-01-18,0.6,0.15,400.5,78.86,19709,355,404.0,404.0,398.0
2026-01-14,-2.1,-0.52,399.9,,40921,311,395.2,401.0,395.2
2026-01-13,8.1,2.06,402.0,,34726,357,393.0,402.0,390.0
2026-01-12,-1.1,-0.28,393.9,65.34,16564,276,398.0,398.0,391.5
2026-01-08,2.0,0.51,395.0,74.08,18813,234,390.1,395.0,390.1
2026-01-07,0.7,0.18,393.0,46.64,11887,215,391.3,395.0,390.2
2026-01-06,1.4,0.36,392.3,79.45,20149,264,390.9,396.8,390.9
2026-01-05,2.8,0.72,390.9,,27095,326,390.0,391.6,387.2
2026-01-04,-4.4,-1.12,388.1,78.41,20173,263,392.0,392.0,387.2
2026-01-01,-2.5,-0.63,392.5,,28563,205,390.0,395.0,390.0
2025-12-31,1.0,0.25,395.0,,34874,270,393.0,400.0,393.0
2025-12-29,-5.0,-1.25,394.0,99.78,25291,228,396.0,397.0,393.1
2025-12-28,-1.0,-0.25,399.0,,61304,474,396.4,399.0,388.0
2025-12-24,2.0,0.5,400.0,,51006,343,397.0,410.0,394.0
2025-12-23,2.1,0.53,398.0,,37261,254,395.0,398.8,392.4
2025-12-22,-0.1,-0.03,395.9,62.4,15742,260,396.0,398.0,394.0
2025-12-21,-7.5,-1.86,396.0,,52094,374,400.0,407.0,394.6
2025-12-18,-5.4,-1.32,403.5,,40486,310,405.0,409.0,403.0
2025-12-17,1.9,0.47,408.9,,29278,362,405.0,410.0,405.0
2025-12-16,8.6,2.16,407.0,,62516,411,395.0,414.0,395.0
2025-12-15,2.4,0.61,398.4,64.01,16050,267,395.0,402.5,395.0
2025-12-14,-4.0,-1.0,396.0,89.49,22420,271,398.0,404.0,395.6
2025-12-11,0.5,0.13,400.0,79.9,19949,275,395.0,407.4,395.0
2025-12-10,-2.5,-0.62,399.5,84.23,21031,264,403.0,405.0,398.0
2025-12-09,6.0,1.52,402.0,85.51,21337,317,394.0,406.5,394.0
2025-12-08,-2.5,-0.63,396.0,,27640,289,395.0,402.5,395.0
2025-12-07,-3.6,-0.9,398.5,,38219,279,401.0,403.0,394.0
2025-12-03,-5.9,-1.45,402.1,,36272,276,413.0,413.0,402.0
2025-12-02,0.0,0.0,408.0,78.95,19420,206,413.0,413.0,404.2
2025-12-01,-2.0,-0.49,408.0,,72813,368,409.0,415.0,402.0
2025-11-30,-8.1,-1.94,410.0,,99242,568,413.2,423.0,408.0
2025-11-27,2.2,0.53,418.1,,105635,522,408.2,422.0,408.2
2025-11-26,0.9,0.22,415.9,,44599,359,415.0,417.0,408.0
2025-11-25,-4.0,-0.95,415.0,,85262,535,427.3,427.3,408.6
2025-11-24,22.9,5.78,419.0,,178165,1096,404.0,422.9,392.0
2025-11-23,6.2,1.59,396.1,,29161,314,385.3,400.0,385.3
2025-11-20,1.4,0.36,389.9,54.88,14107,187,382.3,391.0,382.3
2025-11-19,-2.7,-0.69,388.5,30.29,7793,139,392.0,395.0,387.5
2025-11-18,4.7,1.22,391.2,61.21,15671,200,392.0,394.0,386.2
2025-11-17,-1.4,-0.36,386.5,54.49,14112,214,385.0,389.0,382.1
2025-11-16,-1.1,-0.28,387.9,57.63,14951,175,383.0,394.0,383.0
2025-11-13,1.9,0.49,389.0,65.1,16786,152,385.0,390.5,385.0
2025-11-12,-6.7,-1.7,387.1,53.81,13785,176,390.0,393.5,387.1
2025-11-11,3.8,0.97,393.8,47.53,12203,200,385.0,394.9,385.0
2025-11-10,-1.0,-0.26,390.0,49.26,12689,164,388.0,394.9,385.3
2025-11-09,-4.2,-1.06,391.0,56.21,14353,171,395.0,395.0,391.0
2025-11-06,-3.7,-0.93,395.2,,35349,278,400.0,404.0,395.2
2025-11-05,3.6,0.91,398.9,80.83,20559,183,395.0,398.9,390.0
2025-11-04,-3.7,-0.93,395.3,93.08,23369,226,396.0,406.7,395.2
2025-11-03,-4.0,-0.99,399.0,,51502,347,403.0,411.0,394.5
2025-11-02,15.8,4.08,403.0,,94168,577,383.1,410.0,383.1
2025-10-30,7.1,1.87,387.2,66.75,17368,244,374.1,388.6,374.1
2025-10-29,0.1,0.03,380.1,62.32,16241,177,385.0,388.8,380.1
2025-10-28,8.0,2.15,380.0,,26925,276,370.0,386.0,370.0
2025-10-26,-0.8,-0.21,372.0,41.24,11127,135,372.8,373.0,368.0
2025-10-19,2.9,0.78,372.8,32.79,8858,101,365.0,374.0,365.0
2025-10-16,-0.1,-0.03,369.9,35.87,9705,138,370.0,376.0,367.8
2025-10-15,-5.2,-1.39,370.0,78.17,21105,219,373.0,375.0,368.0
2025-10-14,-5.7,-1.5,375.2,45.1,11972,198,388.5,388.5,374.5
2025-10-13,3.9,1.03,380.9,74.32,19820,264,375.0,382.0,371.0
2025-10-12,-8.0,-2.08,377.0,80.04,21149,288,380.0,385.0,375.2
2025-10-09,7.5,1.99,385.0,88.8,22910,249,385.0,400.5,385.0
2025-10-08,-5.6,-1.46,377.5,84.9,22415,254,388.0,388.0,375.0
2025-10-07,-10.8,-2.74,383.1,,26390,250,397.0,397.0,383.0
2025-09-28,6.6,1.7,393.9,37.05,9467,120,385.0,394.0,385.0
2025-09-25,-1.7,-0.44,387.3,29.44,7601,130,388.1,390.0,385.0
2025-09-24,-5.0,-1.27,389.0,66.03,16963,180,399.0,399.0,387.1
2025-09-23,9.39,2.44,394.0,77.42,19787,311,384.0,394.9,383.5
2025-09-21,20.71,5.69,384.61,,49419,557,371.1,386.5,364.0
