DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.1,1.47,214.0,,122918,450,221.4,221.4,206.0
2026-05-07,-0.1,-0.05,210.9,,50738,271,214.0,214.0,208.6
2026-05-06,-0.3,-0.14,211.0,,137249,410,214.0,215.5,210.0
2026-05-05,4.3,2.08,211.3,,224126,647,209.9,215.0,205.2
2026-05-04,-5.0,-2.36,207.0,,172064,675,210.1,214.7,206.6
2026-04-30,-1.0,-0.47,212.0,,174304,682,213.0,215.0,208.1
2026-04-29,-2.0,-0.93,213.0,,215377,706,204.3,218.0,204.3
2026-04-28,-3.5,-1.6,215.0,,204765,684,218.5,223.0,215.0
2026-04-27,-0.9,-0.41,218.5,,118316,489,230.3,230.3,218.0
2026-04-24,0.9,0.41,219.4,,183355,566,218.5,221.5,215.0
2026-04-23,-3.4,-1.53,218.5,,189785,611,222.0,225.3,217.0
2026-04-22,1.9,0.86,221.9,,514472,1546,231.0,231.0,213.0
2026-04-21,-5.0,-2.22,220.0,,238571,858,216.2,227.0,216.2
2026-04-20,-4.3,-1.88,225.0,,220936,724,230.0,230.0,222.0
2026-04-17,1.3,0.57,229.3,,437760,1224,228.0,232.0,222.2
2026-04-16,-7.2,-3.06,228.0,,446270,1435,238.0,239.0,227.0
2026-04-15,8.2,3.61,235.2,,1024815,2738,230.0,239.7,228.3
2026-04-13,3.7,1.66,227.0,,403448,1100,223.3,228.0,222.0
2026-04-10,-4.0,-1.76,223.3,,568790,1397,231.8,231.8,219.7
2026-04-09,4.2,1.88,227.3,,504789,1185,224.9,229.0,220.6
2026-04-08,1.0,0.45,223.1,,378248,1043,224.5,226.0,220.5
2026-04-07,4.1,1.88,222.1,,665457,1920,222.0,229.0,220.0
2026-04-06,19.0,9.55,218.0,,740626,2194,197.0,218.9,197.0
2026-04-05,-15.8,-7.36,199.0,,663308,2304,215.0,215.0,198.0
2026-04-02,0.9,0.42,214.8,,513194,1625,213.9,222.3,202.1
2026-04-01,-16.1,-7.0,213.9,,634655,1828,230.0,230.0,208.9
2026-03-31,-1.0,-0.43,230.0,,892274,2174,231.0,234.0,217.5
2026-03-30,-1.1,-0.47,231.0,,798367,1895,232.0,237.6,228.0
2026-03-29,-11.8,-4.84,232.1,,740023,1915,244.0,244.0,232.0
2026-03-26,6.8,2.87,243.9,,503513,1540,235.0,244.0,235.0
2026-03-25,-2.7,-1.13,237.1,,652839,1473,235.1,244.8,235.1
2026-03-24,-1.6,-0.66,239.8,,532829,1498,243.0,246.0,238.8
2026-03-23,-1.6,-0.66,241.4,,592579,1790,243.0,247.0,237.0
2026-03-22,1.0,0.41,243.0,,1536660,4050,237.2,251.0,235.0
2026-03-19,3.2,1.34,242.0,,1619903,4686,243.5,250.0,240.0
